»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,130,«·∂»Œ€»æ,99,121,31,1.1,19,59
2015-01-01,61,¡º,42,71,24,0.9,9,95
2015-01-02,72,¡º,53,73,21,0.7,21,119
2015-01-03,103,«·∂»Œ€»æ,78,112,30,1.3,27,121
2015-01-04,246,÷ÿ∂»Œ€»æ,196,260,38,2.5,37,74
2015-01-05,218,÷ÿ∂»Œ€»æ,168,227,36,4.5,29,51
2015-01-06,61,¡º,32,54,14,0.5,26,113
2015-01-07,73,¡º,33,40,20,0.4,13,127
2015-01-08,60,¡º,43,54,16,0.5,11,53
2015-01-09,120,«·∂»Œ€»æ,91,125,30,0.9,33,57
2015-01-10,153,÷–∂»Œ€»æ,117,144,27,1,34,68
2015-01-11,128,«·∂»Œ€»æ,98,97,20,0.8,24,63
2015-01-12,101,«·∂»Œ€»æ,76,41,20,0.4,22,63
2015-01-13,129,«·∂»Œ€»æ,98,184,31,1.5,53,72
2015-01-14,113,«·∂»Œ€»æ,86,106,26,1.2,32,37
2015-01-15,120,«·∂»Œ€»æ,91,124,20,0.9,30,35
2015-01-16,131,«·∂»Œ€»æ,100,138,23,1.1,29,70
2015-01-17,62,¡º,45,65,18,0.4,17,66
2015-01-18,90,¡º,67,92,20,0.5,36,69
2015-01-19,60,¡º,43,51,11,0.5,35,61
2015-01-20,85,¡º,61,120,17,0.7,47,71
2015-01-21,108,«·∂»Œ€»æ,81,122,24,0.9,49,52
2015-01-22,168,÷–∂»Œ€»æ,127,131,18,1.1,56,81
2015-01-23,183,÷–∂»Œ€»æ,138,147,23,1.5,59,71
2015-01-24,166,÷–∂»Œ€»æ,126,137,21,1.3,58,68
2015-01-25,237,÷ÿ∂»Œ€»æ,187,211,30,1.9,53,47
2015-01-26,176,÷–∂»Œ€»æ,134,144,27,1.3,41,59
2015-01-27,58,¡º,41,45,15,0.4,20,65
2015-01-28,63,¡º,45,59,18,0.8,23,66
2015-01-29,109,«·∂»Œ€»æ,82,88,31,1.3,40,61
2015-01-30,122,«·∂»Œ€»æ,93,93,24,1.3,31,84
2015-01-31,88,¡º,66,75,18,0.6,24,81
2015-02-01,118,«·∂»Œ€»æ,89,101,24,0.8,21,91
2015-02-02,134,«·∂»Œ€»æ,102,107,29,1.6,24,83
2015-02-03,163,÷–∂»Œ€»æ,124,122,19,2.2,38,75
2015-02-04,128,«·∂»Œ€»æ,98,109,25,1.6,35,77
2015-02-05,233,÷ÿ∂»Œ€»æ,183,189,21,2,40,82
