日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,84,良,63,96,43,2.1,55,23
2015-01-01,68,良,49,84,36,1.7,35,69
2015-01-02,61,良,42,73,35,1.5,34,70
2015-01-03,65,良,42,80,43,1.8,46,45
2015-01-04,83,良,54,116,59,3.2,66,35
2015-01-05,110,轻度污染,83,151,77,4.3,71,10
2015-01-06,98,良,73,122,69,4.2,60,17
2015-01-07,49,优,34,37,21,2.3,32,15
2015-01-08,48,优,34,47,28,1.4,23,68
2015-01-09,66,良,48,69,29,1,32,62
2015-01-10,98,良,73,96,59,1,42,42
2015-01-11,86,良,64,88,50,1,38,62
2015-01-12,40,优,28,40,33,0.6,27,54
2015-01-13,27,优,12,13,17,0.7,21,54
2015-01-14,23,优,15,23,19,0.9,28,28
2015-01-15,32,优,19,32,21,0.8,25,49
2015-01-16,68,良,49,74,31,1.9,33,21
2015-01-17,59,良,43,61,29,1,29,65
2015-01-18,85,良,63,86,44,1.2,37,65
2015-01-19,82,良,61,87,36,1.1,37,86
2015-01-20,73,良,53,90,50,1.2,43,82
2015-01-21,78,良,58,86,39,1.5,46,66
2015-01-22,74,良,55,88,33,1.4,44,70
2015-01-23,76,良,56,97,49,2.1,54,46
2015-01-24,78,良,57,93,45,1.8,50,69
2015-01-25,69,良,50,64,41,1.6,44,39
2015-01-26,67,良,49,61,39,1.4,36,37
2015-01-27,70,良,51,65,50,1.4,29,37
2015-01-28,36,优,24,36,36,1.3,22,44
2015-01-29,40,优,24,40,49,1.7,28,46
2015-01-30,28,优,15,28,27,1.6,26,23
2015-01-31,26,优,16,26,33,1.2,22,7
2015-02-01,35,优,25,35,44,1.3,25,11
2015-02-02,70,良,51,64,54,1.4,33,13
2015-02-03,71,良,52,71,48,1.5,30,16
2015-02-04,30,优,21,29,16,1.5,19,11
2015-02-05,58,良,41,48,19,1.3,18,73
2015-02-06,84,良,62,81,31,1.5,29,68
2015-02-07,102,轻度污染,77,100,37,1.9,37,41
2015-02-08,79,良,58,79,28,1.3,26,95
2015-02-09,101,轻度污染,76,96,32,1.4,29,91
2015-02-10,103,轻度污染,78,108,39,1.9,38,53
2015-02-11,108,轻度污染,81,110,29,1.9,39,49
2015-02-12,83,良,62,96,26,1.8,35,71
2015-02-13,70,良,51,85,31,2,35,68
2015-02-14,65,良,47,75,27,1.5,33,48
2015-02-15,64,良,47,56,15,1.8,24,28
2015-02-16,67,良,48,66,19,2.7,21,49
2015-02-17,44,优,31,40,12,1.5,14,53
2015-02-18,62,良,45,56,14,1.6,12,47
2015-02-19,75,良,55,75,18,1.4,10,69
2015-02-20,60,良,43,55,11,1.3,11,66
2015-02-21,59,良,42,49,13,2.6,19,33
