»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,91,¡º,42,132,76,2.2,44,48
2013-12-01,100,¡º,75,140,122,2.3,50,22
2013-12-02,152,÷–∂»Œ€»æ,116,177,141,2.5,55,37
2013-12-03,206,÷ÿ∂»Œ€»æ,95,145,112,2.4,49,111
2013-12-04,99,¡º,74,105,89,1.7,52,74
2013-12-05,80,¡º,52,109,79,1.8,51,72
2013-12-06,89,¡º,66,124,122,1.9,55,54
2013-12-07,124,«·∂»Œ€»æ,94,156,160,2.2,68,31
2013-12-08,152,÷–∂»Œ€»æ,116,170,139,2.2,71,41
2013-12-09,55,¡º,14,54,59,1.2,29,76
2013-12-10,75,¡º,55,99,88,1.8,50,27
2013-12-11,82,¡º,46,97,114,1.7,53,50
2013-12-12,108,«·∂»Œ€»æ,81,134,142,1.8,65,25
2013-12-13,130,«·∂»Œ€»æ,99,156,146,2.1,67,35
2013-12-14,165,÷–∂»Œ€»æ,125,186,175,2.4,75,27
2013-12-15,120,«·∂»Œ€»æ,91,164,119,2.2,94,19
2013-12-16,186,÷–∂»Œ€»æ,140,176,175,2.3,74,44
2013-12-17,427,—œ÷ÿŒ€»æ,390,472,260,4.2,133,30
2013-12-18,338,—œ÷ÿŒ€»æ,288,371,316,4.4,102,8
2013-12-19,306,—œ÷ÿŒ€»æ,256,319,154,4.1,94,8
2013-12-20,319,—œ÷ÿŒ€»æ,269,345,183,4.1,89,11
2013-12-21,287,÷ÿ∂»Œ€»æ,237,288,210,3.8,95,11
2013-12-22,334,—œ÷ÿŒ€»æ,284,345,265,4.4,107,12
2013-12-23,399,—œ÷ÿŒ€»æ,349,412,249,4.9,104,9
2013-12-24,404,—œ÷ÿŒ€»æ,355,435,229,4.4,105,7
2013-12-25,419,—œ÷ÿŒ€»æ,378,430,229,4.6,106,7
2013-12-26,78,¡º,43,105,72,1.6,38,67
2013-12-27,76,¡º,43,87,101,1.9,50,39
2013-12-28,90,¡º,67,104,120,2.1,55,45
2013-12-29,109,«·∂»Œ€»æ,82,134,142,2.4,59,27
2013-12-30,128,«·∂»Œ€»æ,97,153,124,2.9,65,51
2014-01-01,96,¡º,63,125,141,2.2,64,20
2014-01-02,110,«·∂»Œ€»æ,83,130,125,2.1,68,18
2014-01-03,81,¡º,51,111,74,1.4,52,49
2014-01-04,98,¡º,73,133,134,1.8,59,23
2014-01-05,101,«·∂»Œ€»æ,74,152,129,1.5,59,28
2014-01-06,206,÷ÿ∂»Œ€»æ,156,183,168,1.9,76,24
2014-01-07,179,÷–∂»Œ€»æ,135,165,98,1.7,64,15
2014-01-08,68,¡º,21,70,85,1.1,33,55
2014-01-09,78,¡º,54,99,106,1.2,47,36
2014-01-10,147,«·∂»Œ€»æ,112,156,158,2,69,20
2014-01-11,192,÷–∂»Œ€»æ,144,202,143,2.6,72,16
2014-01-12,78,¡º,52,105,68,1.6,49,52
2014-01-13,98,¡º,73,119,131,1.7,57,39
2014-01-14,223,÷ÿ∂»Œ€»æ,173,208,158,2.4,75,33
2014-01-15,284,÷ÿ∂»Œ€»æ,234,263,133,2.6,78,24
2014-01-16,297,÷ÿ∂»Œ€»æ,247,311,131,3.1,85,17
2014-01-17,109,«·∂»Œ€»æ,82,149,79,2.1,48,56
