»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,89,¡º,66,107,132,0.9,27,86
2015-01-01,72,¡º,52,94,57,0.8,24,63
2015-01-02,80,¡º,59,94,110,1.1,32,53
2015-01-03,67,¡º,49,83,114,1.2,42,72
2015-01-04,78,¡º,57,92,103,1,44,87
2015-01-05,104,«·∂»Œ€»æ,79,119,182,1.1,69,54
2015-01-06,83,¡º,61,89,102,1.2,56,23
2015-01-07,34,”≈,24,29,31,1,31,19
2015-01-08,50,”≈,35,49,49,0.8,24,71
2015-01-09,77,¡º,57,86,96,1.1,38,81
2015-01-10,89,¡º,66,105,129,1.2,52,57
2015-01-11,98,¡º,73,107,128,1.1,45,77
2015-01-12,84,¡º,62,89,71,1,36,81
2015-01-13,52,¡º,37,46,24,0.7,27,55
2015-01-14,38,”≈,26,35,43,0.8,26,30
2015-01-15,53,¡º,38,53,54,0.8,30,49
2015-01-16,65,¡º,47,66,97,0.7,34,64
2015-01-17,93,¡º,69,95,66,0.8,36,100
2015-01-18,153,÷–∂»Œ€»æ,117,157,78,1.1,49,84
2015-01-19,97,¡º,72,109,94,0.9,39,93
2015-01-20,68,¡º,50,80,85,0.9,44,87
2015-01-21,69,¡º,50,69,74,0.8,46,103
2015-01-22,75,¡º,55,88,60,0.9,45,93
2015-01-23,80,¡º,59,92,112,1,53,89
2015-01-24,87,¡º,65,98,122,0.9,55,110
2015-01-25,82,¡º,60,93,141,0.8,59,67
2015-01-26,88,¡º,66,92,117,0.8,41,67
2015-01-27,95,¡º,71,93,42,1,45,37
2015-01-28,32,”≈,23,29,20,0.7,30,28
2015-01-29,38,”≈,27,35,30,0.7,29,22
2015-01-30,34,”≈,24,30,29,0.7,28,14
2015-01-31,86,¡º,64,79,33,0.9,30,43
2015-02-01,91,¡º,68,91,52,0.9,39,31
2015-02-02,76,¡º,55,71,43,0.8,35,16
2015-02-03,52,¡º,37,46,39,0.7,33,14
2015-02-04,80,¡º,59,81,28,0.8,34,16
2015-02-05,75,¡º,55,75,33,0.9,35,102
2015-02-06,89,¡º,66,98,43,0.8,35,101
2015-02-07,91,¡º,68,101,57,0.9,41,77
2015-02-08,106,«·∂»Œ€»æ,79,113,65,0.9,34,110
2015-02-09,58,¡º,42,65,30,1,24,101
2015-02-10,62,¡º,45,65,45,0.9,37,82
2015-02-11,69,¡º,48,69,47,0.8,35,123
2015-02-12,77,¡º,57,85,32,0.8,38,113
2015-02-13,65,¡º,47,78,40,0.9,41,105
2015-02-14,80,¡º,59,93,53,0.8,49,92
2015-02-15,59,¡º,42,63,20,0.8,32,74
2015-02-16,63,¡º,45,60,17,0.8,24,97
2015-02-17,100,¡º,75,103,25,0.9,23,112
2015-02-18,101,«·∂»Œ€»æ,76,106,22,0.9,18,100
2015-02-19,96,¡º,72,106,29,0.8,16,109
2015-02-20,64,¡º,47,62,10,0.7,15,91
2015-02-21,38,”≈,26,30,8,0.7,16,38
2015-02-22,39,”≈,27,33,11,0.7,16,48
2015-02-23,33,”≈,23,27,5,0.9,14,48
2015-02-24,32,”≈,22,27,9,0.9,19,35
2015-02-25,27,”≈,19,23,9,0.9,26,24
2015-02-26,24,”≈,12,15,4,0.7,15,47
2015-02-27,37,”≈,10,13,4,0.6,10,73
2015-02-28,35,”≈,9,11,5,0.8,17,70
2015-03-01,22,”≈,15,18,15,0.7,16,43
2015-03-02,31,”≈,20,31,26,0.7,29,46
2015-03-03,26,”≈,18,25,14,0.7,22,46
2015-03-04,53,¡º,32,56,13,0.7,23,55
2015-03-05,28,”≈,20,27,17,0.7,19,45
2015-03-06,24,”≈,17,23,28,0.7,24,35
2015-03-07,29,”≈,19,29,31,0.8,23,32
2015-03-08,30,”≈,21,28,17,1,31,24
2015-03-09,42,”≈,20,32,24,0.8,19,84
2015-03-10,52,¡º,33,54,20,0.7,20,80
2015-03-11,56,¡º,34,62,49,0.9,41,72
2015-03-12,59,¡º,35,69,42,0.8,31,96
2015-03-13,55,¡º,34,60,56,0.9,36,94
2015-03-14,56,¡º,40,56,51,0.8,39,62
2015-03-15,45,”≈,32,37,24,1,35,61
2015-03-16,36,”≈,25,32,30,0.8,31,43
2015-03-17,58,¡º,42,62,62,0.9,43,67
2015-03-18,56,¡º,40,58,42,0.9,30,71
2015-03-19,27,”≈,19,26,31,0.7,24,38
2015-03-20,43,”≈,30,43,54,0.8,32,34
2015-03-21,38,”≈,27,36,30,0.7,22,46
2015-03-22,57,¡º,32,48,47,0.8,27,108
2015-03-23,56,¡º,39,62,29,0.7,21,98
2015-03-24,57,¡º,27,54,50,0.7,24,108
2015-03-25,60,¡º,22,40,27,0.7,20,112
2015-03-26,48,”≈,29,48,44,0.7,30,95
2015-03-27,45,”≈,30,38,51,0.6,29,86
2015-03-28,57,¡º,41,60,53,0.8,35,105
2015-03-29,73,¡º,53,79,129,0.7,38,87
2015-03-30,60,¡º,43,56,64,0.8,32,77
2015-03-31,53,¡º,37,52,48,0.8,27,63
2015-04-01,52,¡º,36,54,80,0.7,28,64
2015-04-02,53,¡º,36,56,88,0.8,22,66
2015-04-03,34,”≈,21,34,40,0.7,22,61
2015-04-04,45,”≈,31,44,37,0.7,24,59
2015-04-05,68,¡º,34,49,35,1.9,19,121
2015-04-06,47,”≈,26,36,27,0.8,21,94
2015-04-07,28,”≈,14,17,7,0.8,15,55
2015-04-08,30,”≈,21,27,29,0.8,18,54
2015-04-09,61,¡º,44,57,56,0.8,37,42
2015-04-10,65,¡º,47,61,72,0.8,29,69
2015-04-11,76,¡º,56,81,71,0.8,34,120
2015-04-12,78,¡º,57,88,91,0.8,41,118
2015-04-13,55,¡º,31,61,34,0.7,18,88
2015-04-14,52,¡º,31,54,42,0.8,21,100
2015-04-15,82,¡º,61,90,112,0.8,46,78
2015-04-16,106,«·∂»Œ€»æ,80,115,96,0.9,42,102
2015-04-17,112,«·∂»Œ€»æ,85,126,82,0.7,34,115
2015-04-18,110,«·∂»Œ€»æ,83,119,102,0.7,35,87
2015-04-19,85,¡º,63,90,58,0.9,40,22
2015-04-20,43,”≈,30,39,25,0.8,20,37
2015-04-21,66,¡º,48,69,40,0.8,23,79
2015-04-22,74,¡º,55,80,60,0.9,28,91
2015-04-23,87,¡º,65,109,100,1.5,48,102
2015-04-24,92,¡º,68,105,113,0.8,44,74
2015-04-25,90,¡º,67,110,94,0.9,49,84
2015-04-26,77,¡º,57,96,99,0.8,51,66
2015-04-27,106,«·∂»Œ€»æ,80,121,109,1.5,45,90
2015-04-28,68,¡º,49,69,75,0.9,19,108
2015-04-29,72,¡º,52,84,68,0.8,19,124
2015-04-30,110,«·∂»Œ€»æ,72,113,67,0.7,27,171
2015-05-01,105,«·∂»Œ€»æ,79,119,88,0.7,31,127
2015-05-02,68,¡º,50,67,64,0.9,21,69
2015-05-03,62,¡º,38,56,31,0.7,17,114
2015-05-04,89,¡º,66,93,56,0.8,27,137
2015-05-05,75,¡º,53,77,49,0.7,21,130
2015-05-06,79,¡º,58,81,73,0.8,32,77
2015-05-07,74,¡º,54,80,64,0.7,22,122
2015-05-08,66,¡º,48,66,59,0.7,31,65
2015-05-09,63,¡º,40,60,54,0.4,22,116
2015-05-10,89,¡º,66,96,56,0.7,27,113
2015-05-11,53,¡º,37,45,36,0.4,23,74
2015-05-12,63,¡º,32,58,47,0.5,20,115
2015-05-13,84,¡º,62,105,87,0.6,42,125
2015-05-14,82,¡º,61,85,75,0.3,29,65
2015-05-15,49,”≈,33,49,47,0.3,19,82
2015-05-16,41,”≈,25,34,53,0.4,18,82
2015-05-17,62,¡º,45,59,64,0.4,20,79
2015-05-18,75,¡º,55,69,78,0.4,25,69
2015-05-19,57,¡º,41,57,70,0.4,21,94
2015-05-20,119,«·∂»Œ€»æ,57,76,61,0.5,23,181
2015-05-21,112,«·∂»Œ€»æ,51,70,31,0.4,19,173
2015-05-22,73,¡º,31,37,29,0.4,14,127
2015-05-23,67,¡º,49,57,74,0.6,18,109
2015-05-24,106,«·∂»Œ€»æ,79,90,45,0.4,17,140
2015-05-25,119,«·∂»Œ€»æ,90,112,62,0.6,15,156
2015-05-26,102,«·∂»Œ€»æ,77,97,69,0.8,16,128
2015-05-27,58,¡º,41,50,40,0.4,17,49
2015-05-28,54,¡º,38,48,35,1.1,14,83
2015-05-29,87,¡º,64,91,57,2.1,17,67
2015-05-30,41,”≈,29,37,20,0.9,13,67
2015-05-31,78,¡º,42,55,48,0.5,21,134
2015-06-01,79,¡º,58,78,75,0.5,22,111
2015-06-02,57,¡º,41,56,61,0.4,20,68
2015-06-03,35,”≈,24,31,38,0.4,17,67
2015-06-04,42,”≈,26,32,39,0.4,18,83
2015-06-05,63,¡º,39,51,35,0.4,18,116
2015-06-06,73,¡º,54,75,79,0.4,23,107
2015-06-07,71,¡º,52,70,82,0.5,33,49
2015-06-08,61,¡º,44,61,70,0.5,29,44
2015-06-09,27,”≈,18,22,23,0.5,23,54
2015-06-10,51,¡º,36,45,40,0.6,34,51
2015-06-11,37,”≈,26,34,31,0.3,20,69
2015-06-12,59,¡º,42,61,82,0.3,14,81
2015-06-13,43,”≈,29,43,51,0.3,18,75
2015-06-14,45,”≈,31,40,45,0.5,27,59
2015-06-15,55,¡º,39,54,61,0.6,23,71
2015-06-16,50,”≈,35,49,46,0.4,20,77
2015-06-17,64,¡º,46,66,92,0.4,21,82
2015-06-18,31,”≈,22,26,13,0.4,12,62
2015-06-19,46,”≈,29,42,56,0.4,16,92
2015-06-20,69,¡º,51,73,76,0.6,22,83
2015-06-21,70,¡º,51,65,33,0.6,17,104
2015-06-22,57,¡º,41,50,48,0.6,24,89
2015-06-23,63,¡º,46,63,35,0.6,22,79
2015-06-24,65,¡º,47,64,45,0.5,21,77
2015-06-25,41,”≈,28,41,36,0.3,19,45
2015-06-26,37,”≈,26,36,67,0.5,18,57
2015-06-27,49,”≈,34,48,56,0.9,23,65
2015-06-28,52,¡º,37,48,74,0.6,22,90
2015-06-29,58,¡º,41,51,41,0.4,26,79
2015-06-30,56,¡º,40,52,37,0.3,21,85
2015-07-01,42,”≈,29,38,31,0.4,16,71
2015-07-02,57,¡º,32,40,20,0.4,15,108
2015-07-03,78,¡º,55,72,57,0.5,20,134
2015-07-04,78,¡º,38,45,17,0.3,15,134
2015-07-05,49,”≈,15,18,14,0.3,13,97
2015-07-06,47,”≈,12,14,8,0.3,13,93
2015-07-07,53,¡º,21,24,24,0.3,13,103
2015-07-08,48,”≈,23,26,32,0.4,15,96
2015-07-09,45,”≈,23,28,39,0.3,15,89
2015-07-10,38,”≈,25,33,33,0.3,21,76
2015-07-11,39,”≈,27,37,25,0.3,16,65
2015-07-12,38,”≈,24,35,23,0.3,14,76
2015-07-13,65,¡º,47,60,43,0.3,18,112
2015-07-14,96,¡º,72,91,64,0.3,22,127
