»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,88,¡º,65,94,29,1.3,81,128
2013-12-03,139,«·∂»Œ€»æ,106,146,37,1.6,105,159
2013-12-04,125,«·∂»Œ€»æ,95,136,43,1.5,88,119
2013-12-05,99,¡º,74,99,41,1.1,85,128
2013-12-06,119,«·∂»Œ€»æ,90,115,44,1.4,88,117
2013-12-07,153,÷–∂»Œ€»æ,117,144,50,1.4,95,128
2013-12-08,161,÷–∂»Œ€»æ,123,149,37,1.5,79,155
2013-12-09,153,÷–∂»Œ€»æ,117,153,47,1.4,77,135
2013-12-10,180,÷–∂»Œ€»æ,136,163,52,1.4,49,140
2013-12-11,157,÷–∂»Œ€»æ,120,149,56,1.4,52,95
2013-12-12,157,÷–∂»Œ€»æ,120,142,57,1.4,61,74
2013-12-13,185,÷–∂»Œ€»æ,139,165,48,1.7,77,40
2013-12-14,115,«·∂»Œ€»æ,87,85,29,1.4,48,37
2013-12-15,54,¡º,38,22,10,1.2,38,29
2013-12-16,20,”≈,11,11,14,1.3,37,39
2013-12-17,20,”≈,14,19,21,1.3,39,29
2013-12-18,29,”≈,16,21,20,0.8,21,57
2013-12-19,41,”≈,29,38,16,0.7,31,78
2013-12-20,64,¡º,47,61,32,1,49,87
2013-12-21,95,¡º,71,82,32,1,42,100
2013-12-22,131,«·∂»Œ€»æ,100,114,43,1.4,52,112
2013-12-23,123,«·∂»Œ€»æ,93,114,45,1.4,71,105
2013-12-24,110,«·∂»Œ€»æ,83,99,43,1.3,64,117
2013-12-25,119,«·∂»Œ€»æ,90,107,41,1.3,67,120
2013-12-26,101,«·∂»Œ€»æ,76,90,36,1.2,51,122
2013-12-27,159,÷–∂»Œ€»æ,121,140,56,1.3,46,131
2013-12-28,114,«·∂»Œ€»æ,87,108,36,1.1,53,101
2013-12-29,90,¡º,67,88,34,1,58,107
2013-12-30,115,«·∂»Œ€»æ,87,117,52,1.3,90,90
2013-12-31,118,«·∂»Œ€»æ,90,114,54,1.3,90,109
2014-01-01,136,«·∂»Œ€»æ,104,124,42,1.6,87,128
2014-01-02,160,÷–∂»Œ€»æ,122,148,30,1.8,112,132
2014-01-03,180,÷–∂»Œ€»æ,136,170,52,1.9,116,118
2014-01-04,151,÷–∂»Œ€»æ,115,142,45,1.5,76,149
2014-01-05,148,«·∂»Œ€»æ,113,143,46,1.5,69,167
2014-01-06,190,÷–∂»Œ€»æ,143,181,32,1.6,73,188
2014-01-07,99,¡º,75,102,23,1.3,63,113
2014-01-08,101,«·∂»Œ€»æ,76,90,27,1.6,61,32
2014-01-09,63,¡º,46,52,23,1.6,37,81
2014-01-10,98,¡º,73,75,22,1.2,47,97
2014-01-11,122,«·∂»Œ€»æ,93,113,34,1.4,79,158
2014-01-12,112,«·∂»Œ€»æ,85,110,28,1.5,74,89
2014-01-13,51,¡º,36,41,21,1,34,64
2014-01-14,63,¡º,45,51,21,0.9,35,88
2014-01-15,82,¡º,60,73,27,1,48,111
2014-01-16,124,«·∂»Œ€»æ,94,121,30,1.2,82,150
2014-01-17,130,«·∂»Œ€»æ,99,131,38,1.4,93,120
2014-01-18,88,¡º,66,81,27,0.9,53,125
2014-01-19,142,«·∂»Œ€»æ,109,129,39,1.2,62,158
2014-01-20,129,«·∂»Œ€»æ,98,118,32,1.1,72,139
2014-01-21,92,¡º,69,94,33,0.9,32,115
2014-01-22,90,¡º,67,97,26,0.8,48,132
2014-01-23,124,«·∂»Œ€»æ,94,122,24,1.2,80,149
2014-01-24,82,¡º,61,79,18,0.9,65,130
2014-01-25,58,¡º,41,55,28,1.1,57,74
2014-01-26,82,¡º,58,63,16,1,51,138
2014-01-27,103,«·∂»Œ€»æ,77,93,21,1.1,40,140
2014-01-28,93,¡º,69,84,19,1,54,143
2014-01-29,126,«·∂»Œ€»æ,72,86,19,1.1,58,189
2014-01-30,109,«·∂»Œ€»æ,78,94,28,1.2,65,170
2014-01-31,201,÷ÿ∂»Œ€»æ,151,168,31,1.2,40,137
2014-02-01,66,¡º,45,37,15,0.8,27,119
2014-02-02,83,¡º,47,49,17,1,32,139
2014-02-03,96,¡º,50,59,19,1,43,155
2014-02-04,64,¡º,46,40,13,1,26,117
2014-02-05,58,¡º,31,39,10,1,18,109
2014-02-06,45,”≈,20,18,11,1,22,89
2014-02-07,40,”≈,28,35,22,1.3,35,28
2014-02-08,36,”≈,25,22,14,1.3,27,31
2014-02-09,18,”≈,13,11,10,1.1,21,24
2014-02-10,37,”≈,26,28,16,1.1,21,59
2014-02-11,60,¡º,43,46,16,0.8,17,67
2014-02-12,68,¡º,50,33,14,0.8,26,68
2014-02-13,36,”≈,25,18,11,0.7,23,40
2014-02-14,63,¡º,45,40,15,0.8,19,87
2014-02-15,67,¡º,49,41,20,0.9,33,62
2014-02-16,101,«·∂»Œ€»æ,76,84,33,1.3,64,47
2014-02-17,195,÷–∂»Œ€»æ,146,187,63,2.4,137,37
2014-02-18,87,¡º,65,76,30,1.6,50,7
2014-02-19,26,”≈,13,12,13,1.1,27,51
2014-02-20,41,”≈,29,37,19,0.9,28,77
