»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,211,÷ÿ∂»Œ€»æ,161,245,197,2,78,29
2013-12-03,345,—œ÷ÿŒ€»æ,295,416,190,3.9,115,20
2013-12-04,264,÷ÿ∂»Œ€»æ,214,304,227,2.6,96,37
2013-12-05,131,«·∂»Œ€»æ,100,211,103,1.2,56,48
2013-12-06,123,«·∂»Œ€»æ,93,160,117,1.1,82,37
2013-12-07,275,÷ÿ∂»Œ€»æ,225,338,237,0.8,116,23
2013-12-08,313,—œ÷ÿŒ€»æ,263,359,115,0.6,81,10
2013-12-09,89,¡º,60,128,57,0.8,41,55
2013-12-10,114,«·∂»Œ€»æ,84,179,136,1.2,64,53
2013-12-11,70,¡º,32,91,88,0.7,45,55
2013-12-12,107,«·∂»Œ€»æ,70,165,114,1.2,58,68
2013-12-13,78,¡º,53,105,111,0.9,65,58
2013-12-14,150,«·∂»Œ€»æ,115,198,156,1.7,80,32
2013-12-15,102,«·∂»Œ€»æ,77,145,98,1.7,72,35
2013-12-16,131,«·∂»Œ€»æ,100,157,100,1.1,61,28
2013-12-17,109,«·∂»Œ€»æ,82,121,78,1,48,43
2013-12-18,56,¡º,40,57,61,1,33,53
2013-12-19,106,«·∂»Œ€»æ,80,121,86,1.5,54,49
2013-12-20,95,¡º,71,117,97,1.5,68,52
2013-12-21,108,«·∂»Œ€»æ,81,123,115,1.8,92,34
2013-12-22,184,÷–∂»Œ€»æ,139,194,146,1.7,117,46
2013-12-23,307,—œ÷ÿŒ€»æ,257,345,307,2.4,122,16
2013-12-24,227,÷ÿ∂»Œ€»æ,177,188,49,1.6,48,44
2013-12-25,311,—œ÷ÿŒ€»æ,261,339,226,2.6,113,25
2013-12-26,104,«·∂»Œ€»æ,78,148,63,0.9,44,61
2013-12-27,68,¡º,49,85,74,1.1,54,62
2013-12-28,91,¡º,68,112,88,1.2,59,50
2013-12-29,109,«·∂»Œ€»æ,83,162,173,1.4,70,44
2013-12-30,155,÷–∂»Œ€»æ,119,240,196,1.8,83,46
2013-12-31,165,÷–∂»Œ€»æ,110,280,162,1.9,73,57
2014-01-01,155,÷–∂»Œ€»æ,109,260,170,1.9,72,41
2014-01-02,166,÷–∂»Œ€»æ,126,247,212,2.1,88,34
2014-01-03,138,«·∂»Œ€»æ,105,201,117,1.7,62,55
2014-01-04,80,¡º,59,98,80,1.1,53,40
2014-01-05,155,÷–∂»Œ€»æ,118,197,134,2.1,66,33
2014-01-06,190,÷–∂»Œ€»æ,143,221,82,1.7,61,29
2014-01-07,286,÷ÿ∂»Œ€»æ,236,321,107,2.6,78,20
2014-01-08,44,”≈,16,44,29,0.6,23,62
2014-01-09,89,¡º,66,119,120,1.3,63,48
2014-01-10,195,÷–∂»Œ€»æ,147,233,205,1.9,91,18
2014-01-11,320,—œ÷ÿŒ€»æ,270,385,204,2.8,113,34
2014-01-12,129,«·∂»Œ€»æ,98,156,79,1.3,58,73
2014-01-13,75,¡º,55,98,85,1.2,54,64
2014-01-14,216,÷ÿ∂»Œ€»æ,166,274,190,2.4,91,33
2014-01-15,347,—œ÷ÿŒ€»æ,297,419,216,2.6,100,47
2014-01-16,250,÷ÿ∂»Œ€»æ,200,291,123,2.1,92,27
2014-01-17,174,÷–∂»Œ€»æ,132,197,70,1.6,53,45
2014-01-18,230,÷ÿ∂»Œ€»æ,180,252,105,2,68,44
2014-01-19,305,—œ÷ÿŒ€»æ,255,361,176,2.7,95,24
2014-01-20,172,÷–∂»Œ€»æ,130,272,71,1.6,50,76
2014-01-21,58,¡º,27,66,46,1,38,41
2014-01-22,105,«·∂»Œ€»æ,79,157,134,1.8,67,50
2014-01-23,132,«·∂»Œ€»æ,101,192,120,1.7,72,48
2014-01-24,213,÷ÿ∂»Œ€»æ,163,253,138,2.2,82,23
2014-01-25,65,¡º,33,79,32,0.7,19,76
2014-01-26,64,¡º,30,78,85,0.9,32,66
2014-01-27,91,¡º,67,133,120,1.6,51,54
2014-01-28,64,¡º,33,79,65,0.8,25,69
2014-01-29,104,«·∂»Œ€»æ,78,149,113,1.5,43,81
2014-01-30,166,÷–∂»Œ€»æ,126,206,93,1.7,42,73
2014-01-31,242,÷ÿ∂»Œ€»æ,192,275,109,2,35,54
2014-02-01,66,¡º,45,81,32,1.1,19,53
2014-02-02,133,«·∂»Œ€»æ,102,159,74,2,29,66
2014-02-03,61,¡º,15,73,36,0.8,16,78
2014-02-04,47,”≈,14,47,42,0.9,14,76
2014-02-05,45,”≈,19,45,68,0.8,16,74
2014-02-06,49,”≈,32,49,58,1,18,73
2014-02-07,36,”≈,11,33,26,0.8,21,72
2014-02-08,63,¡º,45,76,61,1.3,33,66
2014-02-09,39,”≈,15,38,28,0.6,12,77
2014-02-10,41,”≈,19,41,42,0.7,25,82
2014-02-11,86,¡º,64,96,152,1.1,50,77
2014-02-12,143,«·∂»Œ€»æ,110,158,145,1.7,62,73
2014-02-13,86,¡º,64,100,42,1,29,90
2014-02-14,146,«·∂»Œ€»æ,112,171,141,1.6,66,76
2014-02-15,260,÷ÿ∂»Œ€»æ,210,294,165,2.1,78,84
2014-02-16,245,÷ÿ∂»Œ€»æ,195,271,105,1.8,58,80
2014-02-17,74,¡º,53,98,46,1,23,84
2014-02-18,51,¡º,26,53,27,0.8,23,83
2014-02-19,65,¡º,47,78,33,1,34,85
2014-02-20,99,¡º,74,115,48,1.1,37,94
2014-02-21,196,÷–∂»Œ€»æ,147,239,132,1.8,64,75
2014-02-22,176,÷–∂»Œ€»æ,133,207,105,1.6,55,116
2014-02-23,191,÷–∂»Œ€»æ,144,224,144,1.7,70,85
2014-02-24,217,÷ÿ∂»Œ€»æ,167,258,158,1.9,71,83
2014-02-25,202,÷ÿ∂»Œ€»æ,152,226,131,1.6,54,110
2014-02-26,199,÷–∂»Œ€»æ,149,227,144,1.9,68,99
2014-02-27,104,«·∂»Œ€»æ,79,117,41,1.2,31,81
2014-02-28,52,¡º,15,55,26,0.6,20,79
2014-03-01,89,¡º,66,127,85,1,51,88
2014-03-02,152,÷–∂»Œ€»æ,117,200,143,1.7,84,76
2014-03-03,194,÷–∂»Œ€»æ,146,254,140,1.7,76,92
2014-03-04,110,«·∂»Œ€»æ,83,134,62,1.3,37,84
2014-03-05,109,«·∂»Œ€»æ,82,118,49,0.9,40,103
2014-03-06,85,¡º,63,109,70,1.2,51,83
2014-03-07,113,«·∂»Œ€»æ,85,152,115,1.3,67,66
2014-03-08,199,÷–∂»Œ€»æ,149,225,115,1.7,82,53
2014-03-09,176,÷–∂»Œ€»æ,133,200,72,1.4,51,91
2014-03-10,176,÷–∂»Œ€»æ,134,223,121,1.6,63,111
2014-03-11,178,÷–∂»Œ€»æ,134,240,107,1.9,60,150
2014-03-12,82,¡º,42,115,42,1,23,92
2014-03-13,84,¡º,56,118,88,1.2,59,88
2014-03-14,100,¡º,51,149,84,1.3,60,85
2014-03-15,143,«·∂»Œ€»æ,81,236,121,1.6,74,108
2014-03-16,174,÷–∂»Œ€»æ,132,284,95,1.7,86,104
2014-03-17,238,÷ÿ∂»Œ€»æ,118,376,92,1.6,65,121
2014-03-18,137,«·∂»Œ€»æ,57,224,31,1,24,120
2014-03-19,67,¡º,42,85,32,0.9,32,115
2014-03-20,70,¡º,36,90,41,1.1,40,98
2014-03-21,116,«·∂»Œ€»æ,65,181,115,1.4,70,96
2014-03-22,134,«·∂»Œ€»æ,88,219,117,1.6,80,131
2014-03-23,172,÷–∂»Œ€»æ,131,249,91,1.5,70,130
2014-03-24,156,÷–∂»Œ€»æ,118,262,119,1.9,84,145
2014-03-25,225,÷ÿ∂»Œ€»æ,175,338,119,2.1,115,129
2014-03-26,267,÷ÿ∂»Œ€»æ,217,364,137,2.4,99,177
2014-03-27,242,÷ÿ∂»Œ€»æ,192,355,125,2,100,154
2014-03-28,111,«·∂»Œ€»æ,79,172,82,1.2,52,109
2014-03-29,87,¡º,65,123,28,0.9,35,117
2014-03-30,145,«·∂»Œ€»æ,111,225,75,1.4,78,184
2014-03-31,166,÷–∂»Œ€»æ,127,265,81,1.5,61,177
2014-04-01,121,«·∂»Œ€»æ,86,192,123,1.5,61,177
2014-04-02,155,÷–∂»Œ€»æ,99,261,118,1.6,76,157
2014-04-03,87,¡º,26,123,14,0.6,19,114
2014-04-04,127,«·∂»Œ€»æ,47,204,73,1,48,120
2014-04-05,87,¡º,24,124,32,0.6,22,101
2014-04-06,112,«·∂»Œ€»æ,55,174,86,1.2,63,114
2014-04-07,135,«·∂»Œ€»æ,83,220,104,1.3,79,146
2014-04-08,155,÷–∂»Œ€»æ,114,260,134,1.6,77,200
2014-04-09,149,«·∂»Œ€»æ,104,248,86,1.5,57,177
2014-04-10,96,¡º,61,142,25,0.9,24,141
2014-04-11,97,¡º,72,131,46,0.9,38,118
2014-04-12,109,«·∂»Œ€»æ,82,147,72,1,48,96
2014-04-13,124,«·∂»Œ€»æ,94,165,82,1,47,150
2014-04-14,188,÷–∂»Œ€»æ,142,252,184,1.6,83,176
2014-04-15,132,«·∂»Œ€»æ,79,215,35,1,43,128
2014-04-16,103,«·∂»Œ€»æ,46,131,54,0.9,36,163
2014-04-17,73,¡º,46,94,55,0.9,33,128
2014-04-18,69,¡º,43,85,32,0.7,21,123
2014-04-19,69,¡º,29,88,19,0.7,27,123
2014-04-20,111,«·∂»Œ€»æ,61,142,88,1.1,55,172
2014-04-21,108,«·∂»Œ€»æ,68,151,68,1.1,62,169
2014-04-22,118,«·∂»Œ€»æ,89,186,85,1.3,66,171
2014-04-23,134,«·∂»Œ€»æ,99,218,97,1.4,64,166
2014-04-24,115,«·∂»Œ€»æ,54,151,65,1.1,39,176
2014-04-25,91,¡º,48,131,64,0.9,27,135
2014-04-26,63,¡º,28,57,28,0.7,18,115
2014-04-27,60,¡º,14,31,10,0.6,10,112
2014-04-28,69,¡º,32,88,34,1,29,115
2014-04-29,143,«·∂»Œ€»æ,53,144,51,1.1,61,207
2014-04-30,167,÷–∂»Œ€»æ,101,228,98,1.4,84,232
2014-05-01,144,«·∂»Œ€»æ,93,214,101,1.5,59,208
2014-05-02,90,¡º,47,131,31,0.9,26,147
2014-05-03,113,«·∂»Œ€»æ,60,176,108,1.4,62,138
2014-05-04,92,¡º,36,134,17,0.7,18,112
2014-05-05,85,¡º,43,120,58,1,40,107
2014-05-06,119,«·∂»Œ€»æ,53,188,78,0.9,39,162
2014-05-07,117,«·∂»Œ€»æ,66,183,48,0.9,28,176
