»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,137,«·∂»Œ€»æ,104,160,54,1.2,35,56
2015-01-01,176,÷–∂»Œ€»æ,133,179,97,1.5,37,38
2015-01-02,164,÷–∂»Œ€»æ,124,163,89,1.6,38,56
2015-01-03,178,÷–∂»Œ€»æ,135,160,73,1.6,37,55
2015-01-04,115,«·∂»Œ€»æ,64,181,27,1,15,56
2015-01-05,47,”≈,29,47,24,0.8,13,60
2015-01-06,105,«·∂»Œ€»æ,79,100,81,0.8,33,41
2015-01-07,107,«·∂»Œ€»æ,65,163,29,0.6,18,58
2015-01-08,107,«·∂»Œ€»æ,75,164,63,0.7,26,49
2015-01-09,85,¡º,63,93,72,0.7,28,53
2015-01-10,211,÷ÿ∂»Œ€»æ,161,166,82,1.2,41,42
2015-01-11,162,÷–∂»Œ€»æ,123,146,88,1,37,46
2015-01-12,252,÷ÿ∂»Œ€»æ,202,223,113,1.4,43,46
2015-01-13,134,«·∂»Œ€»æ,102,162,44,0.8,24,59
2015-01-14,108,«·∂»Œ€»æ,81,123,69,0.8,30,59
2015-01-15,52,¡º,30,54,23,0.5,14,60
2015-01-16,78,¡º,57,85,56,0.5,23,53
2015-01-17,78,¡º,50,106,34,0.4,14,55
2015-01-18,70,¡º,40,89,55,0.4,18,63
2015-01-19,130,«·∂»Œ€»æ,99,140,78,0.8,29,49
2015-01-20,87,¡º,30,124,23,0.2,7,58
2015-01-21,83,¡º,60,116,52,0.4,22,55
2015-01-22,101,«·∂»Œ€»æ,76,118,64,0.7,30,46
2015-01-23,97,¡º,72,119,72,0.7,29,51
2015-01-24,76,¡º,40,103,21,0.4,15,68
2015-01-25,98,¡º,72,146,75,0.6,28,56
2015-01-26,85,¡º,38,121,36,0.4,12,62
2015-01-27,74,¡º,39,99,69,0.4,22,47
2015-01-28,80,¡º,38,110,34,0.5,14,44
2015-01-29,68,¡º,33,86,39,0.4,12,55
2015-01-30,105,«·∂»Œ€»æ,79,101,62,0.8,24,51
2015-02-02,143,«·∂»Œ€»æ,109,96,31,0.8,23,75
2015-02-03,132,«·∂»Œ€»æ,100,97,40,0.8,15,60
2015-02-04,89,¡º,66,75,43,0.5,17,67
2015-02-05,80,¡º,59,82,50,0.6,23,61
2015-02-06,70,¡º,51,90,39,0.5,16,54
2015-02-07,79,¡º,39,108,17,0.4,11,63
2015-02-08,85,¡º,62,120,49,0.6,21,64
2015-02-09,98,¡º,74,118,36,0.7,22,66
2015-02-10,180,÷–∂»Œ€»æ,76,311,25,0.5,11,66
2015-02-11,124,«·∂»Œ€»æ,46,198,18,0.4,9,60
2015-02-12,54,¡º,27,59,18,0.5,11,58
2015-02-13,77,¡º,57,96,38,0.7,23,65
2015-02-14,167,÷–∂»Œ€»æ,91,283,28,0.7,15,53
2015-02-15,88,¡º,35,127,17,0.5,7,62
2015-02-16,87,¡º,50,123,51,0.7,18,67
2015-02-17,86,¡º,64,106,60,0.9,23,72
2015-02-18,100,¡º,75,139,62,0.9,19,80
2015-02-19,205,÷ÿ∂»Œ€»æ,155,165,41,1.1,17,75
2015-02-20,92,¡º,69,92,16,0.5,6,62
2015-02-21,99,¡º,50,147,13,0.5,4,70
2015-02-22,142,«·∂»Œ€»æ,61,234,66,0.7,14,58
2015-02-23,69,¡º,34,87,24,0.7,11,71
2015-02-24,89,¡º,34,128,19,0.6,8,58
2015-02-25,101,«·∂»Œ€»æ,43,151,24,0.6,7,68
2015-02-26,130,«·∂»Œ€»æ,47,209,65,0.7,14,58
2015-02-27,121,«·∂»Œ€»æ,48,192,26,0.7,8,53
2015-02-28,54,¡º,20,57,12,0.6,5,59
2015-03-01,49,”≈,29,49,26,0.8,12,65
2015-03-02,193,÷–∂»Œ€»æ,77,336,13,0.7,7,75
2015-03-03,115,«·∂»Œ€»æ,44,180,30,0.7,8,67
2015-03-04,71,¡º,52,92,55,0.8,17,57
2015-03-05,112,«·∂»Œ€»æ,85,148,60,0.9,22,67
2015-03-06,85,¡º,56,120,47,0.9,21,64
2015-03-07,92,¡º,54,135,33,0.8,17,64
2015-03-08,90,¡º,43,130,30,0.6,11,69
2015-03-09,68,¡º,30,86,41,0.6,12,70
2015-03-10,68,¡º,40,86,66,0.8,18,60
2015-03-11,74,¡º,47,99,49,0.8,18,80
2015-03-12,69,¡º,38,88,49,0.7,16,71
2015-03-13,94,¡º,43,137,15,0.6,9,60
2015-03-14,123,«·∂»Œ€»æ,50,197,12,0.6,9,75
2015-03-15,120,«·∂»Œ€»æ,71,189,43,0.8,23,73
2015-03-16,125,«·∂»Œ€»æ,54,200,24,0.7,12,69
2015-03-17,94,¡º,52,137,35,0.8,21,59
2015-03-18,62,¡º,27,75,15,0.7,10,70
2015-03-19,77,¡º,27,104,20,0.7,13,60
2015-03-20,114,«·∂»Œ€»æ,42,177,20,0.7,13,65
2015-03-21,130,«·∂»Œ€»æ,75,210,30,0.9,21,79
2015-03-22,96,¡º,65,141,36,1,25,66
2015-03-23,73,¡º,34,96,34,0.8,18,73
2015-03-24,77,¡º,44,103,27,0.9,20,88
2015-03-25,60,¡º,36,70,23,0.9,11,79
2015-03-26,56,¡º,38,62,28,1.1,15,90
2015-03-27,82,¡º,64,68,17,1.1,19,71
2015-03-28,105,«·∂»Œ€»æ,46,160,21,0.9,15,78
2015-03-29,126,«·∂»Œ€»æ,52,202,15,1,15,86
2015-03-30,111,«·∂»Œ€»æ,65,173,21,1.2,17,94
2015-03-31,421,—œ÷ÿŒ€»æ,93,521,33,1.2,18,88
2015-04-01,294,÷ÿ∂»Œ€»æ,133,416,22,1.3,9,78
2015-04-02,191,÷–∂»Œ€»æ,111,333,11,1.3,10,75
2015-04-03,76,¡º,26,102,7,1.2,8,69
2015-04-04,53,¡º,22,56,8,1.2,15,68
2015-04-05,64,¡º,36,79,10,1.2,16,91
2015-04-06,62,¡º,32,73,21,1.2,15,87
2015-04-07,63,¡º,45,75,28,1.3,20,79
2015-04-08,72,¡º,52,89,20,1.4,20,59
2015-04-09,64,¡º,24,77,7,1.2,12,62
2015-04-10,77,¡º,30,105,12,1.2,19,57
2015-04-11,171,÷–∂»Œ€»æ,52,292,8,1.2,10,47
2015-04-12,69,¡º,22,89,8,1.2,9,54
2015-04-13,67,¡º,26,84,10,1.3,17,64
2015-04-14,77,¡º,34,104,11,1.4,18,49
2015-04-15,168,÷–∂»Œ€»æ,75,285,14,1.4,16,45
2015-04-16,168,÷–∂»Œ€»æ,59,286,12,1.5,12,59
2015-04-17,134,«·∂»Œ€»æ,62,217,28,1.7,19,74
2015-04-18,98,¡º,32,145,5,1.5,4,56
2015-04-19,51,¡º,17,52,8,1.6,7,57
2015-04-20,69,¡º,50,74,15,1.8,19,54
2015-04-21,56,¡º,18,63,9,1.6,9,71
2015-04-22,51,¡º,22,52,8,1.6,16,83
2015-04-23,47,”≈,18,47,10,1.6,11,58
2015-04-24,60,¡º,28,70,16,1.7,17,83
2015-04-25,66,¡º,35,82,17,1.6,18,86
2015-04-26,61,¡º,28,71,10,1.6,13,73
2015-04-27,66,¡º,31,82,18,1.7,18,76
2015-04-28,91,¡º,43,131,11,1.7,23,72
2015-04-29,77,¡º,33,104,7,1.4,15,126
2015-04-30,197,÷–∂»Œ€»æ,109,343,3,1.4,7,113
2015-05-01,55,¡º,30,60,5,1.6,12,81
2015-05-02,56,¡º,26,62,12,1.6,15,76
2015-05-03,69,¡º,31,89,9,1.6,10,77
2015-05-04,74,¡º,39,98,13,1.7,17,75
2015-05-05,67,¡º,37,84,9,1.7,14,65
2015-05-06,153,÷–∂»Œ€»æ,88,257,7,1.7,10,78
2015-05-07,63,¡º,32,77,10,1.6,12,71
2015-05-08,132,«·∂»Œ€»æ,58,215,7,1.2,8,75
2015-05-09,77,¡º,34,104,7,1.1,8,110
2015-05-10,214,÷ÿ∂»Œ€»æ,92,360,3,1.1,4,77
2015-05-11,51,¡º,23,52,3,1.1,8,86
2015-05-12,52,¡º,33,54,12,1.3,20,94
2015-05-13,61,¡º,34,72,15,1.3,17,99
2015-05-14,74,¡º,37,99,14,1.3,11,73
2015-05-15,124,«·∂»Œ€»æ,62,198,11,1.2,7,91
2015-05-16,88,¡º,47,127,19,1.2,16,104
2015-05-17,178,÷–∂»Œ€»æ,96,306,8,1.1,8,98
2015-05-18,107,«·∂»Œ€»æ,75,163,9,1.2,10,107
2015-05-19,81,¡º,46,112,35,1.4,14,108
2015-05-20,56,¡º,29,62,19,1.3,15,84
2015-05-21,58,¡º,38,39,8,1.3,9,110
2015-05-22,69,¡º,42,50,9,1.3,20,123
