日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,77,良,54,104,32,1.4,69,69
2013-12-03,83,良,62,109,15,1.3,67,113
2013-12-04,111,轻度污染,84,121,34,1.7,79,79
2013-12-05,88,良,66,92,21,0.9,64,92
2013-12-06,119,轻度污染,90,122,46,1.7,73,68
2013-12-07,145,轻度污染,111,141,33,1.6,81,74
2013-12-08,153,中度污染,117,145,47,1.6,71,92
2013-12-09,159,中度污染,122,173,29,1.5,77,86
2013-12-10,178,中度污染,135,190,63,1.8,55,102
2013-12-11,163,中度污染,124,171,48,1.4,65,65
2013-12-12,129,轻度污染,98,146,71,1.8,63,34
2013-12-13,166,中度污染,126,165,35,1.8,82,13
2013-12-14,103,轻度污染,78,103,46,1.7,53,54
2013-12-15,41,优,28,36,14,1.3,45,8
2013-12-16,19,优,9,11,14,1.5,38,15
2013-12-17,31,优,22,22,21,1.5,41,17
2013-12-18,30,优,21,29,44,1.6,28,45
2013-12-19,61,良,44,60,20,0.8,38,34
2013-12-20,98,良,73,84,53,1.1,52,54
2013-12-21,125,轻度污染,95,93,31,0.9,56,69
2013-12-22,141,轻度污染,108,120,75,1.7,50,79
2013-12-23,143,轻度污染,109,125,55,1.3,72,76
2013-12-24,128,轻度污染,97,113,57,1.6,63,85
2013-12-25,119,轻度污染,90,121,34,1.2,67,85
2013-12-26,116,轻度污染,88,104,55,1.4,57,87
2013-12-27,162,中度污染,124,153,51,1,51,89
2013-12-28,122,轻度污染,92,127,59,1.1,61,66
2013-12-29,94,良,70,103,40,0.9,68,86
2013-12-30,139,轻度污染,107,155,60,1.7,91,70
2013-12-31,172,中度污染,131,177,50,1.9,103,79
2014-01-01,160,中度污染,122,164,68,2.1,92,136
2014-01-02,102,轻度污染,76,117,23,1.3,71,111
2014-01-03,143,轻度污染,110,167,62,1.9,88,139
2014-01-04,172,中度污染,130,177,38,1.4,79,121
2014-01-05,153,中度污染,117,152,55,1.3,63,138
2014-01-06,133,轻度污染,102,134,20,0.9,52,114
2014-01-07,68,良,49,76,33,0.9,50,87
2014-01-08,86,良,64,98,25,1.2,68,35
2014-01-09,67,良,49,63,40,1.4,47,54
2014-01-10,92,良,69,92,19,1.2,58,75
2014-01-11,82,良,61,84,43,1.3,55,72
2014-01-12,91,良,68,97,20,1.1,58,61
2014-01-13,52,良,37,51,34,1.3,39,45
2014-01-14,66,良,48,60,22,1,43,91
2014-01-15,84,良,62,78,71,1.5,46,96
2014-01-16,88,良,65,91,23,1,65,96
2014-01-17,114,轻度污染,86,126,56,1.8,82,80
2014-01-18,83,良,62,97,32,1,60,103
2014-01-19,110,轻度污染,83,119,49,1.5,55,121
2014-01-20,130,轻度污染,99,145,34,1.4,76,112
2014-01-21,92,良,68,111,75,1.5,39,99
2014-01-22,87,良,64,109,35,1,49,113
2014-01-23,90,良,67,99,29,1.3,47,111
2014-01-24,57,良,40,60,9,0.9,43,77
2014-01-25,74,良,55,85,42,1.7,56,71
2014-01-26,94,良,70,101,13,1.4,49,123
2014-01-27,70,良,51,85,37,1.2,30,112
2014-01-28,60,良,43,69,10,0.9,33,97
2014-01-29,64,良,37,60,23,1,32,117
2014-01-30,79,良,42,61,10,1.1,34,135
2014-01-31,90,良,67,101,27,1.1,21,125
2014-02-01,53,良,38,56,7,0.9,20,87
2014-02-02,55,良,28,44,24,1.1,17,106
2014-02-03,63,良,26,42,15,0.9,19,116
2014-02-04,51,良,32,47,21,1.1,19,101
2014-02-05,36,优,17,27,10,1,25,72
2014-02-06,37,优,16,26,28,1.3,20,74
2014-02-07,50,优,31,50,6,1.4,29,44
2014-02-08,50,优,31,50,20,1.3,26,38
2014-02-09,21,优,15,21,6,1.2,22,15
2014-02-10,40,优,28,35,34,1.5,22,59
2014-02-11,63,良,46,56,18,1.1,24,51
2014-02-12,75,良,55,68,32,1.4,31,72
2014-02-13,45,优,31,37,6,1.1,27,35
2014-02-14,68,良,50,63,33,1.1,27,81
2014-02-15,75,良,55,67,37,0.9,41,54
2014-02-16,139,轻度污染,107,146,63,1.9,63,37
2014-02-17,152,中度污染,116,174,38,2.1,85,66
2014-02-18,86,良,64,45,57,2.3,51,54
2014-02-19,19,优,8,19,13,1.3,31,31
2014-02-20,42,优,26,42,49,1.4,31,58
2014-02-21,53,良,32,55,14,0.9,44,55
2014-02-22,70,良,51,72,41,1.3,53,76
2014-02-23,53,良,38,56,21,0.9,44,65
2014-02-24,32,优,22,31,34,1.1,36,58
2014-02-25,31,优,21,31,8,0.8,31,49
2014-02-26,69,良,50,72,34,1.7,53,61
2014-02-27,61,良,44,69,11,1.2,43,47
2014-02-28,44,优,28,44,33,1.2,38,64
2014-03-01,51,良,25,51,7,1,31,41
2014-03-02,57,良,35,63,42,1.9,41,55
2014-03-03,53,良,33,57,12,1.3,46,31
2014-03-04,89,良,66,107,38,1.9,55,55
2014-03-05,41,优,27,41,15,1.7,45,21
2014-03-06,60,良,43,51,32,1.7,50,62
2014-03-07,51,良,36,36,6,1.2,40,33
2014-03-08,57,良,41,48,36,1.7,35,55
2014-03-09,37,优,26,33,17,1.4,31,19
2014-03-10,61,良,44,45,37,1.7,37,45
2014-03-11,95,良,71,84,13,1.6,46,44
2014-03-12,119,轻度污染,90,110,39,2.5,43,57
2014-03-13,86,良,64,92,18,2.1,50,37
2014-03-14,70,良,51,79,51,1.8,36,73
2014-03-15,93,良,69,117,26,1.6,59,57
2014-03-16,110,轻度污染,83,148,51,2.1,65,43
2014-03-17,107,轻度污染,80,146,26,2,56,44
2014-03-18,49,优,32,49,32,1.7,24,68
2014-03-19,54,良,38,58,7,1.3,28,40
2014-03-20,75,良,55,91,45,1.8,38,98
2014-03-21,62,良,45,73,37,0.9,36,56
2014-03-22,70,良,51,80,27,1.2,39,107
2014-03-23,61,良,24,54,13,0.6,32,113
2014-03-24,48,优,30,48,22,1.1,35,93
2014-03-25,56,良,40,58,14,0.8,38,102
2014-03-26,55,良,36,60,7,1.1,29,100
2014-03-27,36,优,23,36,6,0.7,19,66
2014-03-28,35,优,24,33,17,1.1,13,58
2014-03-29,47,优,33,39,6,1,26,46
2014-03-30,28,优,19,22,18,1.5,31,32
2014-03-31,32,优,19,13,6,1.1,33,64
2014-04-01,58,良,41,50,22,1.5,55,24
2014-04-02,37,优,26,36,10,1.5,51,26
2014-04-03,49,优,25,27,30,1.8,43,97
2014-04-04,56,良,40,55,15,1.3,47,82
2014-04-05,84,良,36,49,25,1.4,27,141
2014-04-06,62,良,45,58,12,1.1,33,104
2014-04-07,49,优,34,49,19,1.2,37,74
2014-04-08,59,良,42,54,11,1.3,48,73
2014-04-09,102,轻度污染,37,46,12,1.3,33,162
2014-04-10,44,优,29,38,11,1,27,87
2014-04-11,40,优,28,39,10,1.1,23,79
2014-04-12,38,优,21,38,6,1,16,69
2014-04-13,132,轻度污染,40,66,17,1.3,19,195
2014-04-14,67,良,36,57,10,1.4,28,120
2014-04-15,76,良,26,44,10,1.1,21,131
2014-04-16,49,优,31,48,7,1.1,16,98
2014-04-17,45,优,23,44,17,1.5,27,89
2014-04-18,41,优,21,35,5,1.2,16,81
2014-04-19,37,优,21,37,7,1.1,17,56
2014-04-20,42,优,25,42,7,1.4,20,34
2014-04-21,34,优,23,33,14,1.4,12,67
2014-04-22,57,良,41,54,9,1.5,27,55
2014-04-23,60,良,43,53,13,1.5,35,55
2014-04-24,46,优,32,41,8,1.4,27,75
2014-04-25,40,优,28,38,12,1,15,61
2014-04-26,39,优,28,33,7,1,24,63
2014-04-27,86,良,47,62,25,1.2,45,143
2014-04-28,143,轻度污染,45,67,24,1.4,43,207
2014-04-29,95,良,61,74,13,1.2,37,154
2014-04-30,85,良,63,63,20,1.5,52,75
2014-05-01,47,优,33,40,21,1.3,38,36
