»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,233,÷ÿ∂»Œ€»æ,183,292,129,3.2,125,57
2015-01-01,323,—œ÷ÿŒ€»æ,273,379,131,4.6,150,43
2015-01-02,313,—œ÷ÿŒ€»æ,263,413,159,5.4,174,36
2015-01-03,374,—œ÷ÿŒ€»æ,324,466,206,6.3,185,29
2015-01-04,260,÷ÿ∂»Œ€»æ,210,326,123,3.1,125,34
2015-01-05,116,«·∂»Œ€»æ,88,131,72,1.4,90,53
2015-01-06,218,÷ÿ∂»Œ€»æ,168,214,126,2.9,124,33
2015-01-07,251,÷ÿ∂»Œ€»æ,201,264,102,3.3,131,41
2015-01-08,264,÷ÿ∂»Œ€»æ,214,292,113,2.2,138,41
2015-01-09,252,÷ÿ∂»Œ€»æ,202,274,166,2.4,124,70
2015-01-10,179,÷–∂»Œ€»æ,135,199,141,2.2,124,72
2015-01-11,184,÷–∂»Œ€»æ,139,203,129,2.1,119,74
2015-01-12,196,÷–∂»Œ€»æ,147,213,100,2.3,125,74
2015-01-13,228,÷ÿ∂»Œ€»æ,178,248,144,2.6,135,86
2015-01-14,287,÷ÿ∂»Œ€»æ,237,326,129,2.6,147,87
2015-01-15,152,÷–∂»Œ€»æ,117,212,90,1.3,87,84
2015-01-16,247,÷ÿ∂»Œ€»æ,197,294,135,2.4,128,81
2015-01-17,215,÷ÿ∂»Œ€»æ,165,265,137,1.9,116,80
2015-01-18,182,÷–∂»Œ€»æ,138,242,150,1.8,104,92
2015-01-19,170,÷–∂»Œ€»æ,129,210,135,1.7,116,90
2015-01-20,228,÷ÿ∂»Œ€»æ,178,257,157,3.1,136,98
2015-01-21,231,÷ÿ∂»Œ€»æ,181,257,170,3.2,132,88
2015-01-22,260,÷ÿ∂»Œ€»æ,210,315,170,9,160,73
2015-01-23,371,—œ÷ÿŒ€»æ,321,345,171,12.2,169,60
2015-01-24,265,÷ÿ∂»Œ€»æ,215,354,139,4.2,156,75
2015-01-25,255,÷ÿ∂»Œ€»æ,180,388,163,4.4,164,63
2015-01-26,186,÷–∂»Œ€»æ,140,270,139,2.1,109,65
2015-01-27,99,¡º,74,137,96,1.2,68,68
2015-01-28,103,«·∂»Œ€»æ,78,145,108,1.2,68,46
2015-01-29,109,«·∂»Œ€»æ,73,169,103,1.1,59,61
2015-01-30,99,¡º,74,149,119,1.2,63,50
2015-01-31,145,«·∂»Œ€»æ,111,160,73,1.6,74,72
2015-02-01,251,÷ÿ∂»Œ€»æ,201,265,135,2.9,106,57
2015-02-02,246,÷ÿ∂»Œ€»æ,196,260,105,2.7,101,37
