»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,198,÷–∂»Œ€»æ,148,121,25,1,41,94
2014-01-01,103,«·∂»Œ€»æ,77,119,32,0.8,32,97
2014-01-02,113,«·∂»Œ€»æ,85,146,34,1,46,99
2014-01-03,144,«·∂»Œ€»æ,111,182,44,1.3,48,93
2014-01-04,253,÷ÿ∂»Œ€»æ,203,305,54,1.6,59,77
2014-01-05,282,÷ÿ∂»Œ€»æ,232,337,38,2.2,62,85
2014-01-06,291,÷ÿ∂»Œ€»æ,241,361,37,2,69,73
2014-01-07,234,÷ÿ∂»Œ€»æ,184,218,22,1.5,43,68
2014-01-08,84,¡º,62,75,13,1.2,34,83
2014-01-09,68,¡º,45,86,16,0.7,26,85
2014-01-10,105,«·∂»Œ€»æ,79,141,26,0.9,38,83
2014-01-11,95,¡º,71,97,18,0.9,34,69
2014-01-12,77,¡º,57,73,11,1,31,69
2014-01-13,109,«·∂»Œ€»æ,82,130,22,1.2,32,77
2014-01-14,102,«·∂»Œ€»æ,77,128,24,1,33,84
2014-01-15,110,«·∂»Œ€»æ,83,126,27,1.2,34,89
2014-01-16,116,«·∂»Œ€»æ,88,154,23,1.1,38,86
2014-01-17,142,«·∂»Œ€»æ,109,173,26,1.1,43,97
2014-01-18,284,÷ÿ∂»Œ€»æ,234,287,35,1.6,40,94
2014-01-19,263,÷ÿ∂»Œ€»æ,213,285,21,1.7,43,80
2014-01-20,127,«·∂»Œ€»æ,95,204,24,1.1,31,88
2014-01-21,100,¡º,51,150,21,0.8,30,72
2014-01-22,81,¡º,59,107,22,0.9,35,85
2014-01-23,92,¡º,69,111,18,1.1,39,70
2014-01-24,59,¡º,42,68,14,0.9,30,89
2014-01-25,232,÷ÿ∂»Œ€»æ,182,148,26,0.9,32,106
2014-01-26,112,«·∂»Œ€»æ,85,158,12,1,23,93
2014-01-27,84,¡º,62,104,9,1.1,31,84
2014-01-28,135,«·∂»Œ€»æ,103,138,17,1.5,36,79
2014-01-29,181,÷–∂»Œ€»æ,137,183,11,1.6,34,77
2014-01-30,200,÷–∂»Œ€»æ,150,125,11,1.5,21,123
2014-01-31,486,—œ÷ÿŒ€»æ,480,341,10,1.9,23,95
2014-02-01,109,«·∂»Œ€»æ,82,110,6,1.3,19,94
2014-02-02,253,÷ÿ∂»Œ€»æ,203,209,5,1.4,29,72
2014-02-03,109,«·∂»Œ€»æ,82,151,3,1.8,25,73
2014-02-04,57,¡º,20,63,5,1,16,84
2014-02-05,53,¡º,33,56,6,1.2,22,81
2014-02-06,54,¡º,38,57,5,1.4,25,64
2014-02-07,36,”≈,6,13,4,1.4,18,72
2014-02-08,61,¡º,44,39,6,1.5,17,76
2014-02-09,89,¡º,66,82,12,1.7,20,79
2014-02-10,45,”≈,28,45,6,1.3,15,83
2014-02-11,73,¡º,53,70,9,1,19,89
2014-02-12,102,«·∂»Œ€»æ,77,90,14,0.9,33,72
2014-02-13,68,¡º,49,65,10,1,33,75
2014-02-14,86,¡º,64,83,11,0.9,24,95
2014-02-15,123,«·∂»Œ€»æ,93,123,19,0.9,29,89
