»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,132,«·∂»Œ€»æ,101,129,103,3.5,31,26
2013-12-03,135,«·∂»Œ€»æ,103,123,71,4,22,27
2013-12-04,94,¡º,70,80,51,2.8,22,28
2013-12-05,86,¡º,64,77,48,3.1,19,30
2013-12-06,97,¡º,73,89,58,3.4,25,28
2013-12-07,104,«·∂»Œ€»æ,78,94,61,3.8,27,24
2013-12-08,88,¡º,65,77,39,3.1,17,37
2013-12-09,22,”≈,15,22,22,1.9,9,40
2013-12-10,54,¡º,39,47,40,2.6,14,34
2013-12-11,175,÷–∂»Œ€»æ,133,35,40,2.5,14,41
2013-12-12,97,¡º,73,68,62,3.6,21,30
2013-12-14,130,«·∂»Œ€»æ,99,90,64,4.4,33,23
2013-12-15,134,«·∂»Œ€»æ,102,94,64,4,32,21
2013-12-16,113,«·∂»Œ€»æ,86,83,56,3.5,30,24
2013-12-17,89,¡º,67,69,46,2.7,26,21
2013-12-18,109,«·∂»Œ€»æ,82,92,53,3.2,30,20
2013-12-19,226,÷ÿ∂»Œ€»æ,176,98,57,3.8,29,36
2013-12-20,148,«·∂»Œ€»æ,113,139,63,5.7,30,37
2013-12-21,148,«·∂»Œ€»æ,114,146,61,5.6,30,37
2013-12-22,127,«·∂»Œ€»æ,97,123,65,4.9,27,40
2013-12-23,145,«·∂»Œ€»æ,111,122,66,5.5,29,41
2013-12-24,486,—œ÷ÿŒ€»æ,479,186,74,5.6,29,38
2013-12-25,252,÷ÿ∂»Œ€»æ,202,228,66,8,31,35
2013-12-26,46,”≈,18,46,16,3,9,71
2013-12-27,80,¡º,59,85,40,4.3,15,46
2013-12-28,68,¡º,50,79,34,3.5,13,75
2013-12-29,93,¡º,69,98,51,4.3,19,48
2013-12-30,126,«·∂»Œ€»æ,96,141,59,5.3,22,50
2013-12-31,92,¡º,68,106,51,4.8,17,67
2014-01-01,100,¡º,75,115,70,5.1,20,57
2014-01-02,132,«·∂»Œ€»æ,100,130,63,6.1,20,40
2014-01-03,56,¡º,36,61,28,3.7,13,58
2014-01-04,112,«·∂»Œ€»æ,84,116,57,4.8,23,39
2014-01-05,144,«·∂»Œ€»æ,111,133,53,4.6,21,38
2014-01-06,122,«·∂»Œ€»æ,93,125,63,4.2,25,30
2014-01-07,124,«·∂»Œ€»æ,94,133,42,3.8,22,34
2014-01-08,33,”≈,11,31,10,1.8,7,65
