»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,347,—œ÷ÿŒ€»æ,285,457,171,5.3,140,18
2013-12-03,425,—œ÷ÿŒ€»æ,373,525,168,5.9,132,20
2013-12-05,481,—œ÷ÿŒ€»æ,404,581,173,4.9,124,20
2013-12-06,162,÷–∂»Œ€»æ,123,209,115,3.5,74,25
2013-12-07,499,—œ÷ÿŒ€»æ,361,599,130,6.2,102,12
2013-12-08,283,÷ÿ∂»Œ€»æ,233,363,31,2.8,60,20
2013-12-09,179,÷–∂»Œ€»æ,135,211,75,2.9,60,36
2013-12-10,138,«·∂»Œ€»æ,105,207,123,3.1,71,24
2013-12-11,110,«·∂»Œ€»æ,83,150,90,2.7,61,36
2013-12-12,141,«·∂»Œ€»æ,108,228,118,2.9,73,21
2013-12-13,84,¡º,57,118,104,2.7,64,20
2013-12-14,377,—œ÷ÿŒ€»æ,314,482,117,5.2,128,12
2013-12-15,221,÷ÿ∂»Œ€»æ,171,271,154,3.9,96,28
2013-12-16,208,÷ÿ∂»Œ€»æ,158,278,140,4.3,95,13
2013-12-17,211,÷ÿ∂»Œ€»æ,161,261,127,4.2,84,17
2013-12-18,116,«·∂»Œ€»æ,88,131,78,3.1,58,28
2013-12-19,271,÷ÿ∂»Œ€»æ,221,334,199,4.1,100,9
2013-12-20,224,÷ÿ∂»Œ€»æ,174,261,172,3.3,89,21
2013-12-21,113,«·∂»Œ€»æ,86,140,90,2.8,69,32
2013-12-22,334,—œ÷ÿŒ€»æ,284,424,152,4.8,106,11
2013-12-23,365,—œ÷ÿŒ€»æ,315,462,174,5.2,118,8
2013-12-24,390,—œ÷ÿŒ€»æ,340,482,216,4.2,121,16
2013-12-26,213,÷ÿ∂»Œ€»æ,163,254,99,2,70,30
2013-12-27,101,«·∂»Œ€»æ,76,140,89,2,64,27
2013-12-28,203,÷ÿ∂»Œ€»æ,153,276,138,2.7,91,16
2013-12-29,183,÷–∂»Œ€»æ,138,264,194,2.4,102,19
2013-12-30,230,÷ÿ∂»Œ€»æ,180,333,197,2.9,111,18
2013-12-31,196,÷–∂»Œ€»æ,147,321,186,2.5,91,19
2014-01-01,335,—œ÷ÿŒ€»æ,228,448,216,3.9,116,21
2014-01-02,274,÷ÿ∂»Œ€»æ,224,372,151,3.4,108,19
2014-01-03,295,÷ÿ∂»Œ€»æ,245,399,144,3.5,106,16
2014-01-04,97,¡º,73,118,94,1.7,61,24
2014-01-05,307,—œ÷ÿŒ€»æ,257,347,136,2.5,82,15
2014-01-06,248,÷ÿ∂»Œ€»æ,198,282,104,2.7,79,35
2014-01-07,140,«·∂»Œ€»æ,107,156,72,2.1,74,28
2014-01-08,125,«·∂»Œ€»æ,95,129,67,1.7,45,33
2014-01-09,129,«·∂»Œ€»æ,98,158,120,1.8,59,25
2014-01-10,258,÷ÿ∂»Œ€»æ,208,302,145,3,87,19
2014-01-11,377,—œ÷ÿŒ€»æ,327,438,123,3.6,104,31
2014-01-12,281,÷ÿ∂»Œ€»æ,231,323,94,2.7,86,26
2014-01-13,107,«·∂»Œ€»æ,80,123,72,1.8,61,29
2014-01-14,232,÷ÿ∂»Œ€»æ,182,266,110,3.2,89,28
2014-01-15,393,—œ÷ÿŒ€»æ,343,461,118,4.5,107,32
2014-01-16,274,÷ÿ∂»Œ€»æ,224,311,162,3.7,98,32
2014-01-17,308,—œ÷ÿŒ€»æ,258,329,126,3.7,91,18
2014-01-18,221,÷ÿ∂»Œ€»æ,171,235,113,3.2,80,40
2014-01-19,332,—œ÷ÿŒ€»æ,282,372,168,4.5,107,18
2014-01-20,212,÷ÿ∂»Œ€»æ,162,291,75,2.8,71,43
2014-01-21,86,¡º,60,122,84,2.4,63,28
2014-01-22,123,«·∂»Œ€»æ,94,164,108,3.3,76,39
2014-01-23,168,÷–∂»Œ€»æ,128,188,126,4,95,34
2014-01-24,240,÷ÿ∂»Œ€»æ,190,263,102,3.9,113,21
2014-01-25,138,«·∂»Œ€»æ,105,141,70,2.5,54,51
2014-01-26,58,¡º,34,67,54,2.2,39,40
