日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,105,轻度污染,56,160,13,1.7,54,79
2015-01-01,59,良,41,69,10,1.1,26,67
2015-01-02,58,良,41,63,9,1.2,24,98
2015-01-03,57,良,41,59,9,1.3,26,85
2015-01-04,68,良,49,49,12,0.9,32,88
2015-01-05,87,良,65,53,28,0.7,41,52
2015-01-06,58,良,41,43,13,1.5,25,88
2015-01-07,54,良,39,51,10,1.6,20,86
2015-01-08,68,良,49,55,15,1.7,24,66
2015-01-09,55,良,39,2,9,1.3,18,66
2015-01-10,49,优,35,18,7,2,16,70
2015-01-11,60,良,43,2,14,1,23,36
2015-01-14,73,良,54,11,16,0.1,29,66
2015-01-15,54,良,31,58,9,2,20,95
2015-01-16,59,良,37,69,13,2.1,22,85
2015-01-17,64,良,46,63,14,2.2,25,45
2015-01-18,36,优,25,22,9,1.7,15,53
2015-01-19,40,优,28,28,11,2.7,17,65
2015-01-20,49,优,33,41,9,4.9,19,82
2015-01-21,49,优,28,47,10,4.9,20,94
2015-01-22,47,优,27,42,10,3.7,20,93
2015-01-23,47,优,29,30,11,1.2,21,93
2015-01-24,50,优,30,51,10,1.2,21,95
2015-01-25,56,良,40,45,12,1.1,24,99
2015-01-26,75,良,46,27,13,1,26,130
2015-01-27,59,良,33,52,10,1.5,21,111
2015-01-28,63,良,36,51,12,1.5,23,115
2015-01-29,63,良,38,69,12,1.4,24,115
2015-01-30,91,良,37,132,11,1.5,22,109
2015-01-31,92,良,42,134,11,1.6,24,108
2015-02-01,78,良,52,107,15,1.5,27,108
2015-02-02,77,良,43,103,13,1.5,24,79
2015-02-03,63,良,45,63,21,0.8,28,90
2015-02-04,59,良,42,52,23,0.8,23,81
2015-02-05,59,良,42,58,22,0.9,23,83
2015-02-06,57,良,40,52,28,0.9,22,84
2015-02-07,71,良,52,22,23,1,29,65
2015-02-08,81,良,60,5,19,1.1,31,75
2015-02-09,78,良,57,38,16,1.5,27,97
2015-02-10,53,良,32,56,12,1.5,27,98
2015-02-11,59,良,42,64,12,1.6,26,88
2015-02-12,58,良,39,66,13,1.6,23,93
2015-02-13,56,良,36,63,12,1.6,22,86
2015-02-14,38,优,20,27,7,1.5,16,75
2015-02-15,43,优,25,43,7,1.6,19,78
2015-02-16,71,良,31,45,13,1,16,125
2015-02-17,53,良,35,55,15,0.5,14,100
2015-02-18,66,良,48,67,17,0.8,18,101
2015-02-19,111,轻度污染,84,117,36,0.8,17,98
2015-02-20,52,良,36,47,11,0.8,16,97
2015-02-21,48,优,29,47,11,0.8,14,96
2015-02-22,44,优,23,39,11,0.9,13,87
2015-02-24,61,良,34,8,17,0.4,2,113
2015-02-25,57,良,40,54,35,0.8,16,83
2015-02-26,65,良,47,76,31,1,19,79
2015-02-27,67,良,49,67,30,1,20,91
2015-02-28,81,良,60,76,25,1.1,21,95
2015-03-01,73,良,53,73,22,0.8,20,89
2015-03-02,69,良,50,72,18,0.5,20,93
2015-03-03,55,良,39,55,15,0.5,18,83
2015-03-04,59,良,42,58,18,0.6,20,75
2015-03-05,41,优,26,41,15,0.5,16,81
2015-03-06,42,优,28,42,14,0.6,19,78
2015-03-07,82,良,33,53,18,0.8,16,138
2015-03-08,95,良,30,64,26,1.1,13,154
2015-03-09,69,良,50,70,21,1,20,123
2015-03-10,90,良,67,88,20,0.9,23,106
2015-03-11,90,良,67,92,18,1,22,109
2015-03-12,69,良,51,75,20,0.9,20,88
2015-03-13,84,良,62,80,15,1,21,123
2015-03-14,120,轻度污染,91,101,14,1.1,25,118
2015-03-15,111,轻度污染,83,4,10,0.5,28,34
2015-03-16,78,良,57,47,101,0.7,24,94
2015-03-17,71,良,52,76,14,1,21,96
2015-03-18,75,良,55,76,12,1,23,92
2015-03-19,77,良,57,70,11,1,21,92
2015-03-20,85,良,63,72,10,1,21,100
2015-03-21,112,轻度污染,84,97,13,1.1,24,116
2015-03-22,128,轻度污染,97,120,13,1.3,25,122
2015-03-23,114,轻度污染,86,114,12,1.3,25,121
2015-03-24,119,轻度污染,90,83,9,1.2,23,99
2015-03-25,83,良,62,44,23,0.9,19,68
2015-03-26,59,良,42,43,20,0.9,17,65
2015-03-27,52,良,34,23,4,0.9,19,77
2015-03-28,67,良,48,12,4,0.6,24,19
2015-03-30,53,良,37,31,7,0.8,22,79
2015-03-31,54,良,34,58,4,1.2,19,103
2015-04-01,64,良,47,64,5,1.2,19,81
2015-04-02,53,良,30,56,5,1.2,20,83
2015-04-03,61,良,20,37,8,1.1,15,113
2015-04-04,54,良,28,59,5,1.1,13,102
2015-04-05,64,良,33,65,5,1.1,14,117
2015-04-06,54,良,35,58,6,1.2,17,102
2015-04-07,64,良,36,61,5,1.2,15,117
2015-04-08,65,良,39,76,5,1.2,14,118
2015-04-09,66,良,34,82,7,1,14,108
2015-04-10,65,良,43,54,12,0.4,12,118
2015-04-11,77,良,37,67,15,1.1,17,132
2015-04-12,61,良,44,60,12,1.1,13,106
2015-04-13,68,良,41,64,7,1.2,14,122
2015-04-14,71,良,52,69,11,1.2,15,121
2015-04-15,96,良,53,66,17,1.3,15,155
2015-04-16,73,良,51,61,19,1.2,14,128
2015-04-17,81,良,53,80,22,1.3,19,137
2015-04-18,108,轻度污染,82,92,11,1.4,23,107
2015-04-19,50,优,34,44,15,1.2,9,100
2015-04-20,68,良,33,48,13,1.2,12,122
2015-04-21,56,良,30,43,11,1.2,15,107
2015-04-22,56,良,40,47,9,1.2,13,99
2015-04-23,63,良,45,64,10,1.3,14,102
2015-04-24,65,良,47,60,10,1.3,15,105
2015-04-25,120,轻度污染,91,137,7,1.6,21,68
2015-04-26,62,良,44,71,7,1.4,13,88
2015-04-27,40,优,13,40,10,1.2,13,73
2015-04-28,52,良,36,49,10,1.2,15,79
2015-04-29,65,良,47,67,15,1.3,15,108
2015-04-30,61,良,44,66,11,1.3,15,100
2015-05-01,72,良,25,50,18,1.2,12,126
2015-05-02,66,良,37,66,23,1.2,13,119
2015-05-03,75,良,45,79,27,1.2,13,130
2015-05-04,86,良,47,84,21,1.3,14,143
2015-05-05,93,良,39,67,7,1.4,14,151
2015-05-06,103,轻度污染,37,69,7,1.4,14,163
2015-05-07,105,轻度污染,41,74,5,1.5,14,166
2015-05-08,59,良,39,68,5,1.7,16,93
2015-05-09,61,良,44,61,4,1.7,17,80
2015-05-10,58,良,41,56,4,1.7,11,73
2015-05-11,53,良,37,55,4,1.7,13,76
2015-05-12,60,良,43,57,6,1.7,12,74
2015-05-13,63,良,46,60,6,1.7,13,73
2015-05-14,74,良,54,78,7,1.8,17,72
2015-05-15,71,良,52,74,5,1.8,14,70
2015-05-16,62,良,44,62,4,1.7,11,71
2015-05-17,61,良,44,61,4,1.8,12,60
2015-05-18,60,良,43,47,4,1.8,15,50
2015-05-19,49,优,34,40,4,1.8,14,36
2015-05-20,44,优,31,24,3,1.7,12,38
2015-05-21,30,优,21,21,3,1.7,10,34
2015-05-22,22,优,14,22,12,1.6,11,34
2015-05-23,32,优,16,32,2,1.7,11,53
2015-05-24,51,良,27,52,2,1.7,10,67
2015-05-25,59,良,29,67,3,1.7,12,66
2015-05-26,58,良,29,66,3,1.7,11,65
2015-05-27,55,良,28,61,4,1.6,14,61
2015-05-28,56,良,31,63,6,1,11,77
2015-05-29,47,优,26,47,2,0.3,8,58
2015-05-30,45,优,25,45,3,0.2,10,56
2015-05-31,35,优,21,35,4,0.2,9,43
2015-06-01,30,优,18,30,3,0.1,8,43
2015-06-02,41,优,22,41,3,0.1,9,47
2015-06-03,39,优,23,39,3,0.1,9,48
2015-06-04,37,优,23,37,3,0.1,8,48
2015-06-05,36,优,23,36,3,0.1,7,47
2015-06-06,28,优,17,28,4,0.1,8,41
2015-06-07,28,优,18,28,3,0.1,8,35
2015-06-08,28,优,16,28,3,0.1,10,30
2015-06-09,28,优,16,28,3,0.2,9,48
2015-06-10,30,优,16,29,4,0.3,8,60
2015-06-11,32,优,14,32,3,0.3,7,55
2015-06-12,26,优,15,26,6,0.4,9,39
2015-06-13,22,优,12,22,3,0.3,9,36
2015-06-14,24,优,15,24,6,0.3,7,42
2015-06-15,25,优,16,25,8,0.4,8,46
2015-06-16,26,优,14,26,28,0.6,14,50
2015-06-17,30,优,12,26,11,0.4,14,59
2015-06-18,31,优,14,27,22,0.5,11,61
2015-06-19,39,优,13,26,24,0.6,10,78
2015-06-20,38,优,16,26,28,0.9,11,76
2015-06-21,36,优,16,24,29,0.7,9,71
2015-06-22,31,优,13,24,23,0.5,8,61
2015-06-23,27,优,13,24,18,0.5,10,53
2015-06-24,25,优,15,25,21,0.6,11,41
2015-06-25,31,优,17,31,21,0.6,12,39
2015-06-26,26,优,15,26,15,0.5,11,36
2015-06-27,38,优,14,24,20,0.6,8,76
2015-06-28,38,优,14,25,21,1,10,75
2015-06-29,37,优,14,37,17,0.8,11,60
2015-06-30,31,优,22,19,12,0.3,9,37
2015-07-01,29,优,13,29,11,0.4,10,36
2015-07-02,29,优,11,29,10,0.5,9,39
2015-07-03,29,优,14,29,11,0.4,9,45
2015-07-04,37,优,13,26,14,0.6,11,74
2015-07-05,28,优,14,28,12,0.5,11,52
2015-07-06,30,优,12,25,8,0.3,9,59
2015-07-07,33,优,16,33,8,0.5,10,50
2015-07-08,41,优,23,41,12,0.4,11,43
2015-07-09,38,优,21,38,13,0.5,13,38
