»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,90,¡º,67,109,78,2,59,41
2013-12-03,159,÷–∂»Œ€»æ,122,194,92,2.4,63,26
2013-12-04,161,÷–∂»Œ€»æ,122,195,57,1.9,45,11
2013-12-05,60,¡º,43,63,45,0.8,26,39
2013-12-06,99,¡º,74,127,85,1.3,44,38
2013-12-07,99,¡º,74,123,111,1.4,44,34
2013-12-08,82,¡º,60,103,102,1.1,38,18
2013-12-09,81,¡º,60,86,44,0.9,26,40
2013-12-10,40,”≈,28,40,38,0.6,19,47
2013-12-11,52,¡º,36,54,55,0.6,24,37
2013-12-12,71,¡º,44,91,111,0.8,29,33
2013-12-13,93,¡º,49,135,62,1,30,42
2013-12-14,106,«·∂»Œ€»æ,80,150,110,1.6,37,39
2013-12-15,75,¡º,55,94,98,1.3,37,41
2013-12-16,77,¡º,57,91,89,1.3,35,41
2013-12-17,53,¡º,31,55,81,0.9,27,49
2013-12-18,140,«·∂»Œ€»æ,107,150,98,1.5,57,33
2013-12-19,125,«·∂»Œ€»æ,95,134,99,1.2,44,26
2013-12-20,67,¡º,49,79,35,0.7,20,53
2013-12-21,52,¡º,36,55,65,0.8,26,53
2013-12-22,69,¡º,50,78,76,1,34,55
2013-12-23,79,¡º,59,87,109,1.3,41,52
2013-12-24,67,¡º,49,72,86,0.8,32,57
2013-12-25,125,«·∂»Œ€»æ,95,149,132,1.5,51,37
2013-12-26,80,¡º,59,99,49,0.9,29,47
2013-12-27,46,”≈,24,46,42,0.5,22,51
2013-12-28,91,¡º,68,109,117,1.3,45,36
2013-12-29,106,«·∂»Œ€»æ,80,128,136,1.6,43,40
2013-12-30,161,÷–∂»Œ€»æ,123,194,134,2.2,55,21
2013-12-31,157,÷–∂»Œ€»æ,120,188,123,2.3,57,15
2014-01-01,95,¡º,71,138,105,1.7,42,37
2014-01-02,61,¡º,33,71,78,1,30,51
2014-01-03,54,¡º,25,59,49,0.8,22,52
2014-01-04,47,”≈,23,47,57,0.8,22,55
2014-01-05,53,¡º,32,56,61,1,31,36
2014-01-06,110,«·∂»Œ€»æ,83,119,166,1.7,47,21
2014-01-07,157,÷–∂»Œ€»æ,120,168,127,2.1,50,15
2014-01-08,38,”≈,18,38,45,0.8,20,54
2014-01-09,73,¡º,47,96,88,1.2,36,45
2014-01-10,110,«·∂»Œ€»æ,83,134,124,1.8,45,41
2014-01-11,134,«·∂»Œ€»æ,103,156,126,2.1,48,33
2014-01-12,65,¡º,41,81,62,1.2,30,59
2014-01-13,94,¡º,70,117,104,1.3,40,44
2014-01-14,89,¡º,66,103,135,1.6,46,44
2014-01-15,113,«·∂»Œ€»æ,85,130,104,1.8,43,29
