»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,87,¡º,64,108,34,1.1,59,72
2013-12-03,84,¡º,62,98,21,1.2,55,67
2013-12-04,135,«·∂»Œ€»æ,103,138,44,1.5,72,51
2013-12-05,184,÷–∂»Œ€»æ,139,175,34,1.6,69,69
2013-12-06,154,÷–∂»Œ€»æ,118,154,37,1.3,67,114
2013-12-07,204,÷ÿ∂»Œ€»æ,154,190,28,1.7,64,81
2013-12-08,190,÷–∂»Œ€»æ,143,175,34,1.7,68,36
2013-12-09,190,÷–∂»Œ€»æ,143,184,56,1.4,56,72
2013-12-10,127,«·∂»Œ€»æ,97,143,35,0.9,42,74
2013-12-11,102,«·∂»Œ€»æ,77,112,36,0.8,54,71
2013-12-12,118,«·∂»Œ€»æ,89,136,39,0.9,69,40
2013-12-13,111,«·∂»Œ€»æ,84,116,43,0.9,50,99
2013-12-14,157,÷–∂»Œ€»æ,120,209,58,1.2,80,73
2013-12-15,125,«·∂»Œ€»æ,61,199,18,0.8,45,62
2013-12-16,73,¡º,17,95,10,0.7,34,70
2013-12-17,74,¡º,10,97,12,0.7,48,28
2013-12-18,41,”≈,26,41,18,0.8,44,39
2013-12-19,97,¡º,73,94,26,0.9,42,47
2013-12-20,145,«·∂»Œ€»æ,111,135,42,1.1,49,54
2013-12-21,162,÷–∂»Œ€»æ,123,155,47,1.3,59,60
2013-12-22,122,«·∂»Œ€»æ,92,124,50,1.1,60,59
2013-12-23,137,«·∂»Œ€»æ,105,128,46,1.1,58,77
2013-12-24,171,÷–∂»Œ€»æ,130,143,53,1.2,60,86
2013-12-25,173,÷–∂»Œ€»æ,131,157,41,1.3,62,52
2013-12-26,183,÷–∂»Œ€»æ,138,165,56,1.4,59,73
2013-12-27,171,÷–∂»Œ€»æ,130,169,49,1.2,52,68
2013-12-28,78,¡º,57,97,33,0.9,46,69
2013-12-29,83,¡º,61,86,40,0.9,53,59
2013-12-30,87,¡º,65,95,42,1.2,59,63
2013-12-31,84,¡º,63,99,45,1,60,62
2014-01-01,87,¡º,65,101,33,0.8,60,63
2014-01-02,111,«·∂»Œ€»æ,84,143,41,1.8,68,56
2014-01-03,123,«·∂»Œ€»æ,93,136,50,1.5,61,91
2014-01-04,130,«·∂»Œ€»æ,99,140,48,0.9,65,69
2014-01-05,165,÷–∂»Œ€»æ,126,171,56,1.2,70,68
2014-01-06,132,«·∂»Œ€»æ,100,126,41,1,55,83
2014-01-07,94,¡º,70,90,36,1.2,65,68
2014-01-08,76,¡º,56,58,21,1.1,43,40
2014-01-09,52,¡º,37,51,20,0.6,31,62
2014-01-10,68,¡º,49,78,24,0.6,42,61
2014-01-11,59,¡º,41,68,28,0.7,51,56
2014-01-12,43,”≈,30,36,15,0.7,47,23
2014-01-13,135,«·∂»Œ€»æ,103,117,37,1,43,66
2014-01-14,140,«·∂»Œ€»æ,107,135,30,1,41,84
2014-01-15,112,«·∂»Œ€»æ,85,116,30,0.8,46,99
2014-01-16,80,¡º,59,79,21,0.7,46,70
2014-01-17,83,¡º,61,86,21,0.8,51,66
2014-01-18,154,÷–∂»Œ€»æ,117,143,35,1.1,48,110
2014-01-19,182,÷–∂»Œ€»æ,138,164,30,1.3,57,85
