»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,134,«·∂»Œ€»æ,102,165,45,1.1,115,63
2014-01-01,175,÷–∂»Œ€»æ,133,208,49,1.8,95,82
2014-01-02,166,÷–∂»Œ€»æ,126,199,42,1.7,113,72
2014-01-03,212,÷ÿ∂»Œ€»æ,162,244,83,1.7,114,26
2014-01-04,253,÷ÿ∂»Œ€»æ,203,295,41,1.8,103,36
2014-01-05,260,÷ÿ∂»Œ€»æ,210,294,25,1.7,90,73
2014-01-06,196,÷–∂»Œ€»æ,147,204,25,1.2,78,87
2014-01-07,84,¡º,62,83,7,0.7,54,62
2014-01-08,60,¡º,43,52,13,0.8,55,36
2014-01-09,66,¡º,48,68,43,0.4,38,54
2014-01-10,94,¡º,70,115,49,0.7,64,54
2014-01-11,104,«·∂»Œ€»æ,78,112,47,0.8,71,19
2014-01-12,63,¡º,45,53,37,0.8,52,22
2014-01-13,164,÷–∂»Œ€»æ,125,160,64,1.1,65,39
2014-01-14,103,«·∂»Œ€»æ,77,111,59,0.8,57,63
2014-01-15,126,«·∂»Œ€»æ,96,137,66,0.9,66,57
2014-01-16,125,«·∂»Œ€»æ,95,144,68,1.1,74,71
2014-01-17,169,÷–∂»Œ€»æ,128,206,78,1.5,102,24
2014-01-18,243,÷ÿ∂»Œ€»æ,193,273,72,1.6,80,85
2014-01-19,225,÷ÿ∂»Œ€»æ,175,238,71,1.6,87,79
2014-01-20,210,÷ÿ∂»Œ€»æ,160,236,90,1.7,91,40
2014-01-21,83,¡º,50,117,51,0.9,47,43
2014-01-22,84,¡º,62,108,44,1,56,67
2014-01-23,113,«·∂»Œ€»æ,85,127,59,1.2,69,70
2014-01-24,114,«·∂»Œ€»æ,86,125,59,1.4,70,68
2014-01-25,193,÷–∂»Œ€»æ,145,205,50,1.6,63,82
2014-01-26,117,«·∂»Œ€»æ,88,121,10,1.1,27,86
2014-01-27,56,¡º,39,62,15,1,38,68
2014-01-28,117,«·∂»Œ€»æ,89,118,37,1.4,44,88
2014-01-29,117,«·∂»Œ€»æ,89,116,29,1.3,37,103
2014-01-30,227,÷ÿ∂»Œ€»æ,177,216,52,1.9,41,134
2014-01-31,331,—œ÷ÿŒ€»æ,281,329,36,1.5,31,119
2014-02-01,101,«·∂»Œ€»æ,76,92,22,1.2,26,123
2014-02-02,136,«·∂»Œ€»æ,104,124,24,1.4,29,131
2014-02-03,130,«·∂»Œ€»æ,99,125,17,1.5,27,80
2014-02-04,44,”≈,25,44,9,1,12,78
2014-02-05,39,”≈,27,39,7,1.1,12,77
2014-02-06,52,¡º,37,45,8,1.1,18,55
2014-02-07,22,”≈,14,9,9,1.6,22,44
2014-02-08,62,¡º,44,37,11,1.4,17,57
2014-02-09,84,¡º,62,66,20,1.6,22,62
2014-02-10,43,”≈,30,36,14,1.3,14,67
2014-02-11,64,¡º,46,56,14,1.2,17,76
2014-02-12,96,¡º,72,89,31,1.6,42,56
2014-02-13,58,¡º,42,40,15,1.6,45,42
2014-02-14,85,¡º,63,82,13,0.9,45,86
2014-02-15,128,«·∂»Œ€»æ,97,118,14,0.8,43,96
2014-02-16,84,¡º,62,74,10,0.6,48,59
2014-02-17,41,”≈,29,35,16,0.9,48,23
2014-02-18,25,”≈,9,9,10,0.7,40,50
2014-02-19,53,¡º,38,28,19,1,50,35
2014-02-20,63,¡º,46,59,12,0.7,32,53
2014-02-21,109,«·∂»Œ€»æ,82,105,20,1,58,86
2014-02-22,121,«·∂»Œ€»æ,92,122,29,0.9,47,109
2014-02-23,121,«·∂»Œ€»æ,92,128,37,0.8,46,75
2014-02-24,142,«·∂»Œ€»æ,109,141,33,1.1,53,73
2014-02-25,51,¡º,36,40,11,1.1,56,29
2014-02-26,50,”≈,35,42,17,1.2,57,16
2014-02-27,89,¡º,66,90,31,1.2,54,44
2014-02-28,108,«·∂»Œ€»æ,82,106,25,1.1,49,35
2014-03-01,31,”≈,21,24,8,0.9,44,47
2014-03-02,82,¡º,61,76,25,1,35,88
2014-03-03,75,¡º,55,82,27,0.9,36,89
2014-03-04,75,¡º,55,80,19,0.9,46,63
2014-03-05,89,¡º,66,97,27,0.7,39,89
2014-03-06,43,”≈,30,42,11,0.5,36,84
2014-03-07,50,”≈,30,50,19,0.6,40,56
2014-03-08,47,”≈,33,42,7,0.7,35,67
2014-03-09,70,¡º,51,65,13,0.9,40,68
2014-03-10,84,¡º,62,93,25,0.9,48,110
2014-03-11,93,¡º,69,100,18,0.8,40,106
2014-03-12,78,¡º,58,78,32,1.2,64,63
2014-03-13,79,¡º,58,81,7,0.8,37,74
2014-03-14,89,¡º,66,108,41,1.1,67,97
2014-03-15,105,«·∂»Œ€»æ,79,142,32,1.3,92,127
2014-03-16,105,«·∂»Œ€»æ,79,150,34,1.2,89,109
2014-03-17,136,«·∂»Œ€»æ,104,183,86,1.5,86,103
2014-03-18,113,«·∂»Œ€»æ,85,148,57,1.3,76,127
2014-03-19,131,«·∂»Œ€»æ,100,148,38,1.1,67,92
2014-03-20,65,¡º,47,71,15,0.8,44,71
2014-03-21,66,¡º,48,77,23,0.8,48,98
2014-03-22,69,¡º,50,87,26,0.8,61,123
2014-03-23,63,¡º,44,77,21,0.7,48,105
2014-03-24,67,¡º,46,83,34,0.8,58,60
2014-03-25,110,«·∂»Œ€»æ,83,142,71,1.6,98,84
2014-03-26,143,«·∂»Œ€»æ,109,171,61,1.5,73,147
2014-03-27,142,«·∂»Œ€»æ,108,151,24,1.1,51,145
2014-03-28,63,¡º,46,61,28,1,50,107
2014-03-29,54,¡º,39,50,36,1.1,51,70
2014-03-30,102,«·∂»Œ€»æ,77,114,24,1.1,40,153
2014-03-31,83,¡º,46,70,9,0.8,37,140
2014-04-01,53,¡º,37,54,10,0.8,43,75
2014-04-02,62,¡º,45,66,17,1,43,72
2014-04-03,97,¡º,72,108,31,1.1,56,78
2014-04-04,80,¡º,56,100,32,1,57,136
2014-04-05,95,¡º,71,128,41,1.1,57,151
2014-04-06,63,¡º,25,61,18,0.8,33,116
2014-04-07,76,¡º,56,97,24,1.1,53,59
2014-04-08,136,«·∂»Œ€»æ,104,151,52,1.7,71,99
2014-04-09,117,«·∂»Œ€»æ,89,134,36,1.7,62,168
2014-04-10,104,«·∂»Œ€»æ,72,108,31,1.4,64,164
2014-04-11,101,«·∂»Œ€»æ,76,119,35,1.4,57,157
2014-04-12,111,«·∂»Œ€»æ,84,125,38,1.6,65,89
2014-04-13,55,¡º,39,58,12,1.4,28,87
2014-04-14,92,¡º,52,74,19,1.1,28,150
2014-04-15,88,¡º,47,75,24,1.3,43,146
2014-04-16,75,¡º,55,98,36,1.5,58,113
2014-04-17,171,÷–∂»Œ€»æ,130,193,81,1.9,84,124
2014-04-18,136,«·∂»Œ€»æ,104,137,44,1.8,42,81
2014-04-19,63,¡º,46,63,20,1.6,42,67
2014-04-20,59,¡º,42,52,16,1.5,32,82
2014-04-21,62,¡º,45,63,19,1.3,43,73
2014-04-22,42,”≈,23,34,19,1.1,38,84
2014-04-23,57,¡º,40,65,30,1.2,44,101
2014-04-24,59,¡º,41,67,29,1.2,51,71
2014-04-25,49,”≈,34,49,24,1.4,47,41
2014-04-26,58,¡º,41,64,30,1.4,55,53
2014-04-27,37,”≈,22,37,26,1.7,46,23
2014-04-28,57,¡º,39,64,37,1.4,34,102
2014-04-29,99,¡º,54,92,36,1.3,59,159
2014-04-30,129,«·∂»Œ€»æ,85,146,52,1.6,61,192
2014-05-01,107,«·∂»Œ€»æ,61,109,36,1.4,48,168
2014-05-02,114,«·∂»Œ€»æ,60,116,41,1.3,57,175
2014-05-03,102,«·∂»Œ€»æ,54,154,31,1.2,34,159
2014-05-04,86,¡º,51,115,24,1.4,41,143
2014-05-05,88,¡º,40,69,27,1.4,34,146
2014-05-06,71,¡º,32,62,22,1.3,35,125
2014-05-07,88,¡º,51,91,36,1.6,52,145
2014-05-08,143,«·∂»Œ€»æ,87,154,71,2,56,207
2014-05-09,115,«·∂»Œ€»æ,86,142,41,1.6,44,176
2014-05-10,58,¡º,22,40,17,0.9,33,110
2014-05-11,44,”≈,23,44,23,0.8,38,58
2014-05-12,84,¡º,40,59,25,0.9,34,141
2014-05-13,73,¡º,41,69,32,0.8,43,128
2014-05-14,53,¡º,38,56,16,0.9,40,88
2014-05-15,100,¡º,75,113,24,1,40,144
2014-05-16,121,«·∂»Œ€»æ,92,134,23,1.2,44,123
2014-05-17,68,¡º,49,60,14,1.1,37,77
2014-05-18,58,¡º,42,51,12,0.7,29,54
2014-05-19,68,¡º,49,56,10,0.8,39,63
2014-05-20,88,¡º,36,50,14,0.9,44,146
2014-05-21,92,¡º,69,106,25,0.9,46,145
2014-05-22,64,¡º,41,56,10,0.5,31,117
2014-05-23,44,”≈,23,44,15,0.6,42,63
2014-05-24,38,”≈,18,34,7,0.8,26,76
2014-05-25,55,¡º,36,59,14,1.1,32,74
2014-05-26,101,«·∂»Œ€»æ,51,93,14,1.3,36,161
2014-05-27,109,«·∂»Œ€»æ,81,168,42,1.3,49,163
2014-05-28,129,«·∂»Œ€»æ,98,196,53,1.6,52,169
2014-05-29,131,«·∂»Œ€»æ,100,187,39,1.6,72,148
2014-05-30,75,¡º,51,100,21,1.2,53,85
2014-05-31,38,”≈,24,38,11,1.1,25,62
2014-06-01,53,¡º,25,44,14,1.3,33,104
2014-06-02,73,¡º,34,51,13,1.2,16,127
2014-06-03,67,¡º,42,61,11,0.9,17,120
2014-06-04,90,¡º,56,82,16,1,33,148
2014-06-05,120,«·∂»Œ€»æ,70,108,24,0.9,40,182
2014-06-06,130,«·∂»Œ€»æ,73,112,20,0.8,33,193
2014-06-07,133,«·∂»Œ€»æ,65,99,21,0.9,34,196
2014-06-08,134,«·∂»Œ€»æ,90,129,22,0.9,30,197
2014-06-09,75,¡º,44,68,15,0.6,22,130
2014-06-10,57,¡º,39,64,15,0.6,23,104
2014-06-11,93,¡º,44,69,17,0.6,25,151
2014-06-12,147,«·∂»Œ€»æ,68,109,29,0.8,45,212
2014-06-13,144,«·∂»Œ€»æ,85,122,27,0.9,38,208
2014-06-14,110,«·∂»Œ€»æ,57,95,20,0.8,30,171
2014-06-15,109,«·∂»Œ€»æ,53,92,16,0.8,28,170
2014-06-16,67,¡º,38,63,15,0.9,29,120
2014-06-17,54,¡º,38,58,19,1.3,48,52
2014-06-18,69,¡º,50,67,30,1.5,42,118
2014-06-19,80,¡º,18,27,20,1.1,23,136
2014-06-20,32,”≈,22,31,18,1,39,53
2014-06-21,39,”≈,28,38,20,1,36,60
2014-06-22,34,”≈,16,18,8,0.6,29,68
2014-06-23,41,”≈,29,31,10,0.8,36,56
2014-06-24,42,”≈,25,33,20,0.8,38,84
2014-06-25,46,”≈,28,35,11,0.9,42,91
2014-06-26,76,¡º,52,79,20,1.3,48,131
2014-06-27,50,”≈,35,44,12,1.3,53,57
2014-06-28,43,”≈,30,41,11,1,38,58
2014-06-29,50,”≈,35,51,23,1.2,51,72
2014-06-30,79,¡º,58,79,20,1.3,48,50
2014-07-01,73,¡º,53,73,23,1.4,47,87
2014-07-02,58,¡º,41,60,26,1.4,48,105
2014-07-03,89,¡º,43,59,15,1.2,33,147
2014-07-04,88,¡º,66,98,16,1.2,36,129
2014-07-05,58,¡º,41,66,18,1.1,33,69
2014-07-06,72,¡º,45,76,18,1.2,33,126
2014-07-07,108,«·∂»Œ€»æ,65,92,26,1.1,29,169
2014-07-08,108,«·∂»Œ€»æ,81,108,26,1.2,29,160
2014-07-09,76,¡º,47,74,27,1.1,36,131
2014-07-10,108,«·∂»Œ€»æ,59,96,24,1.2,36,169
2014-07-11,125,«·∂»Œ€»æ,65,94,23,1.2,34,187
2014-07-12,88,¡º,33,60,36,1,34,145
2014-07-13,53,¡º,33,57,25,0.9,36,57
2014-07-14,81,¡º,23,32,19,0.9,27,137
