»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,33,”≈,17,33,15,0.4,13,66
2015-01-01,60,¡º,24,70,30,0.6,24,58
2015-01-02,65,¡º,37,80,38,1.2,46,56
2015-01-03,76,¡º,49,102,54,1,48,62
2015-01-04,133,«·∂»Œ€»æ,101,171,81,2.2,75,36
2015-01-05,65,¡º,35,79,22,0.8,23,66
2015-01-06,53,¡º,31,55,33,0.9,43,52
2015-01-07,84,¡º,62,99,57,1.6,56,45
2015-01-08,75,¡º,49,100,48,0.9,43,63
2015-01-09,52,¡º,30,54,39,1.1,39,58
2015-01-10,59,¡º,36,69,43,0.9,37,69
2015-01-11,105,«·∂»Œ€»æ,79,136,72,2.7,74,39
2015-01-12,132,«·∂»Œ€»æ,101,152,81,2.8,75,48
2015-01-13,206,÷ÿ∂»Œ€»æ,156,222,91,2.8,82,47
2015-01-14,127,«·∂»Œ€»æ,97,135,43,1.4,53,62
2015-01-15,134,«·∂»Œ€»æ,102,138,43,1.5,50,60
2015-01-16,41,”≈,25,40,23,0.6,19,82
2015-01-17,74,¡º,54,86,48,1.4,46,62
2015-01-18,83,¡º,36,115,30,0.6,18,85
2015-01-19,59,¡º,36,69,41,0.9,37,72
2015-01-20,82,¡º,61,103,42,1.4,41,73
2015-01-21,45,”≈,29,45,28,0.8,26,69
2015-01-22,55,¡º,36,59,40,1.1,43,61
2015-01-23,81,¡º,52,112,58,1.4,51,62
2015-01-24,90,¡º,63,129,61,1.9,64,37
2015-01-25,134,«·∂»Œ€»æ,102,130,55,1.8,51,56
2015-01-26,54,¡º,33,58,17,0.6,13,71
2015-01-27,52,¡º,34,54,41,1,37,66
2015-01-28,70,¡º,51,85,77,1.4,45,38
2015-01-29,50,”≈,23,50,38,0.5,13,76
2015-01-30,38,”≈,17,32,25,0.6,16,75
2015-01-31,66,¡º,48,71,65,1.6,51,53
2015-02-01,93,¡º,69,107,78,2.7,64,31
2015-02-02,133,«·∂»Œ€»æ,102,145,81,2,56,53
2015-02-03,65,¡º,47,63,37,0.8,22,82
2015-02-04,45,”≈,17,40,27,0.4,9,89
2015-02-05,45,”≈,16,45,33,0.7,34,85
2015-02-06,52,¡º,32,54,46,1.2,46,82
2015-02-07,42,”≈,17,33,18,0.2,12,83
2015-02-08,41,”≈,27,41,33,0.6,29,71
2015-02-09,65,¡º,47,79,44,1,42,77
2015-02-10,81,¡º,60,108,52,1.2,43,78
2015-02-11,53,¡º,29,55,27,0.5,21,88
2015-02-12,58,¡º,41,63,52,1.1,41,82
2015-02-13,64,¡º,40,77,42,1.1,41,85
2015-02-14,70,¡º,47,90,49,0.7,29,100
2015-02-15,176,÷–∂»Œ€»æ,66,302,25,0.6,21,94
2015-02-16,70,¡º,23,89,31,0.4,13,86
2015-02-17,53,¡º,31,56,28,0.7,24,78
