»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,63,¡º,37,75,76,0.9,39,62
2015-02-01,114,«·∂»Œ€»æ,86,131,110,1.3,38,74
2015-02-02,168,÷–∂»Œ€»æ,127,163,73,1.5,33,57
2015-02-03,129,«·∂»Œ€»æ,98,123,31,1.1,30,72
2015-02-04,52,¡º,29,53,27,0.8,28,80
2015-02-05,86,¡º,64,120,146,1.5,50,68
2015-02-06,83,¡º,62,112,104,1.3,39,82
2015-02-07,60,¡º,30,69,19,0.7,18,83
2015-02-08,79,¡º,47,108,144,1.3,38,72
2015-02-09,120,«·∂»Œ€»æ,91,173,149,2.3,57,77
2015-02-10,115,«·∂»Œ€»æ,71,181,52,1.2,32,97
2015-02-11,148,«·∂»Œ€»æ,52,245,12,0.6,20,87
2015-02-12,66,¡º,28,82,18,0.7,21,81
2015-02-13,118,«·∂»Œ€»æ,62,186,286,2,53,79
2015-02-14,152,÷–∂»Œ€»æ,96,253,167,1.7,41,89
2015-02-15,152,÷–∂»Œ€»æ,47,255,4,0.5,8,93
2015-02-16,97,¡º,67,144,112,1.7,40,77
2015-02-17,83,¡º,61,108,56,1.7,33,88
2015-02-18,101,«·∂»Œ€»æ,60,151,72,1.1,24,113
2015-02-19,201,÷ÿ∂»Œ€»æ,151,273,99,1.5,26,110
2015-02-20,125,«·∂»Œ€»æ,95,174,10,0.9,15,92
2015-02-21,199,÷–∂»Œ€»æ,55,349,5,0.5,5,85
2015-02-22,96,¡º,38,141,96,1,18,73
2015-02-23,92,¡º,41,135,26,0.8,15,89
2015-02-24,159,÷–∂»Œ€»æ,53,268,8,0.6,11,92
2015-02-25,68,¡º,28,87,13,0.5,13,82
2015-02-26,50,”≈,16,50,20,0.4,8,77
2015-02-27,63,¡º,31,75,28,0.6,16,75
2015-02-28,93,¡º,29,136,3,0.2,5,81
2015-03-01,72,¡º,40,94,57,0.8,18,94
2015-03-02,163,÷–∂»Œ€»æ,56,275,7,0.5,10,89
2015-03-03,83,¡º,34,116,62,0.9,15,76
2015-03-04,67,¡º,33,84,85,0.9,20,76
2015-03-05,97,¡º,70,145,109,1.5,28,94
2015-03-06,126,«·∂»Œ€»æ,94,202,144,1.8,37,94
2015-03-07,119,«·∂»Œ€»æ,75,189,137,1.7,33,94
2015-03-08,82,¡º,41,113,21,0.8,20,83
2015-03-09,42,”≈,18,42,14,0.3,9,83
2015-03-10,66,¡º,38,81,94,1.3,26,81
2015-03-11,89,¡º,53,127,120,2,37,98
2015-03-12,92,¡º,48,134,33,0.9,22,101
2015-03-13,86,¡º,38,123,10,0.7,14,90
2015-03-14,96,¡º,36,143,9,0.7,12,92
2015-03-15,133,«·∂»Œ€»æ,67,216,165,1.7,35,85
2015-03-16,107,«·∂»Œ€»æ,52,163,25,1.3,23,92
2015-03-17,90,¡º,49,130,71,1.9,33,94
2015-03-18,64,¡º,33,79,20,1.5,24,101
2015-03-19,66,¡º,31,83,16,1.4,20,100
2015-03-20,92,¡º,45,135,33,1.3,19,107
2015-03-21,109,«·∂»Œ€»æ,74,168,134,2.3,36,101
2015-03-22,70,¡º,32,90,35,1.3,16,96
2015-03-23,62,¡º,30,73,44,1.3,20,98
2015-03-24,79,¡º,46,108,107,1.4,31,115
2015-03-25,93,¡º,51,135,101,0.9,19,116
2015-03-26,69,¡º,42,88,89,1,29,111
2015-03-27,115,«·∂»Œ€»æ,73,145,186,1.9,47,101
2015-03-28,164,÷–∂»Œ€»æ,86,277,104,1.1,32,111
2015-03-29,156,÷–∂»Œ€»æ,79,261,166,1,33,145
2015-03-30,174,÷–∂»Œ€»æ,80,299,53,1,31,131
2015-03-31,365,—œ÷ÿŒ€»æ,77,472,7,0.4,9,117
2015-04-01,108,«·∂»Œ€»æ,57,166,13,0.9,16,116
2015-04-02,49,”≈,24,36,14,0.6,13,97
2015-04-03,58,¡º,41,50,21,0.7,21,95
2015-04-04,63,¡º,31,76,2,0.5,12,108
2015-04-05,71,¡º,31,92,9,0.7,16,109
2015-04-06,56,¡º,25,46,10,0.5,12,107
2015-04-07,50,”≈,24,47,21,0.7,21,100
2015-04-08,120,«·∂»Œ€»æ,91,137,41,1.5,40,88
2015-04-09,55,¡º,30,60,11,0.5,17,100
2015-04-10,154,÷–∂»Œ€»æ,81,258,125,1.3,29,100
2015-04-11,95,¡º,38,140,6,0.4,15,96
2015-04-12,69,¡º,30,88,16,0.6,14,102
2015-04-13,61,¡º,35,72,74,0.9,25,104
2015-04-14,113,«·∂»Œ€»æ,85,175,178,1.9,49,98
2015-04-15,228,÷ÿ∂»Œ€»æ,107,370,75,1,30,100
2015-04-16,108,«·∂»Œ€»æ,49,166,58,0.6,24,91
2015-04-17,118,«·∂»Œ€»æ,64,186,97,1,35,100
2015-04-18,80,¡º,39,110,5,0.3,8,92
2015-04-19,57,¡º,32,64,31,0.6,21,83
2015-04-20,65,¡º,37,80,43,0.8,33,114
2015-04-21,65,¡º,25,80,7,0.5,13,97
2015-04-22,97,¡º,52,144,102,1,43,129
2015-04-23,92,¡º,54,134,120,0.8,31,122
2015-04-24,69,¡º,29,88,24,0.5,21,123
2015-04-25,88,¡º,53,112,86,0.9,26,146
2015-04-26,115,«·∂»Œ€»æ,60,180,135,1.2,35,124
2015-04-27,133,«·∂»Œ€»æ,69,217,134,1.3,33,113
2015-04-28,83,¡º,43,116,76,0.8,24,126
2015-04-29,89,¡º,46,129,107,0.9,27,134
2015-04-30,204,÷ÿ∂»Œ€»æ,121,353,53,0.6,15,130
2015-05-01,65,¡º,25,80,18,0.4,17,118
2015-05-02,73,¡º,33,95,16,0.3,19,118
2015-05-03,114,«·∂»Œ€»æ,48,178,16,0.3,14,103
2015-05-04,75,¡º,31,101,78,0.5,21,127
2015-05-05,95,¡º,48,140,39,0.5,20,111
2015-05-06,116,«·∂»Œ€»æ,54,182,61,0.5,17,99
2015-05-07,108,«·∂»Œ€»æ,51,165,16,0.4,20,103
2015-05-08,98,¡º,62,145,85,2.1,29,105
2015-05-09,113,«·∂»Œ€»æ,50,176,30,1.6,17,123
2015-05-10,167,÷–∂»Œ€»æ,89,284,2,0.2,7,113
2015-05-11,58,¡º,27,44,3,0.2,9,109
2015-05-12,65,¡º,22,50,10,0.4,18,118
2015-05-13,115,«·∂»Œ€»æ,64,181,133,1.3,32,112
2015-05-14,161,÷–∂»Œ€»æ,66,272,65,0.7,19,109
2015-05-15,58,¡º,23,57,11,0.6,12,109
2015-05-16,98,¡º,50,146,141,1.4,36,127
2015-05-17,141,«·∂»Œ€»æ,68,232,30,0.7,14,116
2015-05-18,89,¡º,48,128,55,1.1,27,121
2015-05-19,66,¡º,33,83,8,0.4,8,104
2015-05-20,61,¡º,24,72,29,0.5,15,102
2015-05-21,69,¡º,31,63,41,0.7,19,123
2015-05-22,93,¡º,53,102,75,1,31,152
2015-05-23,87,¡º,48,106,80,1,28,144
2015-05-24,96,¡º,47,113,94,1.1,30,155
2015-05-25,91,¡º,45,121,94,0.8,26,149
2015-05-26,85,¡º,44,93,57,0.9,24,142
2015-05-27,176,÷–∂»Œ€»æ,102,303,40,0.8,17,126
2015-05-28,85,¡º,44,120,9,0.4,9,102
2015-05-29,70,¡º,36,91,31,0.6,18,102
2015-05-30,96,¡º,46,143,59,0.8,28,110
2015-05-31,99,¡º,57,148,122,1.2,36,112
2015-06-01,134,«·∂»Œ€»æ,59,219,5,0.3,15,107
2015-06-02,68,¡º,27,86,19,0.5,26,111
2015-06-03,68,¡º,27,79,19,0.4,15,121
2015-06-04,153,÷–∂»Œ€»æ,64,257,2,0.5,8,105
2015-06-05,123,«·∂»Œ€»æ,58,197,5,0.6,11,126
2015-06-06,96,¡º,48,143,8,0.5,15,109
2015-06-07,59,¡º,25,68,22,0.4,16,101
2015-06-08,105,«·∂»Œ€»æ,51,160,111,0.9,31,130
2015-06-09,159,÷–∂»Œ€»æ,79,268,6,0.3,15,112
2015-06-10,282,÷ÿ∂»Œ€»æ,90,407,4,0.4,9,108
2015-06-11,58,¡º,19,66,9,0.7,14,92
2015-06-12,53,¡º,21,55,11,0.9,15,102
2015-06-13,70,¡º,16,40,10,0.9,14,124
2015-06-14,89,¡º,25,62,35,1,17,147
2015-06-15,116,«·∂»Œ€»æ,45,118,59,1.1,23,178
2015-06-16,105,«·∂»Œ€»æ,41,89,48,1.2,23,165
2015-06-17,96,¡º,46,127,65,1.3,26,155
2015-06-18,73,¡º,16,63,13,0.7,11,127
2015-06-19,67,¡º,24,81,14,0.8,16,120
2015-06-20,65,¡º,23,69,25,0.7,15,118
2015-06-21,101,«·∂»Œ€»æ,42,85,84,1,20,161
2015-06-22,110,«·∂»Œ€»æ,50,95,33,1,18,171
