»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,137,«·∂»Œ€»æ,104,123,16,1.2,34,81
2015-01-01,164,÷–∂»Œ€»æ,125,148,24,1.4,37,27
2015-01-02,152,÷–∂»Œ€»æ,116,142,20,1.4,39,28
2015-01-03,164,÷–∂»Œ€»æ,125,173,13,1.7,43,20
2015-01-04,259,÷ÿ∂»Œ€»æ,209,281,49,2.2,65,13
2015-01-05,162,÷–∂»Œ€»æ,123,164,36,2.1,51,16
2015-01-06,70,¡º,51,71,22,0.9,35,50
2015-01-07,94,¡º,70,103,35,1,51,29
2015-01-08,85,¡º,63,85,24,1,39,26
2015-01-09,73,¡º,53,69,17,1.1,30,36
2015-01-10,105,«·∂»Œ€»æ,79,96,17,1,36,35
2015-01-11,103,«·∂»Œ€»æ,78,93,20,1,34,36
2015-01-12,91,¡º,68,95,11,1.2,35,27
2015-01-13,216,÷ÿ∂»Œ€»æ,166,218,49,1.9,57,13
2015-01-14,207,÷ÿ∂»Œ€»æ,157,207,58,1.6,58,28
2015-01-15,248,÷ÿ∂»Œ€»æ,198,249,36,1.8,54,14
2015-01-16,180,÷–∂»Œ€»æ,136,165,35,1.5,50,38
2015-01-17,145,«·∂»Œ€»æ,111,133,23,1.3,33,54
2015-01-18,124,«·∂»Œ€»æ,94,119,28,1.2,40,31
2015-01-19,138,«·∂»Œ€»æ,105,128,18,1.3,31,38
2015-01-20,143,«·∂»Œ€»æ,109,141,32,1.6,41,52
2015-01-21,131,«·∂»Œ€»æ,100,128,25,1.8,38,82
2015-01-22,165,÷–∂»Œ€»æ,125,162,38,1.5,51,49
2015-01-23,224,÷ÿ∂»Œ€»æ,174,230,51,1.8,59,33
2015-01-24,228,÷ÿ∂»Œ€»æ,178,237,55,1.8,68,62
2015-01-25,188,÷–∂»Œ€»æ,142,182,29,1.8,53,51
2015-01-26,172,÷–∂»Œ€»æ,130,158,21,1.6,40,35
2015-01-27,198,÷–∂»Œ€»æ,149,196,34,1.8,55,12
2015-01-28,48,”≈,33,41,7,1.2,27,18
2015-01-29,51,¡º,36,44,8,1.3,24,26
2015-01-30,78,¡º,58,79,16,1.3,27,26
2015-01-31,83,¡º,62,78,19,1.2,29,26
2015-02-01,48,”≈,33,41,9,1.2,23,18
2015-02-02,75,¡º,55,65,11,1.4,24,29
2015-02-03,82,¡º,60,73,12,1.4,27,45
2015-02-04,83,¡º,62,87,16,1.7,31,84
2015-02-05,114,«·∂»Œ€»æ,86,116,26,1.5,47,61
2015-02-06,135,«·∂»Œ€»æ,103,125,19,1.3,33,56
2015-02-07,95,¡º,71,86,20,1.3,40,43
2015-02-08,108,«·∂»Œ€»æ,81,105,31,1.5,36,36
2015-02-09,142,«·∂»Œ€»æ,109,130,16,1.4,27,40
2015-02-10,154,÷–∂»Œ€»æ,118,138,14,1.5,39,54
2015-02-11,134,«·∂»Œ€»æ,102,128,14,1.6,33,79
2015-02-12,124,«·∂»Œ€»æ,94,129,17,1.6,46,89
2015-02-13,122,«·∂»Œ€»æ,93,120,12,1.3,37,102
2015-02-14,129,«·∂»Œ€»æ,99,135,14,1.4,39,87
2015-02-15,141,«·∂»Œ€»æ,108,166,18,1.7,46,63
2015-02-16,75,¡º,55,97,17,1,29,82
2015-02-17,97,¡º,73,115,14,1.1,26,107
2015-02-18,117,«·∂»Œ€»æ,89,128,13,1.1,24,97
2015-02-19,267,÷ÿ∂»Œ€»æ,217,274,44,1.2,26,86
2015-02-20,73,¡º,53,69,5,1.1,15,69
2015-02-21,74,¡º,54,70,9,1.3,19,40
2015-02-22,42,”≈,29,41,5,0.9,14,72
2015-02-23,42,”≈,29,40,3,1,15,48
2015-02-24,42,”≈,28,42,5,1.1,15,61
2015-02-25,43,”≈,30,42,10,1.2,19,66
2015-02-26,62,¡º,45,64,10,1.2,20,46
2015-02-27,70,¡º,51,67,7,1.2,22,33
2015-02-28,28,”≈,20,28,4,0.9,20,41
2015-03-01,55,¡º,36,60,11,0.8,18,74
2015-03-02,67,¡º,49,73,10,0.9,20,67
2015-03-03,103,«·∂»Œ€»æ,78,109,20,1,29,76
2015-03-04,74,¡º,53,98,8,0.9,29,64
2015-03-05,61,¡º,40,73,8,0.8,27,30
2015-03-06,74,¡º,54,95,11,0.8,28,66
2015-03-07,93,¡º,70,114,14,0.9,35,69
2015-03-08,92,¡º,69,99,16,0.9,36,109
2015-03-09,108,«·∂»Œ€»æ,81,133,33,1.3,55,69
2015-03-10,103,«·∂»Œ€»æ,77,107,21,1,44,70
2015-03-11,91,¡º,68,93,19,0.8,29,66
2015-03-12,93,¡º,70,87,11,1,29,93
2015-03-13,125,«·∂»Œ€»æ,95,135,40,1.1,49,110
2015-03-14,113,«·∂»Œ€»æ,85,112,31,1.5,47,135
2015-03-15,128,«·∂»Œ€»æ,98,120,22,1.3,38,114
2015-03-16,136,«·∂»Œ€»æ,104,133,31,1.3,41,71
2015-03-17,72,¡º,52,72,21,1.4,38,117
2015-03-18,79,¡º,58,84,26,1.3,48,73
2015-03-19,52,¡º,36,54,27,1.2,39,61
2015-03-20,45,”≈,24,39,18,0.9,37,90
2015-03-21,68,¡º,35,58,28,1,36,121
2015-03-22,59,¡º,41,68,21,1,38,108
2015-03-23,63,¡º,41,75,39,1,36,86
2015-03-24,53,¡º,24,33,13,0.9,22,104
