»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,229,÷ÿ∂»Œ€»æ,179,199,42,1.3,74,29
2014-01-01,245,÷ÿ∂»Œ€»æ,195,146,46,1.2,64,34
2014-01-02,193,÷–∂»Œ€»æ,145,170,49,1.3,76,31
2014-01-03,109,«·∂»Œ€»æ,79,169,62,1,71,30
2014-01-04,106,«·∂»Œ€»æ,75,162,67,1.2,65,23
2014-01-05,107,«·∂»Œ€»æ,81,151,58,1.1,62,29
2014-01-06,170,÷–∂»Œ€»æ,129,204,77,1.6,80,22
2014-01-07,161,÷–∂»Œ€»æ,123,130,34,1.6,57,12
2014-01-08,126,«·∂»Œ€»æ,96,111,28,1.8,52,4
2014-01-09,74,¡º,54,69,31,0.9,31,28
2014-01-10,57,¡º,38,64,42,0.7,30,21
2014-01-11,30,”≈,21,27,12,0.6,19,26
2014-01-12,70,¡º,51,83,28,1.1,40,12
2014-01-13,122,«·∂»Œ€»æ,92,134,37,1,41,18
2014-01-14,132,«·∂»Œ€»æ,100,146,49,1.1,39,20
2014-01-15,90,¡º,67,99,72,0.9,40,32
2014-01-16,83,¡º,61,106,57,0.9,50,27
2014-01-17,122,«·∂»Œ€»æ,93,179,72,1.3,68,37
2014-01-18,166,÷–∂»Œ€»æ,126,195,83,1.2,48,36
2014-01-19,187,÷–∂»Œ€»æ,141,243,82,1.5,67,40
2014-01-20,110,«·∂»Œ€»æ,73,170,67,0.9,55,35
2014-01-21,93,¡º,38,136,42,0.5,37,20
2014-01-22,60,¡º,34,71,41,0.4,37,32
2014-01-23,62,¡º,41,73,37,0.6,37,40
2014-01-24,63,¡º,39,75,35,0.5,36,48
2014-01-25,167,÷–∂»Œ€»æ,127,177,65,1.3,58,36
2014-01-26,134,«·∂»Œ€»æ,103,135,43,1.2,40,37
2014-01-27,72,¡º,53,93,40,0.8,35,37
2014-01-28,129,«·∂»Œ€»æ,98,139,40,1.1,41,30
2014-01-29,149,«·∂»Œ€»æ,114,133,31,1.4,37,21
2014-01-30,138,«·∂»Œ€»æ,106,152,46,1.5,23,35
2014-01-31,186,÷–∂»Œ€»æ,140,205,82,1.2,22,50
2014-02-01,80,¡º,59,98,49,0.8,20,48
