»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,127,«·∂»Œ€»æ,67,204,55,1,46,37
2014-01-01,133,«·∂»Œ€»æ,98,216,82,1.4,53,35
2014-01-02,107,«·∂»Œ€»æ,81,152,39,1.2,39,41
2014-01-03,95,¡º,71,107,32,1.3,32,41
2014-01-04,54,¡º,37,58,25,0.6,25,50
2014-01-05,177,÷–∂»Œ€»æ,134,183,71,1.8,45,24
2014-01-06,263,÷ÿ∂»Œ€»æ,213,235,60,1.8,51,13
2014-01-07,207,÷ÿ∂»Œ€»æ,157,193,32,1.4,29,42
2014-01-08,41,”≈,26,41,22,0.5,10,55
2014-01-09,76,¡º,56,87,38,1,19,52
2014-01-10,157,÷–∂»Œ€»æ,120,160,61,1.7,30,49
2014-01-11,264,÷ÿ∂»Œ€»æ,214,279,98,2,38,48
2014-01-12,142,«·∂»Œ€»æ,108,153,45,1.2,23,62
2014-01-13,60,¡º,43,68,36,1,24,59
2014-01-14,149,«·∂»Œ€»æ,114,164,57,1.6,33,52
2014-01-15,260,÷ÿ∂»Œ€»æ,210,276,119,1.7,43,44
2014-01-16,312,—œ÷ÿŒ€»æ,262,336,73,1.6,43,60
2014-01-17,229,÷ÿ∂»Œ€»æ,179,224,79,1.8,36,32
2014-01-18,119,«·∂»Œ€»æ,91,116,55,1.5,25,42
2014-01-19,124,«·∂»Œ€»æ,94,128,34,1.6,26,63
2014-01-20,129,«·∂»Œ€»æ,98,159,44,1.3,23,46
2014-01-21,42,”≈,25,42,21,0.7,9,53
2014-01-22,96,¡º,72,98,58,1.7,31,42
2014-01-23,88,¡º,66,83,29,1.6,25,64
2014-01-24,72,¡º,53,60,12,1.2,21,68
2014-01-25,60,¡º,43,63,21,1,15,59
2014-01-26,51,¡º,21,53,27,0.9,12,59
2014-01-27,36,”≈,15,32,7,1,10,71
2014-01-28,53,¡º,31,56,21,1,13,65
2014-01-29,39,”≈,21,39,4,1,7,75
2014-01-30,131,«·∂»Œ€»æ,100,141,39,1.5,14,75
2014-01-31,72,¡º,53,88,14,1,6,68
2014-02-01,57,¡º,40,39,6,1.3,14,69
2014-02-02,415,—œ÷ÿŒ€»æ,373,57,34,1.7,15,70
2014-02-03,51,¡º,14,52,21,0.9,5,63
2014-02-04,50,”≈,26,51,21,1.2,7,64
2014-02-05,34,”≈,17,31,15,1,5,68
2014-02-06,35,”≈,20,34,17,1,4,70
2014-02-07,42,”≈,30,37,20,1.2,8,60
2014-02-08,44,”≈,28,44,22,1.1,8,67
2014-02-09,50,”≈,21,51,20,1,5,67
2014-02-10,36,”≈,21,36,19,1.1,8,69
2014-02-11,48,”≈,32,48,25,1.3,11,76
2014-02-12,133,«·∂»Œ€»æ,102,103,54,1.9,17,79
2014-02-13,82,¡º,61,85,43,1.6,14,74
2014-02-14,75,¡º,55,82,32,1.5,17,80
2014-02-15,122,«·∂»Œ€»æ,93,122,26,1.7,20,97
2014-02-16,81,¡º,60,73,18,1.6,16,92
2014-02-17,53,¡º,37,55,21,1.3,9,77
2014-02-18,59,¡º,42,69,27,1.4,12,77
2014-02-19,91,¡º,68,95,49,1.8,21,71
2014-02-20,81,¡º,60,84,40,1.6,17,80
2014-02-21,139,«·∂»Œ€»æ,107,137,26,1.7,21,109
2014-02-22,104,«·∂»Œ€»æ,78,93,15,1.7,22,102
2014-02-23,112,«·∂»Œ€»æ,84,116,21,1.8,21,113
2014-02-24,143,«·∂»Œ€»æ,109,134,19,1.9,20,112
2014-02-25,140,«·∂»Œ€»æ,107,132,15,1.9,22,105
2014-02-26,200,÷–∂»Œ€»æ,150,197,23,1.8,25,116
2014-02-27,107,«·∂»Œ€»æ,81,99,20,1.7,20,89
2014-02-28,53,¡º,21,56,19,1.3,13,69
2014-03-01,128,«·∂»Œ€»æ,97,107,60,1.9,30,60
2014-03-02,102,«·∂»Œ€»æ,76,105,40,1.9,25,99
2014-03-03,195,÷–∂»Œ€»æ,146,69,10,1.7,15,108
2014-03-04,85,¡º,63,85,23,1.6,16,94
2014-03-05,86,¡º,64,79,27,1.6,17,84
2014-03-06,88,¡º,65,94,31,1.8,21,77
2014-03-07,78,¡º,57,80,23,1.8,18,89
2014-03-08,157,÷–∂»Œ€»æ,120,114,25,2,25,90
2014-03-09,102,«·∂»Œ€»æ,77,97,21,1.7,17,75
2014-03-10,72,¡º,53,55,22,1.6,16,86
2014-03-11,72,¡º,36,72,10,1.6,7,126
2014-03-12,63,¡º,25,76,14,1.5,10,113
2014-03-13,59,¡º,12,67,14,1.5,9,79
2014-03-14,81,¡º,60,110,44,1.9,30,72
2014-03-15,133,«·∂»Œ€»æ,102,153,25,2,27,102
2014-03-16,123,«·∂»Œ€»æ,94,142,22,2,27,103
2014-03-17,107,«·∂»Œ€»æ,81,74,9,1.8,14,152
2014-03-18,91,¡º,60,131,21,1.8,19,94
2014-03-19,81,¡º,60,94,42,1.7,26,95
2014-03-20,66,¡º,20,81,15,1.5,10,98
2014-03-21,75,¡º,51,100,38,1.9,29,77
2014-03-22,128,«·∂»Œ€»æ,98,138,25,2.1,28,123
2014-03-23,102,«·∂»Œ€»æ,77,103,20,1.8,21,131
2014-03-24,68,¡º,24,24,1,1.6,7,121
2014-03-25,71,¡º,52,60,5,1.9,19,92
2014-03-26,111,«·∂»Œ€»æ,83,81,15,2,20,136
2014-03-27,100,¡º,75,88,12,1.7,18,140
2014-03-28,69,¡º,21,33,3,1.8,7,123
2014-03-29,62,¡º,45,59,6,1.9,13,114
2014-03-30,87,¡º,51,73,12,1.9,18,144
2014-03-31,112,«·∂»Œ€»æ,84,134,22,1.8,26,124
2014-04-01,80,¡º,59,78,7,1.8,22,123
2014-04-02,73,¡º,54,64,5,1.8,15,115
2014-04-03,65,¡º,39,81,10,1.6,13,95
2014-04-04,66,¡º,32,81,22,0.9,14,93
2014-04-05,61,¡º,26,71,9,0.2,11,86
2014-04-06,77,¡º,46,105,26,0.5,17,108
2014-04-07,60,¡º,38,71,10,0.3,11,107
2014-04-08,63,¡º,39,58,3,0.3,10,116
2014-04-09,78,¡º,36,54,2,0.4,8,134
2014-04-10,92,¡º,62,135,5,0.4,13,122
2014-04-11,106,«·∂»Œ€»æ,66,162,5,0.4,15,116
2014-04-12,70,¡º,32,90,2,0.3,10,119
2014-04-13,61,¡º,44,49,6,0.2,10,82
2014-04-14,56,¡º,40,30,5,0.2,10,82
2014-04-15,106,«·∂»Œ€»æ,80,73,28,0.6,13,117
2014-04-16,77,¡º,31,48,7,0.3,10,132
2014-04-17,58,¡º,36,34,4,0.3,14,109
2014-04-18,54,¡º,39,50,15,0.4,15,103
2014-04-19,69,¡º,49,89,21,0.4,20,113
2014-04-20,77,¡º,57,85,18,0.6,20,125
2014-04-21,73,¡º,53,78,28,0.6,18,126
2014-04-22,146,«·∂»Œ€»æ,112,134,54,1,23,153
2014-04-23,185,÷–∂»Œ€»æ,139,120,19,1,17,139
2014-04-24,87,¡º,40,65,10,0.6,13,144
2014-04-25,77,¡º,32,55,9,0.6,12,132
2014-04-26,73,¡º,21,31,9,0.5,9,127
2014-04-27,53,¡º,4,1,11,0.3,13,103
2014-04-28,52,¡º,33,19,9,0.4,13,102
2014-04-29,72,¡º,26,63,12,0.5,14,126
2014-04-30,83,¡º,33,79,17,0.6,17,140
2014-05-01,148,«·∂»Œ€»æ,54,99,16,0.8,18,213
2014-05-02,242,÷ÿ∂»Œ€»æ,192,89,14,0.6,12,202
2014-05-03,324,—œ÷ÿŒ€»æ,274,44,14,0.4,10,113
2014-05-04,63,¡º,16,72,14,0.4,6,116
2014-05-05,96,¡º,72,75,29,0.5,15,101
2014-05-06,154,÷–∂»Œ€»æ,45,77,17,0.7,14,219
2014-05-07,145,«·∂»Œ€»æ,44,61,17,0.7,15,210
2014-05-08,88,¡º,32,42,15,0.7,13,145
2014-05-09,86,¡º,31,41,12,0.7,15,143
2014-05-10,87,¡º,22,36,11,0.5,11,144
2014-05-11,95,¡º,18,21,13,0.5,7,154
2014-05-12,92,¡º,28,45,23,0.8,13,150
2014-05-13,140,«·∂»Œ€»æ,52,65,17,1,19,204
2014-05-14,138,«·∂»Œ€»æ,27,65,25,0.7,12,202
2014-05-15,71,¡º,18,47,35,0.6,10,125
2014-05-16,120,«·∂»Œ€»æ,44,75,29,0.9,16,182
2014-05-17,90,¡º,37,49,19,0.8,14,148
2014-05-18,76,¡º,35,49,11,0.7,12,131
2014-05-19,74,¡º,27,42,9,0.6,7,129
2014-05-20,55,¡º,25,34,9,0.6,6,106
2014-05-21,59,¡º,38,50,8,0.9,10,111
2014-05-22,113,«·∂»Œ€»æ,63,68,11,1,14,174
2014-05-23,100,¡º,45,54,11,0.8,15,160
2014-05-24,62,¡º,24,16,8,0.6,7,114
2014-05-25,100,¡º,43,77,12,0.8,10,160
2014-05-26,125,«·∂»Œ€»æ,54,148,21,0.9,13,188
2014-05-27,176,÷–∂»Œ€»æ,46,105,28,1,16,241
2014-05-28,133,«·∂»Œ€»æ,21,68,16,0.7,12,196
2014-05-29,169,÷–∂»Œ€»æ,58,93,20,0.9,14,234
2014-05-30,193,÷–∂»Œ€»æ,85,131,21,1,14,258
2014-05-31,201,÷ÿ∂»Œ€»æ,95,144,16,1.1,13,268
2014-06-01,158,÷–∂»Œ€»æ,35,75,10,0.8,9,223
2014-06-02,70,¡º,17,34,9,0.7,4,124
2014-06-03,60,¡º,19,29,10,0.8,8,112
2014-06-04,59,¡º,23,35,10,0.8,8,111
2014-06-05,74,¡º,29,49,16,0.9,11,129
2014-06-06,64,¡º,20,33,10,0.8,7,117
2014-06-07,62,¡º,22,37,12,0.9,8,114
2014-06-08,60,¡º,22,42,12,1,9,112
2014-06-09,61,¡º,22,38,10,0.6,7,113
2014-06-10,47,”≈,23,34,10,0.2,5,93
2014-06-11,53,¡º,33,51,15,0.2,11,103
