日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,115,轻度污染,87,150,42,1.6,52,102
2014-01-01,114,轻度污染,86,142,41,1.8,50,136
2014-01-02,145,轻度污染,111,164,25,2,49,142
2014-01-03,172,中度污染,130,192,35,2.2,55,121
2014-01-04,148,轻度污染,113,160,29,1.9,40,157
2014-01-05,150,轻度污染,115,168,33,2,47,157
2014-01-06,230,重度污染,180,239,35,2.2,60,166
2014-01-07,204,重度污染,154,220,24,2.2,65,112
2014-01-08,123,轻度污染,93,144,22,2.3,42,25
2014-01-09,31,优,22,21,14,2.1,22,53
2014-01-10,71,良,52,33,28,2.1,44,70
2014-01-11,75,良,55,38,30,2.3,57,71
2014-01-12,43,优,30,32,69,2.3,40,34
2014-01-13,28,优,20,12,22,1.8,21,50
2014-01-14,47,优,18,11,29,1.8,26,94
2014-01-15,54,良,25,8,22,1.9,35,105
2014-01-16,53,良,31,21,25,2.1,44,103
2014-01-17,58,良,37,58,59,2.3,50,109
2014-01-18,78,良,29,48,26,2,33,134
2014-01-19,103,轻度污染,34,41,32,2.1,41,163
2014-01-20,85,良,55,65,45,2.2,46,142
2014-01-21,118,轻度污染,90,88,32,2.1,34,113
2014-01-22,62,良,41,51,30,2,36,114
2014-01-23,76,良,53,51,20,2.1,41,131
2014-01-24,88,良,65,74,12,2.3,47,95
2014-01-25,93,良,69,94,61,2.7,57,41
2014-01-26,65,良,47,70,35,2.4,34,113
2014-01-27,88,良,65,85,11,2.5,31,93
2014-01-28,62,良,30,64,4,2.3,20,114
2014-01-29,75,良,38,65,11,2.4,20,130
2014-01-30,82,良,34,75,12,2.3,16,138
2014-01-31,102,轻度污染,42,153,16,2.1,12,120
2014-02-01,54,良,38,43,11,2,8,103
2014-02-02,47,优,32,30,20,2.1,12,94
2014-02-03,54,良,31,38,47,2.4,15,105
2014-02-04,71,良,42,43,17,2.4,13,125
2014-02-05,47,优,24,32,4,2.2,6,93
2014-02-06,38,优,22,24,5,2.2,10,75
2014-02-07,25,优,9,25,22,2.5,15,7
2014-02-08,25,优,10,23,8,2.5,14,12
2014-02-09,25,优,5,8,5,2.5,11,21
2014-02-10,29,优,19,29,8,2.5,9,51
2014-02-11,51,良,32,53,13,2.2,9,50
2014-02-12,51,良,24,51,7,1.1,11,46
2014-02-13,30,优,15,30,12,1.1,14,31
2014-02-14,50,优,24,50,22,0.9,11,73
2014-02-15,52,良,23,55,14,1,19,52
2014-02-16,40,优,15,40,7,1.3,25,21
2014-02-17,66,良,43,83,38,2.1,38,14
2014-02-18,46,优,24,46,23,1.7,20,8
2014-02-19,30,优,17,30,21,1.3,23,38
2014-02-20,44,优,28,44,21,1,17,53
2014-02-21,93,良,70,109,36,1.3,49,73
2014-02-22,75,良,55,79,15,1.2,43,60
2014-02-23,62,良,44,73,16,1.2,28,86
2014-02-24,75,良,55,91,12,1.5,29,63
2014-02-25,60,良,34,69,13,1.5,34,40
2014-02-26,71,良,48,92,17,1.6,26,64
2014-02-27,67,良,42,85,17,1.7,29,102
2014-02-28,39,优,17,36,6,1.4,19,77
2014-03-01,36,优,14,36,6,1.4,15,49
2014-03-02,26,优,12,26,16,1.7,21,27
2014-03-03,19,优,7,18,15,1.9,28,9
2014-03-04,27,优,14,27,30,2,36,7
2014-03-05,26,优,14,26,15,1.7,22,29
2014-03-06,54,良,33,58,26,2,55,16
2014-03-07,18,优,6,18,15,1.8,36,8
2014-03-08,18,优,7,18,17,1.7,31,6
2014-03-09,15,优,6,15,10,1.5,17,17
2014-03-10,27,优,19,26,10,1.6,25,17
2014-03-11,33,优,18,33,20,1.8,39,9
