日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2015-01-06,61,良,34,73,8,0.3,12,63
2015-01-07,49,优,17,49,8,0.4,12,56
2015-01-08,52,良,20,53,8,0.4,17,58
2015-01-09,64,良,29,77,10,0.5,27,51
2015-01-10,54,良,37,58,10,0.6,33,48
2015-01-11,31,优,18,31,8,0.4,24,48
2015-01-12,30,优,21,30,10,0.4,24,56
2015-01-13,86,良,64,102,21,0.7,44,48
2015-01-14,51,良,36,50,8,0.5,33,48
2015-01-15,28,优,19,28,9,0.4,28,50
2015-01-16,45,优,31,45,14,0.6,27,51
2015-01-17,35,优,20,26,19,0.4,11,70
2015-01-18,53,良,29,56,22,0.6,29,70
2015-01-19,38,优,21,38,20,0.5,23,51
2015-01-20,52,良,30,55,25,0.6,26,45
2015-01-21,64,良,38,78,24,0.7,30,41
2015-01-22,83,良,56,116,29,0.9,34,48
2015-01-23,75,良,43,100,29,0.9,33,40
2015-01-24,66,良,43,81,21,0.7,29,50
2015-01-25,84,良,55,118,28,1.1,35,40
2015-01-26,73,良,53,87,23,0.7,22,69
2015-01-27,33,优,10,26,33,0.3,11,65
2015-01-28,36,优,13,34,16,0.5,13,71
2015-01-29,69,良,41,88,24,0.7,40,68
2015-01-30,58,良,33,65,10,0.6,31,62
2015-01-31,66,良,41,82,13,0.7,26,63
2015-02-01,70,良,41,89,15,0.7,33,60
2015-02-02,74,良,54,99,10,1,48,71
2015-02-03,66,良,30,82,13,0.7,39,37
2015-02-04,69,良,36,87,12,0.7,34,58
2015-02-05,55,良,19,60,13,0.5,22,60
2015-02-06,58,良,34,66,17,0.8,24,82
2015-02-07,50,优,23,51,7,0.4,10,87
2015-02-08,34,优,11,27,6,0.3,9,67
2015-02-09,36,优,11,29,5,0.5,14,71
2015-02-10,39,优,9,23,5,0.4,11,78
2015-02-11,40,优,15,32,7,0.5,13,79
2015-02-12,44,优,15,44,11,0.6,38,63
2015-02-13,55,良,23,59,8,0.7,25,82
2015-02-14,54,良,28,59,10,0.7,28,88
2015-02-15,50,优,20,50,12,0.7,35,61
2015-02-16,45,优,16,45,15,0.7,26,79
2015-02-17,40,优,12,28,12,0.6,21,79
2015-02-18,44,优,15,35,10,0.5,13,87
2015-02-19,65,良,19,81,19,0.6,24,77
2015-02-20,42,优,14,36,11,0.6,20,84
2015-02-21,48,优,23,48,18,0.7,21,89
2015-02-22,99,良,32,147,8,0.6,13,81
2015-02-23,194,中度污染,70,337,5,0.5,8,85
2015-02-24,41,优,12,30,5,0.5,15,81
2015-02-25,45,优,17,45,6,0.6,26,75
2015-02-26,51,良,22,51,7,0.7,35,69
2015-02-27,58,良,15,37,5,0.5,14,109
2015-02-28,62,良,36,71,12,0.7,30,114
2015-03-01,55,良,36,60,13,0.6,16,98
2015-03-02,56,良,37,62,10,0.6,22,102
2015-03-03,52,良,26,49,9,0.5,20,102
2015-03-04,50,优,21,35,5,0.4,17,100
2015-03-05,60,良,28,70,10,0.6,20,93
2015-03-06,72,良,31,61,14,0.8,21,126
2015-03-07,71,良,30,54,8,0.6,14,125
2015-03-08,45,优,14,41,7,0.5,14,90
2015-03-09,44,优,13,30,4,0.4,10,87
2015-03-10,40,优,10,24,4,0.4,10,79
2015-03-11,40,优,9,29,5,0.4,7,80
2015-03-12,49,优,11,32,4,0.5,10,97
2015-03-13,49,优,14,48,8,0.5,13,98
2015-03-14,49,优,18,46,6,0.6,17,98
2015-03-15,72,良,27,94,10,0.7,21,91
2015-03-16,81,良,43,111,7,0.7,23,81
2015-03-17,50,优,23,48,7,0.4,12,99
2015-03-18,46,优,14,34,6,0.5,18,91
2015-03-19,58,良,21,43,8,0.5,17,109
2015-03-20,49,优,18,39,5,0.5,17,97
2015-03-21,48,优,16,39,7,0.5,17,95
2015-03-22,36,优,9,30,4,0.4,8,71
2015-03-23,40,优,10,21,4,0.4,8,80
2015-03-24,41,优,8,24,4,0.4,15,82
2015-03-25,68,良,29,71,10,0.7,25,122
2015-03-26,96,良,61,141,10,0.9,24,151
2015-03-27,98,良,78,221,10,1.1,27,150
2015-03-28,41,优,12,30,6,0.5,18,82
2015-03-29,39,优,15,34,10,0.5,16,78
2015-03-30,59,良,28,67,6,0.6,20,95
2015-03-31,40,优,11,22,4,0.4,12,80
2015-04-01,57,良,24,51,5,0.5,14,108
2015-04-02,62,良,32,73,9,0.6,18,103
2015-04-03,38,优,14,27,4,0.4,7,76
2015-04-04,38,优,14,38,7,0.3,9,67
2015-04-05,44,优,16,44,12,0.4,15,58
2015-04-06,37,优,14,28,5,0.3,8,74
2015-04-07,39,优,12,27,4,0.5,9,78
2015-04-08,43,优,17,43,6,0.5,14,84
2015-04-09,51,良,17,52,7,0.4,18,84
2015-04-10,41,优,16,34,3,0.6,20,81
2015-04-11,48,优,16,35,5,0.6,18,96
2015-04-12,53,良,14,32,2,0.4,15,104
2015-04-13,68,良,28,79,3,0.5,12,122
2015-04-14,64,良,24,79,5,0.5,13,109
2015-04-15,70,良,27,69,6,0.6,14,124
2015-04-16,67,良,38,80,4,0.6,15,120
2015-04-17,53,良,31,56,7,0.6,13,63
2015-04-18,33,优,11,23,4,0.4,10,66
2015-04-19,54,良,33,59,5,0.6,18,87
2015-04-20,66,良,35,82,5,0.6,15,85
2015-04-21,35,优,14,33,5,0.5,8,69
2015-04-22,52,良,11,36,6,0.4,14,102
2015-04-23,61,良,19,57,4,0.3,9,113
2015-04-24,45,优,7,22,3,0.3,8,89
2015-04-25,63,良,21,49,2,0.4,14,116
2015-04-26,61,良,35,72,4,0.6,15,112
2015-04-27,45,优,12,45,3,0.3,12,82
2015-04-28,47,优,13,33,3,0.3,13,94
2015-04-29,95,良,34,83,5,0.7,19,154
2015-04-30,94,良,23,60,2,0.4,9,153
2015-05-01,62,良,15,52,4,0.3,12,114
2015-05-02,61,良,44,70,3,0.5,14,95
2015-05-03,61,良,23,72,3,0.4,10,110
2015-05-04,36,优,9,28,4,0.2,6,71
2015-05-05,27,优,11,18,3,0.3,4,54
2015-05-06,31,优,7,10,3,0.3,6,61
2015-05-07,33,优,6,19,3,0.2,7,65
2015-05-08,31,优,8,26,3,0.4,15,62
2015-05-09,42,优,8,23,4,0.3,9,83
2015-05-10,57,良,12,27,5,0.2,9,108
2015-05-11,55,良,16,35,5,0.4,17,106
2015-05-12,43,优,15,30,7,0.5,11,85
2015-05-13,37,优,17,29,6,0.5,12,74
2015-05-14,37,优,18,37,6,0.5,10,65
2015-05-15,33,优,14,30,4,0.2,8,65
2015-05-16,31,优,15,31,5,0.2,8,59
2015-05-17,34,优,12,33,5,0.2,9,67
2015-05-18,39,优,15,38,7,0.6,9,77
2015-05-19,35,优,12,33,5,0.3,11,69
2015-05-20,44,优,11,25,5,0.3,11,87
2015-05-21,39,优,11,37,5,0.2,11,78
2015-05-22,35,优,12,32,6,0.3,10,70
2015-05-23,34,优,13,32,5,0.3,11,67
2015-05-24,37,优,14,35,6,0.2,8,73
2015-05-25,34,优,16,29,11,0.6,10,68
2015-05-26,29,优,19,19,5,0.5,10,57
2015-05-27,39,优,22,26,4,0.4,13,77
2015-05-28,47,优,29,36,5,0.5,13,93
2015-05-29,62,良,45,73,6,0.5,12,104
2015-05-30,31,优,22,18,4,0.3,9,54
2015-05-31,36,优,24,27,4,0.3,12,72
2015-06-01,41,优,29,27,4,0.4,10,47
2015-06-02,31,优,22,24,3,0.3,10,49
2015-06-03,32,优,20,32,3,0.4,11,51
2015-06-04,47,优,22,47,5,0.4,10,63
2015-06-05,48,优,26,48,5,0.3,10,59
2015-06-06,41,优,26,41,5,0.3,10,60
2015-06-07,36,优,25,30,5,0.3,11,51
2015-06-08,33,优,23,15,3,0.5,10,49
2015-06-09,40,优,28,37,3,0.5,12,38
2015-06-10,44,优,25,44,4,0.3,10,40
2015-06-11,45,优,26,45,5,0.4,9,59
2015-06-12,52,良,28,53,4,0.5,12,68
2015-06-13,47,优,30,47,5,0.5,12,43
