»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,75,¡º,53,99,46,3.5,66,45
2015-01-01,107,«·∂»Œ€»æ,81,131,46,5.8,66,34
2015-01-02,97,¡º,73,109,54,5,57,30
2015-01-03,59,¡º,42,62,32,3,38,21
2015-01-04,151,÷–∂»Œ€»æ,116,135,36,4.3,53,22
2015-01-05,164,÷–∂»Œ€»æ,125,150,40,6.2,64,32
2015-01-06,82,¡º,61,81,41,3.2,44,36
2015-01-07,78,¡º,57,76,42,3.6,49,41
2015-01-08,63,¡º,39,76,35,3.5,49,49
2015-01-09,83,¡º,59,116,44,4.8,58,40
2015-01-10,58,¡º,39,66,29,2.5,32,36
2015-01-11,115,«·∂»Œ€»æ,87,122,27,3.5,49,27
2015-01-12,72,¡º,53,71,29,2.3,31,27
2015-01-13,94,¡º,71,95,16,2.4,32,25
2015-01-14,104,«·∂»Œ€»æ,78,110,27,3.7,48,39
2015-01-15,81,¡º,60,88,34,2.9,43,29
2015-01-16,70,¡º,51,60,32,3.1,44,46
2015-01-17,70,¡º,42,89,32,2.6,49,53
2015-01-18,71,¡º,48,91,39,3.3,51,45
2015-01-19,79,¡º,58,89,42,3.1,56,44
2015-01-20,115,«·∂»Œ€»æ,87,126,42,4.6,65,38
2015-01-21,49,”≈,31,49,28,0.9,25,55
2015-01-22,78,¡º,57,82,38,2.9,53,43
2015-01-23,88,¡º,65,84,31,1.8,40,57
2015-01-24,102,«·∂»Œ€»æ,77,95,34,2.3,45,51
2015-01-25,60,¡º,43,60,28,1.4,30,51
2015-01-26,80,¡º,59,77,29,1.7,39,40
2015-01-27,148,«·∂»Œ€»æ,113,146,48,3.1,65,45
2015-01-28,205,÷ÿ∂»Œ€»æ,155,214,49,4.2,75,35
2015-01-29,203,÷ÿ∂»Œ€»æ,153,223,55,4.8,74,38
2015-01-30,226,÷ÿ∂»Œ€»æ,176,231,59,5.9,89,36
2015-01-31,172,÷–∂»Œ€»æ,130,158,53,5.2,74,44
2015-02-01,113,«·∂»Œ€»æ,85,114,61,3.3,64,59
2015-02-02,182,÷–∂»Œ€»æ,137,171,47,5.3,73,52
2015-02-03,206,÷ÿ∂»Œ€»æ,156,192,43,4.7,71,51
2015-02-04,173,÷–∂»Œ€»æ,131,170,55,3.3,62,53
2015-02-05,177,÷–∂»Œ€»æ,134,175,56,2.9,60,66
2015-02-06,90,¡º,67,92,32,3.3,49,51
2015-02-07,107,«·∂»Œ€»æ,81,120,43,4.8,63,66
2015-02-08,84,¡º,62,100,43,2.9,53,56
2015-02-09,98,¡º,74,117,42,4.1,67,57
2015-02-10,81,¡º,60,99,43,3.5,58,49
2015-02-11,65,¡º,46,79,41,3.1,48,53
2015-02-12,68,¡º,49,83,43,2.9,47,30
2015-02-13,48,”≈,34,33,41,1.5,25,61
2015-02-14,40,”≈,21,40,18,1.7,32,76
2015-02-15,57,¡º,33,64,27,2.5,43,64
2015-02-16,75,¡º,55,101,35,3.3,49,54
2015-02-17,83,¡º,62,83,25,2.3,40,41
2015-02-18,45,”≈,31,45,21,1.3,21,56
2015-02-19,53,¡º,37,56,24,1.4,25,77
2015-02-20,42,”≈,20,42,15,1.5,26,81
2015-02-21,57,¡º,32,64,24,2.1,31,82
2015-02-22,64,¡º,42,79,30,2.3,39,63
2015-02-23,104,«·∂»Œ€»æ,78,128,39,4.2,47,52
2015-02-24,61,¡º,35,72,26,2.1,39,77
2015-02-25,62,¡º,39,73,30,2.4,34,54
2015-02-26,39,”≈,19,39,19,1.1,18,64
2015-02-27,53,¡º,33,56,22,1.5,24,67
2015-02-28,60,¡º,40,70,23,1.9,32,72
2015-03-01,60,¡º,37,70,20,1.7,32,84
2015-03-02,71,¡º,44,92,34,2.2,39,64
2015-03-03,67,¡º,44,84,31,1.4,30,76
2015-03-04,72,¡º,49,94,22,2,40,88
2015-03-05,73,¡º,49,96,27,2.7,41,76
2015-03-06,72,¡º,43,95,30,1.7,30,92
2015-03-07,72,¡º,46,94,33,2.5,40,95
2015-03-08,71,¡º,49,91,30,2.3,33,81
2015-03-09,60,¡º,30,70,23,1.3,26,73
2015-03-10,82,¡º,60,107,37,2.2,35,53
2015-03-11,30,”≈,14,27,28,0.9,19,59
2015-03-12,43,”≈,20,43,38,1.1,25,61
2015-03-13,43,”≈,16,42,15,1.1,21,85
2015-03-14,60,¡º,34,71,35,2,34,77
2015-03-15,57,¡º,31,64,27,2.1,29,83
2015-03-16,42,”≈,19,42,19,1.1,15,67
2015-03-17,47,”≈,23,47,19,1.4,21,79
2015-03-18,64,¡º,40,77,27,2.5,31,70
2015-03-19,59,¡º,35,68,18,1.6,29,71
2015-03-20,61,¡º,30,71,20,1.8,29,73
2015-03-21,40,”≈,19,40,22,1.2,19,70
2015-03-22,43,”≈,20,35,16,1.5,26,86
2015-03-23,54,¡º,31,58,22,1.6,36,80
2015-03-24,55,¡º,22,60,16,1.5,26,57
2015-03-25,36,”≈,14,32,13,1,18,72
2015-03-26,38,”≈,16,29,11,1.1,18,75
2015-03-27,44,”≈,14,22,14,1.1,20,78
2015-03-28,36,”≈,14,30,15,1.1,18,72
2015-03-29,33,”≈,17,33,12,1.5,23,64
2015-03-30,49,”≈,14,49,18,0.9,12,75
2015-03-31,43,”≈,15,32,18,1.1,14,85
2015-04-01,45,”≈,26,45,24,1.7,26,90
2015-04-02,54,¡º,33,59,29,1.6,27,85
2015-04-03,54,¡º,29,58,54,1.3,26,74
2015-04-07,78,¡º,39,105,13,1,32,116
2015-04-08,84,¡º,41,117,15,1.2,25,104
2015-04-09,46,”≈,24,45,8,0.7,13,91
2015-04-10,56,¡º,27,63,10,1.1,24,103
2015-04-11,81,¡º,22,112,8,0.9,24,93
2015-04-12,98,¡º,45,145,7,0.8,19,97
2015-04-13,133,«·∂»Œ€»æ,70,216,12,1.4,29,91
2015-04-14,120,«·∂»Œ€»æ,62,191,12,1.2,25,87
2015-04-15,76,¡º,39,102,13,1,21,71
2015-04-16,55,¡º,23,59,7,0.9,13,88
2015-04-17,55,¡º,21,60,7,1.1,19,91
2015-04-18,51,¡º,21,52,8,0.9,22,97
2015-04-19,58,¡º,19,53,6,0.8,18,110
2015-04-20,64,¡º,31,78,8,0.9,23,94
2015-04-21,44,”≈,17,41,6,0.7,13,87
2015-04-22,56,¡º,20,49,8,1.1,21,107
2015-04-23,56,¡º,23,62,8,0.9,24,107
2015-04-24,69,¡º,26,77,8,0.9,23,123
2015-04-25,90,¡º,36,130,9,1,25,98
2015-04-26,92,¡º,39,134,8,0.8,20,100
2015-04-27,97,¡º,57,144,3,0.6,8,81
2015-04-28,54,¡º,20,46,6,0.8,15,105
2015-04-29,58,¡º,24,64,7,1,23,109
2015-04-30,65,¡º,26,77,8,1,24,118
2015-05-01,70,¡º,29,89,7,0.9,17,119
2015-05-02,60,¡º,24,70,8,0.8,15,104
2015-05-03,100,¡º,44,150,9,0.9,19,97
2015-05-04,58,¡º,17,40,6,0.8,12,109
2015-05-05,63,¡º,19,57,7,0.9,17,116
2015-05-06,60,¡º,21,62,6,1,17,112
2015-05-07,51,¡º,18,43,7,1.1,14,101
2015-05-08,58,¡º,27,66,7,1,15,97
2015-05-09,124,«·∂»Œ€»æ,45,198,7,1,19,94
2015-05-10,42,”≈,12,26,5,0.8,10,84
2015-05-11,64,¡º,34,78,8,1.2,24,92
2015-05-12,44,”≈,18,39,5,0.9,12,88
2015-05-13,50,”≈,15,32,7,1,11,100
2015-05-14,48,”≈,16,48,6,0.9,13,88
2015-05-15,49,”≈,17,39,7,1,12,98
2015-05-16,68,¡º,29,86,8,1,19,104
2015-05-17,76,¡º,25,102,5,1.1,15,94
2015-05-18,48,”≈,20,48,7,1,18,87
2015-05-19,65,¡º,12,27,5,0.9,9,118
2015-05-20,63,¡º,26,70,6,1,16,115
2015-05-21,59,¡º,21,69,6,1,14,109
2015-05-22,65,¡º,20,80,6,0.9,14,94
2015-05-23,51,¡º,15,30,6,0.9,12,101
2015-05-24,54,¡º,31,45,6,0.8,13,105
2015-05-25,49,”≈,16,37,7,0.9,8,98
2015-05-26,48,”≈,15,47,6,0.7,8,96
2015-05-27,56,¡º,11,30,5,0.6,8,107
2015-05-28,53,¡º,14,38,5,0.6,11,104
2015-05-29,56,¡º,25,62,7,0.8,20,100
2015-05-30,72,¡º,31,93,9,0.7,16,103
2015-05-31,63,¡º,17,75,5,0.4,4,101
2015-06-01,49,”≈,12,49,5,0.4,4,96
2015-06-02,54,¡º,14,33,4,0.4,5,105
2015-06-03,66,¡º,20,47,6,0.6,19,119
2015-06-04,67,¡º,21,64,6,0.6,16,120
2015-06-05,77,¡º,30,104,7,0.7,19,125
2015-06-06,71,¡º,22,81,6,0.6,15,125
2015-06-07,58,¡º,15,40,5,0.5,7,109
2015-06-08,68,¡º,18,33,5,0.6,8,121
2015-06-09,90,¡º,31,131,4,0.5,11,99
2015-06-10,39,”≈,10,20,6,0.5,10,78
2015-06-11,52,¡º,22,55,6,0.8,21,75
2015-06-12,66,¡º,29,82,9,0.9,29,88
2015-06-13,74,¡º,29,99,9,0.9,28,92
2015-06-14,63,¡º,23,76,7,0.8,32,92
2015-06-15,62,¡º,20,73,6,0.7,27,89
2015-06-16,49,”≈,15,40,6,0.6,19,98
2015-06-17,59,¡º,17,33,5,0.4,19,111
2015-06-18,57,¡º,21,44,5,0.5,23,108
2015-06-19,78,¡º,14,36,8,0.5,20,133
2015-06-20,72,¡º,18,48,6,0.6,22,126
2015-06-21,58,¡º,21,66,7,0.6,22,110
2015-06-22,59,¡º,18,63,6,0.5,17,111
2015-06-23,60,¡º,17,48,5,0.5,19,112
2015-06-24,63,¡º,16,68,8,0.8,23,115
2015-06-25,78,¡º,27,90,9,1.1,31,133
2015-06-26,58,¡º,17,51,6,0.8,13,109
2015-06-27,43,”≈,12,30,4,0.8,15,85
2015-06-28,47,”≈,12,27,4,1,13,93
2015-06-29,47,”≈,14,28,7,1.1,15,94
2015-06-30,58,¡º,16,36,14,1.2,20,109
2015-07-01,61,¡º,20,54,6,0.8,23,113
2015-07-02,68,¡º,23,64,6,0.8,31,121
2015-07-03,67,¡º,20,56,8,0.8,24,120
2015-07-04,58,¡º,16,54,6,0.7,19,109
2015-07-05,53,¡º,18,49,7,0.7,15,103
2015-07-06,54,¡º,16,41,5,0.7,19,105
2015-07-07,66,¡º,22,63,7,0.9,29,119
2015-07-08,73,¡º,22,61,7,0.8,25,128
2015-07-09,61,¡º,26,72,8,0.9,29,113
2015-07-10,62,¡º,26,74,6,0.9,25,90
2015-07-11,49,”≈,17,42,5,0.7,15,97
2015-07-12,62,¡º,20,50,6,0.8,23,114
2015-07-13,82,¡º,27,75,8,1.1,31,138
2015-07-14,75,¡º,28,68,8,1.1,31,130
2015-07-15,75,¡º,25,59,6,1,26,130
2015-07-16,84,¡º,34,82,7,1.3,38,141
2015-07-17,81,¡º,45,80,6,1.1,31,137
2015-07-18,73,¡º,33,76,6,1,28,127
2015-07-19,76,¡º,29,70,7,1,27,131
2015-07-20,124,«·∂»Œ€»æ,64,198,8,1.2,37,134
2015-07-21,102,«·∂»Œ€»æ,64,153,6,1.5,38,137
