»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,100,¡º,75,116,43,1.1,90,78
2013-12-03,208,÷ÿ∂»Œ€»æ,158,237,84,1.7,131,107
2013-12-04,171,÷–∂»Œ€»æ,130,208,81,1.5,102,91
2013-12-05,123,«·∂»Œ€»æ,94,140,62,1.2,100,91
2013-12-06,165,÷–∂»Œ€»æ,126,175,66,1.4,99,93
2013-12-07,183,÷–∂»Œ€»æ,138,190,71,1.5,101,98
2013-12-08,209,÷ÿ∂»Œ€»æ,159,221,80,1.6,96,114
2013-12-09,214,÷ÿ∂»Œ€»æ,164,223,80,1.6,82,107
2013-12-10,204,÷ÿ∂»Œ€»æ,154,207,61,1.7,67,103
2013-12-11,175,÷–∂»Œ€»æ,132,174,60,1.6,65,62
2013-12-12,169,÷–∂»Œ€»æ,128,159,54,1.4,78,38
2013-12-13,198,÷–∂»Œ€»æ,149,179,36,1.7,67,23
2013-12-14,116,«·∂»Œ€»æ,88,98,16,1.4,51,22
2013-12-15,70,¡º,51,53,14,1.3,42,27
2013-12-16,24,”≈,16,21,12,1.3,37,47
2013-12-17,37,”≈,26,31,19,1.2,38,15
2013-12-18,35,”≈,25,34,18,0.9,25,44
2013-12-19,52,¡º,37,52,20,0.8,35,58
2013-12-20,78,¡º,58,76,30,1,51,58
2013-12-21,110,«·∂»Œ€»æ,83,101,37,1.1,49,71
2013-12-22,115,«·∂»Œ€»æ,87,108,43,1.2,53,70
2013-12-23,112,«·∂»Œ€»æ,84,112,50,1.3,69,67
2013-12-24,109,«·∂»Œ€»æ,82,110,48,1.3,70,63
2013-12-25,132,«·∂»Œ€»æ,101,133,52,1.3,76,69
2013-12-26,125,«·∂»Œ€»æ,95,134,50,1.3,66,98
2013-12-27,169,÷–∂»Œ€»æ,128,166,57,1.4,51,93
2013-12-28,162,÷–∂»Œ€»æ,123,171,52,1.4,63,76
2013-12-29,85,¡º,63,107,43,1.2,66,72
2013-12-30,145,«·∂»Œ€»æ,111,181,71,1.7,93,67
2013-12-31,176,÷–∂»Œ€»æ,133,212,76,1.7,98,84
2014-01-01,168,÷–∂»Œ€»æ,127,194,72,1.8,105,79
2014-01-02,173,÷–∂»Œ€»æ,131,211,57,2.1,126,74
2014-01-03,191,÷–∂»Œ€»æ,143,240,69,1.9,118,115
2014-01-04,168,÷–∂»Œ€»æ,127,184,59,1.6,83,114
2014-01-05,155,÷–∂»Œ€»æ,119,181,65,1.7,102,108
2014-01-06,181,÷–∂»Œ€»æ,137,211,55,1.7,109,107
2014-01-07,118,«·∂»Œ€»æ,89,163,45,1.4,104,49
2014-01-08,119,«·∂»Œ€»æ,90,153,41,2.1,75,26
2014-01-09,65,¡º,47,66,25,1.7,44,50
2014-01-10,92,¡º,69,105,34,1.5,65,45
2014-01-11,130,«·∂»Œ€»æ,99,154,49,1.8,89,76
2014-01-12,102,«·∂»Œ€»æ,77,125,34,1.7,63,50
2014-01-13,54,¡º,38,56,24,1.3,36,34
2014-01-14,57,¡º,41,60,24,1.1,39,82
2014-01-15,84,¡º,63,93,34,1.1,50,90
2014-01-16,127,«·∂»Œ€»æ,97,156,43,1.7,88,92
2014-01-17,152,÷–∂»Œ€»æ,116,185,47,1.9,91,96
2014-01-18,97,¡º,73,108,32,1.2,54,115
2014-01-19,139,«·∂»Œ€»æ,106,148,38,1.5,78,128
2014-01-20,167,÷–∂»Œ€»æ,127,183,47,1.7,90,116
2014-01-21,132,«·∂»Œ€»æ,100,153,39,1.3,43,98
2014-01-22,68,¡º,49,83,23,1,46,95
2014-01-23,107,«·∂»Œ€»æ,81,135,34,1.5,80,115
2014-01-24,93,¡º,70,117,29,1.3,82,70
2014-01-25,95,¡º,71,117,27,1.3,81,54
2014-01-26,89,¡º,66,95,24,1.3,53,110
2014-01-27,95,¡º,71,107,23,1.1,36,117
2014-01-28,76,¡º,56,85,22,1.1,39,110
2014-01-29,91,¡º,68,104,22,1.2,47,145
2014-01-30,90,¡º,66,91,21,1.1,40,148
2014-01-31,130,«·∂»Œ€»æ,99,124,25,1.1,29,129
2014-02-01,60,¡º,43,59,16,0.8,18,98
2014-02-02,54,¡º,38,53,15,0.9,23,105
2014-02-03,56,¡º,37,50,15,1,28,107
2014-02-04,56,¡º,37,52,13,1,22,107
2014-02-05,43,”≈,24,37,14,1,20,86
2014-02-06,33,”≈,19,28,15,0.9,22,66
2014-02-07,18,”≈,12,17,9,1.2,26,24
2014-02-08,25,”≈,18,24,10,1.3,24,10
2014-02-09,14,”≈,8,11,10,1.4,23,13
2014-02-10,41,”≈,29,35,16,1.3,18,48
2014-02-11,62,¡º,45,54,20,1.2,20,57
2014-02-12,63,¡º,45,59,16,1,29,48
2014-02-13,44,”≈,31,37,14,1.1,26,24
2014-02-14,66,¡º,48,55,14,1,23,62
2014-02-15,62,¡º,45,52,13,1.1,37,45
2014-02-16,78,¡º,57,71,24,1.6,55,11
2014-02-17,123,«·∂»Œ€»æ,94,138,39,2.1,79,20
2014-02-18,55,¡º,37,60,20,1.5,37,12
2014-02-19,23,”≈,16,21,12,1.2,30,30
2014-02-20,39,”≈,27,38,17,1,36,56
2014-02-21,77,¡º,56,76,25,1.4,92,69
2014-02-22,79,¡º,58,74,21,1.5,79,44
2014-02-23,66,¡º,48,63,21,1.4,63,99
2014-02-24,58,¡º,41,58,26,1.3,73,78
2014-02-25,57,¡º,40,64,27,1.4,80,46
2014-02-26,73,¡º,53,76,30,1.6,71,67
2014-02-27,49,”≈,33,49,24,1.3,60,89
2014-02-28,40,”≈,28,40,18,1,61,39
2014-03-01,49,”≈,28,49,21,1,52,46
2014-03-02,39,”≈,23,39,22,1.5,44,25
2014-03-03,43,”≈,28,43,20,1.7,46,11
2014-03-04,56,¡º,40,57,20,1.6,55,10
2014-03-05,36,”≈,22,36,22,1.4,53,21
2014-03-06,67,¡º,49,68,23,1.5,74,17
2014-03-07,36,”≈,25,36,14,1.3,49,11
2014-03-08,41,”≈,29,41,16,1.3,46,6
2014-03-09,22,”≈,16,22,19,1.2,39,18
2014-03-10,43,”≈,30,38,19,1.3,49,13
2014-03-11,54,¡º,38,54,18,1.5,58,7
2014-03-12,138,«·∂»Œ€»æ,105,153,30,2.8,109,6
2014-03-13,51,¡º,34,53,23,1.5,50,53
2014-03-14,59,¡º,42,61,17,1.1,48,64
2014-03-15,82,¡º,60,90,35,1.3,81,34
2014-03-16,114,«·∂»Œ€»æ,86,124,38,1.5,83,15
2014-03-17,155,÷–∂»Œ€»æ,119,171,60,1.9,101,53
2014-03-18,80,¡º,59,87,29,1.3,66,76
2014-03-19,68,¡º,50,74,23,1.1,62,90
2014-03-20,85,¡º,63,103,34,1.4,63,50
2014-03-21,54,¡º,38,57,17,0.8,33,63
2014-03-22,69,¡º,50,69,27,1,60,57
2014-03-23,82,¡º,61,98,38,1.2,77,137
2014-03-24,78,¡º,44,66,34,1,59,133
2014-03-25,75,¡º,39,64,29,0.9,51,130
2014-03-26,93,¡º,50,77,33,1.1,53,151
2014-03-27,53,¡º,35,57,30,0.9,45,95
2014-03-28,43,”≈,30,43,23,0.9,39,46
2014-03-29,53,¡º,37,53,25,1.1,55,35
2014-03-30,42,”≈,30,41,19,1.3,63,20
2014-03-31,37,”≈,26,35,22,1.3,54,34
2014-04-01,53,¡º,37,51,22,1.4,57,23
2014-04-02,51,¡º,36,45,18,1.5,63,31
2014-04-03,44,”≈,31,40,16,1.4,60,59
2014-04-04,65,¡º,47,64,23,1.3,52,95
2014-04-05,76,¡º,50,66,26,1.1,56,131
2014-04-06,71,¡º,52,62,22,1.2,60,83
2014-04-07,70,¡º,51,63,24,1.3,62,38
2014-04-08,82,¡º,60,79,24,1.4,78,36
2014-04-09,94,¡º,70,102,29,1.6,83,145
2014-04-10,50,”≈,34,50,22,1,50,93
2014-04-11,52,¡º,37,54,23,1,49,64
2014-04-12,53,¡º,34,56,22,1,42,66
2014-04-13,67,¡º,49,80,36,1.2,44,92
2014-04-14,69,¡º,50,73,31,1.4,57,59
2014-04-15,51,¡º,31,52,20,1,42,85
2014-04-16,53,¡º,37,56,17,1,40,69
2014-04-17,54,¡º,35,58,24,1,43,82
2014-04-18,51,¡º,34,53,21,1,34,98
2014-04-19,49,”≈,31,49,20,0.9,36,70
2014-04-20,63,¡º,45,75,35,1.2,54,42
2014-04-21,51,¡º,30,51,24,1.1,38,55
2014-04-22,52,¡º,36,54,20,1.2,52,32
2014-04-23,49,”≈,35,49,18,1.4,53,20
2014-04-24,51,¡º,34,52,17,1.1,57,36
2014-04-25,52,¡º,34,53,20,1.1,53,39
2014-04-26,43,”≈,30,41,17,1.1,55,43
2014-04-27,52,¡º,36,54,26,1.4,51,69
2014-04-28,89,¡º,40,61,29,1.3,39,147
2014-04-29,80,¡º,59,83,26,1.3,54,119
2014-04-30,59,¡º,43,55,16,1.2,45,80
2014-05-01,50,”≈,35,47,19,1.2,49,34
2014-05-02,63,¡º,45,64,22,1.5,56,94
2014-05-03,105,«·∂»Œ€»æ,44,69,25,1.3,56,165
2014-05-04,54,¡º,38,50,18,1.1,52,99
2014-05-05,31,”≈,17,26,14,1.1,37,62
2014-05-06,52,¡º,37,47,20,1.2,58,35
2014-05-07,55,¡º,39,48,17,1.4,78,22
2014-05-08,64,¡º,47,60,20,1.6,88,21
2014-05-09,36,”≈,25,33,18,1.2,69,18
2014-05-10,31,”≈,22,28,16,0.8,42,52
2014-05-11,39,”≈,23,39,20,0.9,50,56
2014-05-12,75,¡º,55,79,29,1.5,75,60
2014-05-13,65,¡º,42,79,27,1.3,55,58
2014-05-14,36,”≈,18,36,18,0.7,28,56
2014-05-15,50,”≈,30,50,18,1,44,90
2014-05-16,53,¡º,35,56,21,1.1,50,55
2014-05-17,30,”≈,18,30,14,0.7,31,52
2014-05-18,45,”≈,29,45,20,1.1,52,44
2014-05-19,52,¡º,34,54,25,1.1,57,74
2014-05-20,53,¡º,36,56,25,1.1,61,55
2014-05-21,47,”≈,30,47,19,1,52,56
2014-05-22,32,”≈,17,32,14,0.7,38,48
2014-05-23,59,¡º,42,60,20,1.1,64,27
2014-05-24,45,”≈,26,45,14,0.8,39,42
2014-05-25,35,”≈,19,35,16,0.6,23,69
