日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,118,轻度污染,90,113,16,2.8,42,47
2015-01-01,39,优,28,39,14,2,13,49
2015-01-02,44,优,31,39,15,2,12,53
2015-01-03,88,良,65,83,28,2.6,26,53
2015-01-04,296,重度污染,246,305,28,4.6,58,39
2015-01-05,212,重度污染,162,210,27,3.7,43,37
2015-01-06,32,优,20,32,13,2.1,9,52
2015-01-07,29,优,18,29,11,1.7,8,45
2015-01-08,37,优,23,37,12,1.1,14,50
2015-01-09,59,良,42,57,15,0.9,25,46
2015-01-10,107,轻度污染,81,99,17,1.1,33,52
2015-01-11,75,良,55,71,10,0.9,26,49
2015-01-12,49,优,34,45,13,0.6,17,48
2015-01-13,60,良,43,57,24,0.9,27,51
2015-01-14,82,良,60,82,18,1.4,39,40
2015-01-15,66,良,47,72,21,1.3,33,43
2015-01-16,67,良,49,67,21,1.1,26,45
2015-01-17,26,优,17,26,16,0.7,11,51
2015-01-18,39,优,25,39,24,0.8,25,48
2015-01-19,44,优,28,44,17,1,19,44
2015-01-20,60,良,43,58,20,1,22,48
2015-01-21,104,轻度污染,78,113,15,1.7,31,47
2015-01-22,115,轻度污染,87,131,21,1.6,34,60
2015-01-23,153,中度污染,117,169,18,1.8,41,46
2015-01-24,132,轻度污染,101,153,16,1.7,33,55
2015-01-25,220,重度污染,170,248,14,2.7,62,31
2015-01-26,144,轻度污染,110,150,20,1.7,44,46
2015-01-27,28,优,16,27,8,0.5,10,55
2015-01-28,35,优,20,35,15,0.6,19,58
2015-01-29,54,良,36,58,26,0.7,26,68
2015-01-30,80,良,59,95,18,1.2,32,61
2015-01-31,57,良,40,64,13,0.7,22,60
2015-02-01,56,良,36,62,13,0.8,27,58
2015-02-02,62,良,45,73,19,0.9,34,65
2015-02-03,67,良,49,85,21,1.1,41,50
2015-02-04,147,轻度污染,113,178,19,2.1,58,43
2015-02-05,132,轻度污染,100,152,20,1.6,42,73
2015-02-06,63,良,45,76,22,0.7,28,66
2015-02-07,53,良,33,55,15,0.5,17,65
2015-02-08,30,优,13,25,8,0.3,9,59
2015-02-09,33,优,12,24,10,0.3,10,65
2015-02-10,34,优,13,27,12,0.3,12,68
2015-02-11,35,优,17,29,14,0.3,14,70
2015-02-12,64,良,45,77,19,0.9,34,61
2015-02-13,47,优,30,47,21,0.5,23,78
2015-02-14,41,优,24,41,19,0.4,22,82
2015-02-15,60,良,43,70,15,1,34,74
2015-02-16,87,良,65,102,12,1.1,35,80
2015-02-17,38,优,21,38,14,0.4,18,71
2015-02-18,50,优,29,51,20,0.5,20,78
2015-02-19,67,良,48,80,25,0.6,17,81
2015-02-20,83,良,61,96,18,1,31,75
2015-02-21,47,优,29,47,14,0.5,18,66
2015-02-22,141,轻度污染,63,232,13,0.4,17,115
2015-02-23,166,中度污染,79,282,14,0.4,13,112
2015-02-24,45,优,23,45,18,0.6,21,80
2015-02-25,111,轻度污染,84,126,18,1.3,41,92
2015-02-26,91,良,68,98,18,1,37,77
2015-02-27,51,良,36,53,15,0.5,18,87
2015-02-28,55,良,39,54,23,0.5,21,94
2015-03-01,45,优,32,41,19,0.4,12,79
2015-03-02,62,良,44,56,17,0.5,20,99
2015-03-03,65,良,47,64,20,0.5,21,96
2015-03-04,46,优,31,43,14,0.5,21,91
2015-03-05,49,优,34,47,18,0.5,17,91
2015-03-06,51,良,34,52,21,0.8,26,83
2015-03-07,44,优,25,40,21,0.6,14,87
2015-03-08,41,优,17,29,16,0.6,16,82
2015-03-09,34,优,18,31,15,0.7,17,68
2015-03-10,36,优,10,22,13,0.6,10,72
2015-03-11,40,优,9,29,11,0.5,5,79
2015-03-12,39,优,11,18,12,0.5,9,78
2015-03-13,43,优,22,35,10,0.6,19,86
2015-03-14,53,良,26,40,9,0.5,17,103
2015-03-15,64,良,29,77,11,0.6,23,101
2015-03-16,88,良,46,127,13,0.8,20,85
2015-03-17,47,优,23,47,11,0.6,13,91
2015-03-18,43,优,20,42,12,0.6,19,86
2015-03-19,50,优,22,50,11,0.8,25,75
2015-03-20,43,优,13,31,11,0.5,12,85
2015-03-21,44,优,12,40,12,0.5,15,87
2015-03-22,43,优,10,43,12,0.5,10,81
2015-03-23,36,优,11,28,11,0.6,9,71
2015-03-24,43,优,18,27,10,0.5,12,85
2015-03-25,75,良,33,50,15,0.5,19,130
2015-03-26,108,轻度污染,54,86,22,0.8,18,169
2015-03-27,105,轻度污染,74,139,19,1,18,165
2015-03-28,39,优,12,25,10,0.5,18,78
2015-03-29,43,优,30,43,11,0.6,16,85
2015-03-30,58,良,42,59,13,0.7,18,97
2015-03-31,49,优,19,31,9,0.5,13,97
2015-04-01,66,良,27,47,10,0.5,13,119
2015-04-02,70,良,42,64,13,0.6,19,124
2015-04-03,55,良,14,27,10,0.4,10,106
2015-04-04,37,优,12,28,14,0.4,8,73
2015-04-05,38,优,15,28,13,0.5,10,75
2015-04-06,43,优,16,24,12,0.4,5,85
2015-04-07,42,优,14,24,12,0.4,7,84
2015-04-08,49,优,19,38,15,0.4,11,97
2015-04-09,63,良,45,58,13,0.7,15,104
2015-04-10,64,良,46,65,7,0.8,19,84
2015-04-11,44,优,20,32,7,0.5,14,87
2015-04-12,53,良,30,48,9,0.5,15,103
2015-04-13,67,良,36,65,13,0.5,13,120
2015-04-14,72,良,42,95,19,0.6,19,122
2015-04-15,72,良,44,94,19,0.7,20,120
2015-04-16,72,良,44,95,14,0.6,13,117
2015-04-17,54,良,38,57,9,0.6,14,76
2015-04-18,32,优,18,31,10,0.5,14,64
2015-04-19,71,良,52,82,11,0.7,20,113
2015-04-20,88,良,61,126,9,0.7,19,110
2015-04-21,53,良,25,55,7,0.4,11,83
2015-04-22,67,良,37,57,8,0.5,14,120
2015-04-23,66,良,28,70,8,0.4,10,119
2015-04-24,48,优,23,38,8,0.5,14,95
2015-04-25,70,良,51,90,12,0.7,23,116
2015-04-26,90,良,63,129,14,0.8,17,129
2015-04-27,49,优,28,48,10,0.5,16,98
2015-04-28,63,良,45,71,11,0.7,24,112
2015-04-29,86,良,64,102,11,0.8,29,142
2015-04-30,75,良,32,70,9,0.4,18,130
2015-05-01,57,良,30,60,10,0.4,23,108
2015-05-02,59,良,42,60,10,0.6,20,98
2015-05-03,65,良,41,81,10,0.7,25,103
2015-05-04,50,优,15,51,10,0.4,15,85
2015-05-05,99,良,28,148,9,0.4,13,90
2015-05-06,36,优,7,15,9,0.4,6,71
2015-05-07,40,优,8,15,7,0.3,8,79
2015-05-08,37,优,13,23,8,0.4,9,74
2015-05-09,43,优,10,21,8,0.4,9,85
2015-05-10,51,良,13,27,7,0.3,6,101
2015-05-11,56,良,18,38,6,0.4,11,107
2015-05-12,39,优,19,34,8,0.6,18,78
2015-05-13,47,优,13,24,8,0.6,12,93
2015-05-14,35,优,12,26,8,0.6,11,70
2015-05-15,40,优,14,27,6,0.5,6,80
2015-05-16,41,优,14,31,6,0.5,8,82
2015-05-17,40,优,10,23,7,0.5,8,80
2015-05-18,47,优,12,31,8,0.6,11,93
2015-05-19,39,优,7,14,7,0.6,8,78
2015-05-20,45,优,15,31,8,0.7,13,89
2015-05-21,47,优,16,37,8,0.7,10,94
2015-05-22,45,优,17,34,6,0.7,10,90
2015-05-23,39,优,15,31,7,0.7,12,77
2015-05-24,44,优,18,44,7,0.7,17,75
2015-05-25,30,优,12,21,7,0.7,11,60
