»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,294,÷ÿ∂»Œ€»æ,244,377,144,4.2,138,29
2013-12-03,329,—œ÷ÿŒ€»æ,279,426,123,5.2,107,44
2013-12-04,273,÷ÿ∂»Œ€»æ,223,357,141,3.8,101,23
2013-12-05,137,«·∂»Œ€»æ,105,187,95,2.8,81,27
2013-12-06,288,÷ÿ∂»Œ€»æ,238,379,122,3.9,105,21
2013-12-07,477,—œ÷ÿŒ€»æ,383,577,143,5.9,125,31
2013-12-08,367,—œ÷ÿŒ€»æ,301,474,75,4.4,100,20
2013-12-09,75,¡º,49,100,58,1.7,51,29
2013-12-10,183,÷–∂»Œ€»æ,138,237,73,3,63,42
2013-12-11,90,¡º,51,129,94,1.9,56,43
2013-12-12,115,«·∂»Œ€»æ,87,177,87,2.7,68,34
2013-12-13,159,÷–∂»Œ€»æ,121,199,141,2.8,73,27
2013-12-14,241,÷ÿ∂»Œ€»æ,191,293,165,3.3,107,28
2013-12-15,265,÷ÿ∂»Œ€»æ,215,326,160,4.4,118,26
2013-12-16,298,÷ÿ∂»Œ€»æ,248,377,167,4.3,129,26
2013-12-17,242,÷ÿ∂»Œ€»æ,192,304,165,4.4,113,15
2013-12-18,171,÷–∂»Œ€»æ,130,203,103,3.3,73,24
2013-12-19,221,÷ÿ∂»Œ€»æ,171,252,117,3.5,87,27
2013-12-20,345,—œ÷ÿŒ€»æ,295,437,158,5.6,123,27
2013-12-21,417,—œ÷ÿŒ€»æ,360,517,138,5.7,128,29
2013-12-22,336,—œ÷ÿŒ€»æ,286,425,193,4.8,122,22
2013-12-23,484,—œ÷ÿŒ€»æ,390,584,197,6.7,149,26
2013-12-24,416,—œ÷ÿŒ€»æ,353,516,206,5.8,167,22
2013-12-26,71,¡º,37,91,47,1.3,46,41
2013-12-27,169,÷–∂»Œ€»æ,128,207,112,2.8,90,23
2013-12-28,102,«·∂»Œ€»æ,76,143,82,1.5,65,36
2013-12-29,100,¡º,63,149,76,1.2,62,38
2013-12-30,127,«·∂»Œ€»æ,77,204,70,1.7,67,48
2013-12-31,137,«·∂»Œ€»æ,56,224,48,1.4,52,51
2014-01-01,117,«·∂»Œ€»æ,77,185,64,1.8,57,48
2014-01-02,278,÷ÿ∂»Œ€»æ,228,375,134,4.8,124,25
2014-01-03,251,÷ÿ∂»Œ€»æ,201,347,111,4.4,97,30
2014-01-04,245,÷ÿ∂»Œ€»æ,195,306,118,3,98,18
2014-01-05,229,÷ÿ∂»Œ€»æ,179,322,121,3.4,114,22
2014-01-06,203,÷ÿ∂»Œ€»æ,153,264,107,2.8,83,17
2014-01-07,257,÷ÿ∂»Œ€»æ,207,317,115,3.1,91,27
2014-01-08,127,«·∂»Œ€»æ,96,161,75,2.4,64,39
2014-01-09,151,÷–∂»Œ€»æ,116,199,97,2.1,71,42
2014-01-10,302,—œ÷ÿŒ€»æ,252,378,139,4.2,99,36
2014-01-11,445,—œ÷ÿŒ€»æ,360,545,175,5.7,132,42
2014-01-12,261,÷ÿ∂»Œ€»æ,211,321,119,3.6,93,56
2014-01-13,268,÷ÿ∂»Œ€»æ,218,324,167,3.7,95,37
2014-01-14,270,÷ÿ∂»Œ€»æ,220,324,150,3.9,109,30
2014-01-15,477,—œ÷ÿŒ€»æ,396,577,174,6.4,141,25
2014-01-17,366,—œ÷ÿŒ€»æ,316,445,134,3.8,113,21
2014-01-19,399,—œ÷ÿŒ€»æ,303,499,124,4.7,122,27
2014-01-20,95,¡º,26,140,37,0.7,27,59
2014-01-21,134,«·∂»Œ€»æ,103,152,83,2.6,63,35
2014-01-22,258,÷ÿ∂»Œ€»æ,208,326,157,4.3,106,28
2014-01-23,350,—œ÷ÿŒ€»æ,300,455,199,5.8,149,21
2014-01-24,285,÷ÿ∂»Œ€»æ,235,398,186,4.3,154,22
2014-01-25,204,÷ÿ∂»Œ€»æ,154,254,143,3.3,103,41
2014-01-26,134,«·∂»Œ€»æ,102,168,118,2.1,58,45
2014-01-27,298,÷ÿ∂»Œ€»æ,248,357,161,4.7,101,30
2014-01-28,219,÷ÿ∂»Œ€»æ,169,242,103,3,74,56
2014-01-29,253,÷ÿ∂»Œ€»æ,203,324,143,3.9,80,40
2014-01-30,250,÷ÿ∂»Œ€»æ,200,323,127,3.3,88,57
2014-01-31,236,÷ÿ∂»Œ€»æ,186,293,103,2.7,53,41
2014-02-01,175,÷–∂»Œ€»æ,133,229,77,2.8,52,32
2014-02-02,253,÷ÿ∂»Œ€»æ,203,350,92,3.1,59,39
2014-02-03,83,¡º,44,116,44,1.5,28,68
2014-02-04,78,¡º,56,106,56,1.9,32,71
2014-02-05,111,«·∂»Œ€»æ,84,137,82,1.6,34,59
2014-02-06,194,÷–∂»Œ€»æ,146,226,92,2.8,55,63
2014-02-07,127,«·∂»Œ€»æ,96,131,51,1.7,41,44
2014-02-08,138,«·∂»Œ€»æ,105,147,53,1.8,35,76
2014-02-09,52,¡º,36,54,58,1.3,36,65
2014-02-10,161,÷–∂»Œ€»æ,122,163,75,2.5,53,68
2014-02-11,202,÷ÿ∂»Œ€»æ,152,228,147,3.3,75,59
2014-02-12,291,÷ÿ∂»Œ€»æ,241,348,167,4.2,101,53
2014-02-13,411,—œ÷ÿŒ€»æ,311,511,176,5.9,112,45
2014-02-14,470,—œ÷ÿŒ€»æ,374,570,174,6.1,126,47
2014-02-16,410,—œ÷ÿŒ€»æ,347,510,178,4.8,116,42
2014-02-17,162,÷–∂»Œ€»æ,124,206,100,2.8,58,72
2014-02-18,109,«·∂»Œ€»æ,82,139,73,2.2,60,70
2014-02-19,124,«·∂»Œ€»æ,94,163,86,2.4,67,47
2014-02-20,273,÷ÿ∂»Œ€»æ,223,334,122,3.4,81,40
2014-02-21,303,—œ÷ÿŒ€»æ,253,389,156,3.8,120,21
2014-02-22,337,—œ÷ÿŒ€»æ,287,443,165,4.4,126,20
2014-02-23,279,÷ÿ∂»Œ€»æ,229,351,110,3.6,89,12
2014-02-24,290,÷ÿ∂»Œ€»æ,240,376,158,4.4,102,12
2014-02-25,462,—œ÷ÿŒ€»æ,358,562,202,5.6,128,23
2014-02-27,149,«·∂»Œ€»æ,115,174,66,2.9,64,56
2014-02-28,118,«·∂»Œ€»æ,90,153,127,3.3,70,46
2014-03-01,174,÷–∂»Œ€»æ,132,230,117,3.4,73,65
2014-03-02,239,÷ÿ∂»Œ€»æ,189,311,126,4.1,93,52
2014-03-03,282,÷ÿ∂»Œ€»æ,232,364,94,4.6,98,37
2014-03-04,168,÷–∂»Œ€»æ,127,232,90,3.5,75,54
2014-03-05,74,¡º,47,98,61,2.3,49,66
2014-03-06,98,¡º,74,137,71,2.6,55,60
2014-03-07,147,«·∂»Œ€»æ,112,203,102,3.3,83,41
2014-03-08,266,÷ÿ∂»Œ€»æ,216,360,170,4.4,108,57
2014-03-09,234,÷ÿ∂»Œ€»æ,184,300,119,3.3,91,75
2014-03-10,143,«·∂»Œ€»æ,110,187,95,2.9,74,44
2014-03-11,277,÷ÿ∂»Œ€»æ,225,404,129,4.1,106,71
2014-03-12,100,¡º,32,151,47,1.6,35,72
2014-03-13,98,¡º,61,146,71,2.3,57,78
2014-03-14,97,¡º,33,144,55,2.2,43,82
2014-03-15,148,«·∂»Œ€»æ,91,245,91,6.8,74,80
2014-03-16,197,÷–∂»Œ€»æ,148,327,92,3.9,91,78
2014-03-17,292,÷ÿ∂»Œ€»æ,189,415,94,3.5,96,48
2014-03-18,136,«·∂»Œ€»æ,51,221,36,2.6,40,86
2014-03-19,79,¡º,51,109,35,2.2,42,91
2014-03-20,68,¡º,29,87,23,4.5,38,94
2014-03-21,116,«·∂»Œ€»æ,68,183,41,7.4,55,90
2014-03-22,136,«·∂»Œ€»æ,93,222,54,9.9,72,84
2014-03-23,154,÷–∂»Œ€»æ,118,243,55,2.3,63,121
2014-03-24,219,÷ÿ∂»Œ€»æ,169,309,80,2.2,78,85
2014-03-25,235,÷ÿ∂»Œ€»æ,185,345,61,2.1,80,103
2014-03-26,304,—œ÷ÿŒ€»æ,234,423,78,2.7,66,91
2014-03-27,296,÷ÿ∂»Œ€»æ,246,384,41,2,63,58
2014-03-28,190,÷–∂»Œ€»æ,143,318,46,1.5,75,73
2014-03-29,210,÷ÿ∂»Œ€»æ,160,317,32,1.6,75,88
2014-03-30,133,«·∂»Œ€»æ,95,216,23,0.6,54,86
2014-03-31,148,«·∂»Œ€»æ,107,246,48,0.9,54,76
2014-04-01,111,«·∂»Œ€»æ,84,168,29,0.7,44,80
2014-04-02,162,÷–∂»Œ€»æ,119,273,38,0.7,45,89
2014-04-03,95,¡º,46,139,33,0.5,34,86
2014-04-04,137,«·∂»Œ€»æ,37,225,19,0.7,29,81
2014-04-05,97,¡º,37,144,20,0.5,23,92
2014-04-06,133,«·∂»Œ€»æ,68,217,46,0.9,43,83
2014-04-07,146,«·∂»Œ€»æ,93,242,46,1.1,44,117
