日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,112,轻度污染,84,120,26,2.8,43,39
2015-01-01,140,轻度污染,107,157,24,3,46,31
2015-01-02,95,良,71,119,26,3,28,52
2015-01-03,88,良,65,103,34,3.2,27,62
2015-01-04,103,轻度污染,77,100,41,2,23,90
2015-01-05,83,良,61,19,18,0.5,15,67
2015-01-06,69,良,47,63,27,0.7,19,123
2015-01-07,102,轻度污染,76,117,24,0.8,29,87
2015-01-08,107,轻度污染,80,121,30,0.9,33,68
2015-01-09,63,良,45,41,12,0.8,18,51
2015-01-10,54,良,39,29,13,1,11,49
2015-01-11,62,良,45,42,15,1.5,15,54
2015-01-12,80,良,59,78,14,1.9,20,51
2015-01-13,92,良,69,99,24,2.1,26,84
2015-01-14,80,良,59,92,19,2.3,26,85
2015-01-15,75,良,55,87,23,2.6,28,84
2015-01-16,85,良,63,97,29,2.1,29,85
2015-01-17,108,轻度污染,81,119,22,1.4,34,58
2015-01-18,57,良,40,15,15,1.4,20,62
2015-01-19,80,良,59,18,14,0.7,18,68
2015-01-20,68,良,49,62,19,0.2,19,72
2015-01-21,71,良,52,72,21,0.4,26,75
2015-01-22,92,良,69,77,23,0.4,29,76
2015-01-23,69,良,50,80,26,0.5,24,78
2015-01-24,60,良,41,70,20,0.6,23,75
2015-01-25,72,良,53,69,24,0.7,23,82
2015-01-26,69,良,50,75,29,0.7,25,83
2015-01-27,79,良,58,80,27,0.8,29,89
2015-01-28,63,良,45,72,24,0.9,25,93
2015-01-29,69,良,50,67,27,1.2,22,95
2015-01-30,73,良,53,77,24,1.8,29,98
2015-01-31,72,良,53,43,19,1,20,81
2015-02-01,85,良,63,66,25,1.3,22,91
2015-02-02,88,良,65,88,38,1.5,25,82
2015-02-03,71,良,52,76,19,1.7,25,83
2015-02-04,66,良,47,67,28,1.9,19,84
2015-02-05,63,良,45,73,26,2.1,21,92
2015-02-06,57,良,41,59,27,2.4,23,96
2015-02-07,62,良,44,65,23,2.5,20,90
2015-02-08,87,良,64,71,27,2.7,21,105
2015-02-09,83,良,62,78,29,2.2,22,109
2015-02-10,72,良,53,68,24,1.2,19,104
2015-02-11,83,良,62,68,17,0.3,20,91
2015-02-12,87,良,64,82,26,0.4,23,95
2015-02-13,90,良,67,84,29,0.5,22,90
2015-02-14,58,良,41,36,8,0.5,11,82
2015-02-15,76,良,56,51,13,0.6,16,89
2015-02-16,84,良,62,51,6,0.7,19,98
2015-02-17,80,良,59,49,6,0.9,15,92
2015-02-18,97,良,73,69,12,1,13,95
2015-02-19,155,中度污染,119,60,39,1,8,88
2015-02-20,82,良,61,33,10,1.1,9,86
2015-02-21,61,良,44,45,5,1.2,8,87
2015-02-22,71,良,52,57,4,1.4,9,84
2015-02-23,73,良,54,33,6,1.6,9,86
2015-02-24,82,良,61,30,7,1.8,11,91
2015-02-25,79,良,58,40,9,1.9,10,92
2015-02-26,114,轻度污染,86,76,19,2.2,13,104
2015-02-27,99,良,74,70,13,2.4,16,127
2015-02-28,102,轻度污染,77,63,10,2.5,15,121
2015-03-01,100,良,75,61,19,2.6,20,123
2015-03-02,85,良,63,66,13,2.8,22,109
2015-03-03,75,良,55,61,16,3.1,24,98
2015-03-04,58,良,41,35,7,2,6,96
2015-03-05,53,良,37,5,8,0.1,6,100
2015-03-06,62,良,45,45,13,0.2,14,104
2015-03-07,65,良,47,37,12,0.3,17,103
2015-03-08,65,良,47,48,11,0.5,22,107
2015-03-09,77,良,56,70,22,0.7,24,110
2015-03-10,93,良,69,82,31,0.8,27,140
2015-03-11,118,轻度污染,89,75,18,0.6,30,140
2015-03-12,70,良,44,78,14,0.4,17,124
2015-03-13,92,良,53,79,10,0.3,23,150
2015-03-14,100,良,75,104,15,0.2,34,147
2015-03-15,87,良,65,79,18,0.2,21,137
2015-03-16,80,良,59,77,9,0.2,23,123
