»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,83,¡º,0,116,59,0,44,0
2013-12-02,86,¡º,0,122,67,0,22,0
2013-12-03,114,«·∂»Œ€»æ,0,177,108,0,39,0
2013-12-04,99,¡º,0,147,84,0,34,0
2013-12-05,112,«·∂»Œ€»æ,0,174,89,0,38,0
2013-12-06,112,«·∂»Œ€»æ,0,174,49,0,46,0
2013-12-07,212,÷ÿ∂»Œ€»æ,162,215,64,1.6,50,110
2013-12-08,282,÷ÿ∂»Œ€»æ,232,343,40,2.3,84,77
2013-12-09,162,÷–∂»Œ€»æ,123,187,32,1.4,55,50
2013-12-10,128,«·∂»Œ€»æ,97,154,29,1.2,44,78
2013-12-11,115,«·∂»Œ€»æ,87,144,50,1,52,53
2013-12-12,208,÷ÿ∂»Œ€»æ,90,131,66,1.3,49,124
2013-12-13,178,÷–∂»Œ€»æ,134,203,93,1.8,66,77
2013-12-14,149,«·∂»Œ€»æ,114,231,53,2.3,63,89
2013-12-15,225,÷ÿ∂»Œ€»æ,175,345,98,2.1,90,56
2013-12-16,269,÷ÿ∂»Œ€»æ,214,398,43,1.7,68,36
2013-12-17,124,«·∂»Œ€»æ,94,135,34,0.8,37,44
2013-12-18,305,—œ÷ÿŒ€»æ,255,336,86,2.5,83,18
2013-12-19,245,÷ÿ∂»Œ€»æ,195,262,93,1.7,66,36
2013-12-20,251,÷ÿ∂»Œ€»æ,201,273,62,2.1,58,48
2013-12-21,180,÷–∂»Œ€»æ,136,174,42,2,65,45
2013-12-22,149,«·∂»Œ€»æ,114,154,50,2.1,65,52
2013-12-23,124,«·∂»Œ€»æ,94,142,53,2.3,67,50
2013-12-24,143,«·∂»Œ€»æ,109,150,40,2.1,68,88
2013-12-25,172,÷–∂»Œ€»æ,130,164,44,2.5,67,88
2013-12-26,152,÷–∂»Œ€»æ,116,166,80,1.9,72,49
2013-12-27,92,¡º,68,98,54,1.5,52,56
2013-12-28,70,¡º,51,89,50,1.5,56,77
2013-12-29,68,¡º,45,85,58,1,48,85
2013-12-30,80,¡º,59,110,60,1.4,56,112
2013-12-31,80,¡º,59,109,55,1.4,52,90
2014-01-01,123,«·∂»Œ€»æ,93,154,49,1.7,65,96
2014-01-02,193,÷–∂»Œ€»æ,145,206,56,0,79,68
2014-01-03,144,«·∂»Œ€»æ,110,187,51,0,61,0
2014-01-04,108,«·∂»Œ€»æ,81,141,44,1.4,53,61
2014-01-05,159,÷–∂»Œ€»æ,121,157,63,1.5,66,81
2014-01-06,360,—œ÷ÿŒ€»æ,310,407,54,2.3,84,43
2014-01-07,290,÷ÿ∂»Œ€»æ,240,308,68,2.2,79,20
2014-01-08,188,÷–∂»Œ€»æ,141,192,66,0,0,87
2014-01-09,189,÷–∂»Œ€»æ,142,204,56,0,0,0
2014-01-10,196,÷–∂»Œ€»æ,147,215,50,2.2,64,28
2014-01-11,172,÷–∂»Œ€»æ,130,183,74,1.3,77,66
2014-01-12,231,÷ÿ∂»Œ€»æ,181,241,95,0,78,51
2014-01-13,279,÷ÿ∂»Œ€»æ,229,307,83,2,84,50
2014-01-14,258,÷ÿ∂»Œ€»æ,208,270,44,1.7,53,41
2014-01-15,252,÷ÿ∂»Œ€»æ,202,287,64,1.6,64,31
2014-01-16,254,÷ÿ∂»Œ€»æ,204,280,68,2.1,69,51
2014-01-17,350,—œ÷ÿŒ€»æ,300,398,94,2.6,87,36
2014-01-18,282,÷ÿ∂»Œ€»æ,232,309,90,2.1,81,63
2014-01-19,230,÷ÿ∂»Œ€»æ,180,250,69,2.4,82,58
2014-01-20,127,«·∂»Œ€»æ,96,160,32,1.7,51,65
2014-01-21,102,«·∂»Œ€»æ,76,132,36,1.4,49,55
2014-01-22,107,«·∂»Œ€»æ,80,122,40,1.3,56,86
2014-01-23,144,«·∂»Œ€»æ,110,161,40,2.2,68,108
2014-01-24,185,÷–∂»Œ€»æ,139,195,50,2.3,73,101
2014-01-25,221,÷ÿ∂»Œ€»æ,171,241,119,2.4,89,63
2014-01-26,172,÷–∂»Œ€»æ,130,179,46,1.5,54,67
2014-01-27,176,÷–∂»Œ€»æ,133,167,36,1.6,49,102
2014-01-28,227,÷ÿ∂»Œ€»æ,177,228,42,2,58,56
2014-01-29,209,÷ÿ∂»Œ€»æ,159,191,30,1.6,33,72
2014-01-30,190,÷–∂»Œ€»æ,143,173,41,1.6,25,70
2014-01-31,224,÷ÿ∂»Œ€»æ,174,208,45,1.9,32,54
2014-02-01,226,÷ÿ∂»Œ€»æ,176,238,27,2.4,41,0
2014-02-02,230,÷ÿ∂»Œ€»æ,180,241,32,2.3,35,39
2014-02-03,39,”≈,0,0,39,0,27,26
2014-02-04,46,”≈,25,46,20,0,13,45
2014-02-05,48,”≈,33,41,25,0.5,16,48
2014-02-06,64,¡º,46,49,21,0.6,22,34
2014-02-07,98,¡º,73,78,64,0.8,28,72
2014-02-08,39,”≈,0,0,0,0,0,77
2014-02-09,72,¡º,0,94,61,0,28,0
2014-02-10,51,¡º,0,51,32,0.8,31,77
2014-02-11,60,¡º,0,69,28,0.9,37,83
2014-02-12,65,¡º,0,79,21,0.8,35,76
2014-02-13,153,÷–∂»Œ€»æ,117,139,38,1.3,42,52
2014-02-14,142,«·∂»Œ€»æ,108,127,32,0,34,0
2014-02-15,115,«·∂»Œ€»æ,87,106,33,1.5,42,64
2014-02-16,112,«·∂»Œ€»æ,84,96,18,1.2,35,27
2014-02-17,175,÷–∂»Œ€»æ,132,143,12,1.8,39,25
2014-02-18,59,¡º,42,43,16,0.6,22,62
2014-02-19,83,¡º,61,66,31,0.9,24,86
2014-02-20,92,¡º,68,93,37,1,29,103
2014-02-21,85,¡º,63,100,43,1.1,40,65
2014-02-22,135,«·∂»Œ€»æ,103,136,48,1.1,38,48
2014-02-23,207,÷ÿ∂»Œ€»æ,157,202,41,1.4,46,44
2014-02-24,172,÷–∂»Œ€»æ,130,167,34,1.2,39,32
2014-02-25,134,«·∂»Œ€»æ,102,134,22,1,27,33
2014-02-26,99,¡º,74,111,23,1.2,29,26
2014-02-27,110,«·∂»Œ€»æ,83,110,22,1.4,31,12
2014-02-28,60,¡º,43,0,18,0.8,24,26
2014-03-01,113,«·∂»Œ€»æ,85,101,33,0.7,28,37
2014-03-02,147,«·∂»Œ€»æ,112,142,72,1,30,44
2014-03-03,115,«·∂»Œ€»æ,87,129,0,1.4,40,61
2014-03-04,168,÷–∂»Œ€»æ,127,170,57,1.3,37,86
2014-03-05,170,÷–∂»Œ€»æ,129,181,40,1.1,36,77
2014-03-06,74,¡º,54,83,27,0.6,27,76
2014-03-07,78,¡º,57,88,38,0.7,34,71
2014-03-08,97,¡º,72,109,50,0.9,36,102
2014-03-09,84,¡º,62,97,25,0.9,39,117
2014-03-10,92,¡º,68,109,29,1,40,124
2014-03-11,77,¡º,56,98,26,0.9,38,97
2014-03-12,113,«·∂»Œ€»æ,66,176,22,0.9,35,37
2014-03-13,63,¡º,38,75,34,0.6,28,85
2014-03-14,64,¡º,40,77,28,0.5,20,116
2014-03-15,64,¡º,45,78,33,0.6,20,111
2014-03-16,95,¡º,71,94,56,0.7,22,109
2014-03-17,97,¡º,72,100,75,0.9,35,149
2014-03-18,165,÷–∂»Œ€»æ,125,232,69,1.4,53,67
2014-03-19,125,«·∂»Œ€»æ,83,199,57,0.9,38,65
2014-03-20,89,¡º,66,118,48,0.7,52,86
2014-03-21,70,¡º,46,82,41,0.7,43,123
2014-03-22,90,¡º,67,101,60,0.9,45,140
2014-03-23,119,«·∂»Œ€»æ,90,147,76,1.3,81,0
2014-03-24,142,«·∂»Œ€»æ,108,136,0,1.1,40,0
2014-03-25,73,¡º,53,0,0,1,20,0
2014-03-26,94,¡º,70,103,0,0.8,22,150
2014-03-27,105,«·∂»Œ€»æ,64,139,0,0.9,47,165
2014-03-28,112,«·∂»Œ€»æ,84,136,19,0.9,40,88
2014-03-29,142,«·∂»Œ€»æ,94,233,37,0.9,42,157
2014-03-30,169,÷–∂»Œ€»æ,128,248,28,1,38,145
2014-03-31,72,¡º,46,78,18,0.4,27,126
2014-04-01,86,¡º,44,94,33,0.6,37,143
2014-04-02,97,¡º,50,93,38,0.6,39,156
2014-04-03,119,«·∂»Œ€»æ,90,165,48,0.7,36,163
2014-04-05,120,«·∂»Œ€»æ,85,190,34,0,24,132
2014-04-06,69,¡º,35,88,34,0,28,87
2014-04-07,113,«·∂»Œ€»æ,85,139,45,0,28,127
2014-04-08,122,«·∂»Œ€»æ,86,130,37,0,23,184
2014-04-09,129,«·∂»Œ€»æ,66,104,27,0.8,27,191
2014-04-10,97,¡º,72,142,43,1,50,125
2014-04-11,117,«·∂»Œ€»æ,88,127,21,0.9,36,33
2014-04-12,156,÷–∂»Œ€»æ,119,152,23,1.1,30,52
2014-04-13,117,«·∂»Œ€»æ,88,132,25,0.8,28,82
2014-04-14,76,¡º,54,101,30,0,30,0
2014-04-15,115,«·∂»Œ€»æ,87,0,0,0.7,36,66
2014-04-16,98,¡º,73,96,15,0,22,86
2014-04-17,110,«·∂»Œ€»æ,83,119,24,0.8,26,117
2014-04-18,95,¡º,71,98,23,0.8,24,83
2014-04-19,57,¡º,40,54,16,0.5,21,94
2014-04-20,84,¡º,62,89,23,0.7,32,95
2014-04-21,82,¡º,60,80,14,0.6,21,67
2014-04-22,76,¡º,53,83,28,0.6,22,131
2014-04-23,72,¡º,52,74,34,0.6,21,114
2014-04-24,84,¡º,62,90,31,0.6,25,81
2014-04-25,98,¡º,73,0,26,0.8,26,53
2014-04-26,67,¡º,0,83,29,0.5,22,66
2014-04-27,65,¡º,0,0,38,0,26,117
2014-04-28,94,¡º,0,84,31,0.6,26,152
2014-04-29,115,«·∂»Œ€»æ,40,80,32,0.5,19,176
2014-04-30,100,¡º,0,100,31,0.4,17,159
2014-05-01,100,¡º,0,99,22,0.4,17,159
2014-05-02,123,«·∂»Œ€»æ,60,196,18,0.4,24,74
2014-05-03,82,¡º,43,114,19,0.5,19,110
2014-05-04,81,¡º,0,112,18,0.4,19,101
2014-05-05,87,¡º,0,98,25,0.4,20,144
2014-05-06,119,«·∂»Œ€»æ,52,98,0,0.4,16,180
2014-05-07,97,¡º,62,102,37,0.4,11,156
2014-05-08,110,«·∂»Œ€»æ,83,136,52,0.6,22,171
2014-05-09,153,÷–∂»Œ€»æ,117,196,58,0.8,30,164
2014-05-10,74,¡º,54,0,26,0.6,19,69
2014-05-11,59,¡º,39,57,0,0.6,22,110
2014-05-12,84,¡º,35,64,25,0.5,21,140
2014-05-13,92,¡º,63,88,28,0.6,20,150
2014-05-14,112,«·∂»Œ€»æ,84,122,38,0.5,18,133
2014-05-15,76,¡º,33,76,46,0.3,24,131
2014-05-16,100,¡º,75,122,32,0.6,27,113
2014-05-17,97,¡º,72,106,28,0.6,25,113
2014-05-18,102,«·∂»Œ€»æ,76,122,42,0.7,30,162
2014-05-19,107,«·∂»Œ€»æ,80,111,34,0.6,20,145
2014-05-20,147,«·∂»Œ€»æ,112,164,37,0.7,15,135
2014-05-21,233,÷ÿ∂»Œ€»æ,183,219,47,0.8,20,155
2014-05-22,101,«·∂»Œ€»æ,70,110,36,0.5,24,161
2014-05-23,99,¡º,74,118,28,0.5,31,140
2014-05-24,63,¡º,45,61,15,0.5,21,56
2014-05-25,119,«·∂»Œ€»æ,74,187,30,0.5,22,128
2014-05-26,147,«·∂»Œ€»æ,84,243,18,0,21,146
2014-05-27,133,«·∂»Œ€»æ,79,154,12,0,17,196
2014-05-28,163,÷–∂»Œ€»æ,124,189,0,0.6,21,163
2014-05-29,185,÷–∂»Œ€»æ,139,194,0,0.7,22,201
2014-05-30,142,«·∂»Œ€»æ,108,165,0,0.8,22,126
2014-05-31,84,¡º,62,93,0,0.6,20,69
