»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,112,«·∂»Œ€»æ,79,174,37,2.6,32,82
2015-01-01,116,«·∂»Œ€»æ,88,176,31,3,27,78
2015-01-02,121,«·∂»Œ€»æ,92,185,25,3.5,24,77
2015-01-03,124,«·∂»Œ€»æ,90,198,24,3.3,26,77
2015-01-04,98,¡º,65,146,25,1.2,34,69
2015-01-05,99,¡º,53,148,26,1.3,29,60
2015-01-06,104,«·∂»Œ€»æ,62,157,28,1.7,29,59
2015-01-07,113,«·∂»Œ€»æ,72,176,29,1.9,22,77
2015-01-08,96,¡º,53,143,33,2.1,18,73
2015-01-09,96,¡º,56,143,40,2.4,21,70
2015-01-10,109,«·∂»Œ€»æ,67,169,50,2.8,22,80
2015-01-11,106,«·∂»Œ€»æ,63,163,54,3,20,84
2015-01-12,113,«·∂»Œ€»æ,66,175,58,3.3,19,78
2015-01-13,109,«·∂»Œ€»æ,67,168,71,3.6,26,75
2015-01-14,111,«·∂»Œ€»æ,69,172,61,3.1,27,60
2015-01-15,113,«·∂»Œ€»æ,77,176,12,0.9,27,37
2015-01-16,88,¡º,48,125,8,0.3,14,81
2015-01-17,85,¡º,42,119,7,0,13,82
2015-01-18,91,¡º,51,131,5,0,15,88
2015-01-19,97,¡º,55,145,7,0.1,21,81
2015-01-20,187,÷–∂»Œ€»æ,54,136,19,0.2,18,252
2015-01-21,207,÷ÿ∂»Œ€»æ,55,135,14,0.2,16,300
2015-01-22,207,÷ÿ∂»Œ€»æ,58,133,29,0.9,18,300
2015-01-23,207,÷ÿ∂»Œ€»æ,49,132,11,0.9,19,300
2015-01-24,86,¡º,50,122,9,1,17,55
2015-01-25,89,¡º,46,128,12,1.3,24,67
2015-01-26,99,¡º,48,148,13,1.3,19,60
2015-01-27,99,¡º,67,148,14,1.7,21,56
2015-01-28,94,¡º,64,137,10,2.1,22,52
2015-01-29,69,¡º,45,88,9,1.3,17,41
2015-01-30,65,¡º,47,38,11,0.8,17,43
2015-01-31,80,¡º,41,110,11,0.8,17,44
2015-02-01,89,¡º,46,127,11,1,18,40
2015-02-02,100,¡º,53,150,13,1.2,16,34
2015-02-03,98,¡º,53,145,13,1.4,17,40
2015-02-04,72,¡º,53,94,14,1.5,14,38
2015-02-05,84,¡º,62,103,15,1.5,20,31
2015-02-06,80,¡º,59,94,13,1.1,26,40
2015-02-07,65,¡º,47,73,15,0.8,14,47
2015-02-08,54,¡º,32,58,15,0.8,14,44
2015-02-09,60,¡º,39,69,16,0.9,13,60
2015-02-10,78,¡º,58,86,19,1.1,17,60
2015-02-11,74,¡º,54,86,19,1.2,14,63
2015-02-12,72,¡º,53,91,24,1.2,17,68
2015-02-13,71,¡º,42,92,30,1.1,17,71
2015-02-14,77,¡º,27,105,38,0.9,12,79
2015-02-15,121,«·∂»Œ€»æ,40,192,47,0.9,11,73
2015-02-16,160,÷–∂»Œ€»æ,57,269,31,1.2,17,69
2015-02-17,146,«·∂»Œ€»æ,56,243,24,1,12,80
2015-02-18,128,«·∂»Œ€»æ,50,207,12,0.7,13,76
2015-02-19,98,¡º,42,145,24,0.9,13,76
2015-02-20,120,«·∂»Œ€»æ,53,190,18,0.9,9,77
2015-02-21,119,«·∂»Œ€»æ,51,188,20,1.1,12,74
2015-02-22,137,«·∂»Œ€»æ,62,223,20,1.2,10,69
2015-02-23,143,«·∂»Œ€»æ,54,235,21,1.2,8,65
2015-02-24,154,÷–∂»Œ€»æ,55,259,22,1.5,10,66
2015-02-25,160,÷–∂»Œ€»æ,61,270,37,1.1,11,62
2015-02-26,352,—œ÷ÿŒ€»æ,91,462,23,0.9,15,46
2015-02-27,334,—œ÷ÿŒ€»æ,100,447,2,0.7,6,60
2015-02-28,353,—œ÷ÿŒ€»æ,89,463,15,0.7,8,66
2015-03-01,249,÷ÿ∂»Œ€»æ,77,384,3,0.8,12,69
2015-03-02,267,÷ÿ∂»Œ€»æ,82,397,3,1,15,58
2015-03-03,206,÷ÿ∂»Œ€»æ,80,354,35,1.1,12,67
2015-03-04,221,÷ÿ∂»Œ€»æ,88,365,3,1.1,18,65
2015-03-05,371,—œ÷ÿŒ€»æ,106,477,3,0.6,13,70
2015-03-06,220,÷ÿ∂»Œ€»æ,89,364,3,0.7,13,90
2015-03-07,127,«·∂»Œ€»æ,52,204,2,0.8,12,90
2015-03-08,191,÷–∂»Œ€»æ,75,332,3,1,17,82
2015-03-09,275,÷ÿ∂»Œ€»æ,84,403,4,0.8,14,80
2015-03-10,334,—œ÷ÿŒ€»æ,165,447,3,0.7,15,79
2015-03-11,266,÷ÿ∂»Œ€»æ,216,219,4,0.7,11,85
2015-03-12,114,«·∂»Œ€»æ,18,177,2,0.6,5,86
2015-03-13,337,—œ÷ÿŒ€»æ,287,7,7,1,16,78
2015-03-14,256,÷ÿ∂»Œ€»æ,206,77,7,1.2,16,81
2015-03-15,246,÷ÿ∂»Œ€»æ,196,255,8,1.3,17,88
2015-03-17,493,—œ÷ÿŒ€»æ,111,593,17,0.6,12,88
2015-03-18,100,¡º,28,151,23,0.5,9,83
2015-03-19,53,¡º,12,57,3,0.4,8,88
2015-03-20,177,÷–∂»Œ€»æ,59,304,3,0.2,10,84
2015-03-21,151,÷–∂»Œ€»æ,57,251,4,0.1,14,96
2015-03-22,170,÷–∂»Œ€»æ,59,290,3,0.1,15,96
2015-03-23,251,÷ÿ∂»Œ€»æ,79,386,6,0.2,12,96
2015-03-24,188,÷–∂»Œ€»æ,71,325,9,0.3,11,81
2015-03-25,75,¡º,16,101,9,0.3,9,100
2015-03-26,171,÷–∂»Œ€»æ,122,291,13,0.4,12,92
2015-03-27,298,÷ÿ∂»Œ€»æ,72,410,17,0.4,11,78
2015-03-28,165,÷–∂»Œ€»æ,56,279,22,0.5,17,74
2015-03-29,62,¡º,18,75,22,0.5,11,78
2015-03-30,374,—œ÷ÿŒ€»æ,86,480,23,0.6,13,79
2015-03-31,80,¡º,12,111,26,0.5,6,95
2015-04-01,50,”≈,7,45,3,0.5,9,100
2015-04-04,291,÷ÿ∂»Œ€»æ,241,336,5,0.7,10,64
2015-04-05,384,—œ÷ÿŒ€»æ,172,487,7,0.9,15,84
2015-04-07,284,÷ÿ∂»Œ€»æ,89,409,10,0.9,17,86
2015-04-08,361,—œ÷ÿŒ€»æ,95,469,6,0.7,13,89
2015-04-09,114,«·∂»Œ€»æ,37,178,8,0.5,9,98
2015-04-10,161,÷–∂»Œ€»æ,67,272,9,0.5,10,89
2015-04-11,169,÷–∂»Œ€»æ,78,289,5,0.6,11,89
2015-04-12,189,÷–∂»Œ€»æ,92,328,5,0.7,15,93
2015-04-13,150,«·∂»Œ€»æ,68,249,8,0.8,14,109
2015-04-14,134,«·∂»Œ€»æ,61,218,12,0.9,16,106
2015-04-15,126,«·∂»Œ€»æ,53,201,24,1,21,96
2015-04-16,135,«·∂»Œ€»æ,28,219,33,0.7,7,122
2015-04-17,70,¡º,12,45,4,0.7,11,124
2015-04-18,124,«·∂»Œ€»æ,94,46,2,0.7,9,94
2015-04-19,233,÷ÿ∂»Œ€»æ,87,373,10,0.9,14,89
2015-04-20,115,«·∂»Œ€»æ,56,179,7,0.9,10,86
2015-04-21,148,«·∂»Œ€»æ,52,246,9,1,8,111
2015-04-22,62,¡º,10,34,24,0.9,13,114
2015-04-23,207,÷ÿ∂»Œ€»æ,27,93,27,0.7,19,300
2015-04-24,135,«·∂»Œ€»æ,24,106,21,0.5,5,199
2015-04-25,72,¡º,28,95,2,0.3,13,88
2015-04-26,80,¡º,27,110,3,0.3,8,114
2015-04-27,85,¡º,16,120,10,0.3,7,108
2015-04-28,53,¡º,9,19,21,0.3,6,104
2015-04-29,343,—œ÷ÿŒ€»æ,293,23,3,0.5,13,83
2015-04-30,258,÷ÿ∂»Œ€»æ,208,340,3,0.6,21,77
2015-05-01,219,÷ÿ∂»Œ€»æ,88,363,3,0.5,5,80
2015-05-02,75,¡º,26,99,2,0.5,5,93
2015-05-03,69,¡º,10,39,2,0.6,5,123
2015-05-04,89,¡º,30,128,3,0.7,9,121
2015-05-05,49,”≈,11,47,2,0.7,6,98
2015-05-06,44,”≈,9,37,3,0.8,4,88
2015-05-07,88,¡º,36,127,3,1,5,93
2015-05-08,74,¡º,30,98,3,1.2,11,89
2015-05-09,72,¡º,25,94,3,1.2,9,82
2015-05-10,193,÷–∂»Œ€»æ,145,97,5,1.3,7,81
2015-05-11,318,—œ÷ÿŒ€»æ,268,414,10,1.1,17,84
2015-05-12,500,—œ÷ÿŒ€»æ,174,618,8,0.6,13,83
2015-05-13,73,¡º,37,96,13,0.7,8,77
2015-05-14,51,¡º,10,31,12,0.6,8,101
2015-05-15,91,¡º,42,133,11,0.8,9,105
2015-05-16,102,«·∂»Œ€»æ,41,154,10,0.9,9,114
2015-05-17,83,¡º,25,117,8,0.9,10,112
2015-05-18,86,¡º,11,41,9,0.9,7,143
2015-05-19,74,¡º,38,39,8,1,10,129
2015-05-20,102,«·∂»Œ€»æ,34,155,23,0.9,9,116
2015-05-21,66,¡º,31,82,26,0.3,6,94
2015-05-22,71,¡º,13,93,20,0.5,5,110
2015-05-23,66,¡º,9,34,0,0.5,7,119
2015-05-24,68,¡º,4,26,9,0.4,8,122
2015-05-25,86,¡º,7,27,0,0,6,143
2015-05-26,84,¡º,19,119,3,0.4,10,122
2015-05-27,82,¡º,22,78,3,0.5,15,138
2015-05-28,83,¡º,7,51,2,0.5,6,140
2015-05-29,87,¡º,15,72,2,0.7,8,144
2015-05-30,82,¡º,16,45,4,0.9,10,138
2015-05-31,81,¡º,9,36,2,0.8,8,137
2015-06-01,81,¡º,5,25,2,1,5,137
2015-06-02,105,«·∂»Œ€»æ,34,161,2,1.1,8,133
2015-06-03,140,«·∂»Œ€»æ,66,230,3,1.2,8,136
2015-06-04,112,«·∂»Œ€»æ,48,174,6,1,14,128
2015-06-05,100,¡º,23,104,17,0.3,11,160
2015-06-06,99,¡º,6,34,3,0.3,6,159
2015-06-07,95,¡º,10,45,3,0.4,6,154
2015-06-08,89,¡º,8,38,3,0.5,7,147
2015-06-09,99,¡º,15,130,3,0.5,5,159
2015-06-10,110,«·∂»Œ€»æ,10,85,3,0.7,5,171
2015-06-11,153,÷–∂»Œ€»æ,91,257,3,0.9,8,146
2015-06-12,195,÷–∂»Œ€»æ,99,341,3,0.8,9,146
2015-06-13,96,¡º,17,60,2,0.5,8,155
2015-06-14,92,¡º,13,53,3,0.6,8,150
2015-06-15,84,¡º,6,34,2,0.6,6,141
2015-06-16,78,¡º,9,29,3,0.7,8,134
2015-06-17,133,«·∂»Œ€»æ,45,216,4,0.9,9,135
2015-06-18,158,÷–∂»Œ€»æ,56,266,4,1.1,10,136
2015-06-19,149,«·∂»Œ€»æ,54,249,4,1.3,11,136
2015-06-20,116,«·∂»Œ€»æ,36,183,7,1.4,9,142
2015-06-21,79,¡º,21,104,6,1.5,7,135
2015-06-22,84,¡º,22,103,4,1.6,7,141
2015-06-23,85,¡º,22,119,6,1,11,135
2015-06-24,76,¡º,16,41,5,0.5,9,131
2015-06-25,60,¡º,24,23,3,0.7,7,112
2015-06-26,46,”≈,12,29,1,0.9,7,92
2015-06-27,63,¡º,11,40,2,1,10,116
2015-06-28,92,¡º,10,46,3,1.1,12,150
2015-06-29,92,¡º,9,26,3,1,12,150
2015-06-30,76,¡º,13,63,8,1.2,10,131
2015-07-01,73,¡º,10,39,8,1.3,9,127
2015-07-02,76,¡º,14,71,9,1.5,14,131
