»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,116,«·∂»Œ€»æ,88,122,26,1.4,49,39
2014-01-01,116,«·∂»Œ€»æ,88,130,22,1,46,49
2014-01-02,147,«·∂»Œ€»æ,112,158,29,1.4,57,39
2014-01-03,157,÷–∂»Œ€»æ,120,172,26,1.7,61,46
2014-01-04,155,÷–∂»Œ€»æ,118,166,30,1.6,61,45
2014-01-05,145,«·∂»Œ€»æ,111,157,29,1.2,48,55
2014-01-06,38,”≈,23,38,5,0.8,18,68
2014-01-07,58,¡º,37,65,6,0.8,29,55
2014-01-08,79,¡º,58,87,11,1.2,43,26
2014-01-09,93,¡º,55,137,12,1.1,44,31
2014-01-10,66,¡º,48,66,9,1.2,34,36
2014-01-11,88,¡º,65,96,13,1.6,54,27
2014-01-12,101,«·∂»Œ€»æ,76,117,18,1.5,53,29
2014-01-13,104,«·∂»Œ€»æ,78,113,19,1.8,59,28
2014-01-14,121,«·∂»Œ€»æ,92,146,25,1.8,67,38
2014-01-15,136,«·∂»Œ€»æ,104,158,24,1.8,67,31
2014-01-16,130,«·∂»Œ€»æ,99,149,18,1.3,60,39
2014-01-17,123,«·∂»Œ€»æ,93,138,25,1.2,48,41
2014-01-18,136,«·∂»Œ€»æ,104,145,19,1.4,47,39
2014-01-19,95,¡º,71,97,11,1.6,47,41
2014-01-20,84,¡º,62,86,13,1.6,47,29
2014-01-21,103,«·∂»Œ€»æ,78,108,18,1.8,59,23
2014-01-22,111,«·∂»Œ€»æ,83,130,23,1.4,35,42
2014-01-23,97,¡º,73,107,14,1.2,31,43
2014-01-24,53,¡º,34,55,8,1.2,32,44
2014-01-25,70,¡º,51,66,8,1.4,34,50
2014-01-26,67,¡º,48,66,10,1.7,30,52
2014-01-27,78,¡º,58,75,10,1.6,34,39
2014-01-28,71,¡º,51,78,16,0.9,30,47
2014-01-29,63,¡º,46,57,5,1,25,77
2014-01-30,72,¡º,48,94,10,1.1,28,53
2014-01-31,78,¡º,57,99,8,1.1,21,66
