»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,72,¡º,25,95,9,0.2,26,34
2015-01-01,66,¡º,36,81,14,0.4,38,42
2015-01-02,66,¡º,41,81,16,0.5,36,44
2015-01-03,79,¡º,57,109,28,1,44,43
2015-01-04,111,«·∂»Œ€»æ,84,145,22,0.9,50,43
2015-01-05,142,«·∂»Œ€»æ,108,164,23,1.3,39,43
2015-01-06,143,«·∂»Œ€»æ,110,153,24,1.3,34,49
2015-01-07,73,¡º,53,97,14,0.8,39,35
2015-01-08,85,¡º,62,119,17,1,46,49
2015-01-09,84,¡º,61,118,16,0.9,44,46
2015-01-10,86,¡º,62,123,17,1,48,50
2015-01-11,82,¡º,61,105,17,0.8,50,49
2015-01-12,85,¡º,63,115,14,1.1,38,49
2015-01-13,57,¡º,40,65,11,0.8,34,38
2015-01-14,45,”≈,31,45,9,0.5,28,53
2015-01-15,61,¡º,44,70,9,0.6,39,38
2015-01-16,124,«·∂»Œ€»æ,94,142,20,1,34,42
2015-01-17,132,«·∂»Œ€»æ,100,148,27,1.2,37,44
2015-01-18,84,¡º,62,101,14,1,26,61
2015-01-19,59,¡º,39,68,11,0.7,25,50
2015-01-20,67,¡º,44,85,27,0.9,14,45
2015-01-21,81,¡º,59,104,22,0.9,12,30
2015-01-22,69,¡º,50,83,13,0.9,16,36
2015-01-23,88,¡º,65,98,23,1.2,18,35
2015-01-24,120,«·∂»Œ€»æ,91,134,21,1.5,20,40
2015-01-25,187,÷–∂»Œ€»æ,141,188,15,1.9,19,39
2015-01-26,181,÷–∂»Œ€»æ,136,172,11,2,20,42
2015-01-27,79,¡º,58,75,14,0.9,16,93
2015-01-28,53,¡º,22,28,12,0.4,24,104
2015-01-29,68,¡º,24,29,15,0.4,26,122
2015-01-30,67,¡º,49,58,9,0.5,12,31
2015-01-31,89,¡º,66,82,11,0.8,13,28
2015-02-01,50,”≈,35,50,8,0.6,15,17
2015-02-02,58,¡º,41,60,10,0.7,18,23
2015-02-03,88,¡º,65,85,8,0.8,17,27
2015-02-04,122,«·∂»Œ€»æ,93,117,13,1.1,16,48
2015-02-05,93,¡º,70,93,12,1,18,44
2015-02-06,50,”≈,31,50,11,0.6,15,44
2015-02-07,64,¡º,46,67,12,0.7,16,49
2015-02-08,57,¡º,38,64,10,0.6,12,44
2015-02-09,42,”≈,26,42,11,0.5,11,38
2015-02-10,58,¡º,40,66,10,0.6,12,49
2015-02-11,74,¡º,50,98,14,0.7,10,54
2015-02-12,86,¡º,61,122,13,0.8,13,48
2015-02-13,129,«·∂»Œ€»æ,98,163,12,1.1,11,55
2015-02-14,119,«·∂»Œ€»æ,90,137,16,1.2,12,51
2015-02-15,46,”≈,32,46,7,0.8,12,55
2015-02-16,160,÷–∂»Œ€»æ,122,190,9,1.7,12,44
2015-02-17,122,«·∂»Œ€»æ,92,163,10,1.6,16,54
2015-02-18,61,¡º,44,70,12,1.1,10,49
2015-02-19,37,”≈,25,37,11,0.4,11,44
2015-02-20,35,”≈,24,35,7,0.5,9,38
2015-02-21,50,”≈,35,49,7,0.6,9,38
2015-02-22,100,¡º,75,103,9,1.1,11,65
2015-02-23,92,¡º,69,100,9,1.1,9,36
2015-02-24,66,¡º,48,71,8,1,10,35
2015-02-25,50,”≈,34,51,8,0.9,9,32
2015-02-26,117,«·∂»Œ€»æ,89,134,7,1.1,11,30
2015-02-27,55,¡º,37,59,12,0.8,11,33
2015-02-28,28,”≈,19,28,5,0.4,10,43
2015-03-01,54,¡º,38,58,8,0.6,10,45
2015-03-02,56,¡º,39,62,8,0.7,10,44
2015-03-03,73,¡º,40,95,8,0.6,9,41
2015-03-04,60,¡º,30,70,9,0.6,11,38
2015-03-05,51,¡º,33,53,9,0.6,10,34
2015-03-06,54,¡º,38,56,13,0.6,13,35
2015-03-07,65,¡º,47,69,9,0.7,13,41
2015-03-08,90,¡º,67,95,11,0.7,15,32
2015-03-09,117,«·∂»Œ€»æ,88,126,8,0.8,14,45
2015-03-10,59,¡º,41,67,9,0.7,13,39
2015-03-11,64,¡º,43,78,15,0.6,15,94
2015-03-12,70,¡º,51,88,18,0.6,15,93
2015-03-13,71,¡º,52,89,13,0.6,24,72
2015-03-14,141,«·∂»Œ€»æ,107,153,12,1,24,29
2015-03-15,122,«·∂»Œ€»æ,92,120,10,1,21,25
2015-03-16,79,¡º,58,84,14,0.8,19,42
2015-03-17,58,¡º,41,58,13,0.9,23,43
2015-03-18,23,”≈,15,23,7,0.6,13,40
2015-03-19,65,¡º,47,72,6,0.7,13,30
2015-03-20,88,¡º,65,88,6,0.7,15,31
2015-03-21,61,¡º,44,73,8,0.7,15,44
2015-03-22,72,¡º,47,93,10,0.6,20,46
2015-03-23,72,¡º,45,95,31,0.9,17,37
2015-03-24,57,¡º,31,63,11,0.6,17,31
2015-03-25,51,¡º,25,52,10,0.5,16,41
2015-03-26,53,¡º,37,56,11,0.6,18,38
2015-03-27,81,¡º,63,82,12,0.8,24,73
2015-03-28,68,¡º,49,70,15,0.8,39,62
2015-03-29,87,¡º,65,98,13,1.1,31,55
2015-03-30,54,¡º,38,52,14,0.8,19,57
2015-03-31,47,”≈,31,47,11,0.9,13,48
2015-04-01,93,¡º,70,98,7,1.1,13,31
2015-04-02,46,”≈,32,44,9,0.8,10,33
2015-04-03,66,¡º,48,62,9,0.9,11,34
2015-04-04,66,¡º,48,62,10,1.2,11,26
2015-04-05,65,¡º,47,59,10,0.8,10,35
2015-04-06,81,¡º,60,79,10,0.8,11,42
2015-04-07,54,¡º,29,58,11,0.4,11,34
2015-04-08,44,”≈,27,44,17,0.5,21,68
2015-04-09,60,¡º,43,64,22,0.7,25,74
2015-04-10,82,¡º,61,85,15,0.9,18,52
2015-04-11,98,¡º,73,102,11,1,13,60
2015-04-12,72,¡º,52,93,15,0.8,30,64
2015-04-13,52,¡º,27,54,16,0.5,28,69
2015-04-14,55,¡º,35,59,21,0.6,37,81
2015-04-15,62,¡º,32,74,17,0.7,24,57
2015-04-16,83,¡º,58,115,8,0.8,18,48
