»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,178,÷–∂»Œ€»æ,135,211,33,1,33,44
2015-01-01,150,«·∂»Œ€»æ,115,158,29,0.9,19,39
2015-01-02,135,«·∂»Œ€»æ,103,132,18,0.9,22,38
2015-01-03,114,«·∂»Œ€»æ,86,105,12,1,21,34
2015-01-04,143,«·∂»Œ€»æ,109,150,15,1.1,33,28
2015-01-05,126,«·∂»Œ€»æ,96,139,15,1.4,26,24
2015-01-06,77,¡º,57,85,18,0.9,25,33
2015-01-07,109,«·∂»Œ€»æ,82,112,17,0.8,25,28
2015-01-08,115,«·∂»Œ€»æ,87,111,22,0.9,22,25
2015-01-09,60,¡º,43,53,27,1,25,32
2015-01-10,69,¡º,50,68,26,0.9,30,35
2015-01-11,66,¡º,48,61,23,0.8,21,32
2015-01-12,60,¡º,43,57,26,0.9,25,43
2015-01-13,98,¡º,73,98,28,0.9,26,40
2015-01-14,127,«·∂»Œ€»æ,97,127,23,0.7,27,40
2015-01-15,133,«·∂»Œ€»æ,101,131,22,0.7,28,32
2015-01-16,95,¡º,71,87,25,1.1,37,33
2015-01-17,70,¡º,51,63,13,0.8,24,34
2015-01-18,50,”≈,35,41,26,1,38,30
2015-01-19,64,¡º,46,56,31,1.1,36,29
2015-01-20,101,«·∂»Œ€»æ,76,97,25,1.1,29,29
2015-01-21,81,¡º,60,92,28,1,25,40
2015-01-22,113,«·∂»Œ€»æ,85,117,24,1.1,31,41
2015-01-23,117,«·∂»Œ€»æ,88,117,21,1,29,41
2015-01-24,135,«·∂»Œ€»æ,103,136,20,1,26,37
2015-01-25,173,÷–∂»Œ€»æ,131,172,17,1,25,34
2015-01-26,99,¡º,74,100,14,0.7,22,35
2015-01-27,90,¡º,67,99,14,0.6,20,29
2015-01-28,89,¡º,66,96,14,0.7,21,37
2015-01-29,103,«·∂»Œ€»æ,78,114,22,1.5,30,28
2015-01-30,49,”≈,35,46,19,1.3,27,18
2015-01-31,54,¡º,38,46,17,1,27,16
2015-02-01,61,¡º,44,65,18,1.1,23,17
