日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,47,优,33,43,29,0.3,23,51
2015-01-01,33,优,23,33,25,0.2,16,43
2015-01-02,35,优,21,35,27,0.4,16,54
2015-01-03,70,良,51,79,41,1.1,33,44
2015-01-04,111,轻度污染,84,130,50,1.5,34,39
2015-01-05,60,良,36,71,29,0.3,18,69
2015-01-06,39,优,19,39,27,0.2,15,70
2015-01-07,61,良,41,73,25,0.9,28,68
2015-01-08,95,良,71,103,29,1.3,37,34
2015-01-09,64,良,46,62,23,0.9,27,63
2015-01-10,86,良,63,83,22,1.1,31,49
2015-01-11,74,良,54,81,22,1,27,63
2015-01-12,72,良,53,77,23,1,27,50
2015-01-13,59,良,43,67,23,0.7,24,55
2015-01-14,86,良,64,96,31,1.5,35,43
2015-01-15,100,良,75,101,24,1.2,30,49
2015-01-16,57,良,40,61,18,0.6,21,69
2015-01-17,38,优,20,38,19,0.4,16,73
2015-01-18,41,优,25,41,18,0.4,15,65
2015-01-19,56,良,40,54,23,0.7,20,65
2015-01-20,88,良,65,93,26,1,34,62
2015-01-21,79,良,58,78,14,1,28,53
2015-01-22,89,良,66,90,23,1.5,30,52
2015-01-23,140,轻度污染,107,132,17,1.5,31,44
2015-01-24,77,良,56,75,16,1,27,56
2015-01-25,69,良,50,71,17,1.1,22,59
2015-01-26,49,优,18,49,5,0.2,10,69
2015-01-27,55,良,39,59,14,0.6,21,60
2015-01-28,53,良,34,56,17,0.7,24,71
2015-01-29,47,优,26,47,8,0.5,13,68
2015-01-30,37,优,18,30,6,0.3,10,73
2015-01-31,43,优,30,43,14,0.7,19,61
2015-02-01,59,良,42,47,17,0.9,28,62
2015-02-02,112,轻度污染,53,174,14,0.8,23,66
2015-02-03,151,中度污染,94,252,21,1.2,30,54
2015-02-04,45,优,28,45,14,0.5,19,68
2015-02-05,46,优,32,46,15,0.7,20,75
2015-02-06,42,优,21,39,5,0.3,10,84
2015-02-07,43,优,19,43,3,0.4,6,80
2015-02-08,35,优,18,30,8,0.5,10,70
2015-02-09,56,良,37,63,24,1,23,64
2015-02-10,83,良,61,103,20,1.4,31,61
2015-02-11,50,优,30,50,11,0.6,13,76
2015-02-12,46,优,26,46,9,0.7,15,76
2015-02-13,57,良,37,64,14,0.8,22,80
2015-02-14,87,良,65,94,14,0.9,22,79
2015-02-15,104,轻度污染,79,108,24,1.2,25,76
2015-02-16,100,良,75,104,14,0.9,23,58
2015-02-17,59,良,42,61,6,0.5,10,83
2015-02-18,45,优,30,45,12,0.4,9,80
2015-02-19,162,中度污染,123,167,47,1,16,69
2015-02-20,131,轻度污染,99,136,24,1.1,17,63
2015-02-21,150,轻度污染,115,138,18,1.1,19,64
2015-02-22,87,良,64,70,10,0.6,12,89
2015-02-23,40,优,25,29,7,0.3,8,80
2015-02-24,71,良,52,44,21,0.7,16,89
2015-02-25,82,良,61,51,17,0.8,19,82
2015-02-26,72,良,52,44,11,0.8,20,77
2015-02-27,59,良,42,38,11,0.8,19,87
2015-02-28,71,良,52,66,14,0.8,21,66
2015-03-01,41,优,28,29,8,0.3,11,81
2015-03-02,38,优,25,28,10,0.5,12,76
2015-03-03,43,优,25,33,6,0.4,7,85
2015-03-04,42,优,28,29,9,0.4,10,83
2015-03-05,97,良,72,85,29,1.2,29,84
2015-03-06,123,轻度污染,93,130,20,1.5,35,76
2015-03-07,38,优,26,31,8,0.5,12,76
2015-03-08,38,优,22,23,6,0.4,9,76
2015-03-09,36,优,18,23,3,0.3,5,72
2015-03-10,52,良,21,53,10,0.5,11,80
2015-03-11,51,良,20,51,5,0.4,7,82
2015-03-12,41,优,23,37,7,0.6,14,81
2015-03-13,43,优,24,40,10,0.5,13,85
2015-03-14,48,优,29,48,12,0.6,15,91
2015-03-15,64,良,39,79,13,0.9,22,97
2015-03-16,54,良,32,57,7,0.5,12,94
2015-03-17,46,优,29,44,11,0.5,14,92
2015-03-18,66,良,36,83,8,0.5,11,96
2015-03-19,47,优,25,41,10,0.5,11,93
2015-03-20,53,良,33,56,13,0.6,15,95
2015-03-21,52,良,31,54,5,0.4,9,93
2015-03-22,49,优,21,49,3,0.3,6,89
2015-03-23,57,良,38,64,9,0.6,18,89
2015-03-24,109,轻度污染,82,119,13,0.9,25,114
2015-03-25,72,良,52,91,17,0.8,26,91
2015-03-26,87,良,46,125,18,0.7,21,111
2015-03-27,135,轻度污染,74,205,45,1.9,29,142
2015-03-28,60,良,43,64,12,0.4,13,112
2015-03-29,63,良,37,72,8,0.4,13,115
2015-03-30,78,良,57,90,11,0.5,17,128
2015-03-31,53,良,38,43,5,0.3,10,102
2015-04-01,50,优,26,41,6,0.4,12,99
2015-04-02,56,良,40,45,8,0.5,17,93
2015-04-03,69,良,50,72,7,0.4,14,92
2015-04-04,82,良,61,95,5,0.4,13,85
2015-04-05,52,良,36,49,6,0.5,10,90
2015-04-06,44,优,22,32,5,0.4,8,88
2015-04-07,46,优,23,38,12,0.5,11,92
2015-04-08,47,优,26,44,17,0.6,16,93
2015-04-09,51,良,32,47,12,0.4,15,101
2015-04-10,48,优,26,43,8,0.4,13,95
2015-04-11,58,良,41,67,5,0.4,13,90
2015-04-12,52,良,28,53,6,0.4,13,99
2015-04-13,51,良,22,51,10,0.5,11,96
2015-04-14,166,中度污染,71,281,18,0.6,22,91
2015-04-15,123,轻度污染,79,195,45,0.8,19,97
2015-04-16,76,良,46,103,5,0.4,8,82
2015-04-17,54,良,30,58,5,0.4,8,92
2015-04-18,51,良,27,52,24,0.4,15,100
2015-04-19,147,轻度污染,36,244,3,0.2,5,89
2015-04-20,69,良,39,88,4,0.3,7,95
2015-04-21,47,优,20,39,7,0.3,8,94
2015-04-22,53,良,24,55,20,0.3,13,104
2015-04-23,62,良,31,74,3,0.3,4,90
2015-04-24,48,优,18,44,6,0.3,12,95
2015-04-25,64,良,36,79,8,0.5,23,106
2015-04-26,63,良,36,74,8,0.4,13,116
2015-04-27,78,良,30,105,4,0.3,9,112
2015-04-28,70,良,42,81,8,0.4,14,124
2015-04-29,82,良,48,114,8,0.6,21,136
2015-04-30,77,良,43,104,3,0.4,12,111
2015-05-01,67,良,31,85,5,0.5,14,99
2015-05-02,83,良,40,116,12,0.4,16,117
2015-05-03,66,良,24,82,3,0.2,6,109
2015-05-04,53,良,17,48,5,0.3,9,104
2015-05-05,70,良,25,89,8,0.3,7,87
2015-05-06,42,优,21,42,5,0.2,7,84
2015-05-07,39,优,18,30,3,0.3,8,77
2015-05-08,43,优,18,25,2,0.4,10,86
2015-05-09,48,优,20,39,3,0.4,16,95
2015-05-10,53,良,25,57,6,0.5,14,104
2015-05-11,47,优,19,25,3,0.5,12,94
2015-05-12,53,良,15,17,2,0.4,8,103
2015-05-13,77,良,16,25,10,0.5,11,132
2015-05-14,53,良,26,37,5,0.4,11,104
2015-05-15,48,优,20,47,7,0.6,11,95
2015-05-16,57,良,28,61,18,0.6,15,108
2015-05-17,63,良,22,48,7,0.4,13,115
2015-05-18,50,优,35,48,4,0.5,13,99
