»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,189,÷–∂»Œ€»æ,142,171,24,0.7,35,52
2015-01-01,198,÷–∂»Œ€»æ,149,181,18,0.7,28,37
2015-01-02,223,÷ÿ∂»Œ€»æ,173,216,77,0.9,35,26
2015-01-03,221,÷ÿ∂»Œ€»æ,171,218,56,1,36,34
2015-01-04,233,÷ÿ∂»Œ€»æ,183,228,22,0.9,31,37
2015-01-05,219,÷ÿ∂»Œ€»æ,169,221,23,0.8,32,36
2015-01-06,71,¡º,52,72,18,0.3,23,70
2015-01-07,71,¡º,52,71,16,0.4,20,51
2015-01-08,91,¡º,68,84,11,0.5,23,64
2015-01-09,129,«·∂»Œ€»æ,98,117,18,0.7,31,39
2015-01-10,132,«·∂»Œ€»æ,101,124,15,0.8,27,25
2015-01-11,142,«·∂»Œ€»æ,109,125,19,0.9,34,43
2015-01-12,138,«·∂»Œ€»æ,105,137,25,1.1,34,68
2015-01-13,186,÷–∂»Œ€»æ,140,169,25,1.1,37,40
2015-01-14,202,÷ÿ∂»Œ€»æ,152,189,27,1.2,37,36
2015-01-15,230,÷ÿ∂»Œ€»æ,180,215,25,1.3,29,11
2015-01-16,252,÷ÿ∂»Œ€»æ,202,236,39,1.2,40,62
2015-01-17,218,÷ÿ∂»Œ€»æ,168,195,24,0.9,36,43
2015-01-18,186,÷–∂»Œ€»æ,140,161,20,0.9,29,35
2015-01-19,192,÷–∂»Œ€»æ,144,165,27,0.9,33,45
2015-01-20,176,÷–∂»Œ€»æ,133,164,29,1.1,35,78
2015-01-21,179,÷–∂»Œ€»æ,136,182,37,1.4,43,87
2015-01-22,177,÷–∂»Œ€»æ,134,173,31,1.2,41,101
2015-01-23,163,÷–∂»Œ€»æ,124,170,26,1.1,34,83
2015-01-24,210,÷ÿ∂»Œ€»æ,160,215,37,1.3,51,68
2015-01-25,244,÷ÿ∂»Œ€»æ,194,257,40,1.6,45,81
2015-01-26,233,÷ÿ∂»Œ€»æ,183,216,25,1.2,25,59
2015-01-27,256,÷ÿ∂»Œ€»æ,206,247,35,1.6,30,12
2015-01-28,45,”≈,32,33,16,1.3,9,28
2015-01-29,54,¡º,38,41,18,1.1,14,41
2015-01-30,75,¡º,55,64,18,0.9,22,37
2015-01-31,56,¡º,39,34,16,0.7,23,23
2015-02-01,77,¡º,56,66,25,0.8,30,30
2015-02-02,94,¡º,70,85,23,0.7,27,58
2015-02-03,119,«·∂»Œ€»æ,90,108,28,0.7,34,54
2015-02-04,140,«·∂»Œ€»æ,107,134,36,0.9,48,65
2015-02-05,152,÷–∂»Œ€»æ,116,148,35,0.9,48,62
2015-02-06,143,«·∂»Œ€»æ,109,137,27,0.7,42,60
2015-02-07,156,÷–∂»Œ€»æ,119,146,20,0.8,43,54
2015-02-08,179,÷–∂»Œ€»æ,136,168,24,0.9,45,33
2015-02-09,194,÷–∂»Œ€»æ,146,182,21,0.9,40,33
2015-02-10,199,÷–∂»Œ€»æ,149,188,30,1,41,41
2015-02-11,196,÷–∂»Œ€»æ,147,200,28,1,46,104
2015-02-12,194,÷–∂»Œ€»æ,146,197,34,0.9,52,120
2015-02-13,201,÷ÿ∂»Œ€»æ,151,194,27,0.9,40,112
2015-02-14,180,÷–∂»Œ€»æ,136,166,22,0.6,18,102
2015-02-15,183,÷–∂»Œ€»æ,138,179,29,0.9,26,97
2015-02-16,111,«·∂»Œ€»æ,84,138,19,0.5,21,89
2015-02-17,151,÷–∂»Œ€»æ,116,159,23,0.9,18,113
2015-02-18,136,«·∂»Œ€»æ,104,140,24,0.7,17,107
2015-02-19,251,÷ÿ∂»Œ€»æ,201,244,43,0.8,9,76
2015-02-20,100,¡º,75,95,14,0.7,12,57
2015-02-21,109,«·∂»Œ€»æ,82,109,20,1,26,58
2015-02-22,72,¡º,52,77,13,0.5,18,53
2015-02-23,60,¡º,43,63,14,0.6,18,34
2015-02-24,81,¡º,60,78,21,0.7,25,50
2015-02-25,59,¡º,43,61,26,0.7,29,83
2015-02-26,81,¡º,60,81,24,0.7,28,63
2015-02-27,74,¡º,55,71,20,0.6,17,51
2015-02-28,38,”≈,26,36,11,0.5,17,56
2015-03-01,56,¡º,37,63,15,0.6,24,64
2015-03-02,74,¡º,54,80,22,0.7,31,64
2015-03-03,98,¡º,73,103,26,0.7,41,75
2015-03-04,98,¡º,74,98,23,0.7,35,60
2015-03-05,79,¡º,58,103,30,0.6,29,46
2015-03-06,84,¡º,58,118,24,0.6,34,79
2015-03-07,87,¡º,65,111,24,0.6,41,86
2015-03-08,87,¡º,65,99,28,0.7,43,126
2015-03-09,115,«·∂»Œ€»æ,87,128,34,1.1,63,124
2015-03-10,101,«·∂»Œ€»æ,76,110,46,1,63,95
2015-03-11,73,¡º,54,72,57,0.6,35,91
2015-03-12,99,¡º,74,103,31,1,47,121
2015-03-13,87,¡º,65,90,28,0.8,47,106
2015-03-14,116,«·∂»Œ€»æ,88,119,40,1,47,102
2015-03-15,93,¡º,70,91,32,0.7,23,127
2015-03-16,96,¡º,72,92,32,0.8,25,103
2015-03-17,95,¡º,71,91,33,0.8,29,152
2015-03-18,75,¡º,49,64,25,0.7,19,130
2015-03-19,55,¡º,39,57,29,0.8,24,93
2015-03-20,57,¡º,17,31,20,0.5,15,108
