日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,62,良,45,70,11,0.5,30,109
2015-01-01,113,轻度污染,86,125,37,1,48,92
2015-01-02,98,良,73,94,33,1.1,43,74
2015-01-03,81,良,60,96,31,1.1,45,87
2015-01-04,53,良,30,54,26,0.9,31,104
2015-01-05,42,优,11,24,15,0.6,20,84
2015-01-06,44,优,24,35,36,0.8,22,88
2015-01-07,54,良,38,57,29,0.9,32,97
2015-01-08,62,良,45,67,34,0.8,30,65
2015-01-09,29,优,19,29,25,0.6,19,53
2015-01-10,37,优,26,33,15,0.5,16,66
2015-01-11,40,优,24,27,10,0.4,17,80
2015-01-12,40,优,28,37,24,0.5,21,67
2015-01-13,61,良,44,58,28,0.7,28,77
2015-01-14,65,良,47,71,31,1,33,81
2015-01-15,72,良,52,83,52,1.3,37,86
2015-01-16,58,良,42,65,35,1.1,29,89
2015-01-17,72,良,52,83,36,1.2,35,80
2015-01-18,37,优,25,37,22,1.2,19,63
2015-01-19,57,良,40,48,34,1.5,25,58
2015-01-20,67,良,49,66,37,1.6,30,57
2015-01-21,62,良,44,66,25,1.2,30,73
2015-01-22,58,良,42,66,25,1.1,32,84
2015-01-23,63,良,42,77,36,1.1,36,88
2015-01-24,55,良,31,60,29,1,32,93
2015-01-25,61,良,41,73,27,1,29,88
2015-01-26,68,良,46,86,30,1.1,36,99
2015-01-27,82,良,60,93,31,1,36,107
2015-01-28,62,良,31,62,18,0.9,25,114
2015-01-29,62,良,29,57,17,0.8,22,114
2015-01-30,56,良,33,59,29,1.1,26,107
2015-01-31,55,良,23,42,30,0.8,20,106
2015-02-01,49,优,23,40,55,1,24,97
2015-02-02,49,优,22,39,42,1,24,97
2015-02-03,52,良,33,54,34,1.3,27,102
2015-02-04,56,良,32,62,18,1.1,22,92
2015-02-05,41,优,20,38,16,1.2,12,82
2015-02-06,60,良,43,68,18,1.4,25,105
2015-02-07,60,良,41,69,24,1.4,28,96
2015-02-08,49,优,24,41,31,1.3,22,98
2015-02-09,60,良,43,70,30,1.2,27,105
2015-02-10,63,良,44,75,31,1,27,107
2015-02-11,55,良,29,51,14,0.8,19,106
2015-02-12,59,良,37,68,28,1,26,111
2015-02-13,55,良,37,61,31,0.8,25,103
2015-02-14,53,良,21,36,36,0.6,16,104
2015-02-15,53,良,23,41,26,0.6,18,103
2015-02-16,54,良,38,58,21,0.8,19,100
2015-02-17,58,良,25,39,30,0.8,18,110
2015-02-18,54,良,31,48,38,0.9,19,105
2015-02-19,60,良,42,70,42,0.7,14,99
2015-02-20,50,优,18,35,35,0.8,13,100
2015-02-21,51,良,22,38,32,0.9,17,101
2015-02-22,50,优,21,39,25,0.8,13,99
2015-02-23,50,优,23,40,31,1,18,99
2015-02-24,58,良,29,53,34,1.1,21,109
2015-02-25,54,良,27,52,23,1,19,105
2015-02-26,65,良,28,59,28,1,15,118
2015-02-27,68,良,26,49,21,1,12,122
2015-02-28,73,良,22,43,27,1.1,13,128
2015-03-01,74,良,20,42,35,1.3,14,129
2015-03-02,73,良,21,45,26,1.1,13,127
2015-03-03,64,良,18,45,16,1.1,12,117
2015-03-04,55,良,20,43,14,1.3,14,106
2015-03-05,59,良,10,25,15,1.1,10,111
2015-03-06,64,良,12,26,8,1.1,13,117
2015-03-07,58,良,15,31,12,0.9,12,109
2015-03-08,65,良,14,29,12,0.9,13,118
2015-03-09,78,良,29,51,41,1.2,19,133
2015-03-10,74,良,33,61,24,0.8,17,129
2015-03-11,78,良,25,45,24,0.9,19,133
2015-03-12,83,良,33,61,25,1,24,139
2015-03-13,83,良,34,67,24,1.2,24,139
2015-03-14,99,良,38,62,26,1.1,19,159
2015-03-15,96,良,43,69,25,1.1,25,155
2015-03-16,86,良,41,72,28,0.9,28,143
2015-03-17,69,良,15,33,14,0.6,12,123
2015-03-18,68,良,18,34,10,0.7,11,121
2015-03-19,72,良,30,51,16,0.8,18,126
2015-03-20,70,良,25,50,12,0.7,18,124
2015-03-21,83,良,23,47,13,0.7,15,139
2015-03-22,83,良,43,74,30,0.9,25,139
2015-03-23,80,良,44,73,19,0.8,13,136
