»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,199,÷–∂»Œ€»æ,150,262,204,3,75,33
2013-12-03,82,¡º,61,109,80,1.9,54,38
2013-12-04,160,÷–∂»Œ€»æ,122,226,127,3.1,67,25
2013-12-05,76,¡º,50,102,94,2.1,44,37
2013-12-06,209,÷ÿ∂»Œ€»æ,159,244,162,4,76,24
2013-12-07,220,÷ÿ∂»Œ€»æ,170,272,184,3.8,79,20
2013-12-08,71,¡º,33,92,32,0.8,20,44
2013-12-09,85,¡º,63,112,106,2.2,50,34
2013-12-10,79,¡º,48,108,58,1.5,32,48
2013-12-11,86,¡º,63,123,144,2.6,56,35
2013-12-12,65,¡º,42,79,46,1.4,34,52
2013-12-13,104,«·∂»Œ€»æ,79,139,149,2.9,63,36
2013-12-14,130,«·∂»Œ€»æ,99,175,159,3.1,65,24
2013-12-15,141,«·∂»Œ€»æ,108,185,136,2.9,65,27
2013-12-16,160,÷–∂»Œ€»æ,122,199,127,3,55,42
2013-12-17,68,¡º,46,85,58,2.1,38,40
2013-12-18,153,÷–∂»Œ€»æ,117,211,183,3.9,67,31
2013-12-19,125,«·∂»Œ€»æ,95,198,155,3.4,65,25
2013-12-20,130,«·∂»Œ€»æ,99,197,161,3.9,64,24
2013-12-21,204,÷ÿ∂»Œ€»æ,154,299,186,4.6,77,20
2013-12-22,222,÷ÿ∂»Œ€»æ,172,314,192,5.4,79,19
2013-12-23,246,÷ÿ∂»Œ€»æ,196,374,212,6.1,86,19
2013-12-24,256,÷ÿ∂»Œ€»æ,206,384,174,5.6,84,16
2013-12-25,129,«·∂»Œ€»æ,89,208,61,2.8,39,48
2013-12-26,55,¡º,24,59,51,2,36,43
2013-12-27,105,«·∂»Œ€»æ,77,160,107,3.1,51,37
2013-12-28,88,¡º,49,127,91,3,49,43
2013-12-29,134,«·∂»Œ€»æ,88,217,124,4.5,71,31
2013-12-30,196,÷–∂»Œ€»æ,82,342,106,3.8,62,39
2013-12-31,197,÷–∂»Œ€»æ,69,344,84,3.4,54,38
2014-01-01,166,÷–∂»Œ€»æ,111,282,143,4.8,73,30
2014-01-02,150,«·∂»Œ€»æ,102,250,155,4.4,65,24
2014-01-03,121,«·∂»Œ€»æ,80,191,119,3.7,59,31
2014-01-04,140,«·∂»Œ€»æ,105,229,127,4.4,68,29
2014-01-05,122,«·∂»Œ€»æ,77,194,104,4,60,31
2014-01-06,178,÷–∂»Œ€»æ,131,305,143,5.6,71,19
2014-01-07,86,¡º,36,122,52,2.9,31,42
2014-01-08,97,¡º,45,143,65,2.3,35,43
2014-01-09,99,¡º,58,148,103,3,60,32
2014-01-10,151,÷–∂»Œ€»æ,115,252,170,4,76,26
2014-01-11,146,«·∂»Œ€»æ,104,242,142,3.6,63,37
2014-01-12,87,¡º,51,124,88,2.2,52,35
