日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,68,良,48,78,15,1.5,28,122
2013-12-03,86,良,64,91,15,1.4,34,136
2013-12-04,111,轻度污染,84,114,15,1.4,36,149
2013-12-05,132,轻度污染,101,133,20,1.5,30,127
2013-12-06,130,轻度污染,99,136,21,1.4,31,116
2013-12-07,147,轻度污染,113,154,20,1.4,34,118
2013-12-08,143,轻度污染,109,144,19,1.5,30,161
2013-12-09,174,中度污染,131,177,21,1.7,28,141
2013-12-10,210,重度污染,160,220,27,2,30,132
2013-12-11,191,中度污染,144,199,29,2,31,113
2013-12-12,145,轻度污染,111,137,16,1.8,28,69
2013-12-13,125,轻度污染,95,118,9,1.5,27,58
2013-12-14,50,优,26,51,7,1.5,22,58
2013-12-15,34,优,7,24,6,1.4,17,67
2013-12-16,38,优,8,30,5,1.1,15,75
2013-12-17,41,优,23,39,12,1,13,82
2013-12-18,58,良,41,64,14,0.9,16,76
2013-12-19,59,良,30,68,10,0.8,16,76
2013-12-20,65,良,47,66,13,0.8,17,98
2013-12-21,102,轻度污染,77,108,20,0.9,19,113
2013-12-22,166,中度污染,126,169,26,1.6,24,116
2013-12-23,154,中度污染,118,155,22,1.6,25,124
2013-12-24,151,中度污染,116,161,27,1.3,25,128
2013-12-25,133,轻度污染,101,142,26,1.2,25,114
2013-12-26,137,轻度污染,104,144,29,1.3,23,138
2013-12-27,137,轻度污染,105,144,34,1.3,22,128
2013-12-28,109,轻度污染,82,128,25,1.2,23,110
2013-12-29,114,轻度污染,86,130,22,1.3,26,129
2013-12-30,125,轻度污染,95,140,22,1.4,28,125
2013-12-31,142,轻度污染,108,152,31,1.4,28,132
2014-01-01,173,中度污染,131,167,29,1.6,28,148
2014-01-02,125,轻度污染,95,131,16,1.2,21,151
2014-01-03,124,轻度污染,94,123,17,1.3,21,121
2014-01-04,191,中度污染,144,191,31,1.4,29,142
2014-01-05,198,中度污染,149,187,31,1.6,28,165
2014-01-06,117,轻度污染,89,130,15,1.3,17,152
2014-01-07,79,良,58,109,12,1.4,15,111
2014-01-08,70,良,48,90,14,1.5,19,71
2014-01-09,86,良,64,88,17,1.7,19,57
2014-01-10,90,良,67,94,16,1.5,21,118
2014-01-11,62,良,40,74,14,1.2,18,101
2014-01-12,80,良,59,109,16,2,23,72
2014-01-13,61,良,44,70,18,1.7,17,89
2014-01-14,68,良,50,69,19,1.7,18,111
2014-01-15,88,良,65,95,18,1.8,24,116
2014-01-16,108,轻度污染,81,115,16,2,34,143
2014-01-17,130,轻度污染,99,146,18,2.1,29,143
2014-01-18,126,轻度污染,96,130,21,2,20,129
2014-01-19,128,轻度污染,97,127,18,2.1,22,157
2014-01-20,135,轻度污染,103,143,18,1.9,19,165
2014-01-21,131,轻度污染,100,137,27,1.6,19,155
2014-01-22,116,轻度污染,87,119,21,1.5,23,158
2014-01-23,124,轻度污染,94,144,13,1.6,25,161
2014-01-24,87,良,44,88,9,1.4,13,144
2014-01-25,72,良,53,88,9,1.4,17,97
2014-01-26,151,中度污染,116,151,11,1.8,24,120
2014-01-27,108,轻度污染,81,119,12,1.6,15,103
2014-01-28,64,良,39,78,9,1.3,11,101
2014-01-29,67,良,39,75,9,1.2,12,120
2014-01-30,89,良,66,92,9,1.4,15,103
2014-01-31,147,轻度污染,112,158,14,1.2,12,81
2014-02-01,58,良,42,65,10,1.4,9,73
2014-02-02,56,良,24,61,7,1.5,10,62
2014-02-03,46,优,20,46,8,1.6,11,64
2014-02-04,56,良,31,63,8,1.6,11,73
2014-02-05,42,优,16,42,7,1.7,6,73
2014-02-06,46,优,13,46,8,1.7,6,59
2014-02-07,51,良,32,51,8,2,12,48
2014-02-08,52,良,31,53,8,2.1,13,38
2014-02-09,44,优,16,44,8,2.1,11,38
2014-02-10,54,良,37,58,11,2.1,10,60
2014-02-11,86,良,64,82,13,2.2,10,66
2014-02-12,77,良,56,75,6,1.8,7,64
2014-02-13,61,良,44,56,7,1.1,7,64
2014-02-14,95,良,71,85,11,0.8,7,85
2014-02-15,139,轻度污染,107,120,8,0.9,15,84
2014-02-16,61,良,44,73,6,1,18,48
2014-02-17,69,良,45,87,9,1.1,20,38
2014-02-18,53,良,19,55,8,1,14,48
2014-02-19,36,优,17,36,7,0.9,9,65
2014-02-20,48,优,25,44,7,0.8,5,96
2014-02-21,60,良,28,69,8,0.6,5,109
2014-02-22,72,良,53,87,8,0.7,7,123
2014-02-23,69,良,50,85,9,0.7,6,114
2014-02-24,57,良,24,65,9,0.6,3,105
2014-02-25,53,良,21,56,8,0.7,5,89
2014-02-26,62,良,45,75,11,0.8,7,102
2014-02-27,59,良,36,67,11,0.6,4,74
2014-02-28,51,良,20,52,10,0.5,3,73
2014-03-01,50,优,24,51,10,0.6,6,68
