日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,133,轻度污染,101,174,43,1.5,86,96
2013-12-03,139,轻度污染,106,175,32,1.5,79,112
2013-12-04,170,中度污染,129,210,60,2.1,84,131
2013-12-05,181,中度污染,137,231,37,1.6,89,142
2013-12-06,180,中度污染,136,219,39,1.6,81,113
2013-12-07,199,中度污染,150,228,47,1.7,85,104
2013-12-08,178,中度污染,135,190,29,1.5,63,150
2013-12-09,198,中度污染,149,208,35,1.7,72,105
2013-12-10,179,中度污染,135,177,37,1.6,50,109
2013-12-11,151,中度污染,115,177,70,2,55,82
2013-12-12,170,中度污染,129,169,31,1.6,48,37
2013-12-13,167,中度污染,127,156,22,1.6,50,54
2013-12-14,93,良,69,70,13,1.6,45,44
2013-12-15,30,优,21,19,10,1.3,29,53
2013-12-16,40,优,18,23,12,1.1,30,80
2013-12-17,54,良,38,50,23,0.9,31,83
2013-12-18,72,良,53,75,49,1.5,41,116
2013-12-19,81,良,59,83,27,0.9,37,99
2013-12-20,108,轻度污染,82,120,35,1.2,53,97
2013-12-21,140,轻度污染,107,149,40,1.4,56,114
2013-12-22,202,重度污染,152,208,41,1.7,70,91
2013-12-23,202,重度污染,152,205,46,1.8,73,124
2013-12-24,204,重度污染,154,223,46,1.8,75,105
2013-12-25,201,重度污染,151,220,70,2.3,86,105
2013-12-26,197,中度污染,148,207,51,1.8,73,102
2013-12-27,163,中度污染,124,174,56,1.5,58,103
2013-12-28,122,轻度污染,93,144,57,1.4,59,86
2013-12-29,121,轻度污染,92,140,54,1.4,64,116
2013-12-30,168,中度污染,128,211,50,1.9,86,75
2013-12-31,203,重度污染,153,239,58,1.8,84,79
2014-01-01,205,重度污染,155,227,62,2.1,85,93
2014-01-02,182,中度污染,137,185,39,1.6,72,136
2014-01-03,185,中度污染,140,187,33,1.5,75,106
2014-01-04,209,重度污染,159,218,48,1.7,83,102
2014-01-05,203,重度污染,153,217,44,1.6,76,135
2014-01-06,172,中度污染,130,173,24,1.5,50,122
2014-01-07,118,轻度污染,89,120,17,1.2,39,91
2014-01-08,86,良,64,90,42,1.6,39,64
2014-01-09,111,轻度污染,84,105,32,1.3,37,53
2014-01-10,161,中度污染,123,178,41,1.6,57,44
2014-01-11,170,中度污染,129,167,29,1.8,55,19
2014-01-12,66,良,48,65,24,1.5,33,35
2014-01-13,70,良,51,76,28,1.2,37,64
2014-01-14,93,良,70,114,34,1.2,58,100
2014-01-15,132,轻度污染,101,157,55,2.1,66,128
2014-01-16,161,中度污染,123,191,39,1.8,86,94
2014-01-17,169,中度污染,128,196,37,1.8,77,106
2014-01-18,171,中度污染,130,202,39,1.8,71,91
2014-01-19,187,中度污染,141,227,37,1.9,84,111
2014-01-20,191,中度污染,144,219,44,1.9,78,110
2014-01-21,154,中度污染,118,191,52,1.5,57,71
2014-01-22,142,轻度污染,109,197,82,1.8,73,106
2014-01-23,138,轻度污染,105,171,35,1.2,65,137
2014-01-24,86,良,64,99,21,1,40,116
2014-01-25,118,轻度污染,90,124,17,1.3,57,82
2014-01-26,227,重度污染,177,219,24,1.9,61,75
