日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,63,良,45,65,30,1.3,10,64
2015-01-01,60,良,41,69,21,1.2,10,81
2015-01-02,59,良,40,68,29,1.2,11,80
2015-01-03,59,良,38,69,27,1.2,12,79
2015-01-04,63,良,45,75,24,1.4,15,77
2015-01-05,90,良,67,87,27,1.4,13,43
2015-01-06,96,良,72,97,32,1.6,13,63
2015-01-07,36,优,25,36,19,2,14,55
2015-01-08,55,良,39,53,24,1.4,9,80
2015-01-09,78,良,57,75,27,1.5,11,69
2015-01-10,79,良,58,77,32,1.4,11,61
2015-01-11,77,良,57,80,27,1.5,11,88
2015-01-12,52,良,35,53,24,1.2,10,81
2015-01-13,37,优,19,26,15,1.2,7,74
2015-01-14,38,优,14,38,15,1.3,8,43
2015-01-15,38,优,19,38,19,1.3,8,67
2015-01-16,47,优,32,47,19,1.4,10,58
2015-01-17,72,良,53,66,20,1.5,9,79
2015-01-18,111,轻度污染,84,105,24,1.7,11,98
2015-01-19,87,良,64,87,25,1.6,12,97
2015-01-20,75,良,55,96,28,1.6,13,104
2015-01-21,76,良,56,84,23,1.6,15,95
2015-01-22,80,良,59,91,27,1.6,22,97
2015-01-23,82,良,61,88,27,1.7,23,98
2015-01-24,93,良,69,94,31,1.9,25,104
2015-01-25,67,良,49,76,26,1.6,19,65
2015-01-26,70,良,51,68,22,1.7,17,52
2015-01-27,84,良,62,69,24,1.8,17,92
2015-01-28,34,优,16,29,16,1.6,10,68
2015-01-29,38,优,19,38,17,1.4,10,72
2015-01-30,29,优,12,29,16,1.5,14,48
2015-01-31,26,优,13,26,15,1.6,13,20
2015-02-01,45,优,32,43,18,1.6,13,35
2015-02-02,65,良,47,57,14,1.7,13,37
2015-02-03,52,良,37,51,17,1.7,13,25
2015-02-04,29,优,16,29,14,1.8,14,24
2015-02-05,56,良,34,63,19,1.6,12,96
2015-02-06,87,良,65,80,21,1.6,16,106
2015-02-07,101,轻度污染,76,98,21,1.8,18,95
2015-02-08,75,良,55,74,22,1.6,16,119
2015-02-09,113,轻度污染,85,99,19,1.7,15,108
2015-02-10,95,良,71,98,20,1.7,18,108
2015-02-11,116,轻度污染,88,108,21,1.9,23,89
2015-02-12,96,良,72,109,18,2,22,109
2015-02-13,76,良,56,90,16,1.7,19,98
2015-02-14,71,良,52,75,20,1.6,18,74
2015-02-15,63,良,45,65,12,1.5,16,49
2015-02-16,51,良,36,53,15,1.6,16,75
2015-02-17,43,优,29,43,16,1.4,12,68
2015-02-18,69,良,50,69,16,1.5,10,82
2015-02-19,76,良,56,85,19,1.3,8,116
2015-02-20,60,良,39,59,14,1.2,10,112
2015-02-21,50,优,32,50,15,1.3,13,45
2015-02-22,44,优,22,44,15,1.5,12,54
2015-02-23,29,优,16,29,15,1.5,10,48
2015-02-24,34,优,15,34,17,1.6,11,64
2015-02-25,34,优,22,32,16,1.5,12,68
2015-02-26,37,优,17,37,18,1.4,8,70
2015-02-27,37,优,4,18,13,1,7,73
2015-02-28,35,优,6,29,13,1,7,70
2015-03-01,28,优,6,26,13,1.1,7,56
2015-03-02,33,优,17,33,16,1.2,10,49
2015-03-03,29,优,17,29,13,1.3,11,44
2015-03-04,32,优,8,20,12,1.3,8,64
2015-03-05,35,优,8,29,13,1.3,7,70
2015-03-06,28,优,6,16,17,1.3,9,55
2015-03-07,20,优,7,16,13,1.2,8,40
2015-03-08,36,优,17,36,23,1.2,13,50
2015-03-09,42,优,12,28,14,1.2,10,83
2015-03-10,54,良,22,42,13,1.1,8,105
2015-03-11,35,优,13,27,14,1.2,8,69
2015-03-12,31,优,14,29,18,1.2,11,62
2015-03-13,42,优,19,42,17,1.3,13,74
2015-03-14,48,优,34,44,20,1.4,16,48
2015-03-15,62,良,45,44,21,1.6,19,41
2015-03-16,51,良,35,52,19,1.7,16,68
2015-03-17,54,良,37,58,19,1.6,14,77
2015-03-18,61,良,41,70,19,1.3,14,113
2015-03-19,70,良,51,67,21,1.4,17,112
2015-03-20,73,良,53,72,22,1.4,12,123
2015-03-21,61,良,39,71,18,1.5,12,86
2015-03-22,43,优,26,42,18,1.5,10,85
2015-03-23,84,良,32,53,18,1.2,8,141
2015-03-24,44,优,24,44,17,1.2,8,88
2015-03-25,49,优,14,39,20,1.1,9,97
2015-03-26,43,优,26,43,26,1.2,12,66
2015-03-27,37,优,20,44,13,1.2,10,67
2015-03-28,49,优,24,49,22,1.4,15,94
2015-03-29,61,良,34,53,21,1.4,15,113
2015-03-30,70,良,51,50,22,1.4,15,114
2015-03-31,53,良,36,57,22,1.4,13,89
2015-04-01,52,良,31,54,21,1.2,14,90
2015-04-02,53,良,33,55,21,1.1,17,89
2015-04-03,55,良,38,61,26,1.2,15,100
2015-04-04,58,良,38,61,25,1.2,16,110
2015-04-05,66,良,37,57,22,1.1,15,119
2015-04-06,104,轻度污染,59,80,24,1.2,14,164
2015-04-07,70,良,15,49,19,1.2,9,124
2015-04-08,32,优,6,22,15,1.1,8,64
2015-04-09,29,优,9,22,15,1.2,9,57
2015-04-10,25,优,10,25,14,1.2,10,42
2015-04-11,38,优,15,24,15,1.2,9,75
2015-04-12,50,优,28,45,18,1.2,11,99
