»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,263,÷ÿ∂»Œ€»æ,213,320,104,2.1,111,35
2013-12-03,258,÷ÿ∂»Œ€»æ,208,305,97,1.7,112,46
2013-12-04,215,÷ÿ∂»Œ€»æ,165,215,35,1.3,52,112
2013-12-05,275,÷ÿ∂»Œ€»æ,225,298,59,2.1,106,54
2013-12-06,336,—œ÷ÿŒ€»æ,286,357,37,2,70,50
2013-12-07,162,÷–∂»Œ€»æ,123,169,43,1.2,58,78
2013-12-08,194,÷–∂»Œ€»æ,146,182,37,1.2,66,85
2013-12-09,244,÷ÿ∂»Œ€»æ,194,267,33,1.9,54,44
2013-12-10,107,«·∂»Œ€»æ,80,124,39,1.1,39,64
2013-12-11,109,«·∂»Œ€»æ,82,137,41,0.9,49,61
2013-12-12,150,«·∂»Œ€»æ,115,184,80,1.3,81,36
2013-12-13,137,«·∂»Œ€»æ,104,169,44,1,53,68
2013-12-14,113,«·∂»Œ€»æ,85,139,47,0.9,54,48
2013-12-15,148,«·∂»Œ€»æ,114,162,36,0.9,40,87
2013-12-16,44,”≈,29,44,11,0.5,22,57
2013-12-17,43,”≈,30,43,9,0.4,22,59
2013-12-18,82,¡º,61,88,19,0.7,18,75
2013-12-19,153,÷–∂»Œ€»æ,117,151,41,0.9,37,65
2013-12-20,236,÷ÿ∂»Œ€»æ,186,236,92,1.7,60,50
2013-12-21,96,¡º,72,100,29,0.9,31,73
2013-12-22,111,«·∂»Œ€»æ,83,110,24,0.8,35,71
2013-12-23,122,«·∂»Œ€»æ,92,119,22,0.9,39,77
2013-12-24,231,÷ÿ∂»Œ€»æ,181,225,77,1.7,58,55
2013-12-25,244,÷ÿ∂»Œ€»æ,194,240,60,1.7,67,62
2013-12-26,295,÷ÿ∂»Œ€»æ,245,327,86,1.9,70,40
2013-12-27,68,¡º,45,87,28,0.7,28,64
2013-12-28,104,«·∂»Œ€»æ,79,128,48,0.8,54,56
2013-12-29,167,÷–∂»Œ€»æ,127,188,79,1.3,68,53
2013-12-30,168,÷–∂»Œ€»æ,128,204,115,1.7,89,40
2013-12-31,185,÷–∂»Œ€»æ,139,232,133,2,95,45
2014-01-01,208,÷ÿ∂»Œ€»æ,158,240,126,2.2,102,43
2014-01-02,210,÷ÿ∂»Œ€»æ,160,233,78,1.5,91,74
2014-01-03,221,÷ÿ∂»Œ€»æ,171,228,49,1.4,68,77
2014-01-04,105,«·∂»Œ€»æ,79,125,18,0.9,27,59
2014-01-05,100,¡º,75,119,48,0.8,53,45
2014-01-06,62,¡º,43,75,28,0.6,34,63
2014-01-07,71,¡º,52,74,20,0.7,31,79
2014-01-08,45,”≈,29,37,4,0.6,10,90
2014-01-09,59,¡º,42,68,15,0.7,19,72
2014-01-10,83,¡º,61,103,37,0.8,36,63
2014-01-11,94,¡º,71,99,24,0.8,27,71
2014-01-12,184,÷–∂»Œ€»æ,139,174,32,1.1,33,100
2014-01-13,70,¡º,51,81,13,0.6,19,76
2014-01-14,52,¡º,35,54,10,0.5,29,78
2014-01-15,65,¡º,47,65,16,0.6,25,88
2014-01-16,155,÷–∂»Œ€»æ,118,160,39,1.1,54,83
2014-01-17,207,÷ÿ∂»Œ€»æ,157,205,58,1.3,71,67
2014-01-18,201,÷ÿ∂»Œ€»æ,151,186,23,1.2,32,77
2014-01-19,199,÷–∂»Œ€»æ,149,191,43,1.2,63,82
