»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,128,«·∂»Œ€»æ,97,122,28,0.3,24,20
2015-01-01,134,«·∂»Œ€»æ,102,126,27,0.6,24,29
2015-01-02,163,÷–∂»Œ€»æ,124,196,28,0.7,23,19
2015-01-03,109,«·∂»Œ€»æ,82,117,27,0.6,21,19
2015-01-04,100,¡º,75,94,26,0.4,22,20
2015-01-05,87,¡º,65,86,26,0.4,21,19
2015-01-06,87,¡º,64,79,26,0.4,20,19
2015-01-07,95,¡º,71,87,26,0.5,21,19
2015-01-08,99,¡º,74,91,26,0.6,20,19
2015-01-09,117,«·∂»Œ€»æ,88,109,26,0.7,23,19
2015-01-10,75,¡º,55,76,26,0.7,21,19
2015-01-11,120,«·∂»Œ€»æ,91,117,25,0.7,17,19
2015-01-12,131,«·∂»Œ€»æ,100,130,26,0.8,19,20
2015-01-13,93,¡º,69,90,25,0.7,19,20
2015-01-14,93,¡º,69,92,25,0.7,18,19
2015-01-15,61,¡º,44,52,25,0.6,14,19
2015-01-16,35,”≈,25,23,25,0.5,16,20
2015-01-17,48,”≈,33,42,25,0.5,14,19
2015-01-18,71,¡º,52,60,26,0.3,17,18
2015-01-19,82,¡º,61,81,25,0.4,16,18
2015-01-20,78,¡º,58,67,25,0.5,14,19
2015-01-21,74,¡º,54,67,24,0.5,16,19
2015-01-22,43,”≈,30,38,24,0.4,15,18
2015-01-23,46,”≈,32,44,24,0.4,16,18
2015-01-24,42,”≈,29,37,24,0.3,11,18
2015-01-25,46,”≈,32,39,24,0.2,13,18
2015-01-26,52,¡º,37,41,24,0.2,14,19
2015-01-27,53,¡º,37,53,24,0.2,13,19
2015-01-28,59,¡º,42,57,24,0.3,15,19
2015-01-29,63,¡º,46,67,24,0.3,13,19
2015-01-30,62,¡º,45,73,24,0.3,17,19
2015-01-31,67,¡º,49,84,24,0.3,19,19
2015-02-01,73,¡º,54,88,24,0.3,19,18
2015-02-02,113,«·∂»Œ€»æ,86,113,25,0.4,20,19
2015-02-03,136,«·∂»Œ€»æ,104,160,20,0.6,26,18
2015-02-04,124,«·∂»Œ€»æ,94,143,20,0.7,27,17
2015-02-05,138,«·∂»Œ€»æ,105,163,20,0.8,25,17
2015-02-06,116,«·∂»Œ€»æ,88,140,20,0.6,22,17
2015-02-07,85,¡º,60,121,19,0.5,21,17
2015-02-08,119,«·∂»Œ€»æ,90,161,20,0.6,23,17
2015-02-09,128,«·∂»Œ€»æ,98,182,19,0.6,24,17
2015-02-10,119,«·∂»Œ€»æ,90,187,20,0.6,26,17
2015-02-11,110,«·∂»Œ€»æ,81,171,19,0.6,23,18
2015-02-12,105,«·∂»Œ€»æ,78,159,20,0.6,25,18
2015-02-13,83,¡º,58,116,20,0.7,22,18
2015-02-14,56,¡º,18,61,19,0.6,13,18
2015-02-15,58,¡º,31,65,20,0.6,14,18
2015-02-16,62,¡º,40,74,20,0.7,18,20
2015-02-17,46,”≈,28,46,19,0.6,17,53
2015-02-18,47,”≈,26,37,20,0.5,14,94
2015-02-19,50,”≈,30,50,19,0.5,13,63
2015-02-20,46,”≈,13,46,19,0.5,9,18
2015-02-21,37,”≈,22,37,19,0.5,10,18
2015-02-22,50,”≈,32,50,19,0.6,13,18
2015-02-23,50,”≈,33,50,18,0.6,13,18
2015-02-24,64,¡º,36,78,19,0.6,12,18
2015-02-25,69,¡º,45,89,19,0.6,13,19
2015-02-26,70,¡º,31,90,19,0.6,12,17
2015-02-27,68,¡º,19,85,18,0.6,10,17
2015-02-28,49,”≈,23,49,19,0.6,10,17
2015-03-01,48,”≈,28,48,19,0.7,11,17
2015-03-02,59,¡º,42,68,19,0.7,10,18
2015-03-03,56,¡º,40,57,18,0.8,11,18
2015-03-04,52,¡º,31,53,19,0.7,12,19
2015-03-05,58,¡º,38,65,18,0.7,14,19
2015-03-06,66,¡º,48,83,19,0.8,14,18
2015-03-07,64,¡º,46,76,19,0.8,14,18
2015-03-08,56,¡º,34,62,19,0.8,12,18
2015-03-09,68,¡º,48,85,19,0.9,15,19
2015-03-10,69,¡º,50,83,19,0.8,12,18
2015-03-11,69,¡º,39,87,19,0.8,12,18
2015-03-12,50,”≈,24,50,19,0.8,10,18
2015-03-13,45,”≈,14,45,19,0.8,9,19
2015-03-14,49,”≈,18,49,19,0.8,9,17
2015-03-15,49,”≈,22,49,19,0.7,10,17
2015-03-16,51,¡º,18,51,19,0.8,9,18
2015-03-17,47,”≈,24,47,19,1.4,11,18
2015-03-18,65,¡º,19,81,19,1.9,10,21
2015-03-19,107,«·∂»Œ€»æ,22,164,19,1.9,8,21
2015-03-20,87,¡º,24,123,19,1.5,10,17
2015-03-21,74,¡º,32,98,19,1.6,13,17
