»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,103,«·∂»Œ€»æ,51,156,104,1.5,62,33
2014-01-01,105,«·∂»Œ€»æ,71,159,161,1.5,71,31
2014-01-02,102,«·∂»Œ€»æ,77,139,100,1.1,55,34
2014-01-03,108,«·∂»Œ€»æ,81,123,77,1.3,49,27
2014-01-04,50,”≈,30,50,55,0.8,34,41
2014-01-05,96,¡º,72,105,112,1.5,63,18
2014-01-06,204,÷ÿ∂»Œ€»æ,154,189,78,1.6,79,8
2014-01-07,135,«·∂»Œ€»æ,103,79,49,1,59,31
2014-01-08,45,”≈,23,45,33,0.2,32,48
2014-01-09,70,¡º,51,72,106,1.1,55,40
2014-01-10,148,«·∂»Œ€»æ,113,155,198,1.5,87,21
2014-01-11,215,÷ÿ∂»Œ€»æ,165,213,211,1.3,102,19
2014-01-12,105,«·∂»Œ€»æ,79,107,88,1,64,51
2014-01-13,56,¡º,40,55,68,0.5,52,44
2014-01-14,111,«·∂»Œ€»æ,84,115,139,1.1,79,32
2014-01-15,243,÷ÿ∂»Œ€»æ,193,236,303,1.4,115,23
2014-01-16,191,÷–∂»Œ€»æ,143,177,169,1.5,101,40
2014-01-17,185,÷–∂»Œ€»æ,140,169,110,1.6,75,28
2014-01-18,166,÷–∂»Œ€»æ,126,151,113,1.4,74,32
2014-01-19,148,«·∂»Œ€»æ,114,145,93,1.4,78,43
2014-01-20,139,«·∂»Œ€»æ,106,160,109,1.1,60,58
2014-01-21,44,”≈,27,44,50,0.9,29,38
2014-01-22,98,¡º,74,87,149,1.5,72,35
2014-01-23,77,¡º,56,78,74,1.1,56,56
2014-01-24,78,¡º,58,80,64,1.2,43,48
2014-01-25,41,”≈,26,41,18,0.6,19,66
2014-01-26,36,”≈,18,36,39,0.6,12,55
2014-01-27,34,”≈,15,34,21,0.8,17,62
2014-01-28,37,”≈,22,37,17,0.6,7,74
2014-01-29,32,”≈,19,31,21,0.5,15,63
2014-01-30,116,«·∂»Œ€»æ,88,113,52,1.3,30,82
2014-01-31,80,¡º,59,82,19,1,15,80
2014-02-01,43,”≈,29,43,16,0.9,21,80
2014-02-02,95,¡º,71,89,74,1.5,33,48
2014-02-03,33,”≈,11,33,20,0.4,13,64
2014-02-04,33,”≈,16,27,35,0.5,17,65
2014-02-05,37,”≈,5,13,10,0.2,5,73
2014-02-06,37,”≈,11,15,11,0.3,10,73
2014-02-07,27,”≈,15,19,28,0.5,22,53
2014-02-08,35,”≈,23,30,28,0.5,18,70
2014-02-09,32,”≈,11,22,22,0.2,11,64
2014-02-10,35,”≈,14,22,24,0.5,14,69
2014-02-11,38,”≈,26,34,44,1,25,71
2014-02-12,78,¡º,58,67,63,1.4,40,77
2014-02-13,77,¡º,57,69,56,1.1,48,63
2014-02-14,88,¡º,66,82,81,1.2,56,73
2014-02-15,122,«·∂»Œ€»æ,92,116,95,1.7,66,97
2014-02-16,63,¡º,46,58,38,0.9,44,85
2014-02-17,35,”≈,21,31,17,0.5,23,70
2014-02-18,60,¡º,43,60,36,0.9,25,60
2014-02-19,95,¡º,71,79,50,1.3,23,61
2014-02-20,80,¡º,59,76,57,1.1,38,73
2014-02-21,111,«·∂»Œ€»æ,84,112,84,1.3,59,78
2014-02-22,98,¡º,74,85,69,1.2,52,80
2014-02-23,97,¡º,72,99,64,1.2,63,94
2014-02-24,115,«·∂»Œ€»æ,87,122,55,1.3,64,98
2014-02-25,91,¡º,68,88,30,1.2,39,93
2014-02-26,103,«·∂»Œ€»æ,77,105,60,1.4,69,85
2014-02-27,96,¡º,72,96,55,1.2,45,56
2014-02-28,39,”≈,17,39,44,0.6,40,67
2014-03-01,64,¡º,46,72,56,1,40,73
2014-03-02,78,¡º,58,87,81,1.3,52,71
2014-03-03,62,¡º,45,71,62,1,42,85
2014-03-04,59,¡º,42,67,52,0.9,35,81
2014-03-05,93,¡º,69,69,40,0.8,36,81
2014-03-06,74,¡º,54,89,68,1.1,48,69
2014-03-07,55,¡º,30,59,36,0.7,31,65
2014-03-08,81,¡º,60,97,76,1.1,52,66
2014-03-09,106,«·∂»Œ€»æ,80,117,54,1.1,43,87
2014-03-10,56,¡º,32,62,30,0.6,28,82
2014-03-11,65,¡º,40,69,29,0.6,5,118
2014-03-12,53,¡º,24,56,16,0.4,8,96
2014-03-13,53,¡º,21,57,31,0.4,24,82
2014-03-14,88,¡º,51,125,104,1.3,60,71
2014-03-15,103,«·∂»Œ€»æ,69,157,131,1.1,70,74
2014-03-16,83,¡º,58,116,95,0.9,41,138
2014-03-17,100,¡º,73,150,71,0.9,40,137
2014-03-18,116,«·∂»Œ€»æ,56,183,28,0.7,27,100
2014-03-19,66,¡º,43,82,33,0.5,34,81
2014-03-20,67,¡º,26,84,20,0.5,21,79
2014-03-21,83,¡º,55,117,83,1.1,63,81
2014-03-22,88,¡º,57,125,71,0.8,52,94
2014-03-23,82,¡º,58,114,71,0.8,49,129
2014-03-24,69,¡º,43,87,38,0.7,44,108
2014-03-25,73,¡º,53,89,16,0.8,43,52
2014-03-26,97,¡º,73,98,37,1,39,129
2014-03-27,107,«·∂»Œ€»æ,81,125,44,1.2,36,116
2014-03-28,71,¡º,24,51,18,0.4,15,125
2014-03-29,63,¡º,46,72,19,0.5,16,104
2014-03-30,78,¡º,52,88,23,0.7,21,133
2014-03-31,95,¡º,65,141,34,0.9,46,121
2014-04-01,73,¡º,49,97,38,0.7,45,102
2014-04-02,61,¡º,40,72,27,0.7,31,102
2014-04-03,58,¡º,27,66,16,0.5,22,84
2014-04-04,72,¡º,26,94,39,0.5,30,91
2014-04-05,60,¡º,21,70,23,0.5,8,76
2014-04-09,88,¡º,48,78,20,0.7,24,146
2014-04-10,70,¡º,51,74,5,0.6,15,108
2014-04-11,57,¡º,38,64,4,0.5,15,107
2014-04-12,70,¡º,49,89,10,0.5,24,98
2014-04-13,85,¡º,57,100,25,0.7,30,142
2014-04-14,96,¡º,72,130,34,1.1,41,140
2014-04-15,118,«·∂»Œ€»æ,90,145,49,0.9,33,140
2014-04-16,61,¡º,22,55,13,0.4,22,113
2014-04-17,44,”≈,16,23,10,0.3,12,87
2014-04-18,52,¡º,27,47,14,0.5,31,102
2014-04-19,73,¡º,44,95,27,0.7,52,97
2014-04-20,82,¡º,58,115,32,0.9,51,129
2014-04-21,89,¡º,66,120,34,1.2,47,126
2014-04-22,125,«·∂»Œ€»æ,95,166,53,1.3,51,152
2014-04-23,84,¡º,62,110,43,0.8,30,122
2014-04-24,83,¡º,24,61,16,0.4,28,140
2014-04-25,68,¡º,29,66,18,0.4,25,122
2014-04-26,60,¡º,12,21,6,0.3,10,112
2014-04-27,41,”≈,7,6,3,0.3,12,82
2014-04-28,42,”≈,19,36,24,0.4,17,83
2014-04-29,67,¡º,32,70,23,0.5,30,120
2014-04-30,96,¡º,56,141,32,0.9,58,135
2014-05-01,117,«·∂»Œ€»æ,45,93,22,0.6,36,179
2014-05-02,119,«·∂»Œ€»æ,40,92,19,0.5,19,181
2014-05-03,54,¡º,21,58,14,0.5,31,95
2014-05-04,55,¡º,17,59,11,0.3,21,98
2014-05-05,65,¡º,27,80,31,0.4,33,94
2014-05-06,105,«·∂»Œ€»æ,29,94,21,0.4,25,165
2014-05-07,96,¡º,48,95,28,0.6,33,155
2014-05-08,71,¡º,36,61,17,0.4,25,125
2014-05-09,62,¡º,28,60,20,0.4,32,114
2014-05-10,65,¡º,20,52,6,0.3,11,118
2014-05-11,52,¡º,22,28,10,0.5,19,102
2014-05-12,73,¡º,42,75,35,0.7,43,128
2014-05-13,100,¡º,44,103,47,0.7,54,160
2014-05-14,101,«·∂»Œ€»æ,48,107,31,0.6,33,161
2014-05-15,73,¡º,33,96,64,0.6,53,113
2014-05-16,90,¡º,48,131,47,0.7,68,143
2014-05-17,78,¡º,38,92,20,0.4,31,133
2014-05-18,73,¡º,30,68,13,0.4,30,127
2014-05-19,53,¡º,28,56,13,0.4,19,93
2014-05-20,69,¡º,46,82,18,0.9,35,123
2014-05-21,75,¡º,46,84,17,0.8,38,130
2014-05-22,155,÷–∂»Œ€»æ,65,129,28,0.8,48,220
2014-05-23,104,«·∂»Œ€»æ,36,83,29,0.5,40,164
