日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,73,良,43,80,21,0.7,31,128
2013-12-03,77,良,56,93,31,0.8,48,122
2013-12-04,95,良,71,117,42,1.1,67,109
2013-12-05,63,良,41,75,28,0.8,51,103
2013-12-06,68,良,44,76,21,0.8,49,121
2013-12-07,66,良,45,75,13,0.7,36,119
2013-12-08,75,良,55,80,20,0.8,38,116
2013-12-09,94,良,70,99,30,1,58,98
2013-12-10,110,轻度污染,83,121,29,1.1,37,74
2013-12-11,83,良,61,99,28,1,37,80
2013-12-12,66,良,46,82,25,0.7,40,84
2013-12-13,86,良,64,110,37,0.9,62,84
2013-12-14,62,良,44,60,10,0.8,35,85
2013-12-15,36,优,17,26,5,0.7,33,72
2013-12-16,37,优,12,15,4,0.6,34,74
2013-12-17,32,优,14,18,8,0.6,37,63
2013-12-18,27,优,11,18,7,0.6,28,54
2013-12-19,42,优,22,40,11,0.5,26,84
2013-12-20,61,良,44,61,15,0.6,26,84
2013-12-21,69,良,50,75,21,0.7,28,93
2013-12-22,77,良,56,78,21,0.8,37,102
2013-12-23,51,良,33,51,13,0.6,41,73
2013-12-24,54,良,34,59,14,0.5,33,105
2013-12-25,46,优,30,46,14,0.6,31,89
2013-12-26,66,良,48,78,27,0.8,46,85
2013-12-27,104,轻度污染,79,109,40,1,35,121
2013-12-28,107,轻度污染,81,102,29,1.1,35,104
2013-12-29,71,良,52,83,28,0.9,47,99
2013-12-30,85,良,63,98,39,1.1,69,92
2013-12-31,104,轻度污染,78,108,41,1.2,76,110
2014-01-01,89,良,66,88,34,1.1,72,105
2014-01-02,93,良,69,102,41,1.2,92,82
2014-01-03,137,轻度污染,105,147,46,1.4,111,109
2014-01-04,136,轻度污染,104,129,42,1.3,80,119
2014-01-05,140,轻度污染,107,132,53,1.2,38,141
2014-01-06,85,良,63,78,33,0.8,36,124
2014-01-07,60,良,43,69,32,0.8,61,83
2014-01-08,82,良,61,97,39,1,79,79
2014-01-09,49,优,32,49,11,0.7,31,75
2014-01-10,49,优,33,49,12,0.7,29,71
2014-01-11,50,优,28,50,15,0.6,39,81
2014-01-12,55,良,39,61,18,0.7,47,90
2014-01-13,39,优,25,39,10,0.8,33,72
2014-01-14,34,优,23,30,7,0.8,27,67
2014-01-15,59,良,42,63,12,0.7,22,101
2014-01-16,49,优,32,49,14,0.5,36,93
2014-01-17,62,良,40,61,28,0.7,58,114
2014-01-18,88,良,54,74,17,0.8,36,145
2014-01-19,98,良,74,86,22,0.9,21,144
2014-01-20,88,良,65,83,26,1,50,116
2014-01-21,91,良,68,91,24,1,26,99
2014-01-22,56,良,40,61,18,0.7,22,103
2014-01-23,52,良,37,53,19,0.6,37,93
2014-01-24,54,良,38,50,21,0.6,58,80
2014-01-25,58,良,41,66,16,0.8,77,88
2014-01-26,123,轻度污染,94,122,18,1,46,115
2014-01-27,52,良,23,40,5,0.4,23,102
2014-01-28,46,优,29,44,18,0.5,43,92
2014-01-29,53,良,30,50,16,0.4,44,104
2014-01-30,60,良,43,56,18,0.6,55,91
2014-01-31,134,轻度污染,102,121,20,0.8,46,140
2014-02-01,73,良,53,65,11,0.6,41,104
2014-02-02,50,优,34,43,12,0.6,46,100
2014-02-03,71,良,52,70,12,0.7,37,125
2014-02-04,61,良,26,44,2,0.7,11,113
2014-02-05,44,优,7,17,4,0.6,25,88
2014-02-06,24,优,15,21,7,0.7,38,48
2014-02-07,38,优,21,38,6,0.6,27,48
2014-02-08,25,优,15,23,6,0.6,16,49
2014-02-09,28,优,15,11,6,0.7,20,55
2014-02-10,25,优,18,24,11,0.8,20,43
2014-02-11,51,良,35,45,12,0.8,14,61
2014-02-12,42,优,29,37,11,0.6,24,68
2014-02-13,38,优,26,34,14,0.8,37,44
2014-02-14,29,优,18,25,13,0.7,25,58
2014-02-15,50,优,35,48,14,0.7,22,76
2014-02-16,45,优,32,44,21,0.8,44,66
2014-02-17,68,良,49,76,29,1.1,55,45
2014-02-18,50,优,32,51,8,0.8,45,45
2014-02-19,21,优,7,13,7,0.7,28,42
2014-02-20,44,优,14,25,12,0.5,22,87
2014-02-21,60,良,33,50,12,0.5,22,112
2014-02-22,49,优,30,48,18,0.5,36,97
2014-02-23,50,优,30,50,17,0.5,39,98
2014-02-24,53,良,37,57,24,0.5,44,101
2014-02-25,72,良,53,85,20,0.5,39,89
2014-02-26,83,良,61,91,25,0.9,87,66
2014-02-27,56,良,38,63,16,0.6,27,107
2014-02-28,54,良,32,58,17,0.6,41,84
2014-03-01,63,良,43,76,27,0.7,75,49
2014-03-02,39,优,16,27,10,0.6,23,78
2014-03-03,49,优,24,49,15,0.5,27,87
2014-03-04,63,良,36,75,25,0.6,58,71
2014-03-05,57,良,38,65,16,0.5,27,92
2014-03-06,50,优,24,48,13,0.4,27,100
2014-03-07,35,优,9,17,7,0.4,25,69
2014-03-08,37,优,17,28,10,0.6,35,73
2014-03-09,46,优,29,46,17,0.7,25,84
2014-03-10,50,优,27,50,13,0.5,24,99
2014-03-11,70,良,51,69,18,0.8,54,92
2014-03-12,98,良,73,103,17,1.2,72,45
2014-03-13,83,良,61,94,19,1.3,44,98
2014-03-14,92,良,69,97,22,0.7,27,103
2014-03-15,63,良,36,76,22,0.5,56,94
2014-03-16,87,良,65,90,23,0.8,72,47
2014-03-17,93,良,69,103,34,1,62,85
2014-03-18,82,良,60,96,36,0.9,65,70
2014-03-19,61,良,43,72,21,0.7,51,81
2014-03-20,58,良,37,66,14,0.6,46,66
2014-03-21,68,良,48,82,18,0.6,25,121
2014-03-22,62,良,27,57,12,0.3,23,114
2014-03-23,58,良,30,66,21,0.4,51,109
2014-03-24,105,轻度污染,33,64,33,0.6,61,166
2014-03-25,80,良,57,110,39,0.4,84,107
2014-03-26,72,良,52,95,33,0.7,77,105
2014-03-27,80,良,50,85,22,0.6,53,136
2014-03-28,76,良,56,86,20,0.7,58,95
2014-03-29,58,良,35,66,16,0.5,58,76
2014-03-30,72,良,38,67,19,0.6,51,126
2014-03-31,82,良,60,97,17,0.7,44,125
2014-04-01,55,良,37,60,17,0.7,33,88
2014-04-02,60,良,43,70,19,0.6,41,85
2014-04-03,64,良,46,74,24,0.7,54,69
2014-04-04,76,良,41,70,19,0.4,27,131
2014-04-05,86,良,60,110,27,0.6,46,143
2014-04-06,69,良,43,83,19,0.5,32,123
2014-04-07,58,良,31,43,9,0.5,28,109
2014-04-08,82,良,60,93,23,0.8,46,106
2014-04-09,77,良,57,93,22,0.7,31,116
2014-04-10,80,良,41,70,20,0.6,30,136
2014-04-11,68,良,38,72,22,0.6,43,122
2014-04-12,57,良,36,65,20,0.6,44,88
2014-04-13,53,良,33,56,19,0.6,42,79
2014-04-14,56,良,31,57,12,0.6,24,107
2014-04-15,80,良,30,57,13,0.5,26,136
2014-04-16,64,良,41,77,30,0.7,47,114
2014-04-17,54,良,28,59,17,0.6,40,83
2014-04-18,53,良,29,56,21,0.7,49,70
2014-04-19,52,良,34,53,14,0.7,35,75
2014-04-20,58,良,36,67,14,0.8,42,49
2014-04-21,58,良,25,53,15,0.7,27,110
2014-04-22,55,良,36,59,18,0.7,38,82
2014-04-23,54,良,32,57,13,0.7,31,83
2014-04-24,56,良,36,62,16,0.8,36,107
2014-04-25,65,良,47,74,17,1,42,91
2014-04-26,62,良,45,66,18,1.1,68,59
2014-04-27,77,良,56,80,21,1.3,55,95
2014-04-28,77,良,37,56,15,1,27,132
2014-04-29,68,良,36,55,14,0.7,23,122
2014-04-30,58,良,41,58,11,0.7,38,92
2014-05-01,38,优,26,37,10,0.6,47,66
2014-05-02,75,良,38,56,18,0.9,41,130
2014-05-03,75,良,37,62,16,0.8,39,130
2014-05-04,58,良,41,61,13,0.6,36,108
2014-05-05,48,优,22,33,8,0.6,29,96
2014-05-06,72,良,23,34,8,0.5,21,126
2014-05-07,47,优,32,43,14,0.7,55,93
2014-05-08,74,良,54,70,26,1.1,49,106
2014-05-09,44,优,29,39,9,0.8,41,88
2014-05-10,52,良,34,53,13,0.7,40,79
2014-05-11,49,优,30,49,12,0.8,46,62
2014-05-12,30,优,20,30,12,0.8,48,44
2014-05-13,43,优,28,43,10,0.8,36,71
2014-05-14,47,优,23,47,8,0.6,31,45
2014-05-15,41,优,24,38,9,0.6,24,82
2014-05-16,85,良,63,84,12,1.1,31,109
2014-05-17,104,轻度污染,78,106,9,1.1,43,100
2014-05-18,63,良,46,64,10,0.9,53,40
2014-05-19,51,良,32,53,12,0.8,59,47
2014-05-20,50,优,32,50,11,0.8,48,86
2014-05-21,67,良,46,63,7,0.8,30,120
2014-05-22,91,良,68,91,11,0.9,33,98
2014-05-23,34,优,22,26,6,0.7,35,68
2014-05-24,56,良,39,62,14,0.9,41,68
2014-05-25,45,优,31,45,13,0.6,38,70
2014-05-26,59,良,43,67,14,0.8,44,60
2014-05-27,88,良,65,89,16,1,32,134
2014-05-28,89,良,66,90,16,0.9,40,120
2014-05-29,79,良,58,81,25,1,55,97
2014-05-30,95,良,71,106,18,1,35,99
2014-05-31,49,优,34,46,8,0.7,26,92
2014-06-01,64,良,46,61,10,0.6,22,78
2014-06-02,50,优,29,47,13,0.5,29,100
2014-06-03,51,良,34,51,7,0.7,31,97
2014-06-04,70,良,48,70,16,0.8,28,124
2014-06-05,84,良,62,88,16,0.8,27,131
2014-06-06,44,优,27,37,7,0.7,21,88
2014-06-07,28,优,13,19,8,0.5,22,56
2014-06-08,46,优,25,37,9,0.6,18,91
2014-06-09,51,良,32,51,9,0.7,18,101
2014-06-10,61,良,31,55,13,0.7,24,113
2014-06-11,60,良,26,59,14,0.5,21,112
2014-06-12,88,良,30,66,13,0.5,24,145
2014-06-13,87,良,46,78,12,0.7,24,144
2014-06-14,94,良,56,89,14,0.7,26,153
