日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,106,轻度污染,79,108,25,1.1,26,49
2015-01-01,51,良,35,53,20,0.5,21,48
2015-01-02,79,良,58,78,26,0.6,23,52
2015-01-03,83,良,61,89,27,0.8,24,43
2015-01-04,236,重度污染,186,251,43,2.3,37,26
2015-01-05,154,中度污染,117,175,34,1.5,28,44
2015-01-06,50,优,35,48,15,0.4,15,53
2015-01-07,33,优,22,33,15,0.6,15,48
2015-01-08,57,良,41,59,21,0.7,22,48
2015-01-09,98,良,73,102,29,0.9,25,41
2015-01-10,109,轻度污染,82,107,25,1.2,27,40
2015-01-11,80,良,59,80,20,1,21,44
2015-01-12,82,良,61,82,25,0.7,25,43
2015-01-13,61,良,44,63,23,0.6,22,52
2015-01-14,83,良,61,88,23,1,22,44
2015-01-15,60,良,43,63,22,0.8,22,41
2015-01-16,62,良,45,58,17,0.7,21,49
2015-01-17,32,优,19,32,15,0.4,12,55
2015-01-18,50,优,35,48,18,0.6,20,54
2015-01-19,80,良,59,82,20,1,19,46
2015-01-20,66,良,48,67,24,1,23,48
2015-01-21,135,轻度污染,103,158,31,1.3,35,35
2015-01-22,111,轻度污染,84,114,28,1,25,56
2015-01-23,179,中度污染,135,191,37,1.6,36,51
2015-01-24,212,重度污染,162,218,36,2,36,31
2015-01-25,251,重度污染,201,269,45,2.2,41,40
2015-01-26,263,重度污染,213,271,48,2.6,38,28
2015-01-27,36,优,23,36,21,0.5,17,46
2015-01-28,50,优,35,50,28,0.7,19,51
2015-01-29,65,良,47,71,34,0.8,19,54
2015-01-30,88,良,65,91,27,1,20,42
2015-01-31,90,良,67,90,23,1.1,20,39
2015-02-01,100,良,75,106,31,1,23,56
2015-02-02,112,轻度污染,84,116,34,1.2,30,62
2015-02-03,174,中度污染,132,196,36,2.2,44,36
2015-02-04,224,重度污染,174,250,45,2.5,54,32
2015-02-05,174,中度污染,131,177,24,1.8,34,61
2015-02-06,122,轻度污染,92,97,23,1.1,28,62
2015-02-07,92,良,69,108,21,1,24,51
2015-02-08,32,优,20,32,18,0.4,10,48
2015-02-09,34,优,18,34,22,0.5,12,51
2015-02-10,37,优,22,37,21,0.4,13,56
2015-02-11,58,良,41,64,23,0.7,21,55
2015-02-12,118,轻度污染,89,139,31,1.3,32,44
2015-02-13,75,良,55,81,23,0.7,18,65
2015-02-14,47,优,30,47,25,0.6,18,62
2015-02-15,80,良,59,94,27,1.2,30,58
2015-02-16,101,轻度污染,76,116,26,1.2,31,59
2015-02-17,92,良,69,100,22,1,29,49
2015-02-18,86,良,64,95,24,1,23,61
2015-02-19,48,优,31,48,21,0.5,14,63
2015-02-20,76,良,56,88,22,0.8,20,62
2015-02-21,82,良,61,90,23,1,25,55
2015-02-22,160,中度污染,52,270,17,0.5,17,54
2015-02-23,226,重度污染,77,368,15,0.5,12,61
2015-02-24,52,良,34,54,17,0.6,18,63
2015-02-25,132,轻度污染,101,164,24,1.3,30,66
2015-02-26,152,中度污染,116,179,36,1.5,36,46
2015-02-27,56,良,38,62,23,0.7,17,71
2015-02-28,61,良,44,67,19,0.6,16,77
2015-03-01,54,良,37,59,18,0.7,14,71
2015-03-02,78,良,57,84,19,0.8,21,76
2015-03-03,79,良,58,93,17,0.8,21,73
2015-03-04,59,良,42,64,19,0.5,17,71
2015-03-05,47,优,27,47,19,0.5,16,67
2015-03-06,51,良,29,51,17,0.6,17,75
2015-03-07,59,良,40,68,19,0.6,16,66
2015-03-08,43,优,21,43,15,0.5,10,56
2015-03-09,42,优,23,42,16,0.4,12,52
2015-03-10,38,优,17,38,18,0.3,12,50
2015-03-11,48,优,16,48,16,0.3,12,51
2015-03-12,39,优,24,39,20,0.6,18,57
2015-03-13,60,良,43,62,24,0.7,23,53
2015-03-14,54,良,38,56,26,0.5,22,77
2015-03-15,59,良,38,68,27,0.8,25,70
2015-03-16,128,轻度污染,58,207,30,0.7,25,83
2015-03-17,63,良,43,76,24,0.6,28,87
2015-03-18,58,良,37,65,24,0.7,25,83
2015-03-19,100,良,73,150,29,1,35,83
2015-03-20,52,良,26,54,21,0.5,21,82
2015-03-21,52,良,27,54,23,0.6,22,90
2015-03-22,49,优,22,49,21,0.4,19,80
2015-03-23,40,优,20,40,27,0.4,20,64
2015-03-24,44,优,24,44,24,0.6,21,77
2015-03-25,65,良,44,75,26,0.6,22,118
2015-03-26,98,良,71,146,33,0.9,26,145
2015-03-27,114,轻度污染,86,232,31,1,28,146
2015-03-28,50,优,29,50,21,0.7,33,71
2015-03-29,58,良,37,66,26,0.8,41,80
2015-03-30,72,良,53,91,27,0.9,31,93
2015-03-31,49,优,30,49,14,0.7,22,78
2015-04-01,61,良,41,71,19,0.8,19,105
2015-04-02,84,良,62,94,16,0.7,24,106
2015-04-03,40,优,23,40,11,0.5,16,76
2015-04-04,41,优,21,41,12,0.4,16,68
2015-04-05,39,优,27,39,14,0.6,17,61
2015-04-06,37,优,22,36,13,0.4,12,73
2015-04-07,37,优,15,26,14,0.4,11,74
2015-04-08,46,优,22,46,19,0.7,17,77
2015-04-09,72,良,53,76,19,1,22,75
2015-04-10,73,良,54,73,16,1,23,64
2015-04-11,47,优,27,47,17,0.8,20,78
2015-04-12,57,良,36,64,18,1.1,20,88
2015-04-13,56,良,31,62,20,0.6,17,92
2015-04-14,83,良,46,117,23,0.8,23,98
2015-04-15,100,良,65,150,16,1.3,24,84
2015-04-16,62,良,37,75,13,0.7,17,79
2015-04-17,70,良,51,69,13,0.9,22,44
2015-04-18,43,优,29,43,13,0.9,17,35
2015-04-19,53,良,34,55,11,0.6,17,70
2015-04-20,85,良,59,121,14,1,23,98
2015-04-21,66,良,43,83,14,0.9,17,72
2015-04-22,63,良,40,66,15,0.7,18,116
2015-04-23,72,良,35,93,14,0.7,16,93
2015-04-24,45,优,24,45,16,0.8,18,81
2015-04-25,68,良,41,87,20,1,19,103
2015-04-26,97,良,59,144,19,1.1,20,122
2015-04-27,79,良,59,87,10,0.8,33,90
2015-04-28,73,良,53,89,15,1,35,75
2015-04-29,82,良,51,100,18,0.9,25,138
2015-04-30,69,良,35,88,17,0.7,17,114
2015-05-01,60,良,31,70,16,0.8,24,108
