»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,202,÷ÿ∂»Œ€»æ,152,160,62,1.1,81,68
2014-01-01,200,÷–∂»Œ€»æ,150,147,100,1.5,89,85
2014-01-02,236,÷ÿ∂»Œ€»æ,186,140,118,1.5,103,109
2014-01-03,271,÷ÿ∂»Œ€»æ,221,164,135,1.7,123,55
2014-01-04,199,÷–∂»Œ€»æ,149,134,98,1.2,72,52
2014-01-05,243,÷ÿ∂»Œ€»æ,193,77,66,1.5,76,74
2014-01-06,203,÷ÿ∂»Œ€»æ,153,15,56,1.2,65,127
2014-01-07,114,«·∂»Œ€»æ,86,9,40,1,61,84
2014-01-08,63,¡º,45,3,32,0.8,32,95
2014-01-09,104,«·∂»Œ€»æ,78,35,36,0.5,35,108
2014-01-10,131,«·∂»Œ€»æ,100,39,40,0.9,59,101
2014-01-12,177,÷–∂»Œ€»æ,134,53,47,1.1,57,122
2014-01-13,158,÷–∂»Œ€»æ,121,12,34,0.8,44,90
2014-01-14,142,«·∂»Œ€»æ,109,23,52,0.7,57,89
2014-01-15,121,«·∂»Œ€»æ,91,10,50,0.7,55,112
2014-01-16,136,«·∂»Œ€»æ,104,22,45,1,67,99
2014-01-17,187,÷–∂»Œ€»æ,141,31,76,1.2,82,162
2014-01-18,323,—œ÷ÿŒ€»æ,273,12,143,0.7,82,152
2014-01-20,186,÷–∂»Œ€»æ,140,47,93,1.3,81,166
2014-01-21,68,¡º,49,60,126,0.6,67,91
2014-01-22,87,¡º,55,48,74,0.7,64,144
2014-01-23,136,«·∂»Œ€»æ,104,38,46,1.1,77,98
2014-01-24,139,«·∂»Œ€»æ,106,60,37,1.2,66,141
2014-01-25,225,÷ÿ∂»Œ€»æ,175,83,56,1.4,70,97
2014-01-26,78,¡º,58,30,23,0.5,27,103
2014-01-27,87,¡º,64,69,26,0.9,46,97
2014-01-28,168,÷–∂»Œ€»æ,128,37,77,1.3,48,97
2014-01-29,118,«·∂»Œ€»æ,90,21,23,1.2,38,95
2014-01-30,242,÷ÿ∂»Œ€»æ,192,121,49,1.3,52,125
2014-01-31,268,÷ÿ∂»Œ€»æ,218,33,26,1.6,36,98
2014-02-01,214,÷ÿ∂»Œ€»æ,164,58,35,1.2,36,97
2014-02-02,249,÷ÿ∂»Œ€»æ,199,201,25,1,43,51
2014-02-03,129,«·∂»Œ€»æ,98,73,15,0.7,26,84
2014-02-04,68,¡º,27,22,15,0.2,16,122
2014-02-05,60,¡º,25,8,12,0.4,22,112
