»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,141,«·∂»Œ€»æ,108,168,46,1.8,75,92
2013-12-03,158,÷–∂»Œ€»æ,121,185,34,1.8,72,123
2013-12-04,155,÷–∂»Œ€»æ,119,183,35,1.9,79,83
2013-12-05,180,÷–∂»Œ€»æ,136,195,27,1.7,66,114
2013-12-06,243,÷ÿ∂»Œ€»æ,193,265,52,1.5,69,132
2013-12-07,326,—œ÷ÿŒ€»æ,276,358,45,2.1,78,126
2013-12-08,240,÷ÿ∂»Œ€»æ,190,250,33,1.7,67,76
2013-12-09,187,÷–∂»Œ€»æ,141,189,32,1.6,43,102
2013-12-10,95,¡º,71,109,36,1.3,39,64
2013-12-11,101,«·∂»Œ€»æ,76,117,46,1.3,53,69
2013-12-12,132,«·∂»Œ€»æ,100,158,51,1.6,65,56
2013-12-13,122,«·∂»Œ€»æ,93,140,54,1.4,59,80
2013-12-14,117,«·∂»Œ€»æ,89,139,37,1.4,59,61
2013-12-15,86,¡º,64,95,19,1.3,41,77
2013-12-16,41,”≈,24,32,8,1.1,21,81
2013-12-17,24,”≈,9,11,4,1,26,47
2013-12-18,40,”≈,28,37,15,1.2,27,45
2013-12-19,127,«·∂»Œ€»æ,97,127,42,1.6,36,68
2013-12-20,160,÷–∂»Œ€»æ,122,154,89,1.6,43,69
2013-12-21,161,÷–∂»Œ€»æ,122,159,63,1.5,52,62
2013-12-22,101,«·∂»Œ€»æ,76,106,41,1.2,46,69
2013-12-23,105,«·∂»Œ€»æ,79,114,30,1.1,47,70
2013-12-24,119,«·∂»Œ€»æ,91,124,37,1,45,80
2013-12-25,146,«·∂»Œ€»æ,111,151,41,1.3,54,46
2013-12-26,208,÷ÿ∂»Œ€»æ,158,213,74,1.6,61,76
2013-12-27,110,«·∂»Œ€»æ,83,122,58,1.1,45,51
2013-12-28,70,¡º,51,89,38,0.9,48,56
2013-12-29,88,¡º,65,112,47,1.2,56,59
2013-12-30,124,«·∂»Œ€»æ,94,156,48,1.5,68,83
2013-12-31,124,«·∂»Œ€»æ,94,151,43,1.6,74,91
2014-01-01,125,«·∂»Œ€»æ,95,149,34,1.6,69,103
2014-01-02,147,«·∂»Œ€»æ,113,186,36,1.7,85,71
2014-01-03,128,«·∂»Œ€»æ,97,174,49,1.3,80,92
2014-01-04,207,÷ÿ∂»Œ€»æ,157,274,81,1.6,76,72
2014-01-05,242,÷ÿ∂»Œ€»æ,192,281,44,1.9,64,82
2014-01-06,125,«·∂»Œ€»æ,95,145,23,1.4,53,73
2014-01-07,89,¡º,66,107,22,1.6,60,23
2014-01-08,62,¡º,45,64,14,1.3,37,45
2014-01-09,46,”≈,31,46,13,1,20,66
2014-01-10,56,¡º,35,63,39,1.1,35,70
2014-01-11,60,¡º,41,70,20,1.2,52,48
2014-01-12,34,”≈,24,32,9,1.1,31,38
2014-01-13,116,«·∂»Œ€»æ,88,113,37,1.2,32,55
2014-01-14,50,”≈,33,50,17,0.5,23,76
2014-01-15,48,”≈,32,48,16,0.5,29,76
2014-01-16,61,¡º,44,69,19,0.8,45,78
2014-01-17,86,¡º,63,100,18,1,53,79
2014-01-18,201,÷ÿ∂»Œ€»æ,151,214,45,1.7,51,102
2014-01-19,182,÷–∂»Œ€»æ,137,187,32,1.7,51,97
2014-01-20,132,«·∂»Œ€»æ,101,155,33,1.4,52,108
2014-01-21,99,¡º,71,148,38,1.2,34,62
2014-01-22,71,¡º,50,91,28,1.3,41,75
2014-01-23,67,¡º,49,79,16,1.2,35,82
2014-01-24,57,¡º,37,64,12,1.2,37,74
2014-01-25,85,¡º,63,95,13,1.2,36,102
2014-01-26,103,«·∂»Œ€»æ,77,110,12,1.1,19,90
2014-01-27,44,”≈,21,44,6,0.9,20,83
2014-01-28,65,¡º,47,71,10,1,30,85
2014-01-29,63,¡º,45,68,29,1,28,94
2014-01-30,101,«·∂»Œ€»æ,76,98,12,1.1,28,107
2014-01-31,301,—œ÷ÿŒ€»æ,251,304,20,1.1,22,91
2014-02-01,94,¡º,70,89,5,1,18,90
2014-02-02,98,¡º,74,90,5,1.2,22,90
