»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,53,¡º,34,56,58,0.7,38,88
2015-01-01,58,¡º,32,66,40,0.5,30,67
2015-01-02,64,¡º,41,78,67,0.6,42,72
2015-01-03,81,¡º,59,111,69,0.9,63,72
2015-01-04,79,¡º,56,107,46,0.6,37,107
2015-01-05,66,¡º,43,82,46,0.7,41,95
2015-01-06,95,¡º,71,109,41,1.1,38,48
2015-01-07,61,¡º,44,65,34,0.9,29,50
2015-01-08,79,¡º,58,95,62,1.2,39,88
2015-01-09,86,¡º,64,101,79,1.2,51,79
2015-01-10,96,¡º,72,113,54,1.3,50,71
2015-01-11,109,«·∂»Œ€»æ,83,125,67,1.3,59,43
2015-01-12,99,¡º,74,106,39,1.1,39,48
2015-01-13,39,”≈,27,38,16,0.8,24,59
2015-01-14,53,¡º,38,54,30,0.9,35,63
2015-01-15,65,¡º,47,72,33,0.8,38,68
2015-01-16,65,¡º,47,74,41,0.9,49,63
2015-01-17,87,¡º,65,102,50,0.8,38,93
2015-01-18,105,«·∂»Œ€»æ,79,126,72,1,60,68
2015-01-19,99,¡º,74,124,66,1.1,50,91
2015-01-20,91,¡º,68,106,82,0.9,50,72
2015-01-21,93,¡º,69,105,104,1.1,46,63
2015-01-22,76,¡º,56,86,61,1,33,65
2015-01-23,86,¡º,64,99,76,1.1,54,57
2015-01-24,75,¡º,55,90,43,0.7,37,67
2015-01-25,67,¡º,49,74,36,0.8,42,59
2015-01-26,120,«·∂»Œ€»æ,91,133,39,1.3,44,34
2015-01-27,93,¡º,69,98,30,1.6,50,19
2015-01-28,28,”≈,20,26,18,0.9,31,8
2015-01-29,22,”≈,16,20,18,0.6,27,13
2015-01-30,33,”≈,23,31,19,0.7,25,13
2015-01-31,69,¡º,50,69,27,0.8,32,15
2015-02-01,89,¡º,66,89,37,0.9,36,17
2015-02-02,85,¡º,63,90,24,0.9,33,13
2015-02-03,42,”≈,30,38,14,0.9,33,11
2015-02-04,67,¡º,49,70,21,0.9,29,18
2015-02-05,81,¡º,60,83,30,0.9,26,75
2015-02-06,84,¡º,62,90,41,0.8,41,70
2015-02-07,75,¡º,55,81,28,0.7,46,57
2015-02-08,92,¡º,68,93,36,0.9,37,81
2015-02-09,68,¡º,50,76,30,0.6,29,71
2015-02-10,61,¡º,44,68,31,0.6,39,65
2015-02-11,83,¡º,62,95,18,0.9,45,77
2015-02-12,90,¡º,67,102,17,1,44,80
2015-02-13,78,¡º,57,91,16,0.8,42,77
2015-02-14,70,¡º,51,84,15,0.8,33,70
2015-02-15,53,¡º,37,54,5,0.8,15,73
2015-02-16,64,¡º,46,66,9,0.9,20,66
2015-02-17,98,¡º,74,110,18,1.2,21,73
2015-02-18,106,«·∂»Œ€»æ,80,114,13,1.2,18,51
2015-02-19,156,÷–∂»Œ€»æ,119,173,39,1.1,14,33
2015-02-20,77,¡º,56,77,4,0.9,8,61
2015-02-21,32,”≈,22,30,7,1.2,10,54
2015-02-22,38,”≈,27,35,3,0.9,8,35
2015-02-23,55,¡º,39,53,3,1,9,47
2015-02-24,53,¡º,38,51,5,1,13,33
2015-02-25,42,”≈,30,41,4,1.1,11,25
2015-02-26,28,”≈,19,26,8,0.8,18,24
2015-02-27,25,”≈,17,24,3,0.5,13,20
2015-02-28,16,”≈,11,14,3,0.5,12,30
2015-03-01,22,”≈,15,20,3,0.5,11,30
2015-03-02,36,”≈,25,35,8,0.5,16,30
2015-03-03,35,”≈,24,32,4,0.7,18,34
2015-03-04,54,¡º,39,58,7,0.7,21,33
2015-03-05,35,”≈,24,32,2,0.6,15,34
2015-03-06,28,”≈,20,25,4,0.6,22,21
2015-03-07,38,”≈,27,34,10,0.6,16,26
2015-03-08,46,”≈,32,46,9,0.7,18,22
2015-03-09,43,”≈,30,43,12,0.8,20,56
2015-03-10,66,¡º,48,68,15,0.6,25,53
2015-03-11,56,¡º,39,58,17,0.7,29,26
2015-03-12,51,¡º,32,53,20,0.7,24,58
2015-03-13,33,”≈,22,33,13,0.7,24,39
2015-03-14,38,”≈,27,35,7,0.9,26,27
2015-03-15,29,”≈,20,25,4,1.1,30,17
2015-03-16,41,”≈,29,37,16,1.4,42,20
2015-03-17,49,”≈,34,48,30,0.9,20,52
2015-03-18,34,”≈,23,33,11,0.8,9,68
2015-03-19,30,”≈,20,30,19,1.2,22,45
2015-03-20,41,”≈,28,41,30,1.2,23,34
2015-03-21,35,”≈,24,34,24,1.4,23,25
2015-03-22,44,”≈,31,42,29,1.1,22,60
2015-03-23,41,”≈,28,38,15,1,20,48
2015-03-24,52,¡º,34,55,24,0.8,15,79
2015-03-25,53,¡º,33,56,40,0.8,26,85
2015-03-26,37,”≈,25,37,22,0.7,17,52
2015-03-27,36,”≈,24,32,15,0.8,14,64
2015-03-28,46,”≈,31,46,28,1,26,74
2015-03-29,52,¡º,36,54,37,1,23,74
2015-03-30,58,¡º,41,59,21,1,18,51
2015-03-31,39,”≈,25,36,25,0.8,9,78
2015-04-01,36,”≈,20,30,17,0.8,6,72
2015-04-02,36,”≈,22,34,9,0.7,4,72
2015-04-03,41,”≈,25,39,13,0.8,6,81
2015-04-04,38,”≈,24,33,9,0.7,9,75
2015-04-05,46,”≈,30,46,22,1.1,11,69
2015-04-06,34,”≈,24,34,15,1.2,13,51
2015-04-07,27,”≈,18,18,6,0.9,12,54
2015-04-08,35,”≈,24,34,14,0.8,15,51
2015-04-09,34,”≈,24,32,18,0.7,18,56
2015-04-10,46,”≈,32,45,28,0.9,21,56
2015-04-11,54,¡º,38,55,29,0.8,21,94
2015-04-12,63,¡º,41,62,21,1.1,30,116
2015-04-13,46,”≈,23,46,20,0.5,12,91
2015-04-14,50,”≈,21,38,37,0.7,25,100
2015-04-15,51,¡º,33,52,51,0.8,27,85
2015-04-16,65,¡º,47,79,50,1,28,114
2015-04-17,62,¡º,43,70,46,0.8,25,114
2015-04-18,53,¡º,22,37,18,0.6,8,104
2015-04-19,59,¡º,42,60,17,1,19,68
2015-04-20,28,”≈,18,24,7,1.1,9,55
2015-04-21,50,”≈,35,47,21,0.7,12,77
2015-04-22,69,¡º,50,75,27,0.8,24,89
2015-04-23,95,¡º,71,90,40,0.8,23,86
2015-04-24,84,¡º,62,78,24,0.9,18,57
2015-04-25,95,¡º,71,92,25,0.8,16,74
2015-04-26,94,¡º,70,104,21,0.8,27,96
2015-04-27,100,¡º,75,95,28,0.9,17,61
2015-04-28,52,¡º,37,46,14,0.7,5,65
2015-04-29,58,¡º,41,59,18,0.7,14,87
2015-04-30,93,¡º,70,107,26,0.8,25,92
2015-05-01,55,¡º,39,54,15,0.6,5,64
2015-05-02,38,”≈,26,37,9,0.7,5,69
2015-05-03,51,¡º,36,49,20,0.8,6,98
2015-05-04,63,¡º,45,61,11,0.8,6,90
2015-05-05,84,¡º,62,87,16,0.8,11,73
2015-05-06,86,¡º,64,81,20,1,12,59
2015-05-07,63,¡º,46,62,18,1.1,11,77
2015-05-08,34,”≈,22,34,13,0.8,8,58
2015-05-09,48,”≈,31,48,19,1.1,9,88
2015-05-10,69,¡º,50,73,27,1.1,14,64
2015-05-11,28,”≈,17,25,12,1,8,56
2015-05-12,53,¡º,30,56,25,0.8,16,76
2015-05-13,59,¡º,39,69,28,0.6,13,79
2015-05-14,46,”≈,31,46,18,0.7,7,74
2015-05-15,38,”≈,24,38,19,0.6,7,68
2015-05-16,38,”≈,27,38,20,0.9,10,58
2015-05-17,54,¡º,38,51,20,0.9,8,71
2015-05-18,39,”≈,28,39,23,0.8,8,50
2015-05-19,53,¡º,31,41,17,0.8,9,103
2015-05-20,71,¡º,52,68,24,0.9,14,61
2015-05-21,50,”≈,35,47,14,0.8,10,75
2015-05-22,31,”≈,20,31,16,0.7,8,59
2015-05-23,47,”≈,33,40,13,0.8,12,62
2015-05-24,125,«·∂»Œ€»æ,95,120,27,1.1,16,95
2015-05-25,151,÷–∂»Œ€»æ,115,150,28,1.3,18,99
2015-05-26,118,«·∂»Œ€»æ,90,122,24,1.2,20,62
2015-05-27,38,”≈,25,38,11,0.7,9,58
2015-05-28,29,”≈,20,29,8,0.6,11,54
2015-05-29,51,¡º,35,52,12,1,12,67
2015-05-30,50,”≈,35,47,11,0.9,12,43
2015-05-31,58,¡º,42,59,15,1,15,55
2015-06-01,55,¡º,39,56,15,0.8,12,70
2015-06-02,39,”≈,23,39,13,0.6,5,60
2015-06-03,36,”≈,24,36,18,0.6,7,65
2015-06-04,31,”≈,22,29,16,1.2,11,55
2015-06-05,48,”≈,34,45,17,0.8,9,84
2015-06-06,56,¡º,40,58,23,0.9,11,80
2015-06-07,43,”≈,30,39,17,0.8,7,60
2015-06-08,40,”≈,24,40,15,0.6,8,54
2015-06-09,25,”≈,18,22,12,0.8,12,50
2015-06-10,42,”≈,29,42,22,1,17,51
2015-06-11,29,”≈,17,24,10,0.7,9,57
2015-06-12,37,”≈,26,35,19,0.7,10,58
2015-06-13,34,”≈,24,33,22,0.8,12,60
2015-06-14,34,”≈,24,33,14,0.8,16,53
2015-06-15,38,”≈,26,38,22,0.8,15,64
2015-06-16,42,”≈,29,41,22,0.6,9,71
2015-06-17,49,”≈,34,48,23,0.8,15,84
2015-06-18,42,”≈,29,40,25,1,18,50
2015-06-19,43,”≈,30,37,17,1.2,16,57
2015-06-20,43,”≈,30,37,19,0.9,13,58
2015-06-21,64,¡º,46,60,13,1.1,16,55
2015-06-22,71,¡º,52,69,15,0.9,16,52
2015-06-23,26,”≈,18,26,12,0.7,18,43
2015-06-24,26,”≈,16,26,14,0.6,17,52
2015-06-25,31,”≈,18,31,14,0.8,25,52
2015-06-26,36,”≈,22,36,17,0.8,11,62
2015-06-27,42,”≈,25,42,13,0.7,9,64
2015-06-28,52,¡º,28,54,17,0.8,9,73
2015-06-29,56,¡º,35,62,21,0.7,9,91
2015-06-30,55,¡º,34,60,21,0.9,9,103
2015-07-01,55,¡º,39,60,28,1.2,11,79
2015-07-02,29,”≈,20,26,14,1.4,11,56
2015-07-03,41,”≈,29,36,15,0.9,11,56
2015-07-04,37,”≈,23,29,9,0.9,10,73
2015-07-05,37,”≈,26,34,16,0.7,10,71
2015-07-06,43,”≈,30,41,23,0.7,10,79
2015-07-07,41,”≈,29,41,23,0.7,11,82
2015-07-08,53,¡º,37,53,28,0.7,14,90
2015-07-09,49,”≈,34,45,17,0.8,15,80
2015-07-10,61,¡º,44,61,19,0.9,12,98
2015-07-11,61,¡º,44,64,19,0.9,17,86
2015-07-12,93,¡º,70,97,21,0.9,22,92
2015-07-13,91,¡º,68,105,49,1,22,94
2015-07-14,110,«·∂»Œ€»æ,83,122,43,1,24,104
2015-07-15,119,«·∂»Œ€»æ,90,119,31,1,15,112
2015-07-16,109,«·∂»Œ€»æ,82,102,19,0.9,12,106
2015-07-17,39,”≈,27,36,15,1,12,78
2015-07-18,68,¡º,49,66,29,1.3,19,76
2015-07-19,93,¡º,69,93,28,1.4,20,90
2015-07-20,97,¡º,72,94,20,1.1,15,84
2015-07-21,31,”≈,19,29,14,0.7,10,61
2015-07-22,39,”≈,27,36,16,0.7,8,67
2015-07-23,35,”≈,24,32,20,0.4,8,64
2015-07-24,30,”≈,21,30,17,0.4,8,51
2015-07-25,30,”≈,20,30,14,0.5,10,54
2015-07-26,35,”≈,24,35,15,0.6,6,58
2015-07-27,34,”≈,21,34,13,0.6,6,58
2015-07-28,39,”≈,24,39,18,0.7,6,70
2015-07-29,50,”≈,29,50,23,0.7,10,72
2015-07-30,45,”≈,24,45,22,0.6,7,70
2015-07-31,42,”≈,23,42,25,0.5,7,71
2015-08-01,72,¡º,34,54,36,0.6,9,126
2015-08-02,67,¡º,35,54,33,0.7,8,120
2015-08-03,57,¡º,33,53,32,0.5,11,108
2015-08-04,64,¡º,40,67,44,0.6,16,116
2015-08-05,70,¡º,51,88,43,0.8,19,112
2015-08-06,70,¡º,51,80,32,0.7,12,102
2015-08-07,79,¡º,58,90,39,0.7,13,121
2015-08-08,62,¡º,40,74,19,0.6,8,104
2015-08-09,44,”≈,28,44,9,0.7,6,62
2015-08-10,32,”≈,20,32,11,0.6,6,53
2015-08-11,27,”≈,17,26,12,0.7,7,54
2015-08-12,46,”≈,32,43,19,0.8,9,63
2015-08-13,53,¡º,36,55,14,0.7,8,79
2015-08-14,35,”≈,24,35,16,0.7,6,69
2015-08-15,32,”≈,21,32,16,0.8,6,62
2015-08-16,35,”≈,24,35,18,0.7,9,60
2015-08-17,42,”≈,29,40,26,0.8,11,59
2015-08-18,42,”≈,27,42,21,0.7,12,64
2015-08-19,47,”≈,31,47,18,0.6,10,84
2015-08-20,42,”≈,29,42,11,0.8,8,64
2015-08-21,57,¡º,40,57,17,0.9,14,83
2015-08-22,69,¡º,50,75,28,0.9,18,89
2015-08-23,77,¡º,56,90,31,1,19,93
2015-08-24,78,¡º,57,90,31,0.8,21,121
2015-08-25,87,¡º,64,100,38,0.8,22,123
2015-08-26,58,¡º,39,56,34,0.9,18,109
2015-08-27,83,¡º,61,77,40,1.1,21,112
2015-08-28,68,¡º,49,61,12,1,13,73
2015-08-29,59,¡º,42,47,22,0.9,13,62
2015-08-30,59,¡º,42,50,17,0.7,10,96
2015-08-31,46,”≈,32,39,26,0.8,13,76
2015-09-01,43,”≈,28,39,30,0.8,12,86
2015-09-02,35,”≈,24,32,20,0.9,11,62
2015-09-03,29,”≈,20,26,12,0.8,9,54
2015-09-04,33,”≈,20,30,18,0.9,8,65
2015-09-05,38,”≈,26,35,24,0.9,8,75
2015-09-06,35,”≈,24,31,19,0.9,10,67
2015-09-07,64,¡º,46,58,26,1,13,109
2015-09-08,80,¡º,59,73,39,1.1,15,120
2015-09-09,73,¡º,49,66,40,0.9,16,127
2015-09-10,79,¡º,51,65,42,0.9,19,134
2015-09-11,78,¡º,52,69,30,0.9,17,133
2015-09-12,75,¡º,51,60,28,0.8,16,129
2015-09-13,62,¡º,44,56,31,0.9,16,102
2015-09-14,67,¡º,48,64,46,0.9,20,88
2015-09-15,67,¡º,48,59,22,0.9,16,94
2015-09-16,63,¡º,44,57,54,1,25,115
2015-09-17,64,¡º,46,73,40,0.9,24,108
2015-09-18,77,¡º,50,74,42,0.9,23,132
2015-09-19,57,¡º,40,50,16,0.8,14,92
2015-09-20,52,¡º,36,44,12,0.9,19,70
2015-09-21,64,¡º,46,55,29,0.9,15,79
2015-09-22,60,¡º,43,52,30,1,15,69
2015-09-23,60,¡º,43,51,26,1.1,14,72
2015-09-24,60,¡º,43,53,30,1.2,18,74
2015-09-25,53,¡º,37,46,21,0.9,20,65
2015-09-26,59,¡º,42,53,29,0.8,16,94
2015-09-27,79,¡º,58,71,46,0.8,16,122
2015-09-28,83,¡º,61,76,44,0.7,14,138
2015-09-29,69,¡º,44,55,23,0.8,10,122
2015-09-30,31,”≈,19,24,7,0.9,8,62
2015-10-01,49,”≈,34,42,13,1,8,76
2015-10-02,58,¡º,30,50,33,0.6,9,109
2015-10-03,67,¡º,48,69,44,0.8,12,110
2015-10-04,80,¡º,59,81,41,1,13,125
2015-10-05,69,¡º,50,61,18,1,12,96
2015-10-06,49,”≈,34,42,22,1.1,12,36
2015-10-07,40,”≈,28,36,10,1,8,51
2015-10-08,35,”≈,24,28,9,1,8,68
2015-10-09,35,”≈,24,33,16,0.7,14,66
2015-10-10,46,”≈,32,46,20,0.7,19,51
2015-10-11,53,¡º,37,52,29,0.8,26,103
2015-10-12,67,¡º,46,62,40,0.6,33,120
2015-10-13,74,¡º,52,72,47,0.6,29,128
2015-10-14,90,¡º,67,100,62,0.8,38,122
2015-10-15,92,¡º,68,98,42,0.8,36,133
2015-10-16,95,¡º,71,104,49,0.8,36,134
2015-10-17,102,«·∂»Œ€»æ,76,110,50,0.9,30,131
2015-10-18,97,¡º,72,101,52,0.7,27,140
2015-10-19,83,¡º,61,88,50,0.6,28,128
2015-10-20,84,¡º,62,94,54,0.6,28,130
2015-10-21,97,¡º,72,108,51,0.8,27,124
2015-10-22,85,¡º,63,95,59,0.7,24,102
2015-10-23,88,¡º,65,97,42,0.7,32,115
2015-10-24,95,¡º,71,106,40,0.7,29,112
2015-10-25,120,«·∂»Œ€»æ,91,146,51,1,39,120
2015-10-26,128,«·∂»Œ€»æ,97,144,46,1,36,102
2015-10-27,72,¡º,52,59,20,1,18,57
2015-10-28,69,¡º,50,60,34,1,22,94
2015-10-29,97,¡º,72,79,30,1,30,64
2015-10-30,45,”≈,31,35,15,0.9,22,41
2015-10-31,62,¡º,44,46,16,0.8,22,38
2015-11-01,46,”≈,32,41,21,0.6,24,49
2015-11-02,68,¡º,49,57,37,0.7,23,76
2015-11-03,87,¡º,64,74,52,0.8,34,64
2015-11-04,99,¡º,74,88,34,1,40,51
2015-11-05,114,«·∂»Œ€»æ,86,107,43,1.2,41,74
2015-11-06,107,«·∂»Œ€»æ,80,98,44,1,40,40
2015-11-07,82,¡º,60,78,30,0.9,32,54
2015-11-08,40,”≈,28,34,16,1,26,20
2015-11-09,40,”≈,28,35,19,1,24,36
2015-11-10,62,¡º,44,50,21,0.9,22,54
2015-11-11,38,”≈,26,28,12,1,21,36
2015-11-12,33,”≈,20,22,12,1,26,34
2015-11-13,29,”≈,20,22,17,0.8,23,21
2015-11-14,38,”≈,26,32,17,1,25,37
2015-11-15,54,¡º,38,47,20,1.1,26,26
2015-11-16,43,”≈,30,34,12,1.2,31,17
2015-11-17,38,”≈,23,25,14,1.5,30,18
2015-11-18,39,”≈,22,26,15,1.5,28,18
2015-11-19,50,”≈,35,40,20,1.4,21,54
2015-11-20,40,”≈,28,32,20,1.3,32,36
2015-11-21,46,”≈,32,38,20,1.4,35,19
2015-11-22,48,”≈,33,41,21,1.4,33,24
2015-11-23,57,¡º,40,46,28,1.2,31,31
2015-11-24,57,¡º,40,46,20,1.1,30,23
2015-11-25,30,”≈,16,20,9,1,24,21
2015-11-26,48,”≈,33,40,22,0.7,24,67
2015-11-27,52,¡º,36,46,31,0.3,25,78
