»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,68,¡º,22,87,17,0.7,16,57
2014-01-01,52,¡º,21,53,17,1,17,55
2014-01-02,63,¡º,46,76,28,1.2,32,49
2014-01-03,120,«·∂»Œ€»æ,91,144,40,1.5,39,50
2014-01-04,158,÷–∂»Œ€»æ,120,166,34,2,47,35
2014-01-05,271,÷ÿ∂»Œ€»æ,221,299,35,2.5,64,32
2014-01-06,165,÷–∂»Œ€»æ,125,168,36,2,52,46
2014-01-07,84,¡º,62,93,38,1.7,30,49
2014-01-08,49,”≈,27,49,20,1.1,21,53
2014-01-09,53,¡º,34,56,26,1.3,27,52
2014-01-10,61,¡º,44,67,28,1.5,32,53
2014-01-11,56,¡º,40,62,30,1.5,27,59
2014-01-12,90,¡º,67,103,39,1.7,33,49
2014-01-13,107,«·∂»Œ€»æ,81,113,40,2,37,46
2014-01-14,126,«·∂»Œ€»æ,96,128,46,2.2,48,42
2014-01-15,91,¡º,68,90,57,1.7,43,43
2014-01-16,204,÷ÿ∂»Œ€»æ,154,192,48,1.9,53,45
2014-01-17,265,÷ÿ∂»Œ€»æ,215,270,72,2.5,69,41
2014-01-18,239,÷ÿ∂»Œ€»æ,189,240,57,2.5,60,51
2014-01-19,132,«·∂»Œ€»æ,100,132,35,1.8,42,47
2014-01-20,133,«·∂»Œ€»æ,101,130,46,1.9,44,47
2014-01-21,195,÷–∂»Œ€»æ,146,203,48,2.3,53,37
2014-01-22,147,«·∂»Œ€»æ,113,153,50,2.2,49,53
2014-01-23,83,¡º,62,83,50,1.8,34,70
2014-01-24,178,÷–∂»Œ€»æ,134,193,55,2.3,50,77
2014-01-25,169,÷–∂»Œ€»æ,128,173,29,2.2,44,54
2014-01-26,51,¡º,33,51,28,1.4,27,57
2014-01-27,53,¡º,32,57,30,1.4,22,55
2014-01-28,53,¡º,26,56,22,1.3,18,60
2014-01-29,52,¡º,32,55,26,1.5,21,69
2014-01-30,86,¡º,64,102,28,1.7,20,61
2014-01-31,207,÷ÿ∂»Œ€»æ,157,201,45,2.1,35,62
2014-02-01,170,÷–∂»Œ€»æ,129,163,48,2.3,41,73
2014-02-02,90,¡º,37,130,30,1.7,14,68
2014-02-03,64,¡º,24,79,17,1.5,14,60
2014-02-04,55,¡º,32,61,24,1.8,18,59
