»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,226,÷ÿ∂»Œ€»æ,176,244,82,4,73,34
2015-01-01,236,÷ÿ∂»Œ€»æ,186,251,80,4.6,70,20
2015-01-02,241,÷ÿ∂»Œ€»æ,191,262,86,4.6,69,23
2015-01-03,258,÷ÿ∂»Œ€»æ,208,281,136,4.9,72,18
2015-01-04,254,÷ÿ∂»Œ€»æ,204,278,112,4.7,70,24
2015-01-05,225,÷ÿ∂»Œ€»æ,175,224,84,4.5,68,29
2015-01-06,231,÷ÿ∂»Œ€»æ,181,248,82,4.5,67,33
2015-01-07,205,÷ÿ∂»Œ€»æ,155,222,61,3.4,63,29
2015-01-08,216,÷ÿ∂»Œ€»æ,166,225,63,3.7,65,34
2015-01-09,235,÷ÿ∂»Œ€»æ,185,264,103,3.9,66,39
2015-01-10,225,÷ÿ∂»Œ€»æ,175,263,85,3.7,63,39
2015-01-11,215,÷ÿ∂»Œ€»æ,165,263,75,3.6,62,36
2015-01-12,229,÷ÿ∂»Œ€»æ,179,280,96,4.2,64,32
2015-01-13,204,÷ÿ∂»Œ€»æ,154,258,92,3.5,61,43
2015-01-14,223,÷ÿ∂»Œ€»æ,173,275,92,4.2,69,54
2015-01-15,227,÷ÿ∂»Œ€»æ,177,320,119,4.5,73,44
2015-01-16,228,÷ÿ∂»Œ€»æ,178,369,82,4,75,39
2015-01-17,208,÷ÿ∂»Œ€»æ,158,181,69,3.5,64,57
2015-01-18,176,÷–∂»Œ€»æ,133,180,75,3.5,62,50
2015-01-19,147,«·∂»Œ€»æ,112,152,58,3.2,59,46
2015-01-20,126,«·∂»Œ€»æ,96,126,51,2.9,51,51
2015-01-21,130,«·∂»Œ€»æ,99,141,79,3,54,40
2015-01-22,168,÷–∂»Œ€»æ,127,159,79,3.4,56,48
2015-01-23,172,÷–∂»Œ€»æ,130,165,102,3.6,60,50
2015-01-24,155,÷–∂»Œ€»æ,119,158,107,3.3,60,49
2015-01-25,159,÷–∂»Œ€»æ,121,157,98,3,59,31
2015-01-26,208,÷ÿ∂»Œ€»æ,158,101,82,4,56,29
2015-01-27,101,«·∂»Œ€»æ,76,75,33,2.2,39,45
2015-01-28,69,¡º,50,87,24,1.9,30,63
2015-01-29,80,¡º,59,70,29,2.2,38,62
2015-01-30,106,«·∂»Œ€»æ,80,99,33,3.2,46,55
2015-01-31,116,«·∂»Œ€»æ,88,109,44,3.9,49,57
2015-02-01,122,«·∂»Œ€»æ,92,125,58,3.8,54,51
2015-02-02,117,«·∂»Œ€»æ,88,128,50,3.8,53,60
2015-02-03,113,«·∂»Œ€»æ,85,145,49,3.6,51,54
2015-02-04,118,«·∂»Œ€»æ,89,163,56,4,55,39
2015-02-05,238,÷ÿ∂»Œ€»æ,114,377,33,3.7,46,47
2015-02-09,499,—œ÷ÿŒ€»æ,177,599,42,4.2,47,50
2015-02-10,413,—œ÷ÿŒ€»æ,164,513,45,3.2,48,58
2015-02-11,378,—œ÷ÿŒ€»æ,167,482,50,2.7,49,57
2015-02-12,309,—œ÷ÿŒ€»æ,164,427,57,3.1,54,63
2015-02-13,215,÷ÿ∂»Œ€»æ,134,361,46,2.8,50,53
2015-02-14,183,÷–∂»Œ€»æ,85,317,33,2.1,31,76
2015-02-15,87,¡º,51,124,34,2.2,32,76
2015-02-16,97,¡º,63,145,42,2.4,40,69
2015-02-17,105,«·∂»Œ€»æ,73,159,40,2.6,41,65
2015-02-18,118,«·∂»Œ€»æ,89,171,50,3,44,56
2015-02-19,101,«·∂»Œ€»æ,76,142,43,2.5,35,73
2015-02-20,83,¡º,61,98,28,2.3,30,78
2015-02-21,154,÷–∂»Œ€»æ,65,258,21,1.9,22,73
2015-02-22,145,«·∂»Œ€»æ,81,240,27,2.4,29,75
2015-02-23,119,«·∂»Œ€»æ,63,188,31,2.4,30,83
2015-02-24,105,«·∂»Œ€»æ,53,160,24,2.1,24,88
2015-02-25,58,¡º,28,65,18,2,20,78
2015-02-26,83,¡º,46,116,19,2,23,82
2015-02-27,137,«·∂»Œ€»æ,69,224,15,1.9,19,84
2015-02-28,69,¡º,41,87,18,2,26,79
2015-03-01,73,¡º,51,97,20,2.4,29,79
2015-03-02,85,¡º,41,120,15,2.3,21,87
2015-03-03,70,¡º,45,89,23,2.6,31,83
2015-03-04,71,¡º,46,91,23,2,37,89
2015-03-05,89,¡º,57,128,32,1.1,41,88
2015-03-06,90,¡º,61,130,31,1,38,91
2015-03-07,100,¡º,74,150,33,1.3,51,98
2015-03-08,77,¡º,47,104,26,0.9,36,96
2015-03-09,97,¡º,55,145,21,0.8,31,76
2015-03-10,111,«·∂»Œ€»æ,73,171,26,1,40,77
2015-03-11,107,«·∂»Œ€»æ,68,165,25,0.9,36,71
2015-03-12,152,÷–∂»Œ€»æ,69,253,23,0.7,28,70
2015-03-13,98,¡º,51,147,19,0.6,21,84
2015-03-14,65,¡º,33,81,18,0.7,24,82
2015-03-15,94,¡º,48,139,19,0.9,40,90
2015-03-16,97,¡º,55,144,23,1,36,78
2015-03-17,135,«·∂»Œ€»æ,67,220,21,0.9,29,84
2015-03-18,165,÷–∂»Œ€»æ,73,279,17,0.7,24,84
2015-03-19,97,¡º,46,143,13,0.7,23,82
2015-03-20,77,¡º,42,104,20,1,30,93
2015-03-21,79,¡º,56,108,22,1.2,48,78
2015-03-22,82,¡º,50,114,20,1.2,45,99
2015-03-23,78,¡º,42,106,14,0.8,33,102
2015-03-24,83,¡º,48,117,16,0.8,38,107
2015-03-25,124,«·∂»Œ€»æ,68,198,15,0.9,45,85
2015-03-26,135,«·∂»Œ€»æ,69,220,11,0.7,26,83
2015-03-27,102,«·∂»Œ€»æ,63,177,12,0.8,42,96
2015-03-28,87,¡º,54,125,15,1,48,83
2015-03-29,79,¡º,40,108,14,0.9,40,87
2015-03-30,71,¡º,35,92,11,0.8,32,88
2015-04-01,374,—œ÷ÿŒ€»æ,141,479,9,0.8,21,57
2015-04-03,435,—œ÷ÿŒ€»æ,167,535,18,0.9,20,89
2015-04-04,90,¡º,58,131,10,1,24,97
2015-04-05,81,¡º,49,112,15,1,28,105
2015-04-06,76,¡º,47,102,14,1.1,35,106
2015-04-07,82,¡º,40,114,14,1,21,112
2015-04-08,74,¡º,41,99,13,1.1,19,110
2015-04-09,65,¡º,41,80,16,1.2,27,112
2015-04-10,63,¡º,39,75,18,1.2,29,115
2015-04-11,68,¡º,36,85,17,1.3,28,120
2015-04-12,66,¡º,38,82,17,1.2,30,110
