»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,72,¡º,51,94,90,0.7,30,24
2015-01-01,106,«·∂»Œ€»æ,79,136,111,1.1,32,19
2015-01-02,207,÷ÿ∂»Œ€»æ,157,229,133,2.1,39,12
2015-01-03,175,÷–∂»Œ€»æ,132,188,123,1.6,33,20
2015-01-04,96,¡º,56,143,71,0.9,26,21
2015-01-05,96,¡º,72,124,32,1.4,22,18
2015-01-06,83,¡º,62,104,17,1.1,19,7
2015-01-07,145,«·∂»Œ€»æ,80,239,19,1.3,17,14
2015-01-08,101,«·∂»Œ€»æ,55,153,28,0.9,18,11
2015-01-09,110,«·∂»Œ€»æ,83,137,38,1.6,25,6
2015-01-10,174,÷–∂»Œ€»æ,132,181,30,1.9,28,6
2015-01-11,207,÷ÿ∂»Œ€»æ,157,224,42,1.8,28,6
2015-01-12,275,÷ÿ∂»Œ€»æ,225,294,43,2.2,32,6
2015-01-13,174,÷–∂»Œ€»æ,132,203,27,1.6,24,14
2015-01-14,124,«·∂»Œ€»æ,95,157,27,1.3,23,8
2015-01-15,56,¡º,32,62,15,0.8,15,15
2015-01-16,75,¡º,53,100,30,1.2,21,8
2015-01-17,87,¡º,64,121,20,1.1,18,12
2015-01-18,88,¡º,37,127,15,0.9,17,10
2015-01-19,68,¡º,43,87,28,1.1,20,7
2015-01-20,82,¡º,26,114,11,0.6,13,16
2015-01-21,70,¡º,36,90,41,0.8,18,10
2015-01-22,110,«·∂»Œ€»æ,83,147,23,1.8,21,13
2015-01-23,131,«·∂»Œ€»æ,100,167,54,1.6,23,15
2015-01-24,70,¡º,37,89,11,0.6,13,21
2015-01-25,93,¡º,68,136,46,1.2,21,13
2015-01-26,92,¡º,52,135,15,0.7,13,24
2015-01-27,52,¡º,18,55,8,0.5,10,16
2015-01-28,57,¡º,30,63,11,0.6,12,15
2015-01-29,64,¡º,33,79,18,0.7,14,16
2015-01-30,66,¡º,46,82,52,0.9,18,24
2015-01-31,55,¡º,39,55,27,0.7,15,23
2015-02-01,84,¡º,62,79,28,0.9,16,24
2015-02-02,130,«·∂»Œ€»æ,99,125,18,1.2,15,20
2015-02-03,196,÷–∂»Œ€»æ,147,179,31,1.7,22,15
2015-02-04,68,¡º,50,79,27,0.9,18,22
2015-02-05,77,¡º,57,88,68,1,22,20
2015-02-06,79,¡º,58,91,29,1.1,19,17
2015-02-07,61,¡º,32,72,26,0.6,16,26
2015-02-08,80,¡º,52,110,33,0.8,21,23
2015-02-09,93,¡º,70,121,66,1.2,27,18
