»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,204,÷ÿ∂»Œ€»æ,154,250,44,1.4,89,44
2013-12-02,227,÷ÿ∂»Œ€»æ,177,254,44,1.3,88,99
2013-12-03,356,—œ÷ÿŒ€»æ,306,365,52,1.4,96,57
2013-12-04,295,÷ÿ∂»Œ€»æ,245,349,85,1.6,105,69
2013-12-05,243,÷ÿ∂»Œ€»æ,193,284,80,1.8,83,70
2013-12-06,210,÷ÿ∂»Œ€»æ,160,247,56,1.6,70,66
2013-12-07,266,÷ÿ∂»Œ€»æ,216,272,42,2,73,102
2013-12-08,271,÷ÿ∂»Œ€»æ,221,350,14,2.5,56,42
2013-12-09,224,÷ÿ∂»Œ€»æ,174,309,90,3.4,97,47
2013-12-10,120,«·∂»Œ€»æ,88,189,52,1.5,63,62
2013-12-11,88,¡º,38,126,44,1.1,47,62
2013-12-12,104,«·∂»Œ€»æ,78,149,66,1.3,66,49
2013-12-13,206,÷ÿ∂»Œ€»æ,156,246,88,1.9,94,42
2013-12-14,275,÷ÿ∂»Œ€»æ,225,316,102,2.1,109,41
2013-12-15,331,—œ÷ÿŒ€»æ,281,395,101,2.8,117,19
2013-12-16,262,÷ÿ∂»Œ€»æ,212,281,44,2.1,80,32
2013-12-17,228,÷ÿ∂»Œ€»æ,178,219,33,2.2,63,38
2013-12-18,175,÷–∂»Œ€»æ,132,194,61,2.4,54,26
2013-12-19,218,÷ÿ∂»Œ€»æ,168,245,45,2.3,52,35
2013-12-20,321,—œ÷ÿŒ€»æ,271,380,48,3.4,88,20
2013-12-21,294,÷ÿ∂»Œ€»æ,244,359,44,3.4,86,35
2013-12-22,198,÷–∂»Œ€»æ,148,257,73,2.1,78,44
2013-12-23,163,÷–∂»Œ€»æ,124,201,56,2,72,48
2013-12-24,209,÷ÿ∂»Œ€»æ,159,261,62,2.6,85,59
2013-12-25,231,÷ÿ∂»Œ€»æ,181,302,74,3,83,39
2013-12-26,178,÷–∂»Œ€»æ,134,274,72,3.3,80,42
2013-12-27,97,¡º,49,143,50,2,49,41
2013-12-28,95,¡º,58,140,68,2.1,60,43
2013-12-29,87,¡º,52,124,41,1.8,48,59
2013-12-30,88,¡º,46,125,36,1.6,44,63
2013-12-31,91,¡º,41,131,32,1.5,40,58
2014-01-01,83,¡º,41,116,41,1.9,54,57
2014-01-02,159,÷–∂»Œ€»æ,121,218,78,2.8,94,63
2014-01-03,98,¡º,46,145,69,1.9,51,40
2014-01-04,111,«·∂»Œ€»æ,74,172,63,2.4,61,49
2014-01-05,168,÷–∂»Œ€»æ,127,231,104,2.8,71,43
2014-01-06,242,÷ÿ∂»Œ€»æ,192,322,50,3.5,83,25
2014-01-07,215,÷ÿ∂»Œ€»æ,165,274,66,3.6,80,16
2014-01-08,124,«·∂»Œ€»æ,94,166,60,3.3,63,38
2014-01-09,166,÷–∂»Œ€»æ,126,212,62,3.3,64,61
2014-01-10,104,«·∂»Œ€»æ,78,146,36,2.6,46,50
2014-01-11,97,¡º,72,136,52,2.4,51,76
2014-01-12,163,÷–∂»Œ€»æ,124,219,73,3.3,71,45
2014-01-13,320,—œ÷ÿŒ€»æ,270,256,74,3.3,71,45
2014-01-14,182,÷–∂»Œ€»æ,137,216,24,3.2,52,22
2014-01-15,155,÷–∂»Œ€»æ,118,205,23,3.1,51,38
2014-01-16,204,÷ÿ∂»Œ€»æ,154,256,58,3.4,73,49
2014-01-17,298,÷ÿ∂»Œ€»æ,248,405,120,4.8,103,35
2014-01-18,272,÷ÿ∂»Œ€»æ,222,362,63,4.4,74,84
2014-01-19,166,÷–∂»Œ€»æ,126,255,42,3.3,49,42
2014-01-20,84,¡º,19,117,33,2.3,28,66
2014-01-21,86,¡º,50,122,35,2.7,44,64
2014-01-22,90,¡º,58,130,39,2.6,36,80
2014-01-23,97,¡º,68,144,31,2.7,36,105
2014-01-24,186,÷–∂»Œ€»æ,140,229,50,3.6,66,67
2014-01-25,160,÷–∂»Œ€»æ,122,228,110,4.3,76,81
2014-01-26,87,¡º,50,124,35,2.9,28,60
2014-01-27,134,«·∂»Œ€»æ,102,166,34,3.5,47,91
2014-01-28,158,÷–∂»Œ€»æ,120,215,66,3.8,42,68
2014-01-29,155,÷–∂»Œ€»æ,118,176,0,3.6,34,68
2014-01-30,255,÷ÿ∂»Œ€»æ,205,315,0,4,0,67
2014-01-31,234,÷ÿ∂»Œ€»æ,184,327,0,4.1,26,28
2014-02-01,217,÷ÿ∂»Œ€»æ,167,290,0,4.6,0,0
2014-02-02,129,«·∂»Œ€»æ,98,197,16,4.9,29,35
2014-02-03,113,«·∂»Œ€»æ,85,150,46,4.1,29,19
2014-02-04,72,¡º,18,62,0,2.8,12,61
2014-02-05,77,¡º,34,56,0,3.1,13,56
2014-02-06,89,¡º,45,64,0,3.5,0,34
2014-02-07,89,¡º,66,97,65,3.5,19,81
2014-02-08,91,¡º,65,96,86,3.6,17,87
2014-02-09,94,¡º,59,89,76,3.8,22,76
2014-02-10,90,¡º,30,62,0,3.6,17,78
2014-02-11,98,¡º,66,109,36,3.9,0,88
2014-02-12,119,«·∂»Œ€»æ,90,136,69,3.8,30,92
2014-02-13,132,«·∂»Œ€»æ,100,171,133,3.9,48,71
2014-02-14,128,«·∂»Œ€»æ,97,182,80,3.5,39,73
2014-02-15,125,«·∂»Œ€»æ,95,160,46,3.1,27,58
2014-02-16,115,«·∂»Œ€»æ,87,170,59,3.2,0,32
2014-02-17,135,«·∂»Œ€»æ,103,157,17,3.8,36,38
