日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,56,良,40,61,18,0.8,25,34
2015-01-01,56,良,38,62,21,0.8,25,33
2015-01-02,52,良,32,53,25,0.8,25,41
2015-01-03,94,良,70,106,31,1.3,47,31
2015-01-04,83,良,62,94,25,1.5,46,33
2015-01-05,55,良,32,60,19,0.3,12,64
2015-01-06,50,优,31,51,24,0.7,23,61
2015-01-07,64,良,46,76,27,1.1,35,43
2015-01-08,75,良,55,85,26,1.3,40,41
2015-01-09,86,良,64,102,29,1.3,36,35
2015-01-10,89,良,66,104,31,1.1,40,36
2015-01-11,82,良,60,85,25,1,36,38
2015-01-12,92,良,69,100,30,1.4,44,34
2015-01-13,162,中度污染,124,169,22,2,54,22
2015-01-14,112,轻度污染,84,120,34,1.1,47,31
2015-01-15,86,良,64,112,39,1.3,45,31
2015-01-16,63,良,45,73,31,0.9,32,42
2015-01-17,64,良,43,79,26,1,34,44
2015-01-18,74,良,47,98,31,1.1,41,41
2015-01-19,72,良,52,74,29,0.9,32,44
2015-01-20,66,良,48,78,30,0.7,36,53
2015-01-21,62,良,44,65,42,0.9,30,54
2015-01-22,72,良,52,78,28,0.8,43,34
2015-01-23,95,良,71,102,32,1.2,51,43
2015-01-24,58,良,42,65,27,0.6,35,51
2015-01-25,55,良,36,59,27,0.7,31,57
2015-01-26,45,优,26,45,23,0.5,21,58
2015-01-27,72,良,41,94,29,1,35,47
2015-01-28,43,优,26,43,27,0.4,25,54
2015-01-29,55,良,37,61,22,0.6,30,60
2015-01-30,64,良,47,75,30,0.8,31,53
2015-01-31,60,良,39,69,25,0.8,33,53
2015-02-01,54,良,35,59,26,0.7,33,53
2015-02-02,86,良,64,96,31,1.1,49,43
2015-02-03,68,良,50,80,27,0.7,33,54
2015-02-04,88,良,65,98,28,1,42,45
2015-02-05,53,良,25,55,34,0.8,32,70
2015-02-06,66,良,47,82,25,0.7,30,70
2015-02-07,51,良,27,52,22,0.3,14,63
2015-02-08,53,良,35,56,32,0.8,28,62
2015-02-09,81,良,60,97,30,1.4,43,51
2015-02-10,101,轻度污染,76,115,27,1.3,45,50
2015-02-11,66,良,44,82,26,0.8,36,59
2015-02-12,60,良,43,71,25,0.7,31,60
2015-02-13,74,良,54,88,19,0.9,35,71
2015-02-14,137,轻度污染,104,159,22,1.6,53,54
2015-02-15,112,轻度污染,85,132,23,1.3,48,58
2015-02-16,110,轻度污染,83,134,21,1.3,49,67
2015-02-17,69,良,50,76,13,0.6,27,80
2015-02-18,82,良,61,90,24,0.4,17,82
2015-02-19,120,轻度污染,91,116,33,0.6,18,80
2015-02-20,124,轻度污染,94,139,18,1.2,33,82
2015-02-21,99,良,74,130,17,0.6,18,92
2015-02-22,64,良,32,79,13,0.4,9,97
2015-02-23,56,良,36,62,18,0.4,14,79
2015-02-24,77,良,57,87,16,0.8,25,72
2015-02-25,59,良,43,67,18,0.5,21,71
2015-02-26,91,良,68,98,37,0.7,27,65
2015-02-27,42,优,23,42,26,0.4,16,73
2015-02-28,47,优,24,47,26,0.6,18,80
2015-03-01,51,良,29,53,26,0.6,17,74
2015-03-02,66,良,48,80,28,0.9,23,75
2015-03-03,64,良,45,79,27,0.8,24,65
2015-03-04,55,良,34,60,14,0.7,22,70
2015-03-05,51,良,30,53,21,0.6,15,84
2015-03-06,46,优,23,46,18,0.5,12,89
2015-03-07,42,优,24,42,16,0.4,10,84
2015-03-08,51,良,25,51,19,0.5,13,80
2015-03-09,50,优,28,50,17,0.5,15,81
2015-03-10,68,良,49,81,18,1,27,80
2015-03-11,44,优,22,42,18,0.6,17,88
2015-03-12,70,良,30,89,23,0.7,20,89
2015-03-13,64,良,36,78,18,0.7,24,91
2015-03-14,58,良,40,67,19,0.7,27,89
2015-03-15,60,良,43,70,13,0.7,25,93
2015-03-16,48,优,31,48,20,0.4,18,88
2015-03-17,49,优,26,49,19,0.5,19,81
2015-03-18,52,良,26,54,25,0.4,16,86
2015-03-19,52,良,26,54,13,0.4,13,75
2015-03-20,52,良,26,54,6,0.3,12,61
2015-03-23,52,良,31,55,19,0.5,19,98
2015-03-24,44,优,25,44,16,0.4,18,85
2015-03-25,66,良,30,55,20,0.4,16,119
2015-03-26,85,良,62,120,26,1.1,31,116
2015-03-27,110,轻度污染,118,206,13,1.6,56,111
2015-03-28,68,良,48,78,21,0.8,29,122
2015-03-29,109,轻度污染,82,133,31,1.5,57,71
2015-04-01,59,良,34,69,11,0.7,18,108
2015-04-02,68,良,50,80,11,0.4,23,105
2015-04-03,60,良,41,71,41,0.3,12,98
2015-04-04,77,良,32,104,18,0.4,11,80
2015-04-05,77,良,31,104,19,0.3,13,83
2015-04-06,44,优,28,44,20,0.3,13,87
2015-04-07,46,优,24,35,19,0.4,12,92
2015-04-08,60,良,38,71,18,0.8,24,91
2015-04-09,45,优,31,43,18,0.4,15,89
2015-04-10,54,良,31,58,24,0.6,21,84
2015-04-11,53,良,28,56,20,0.5,21,89
2015-04-12,52,良,36,49,18,0.4,12,102
2015-04-13,124,轻度污染,73,199,19,0.4,9,92
2015-04-14,228,重度污染,178,300,15,1,36,144
2015-04-15,124,轻度污染,85,199,10,0.5,14,117
2015-04-16,89,良,46,127,12,0.6,21,83
2015-04-17,65,良,39,80,31,0.5,22,79
2015-04-18,62,良,37,73,14,0.5,23,88
2015-04-19,102,轻度污染,27,155,8,0.3,14,89
2015-04-20,45,优,17,35,12,0.4,17,90
2015-04-21,49,优,21,45,9,0.5,25,97
2015-04-22,111,轻度污染,39,172,8,0.4,15,99
2015-04-23,60,良,25,70,11,0.4,16,94
2015-04-24,51,良,27,52,18,0.5,25,96
2015-04-25,56,良,33,54,16,0.4,22,107
2015-04-26,58,良,30,66,18,0.5,31,103
2015-04-27,63,良,27,75,15,0.5,38,84
2015-04-28,91,良,50,83,15,0.5,32,149
2015-04-29,100,良,51,151,14,0.4,16,105
2015-04-30,70,良,43,89,37,0.4,26,101
2015-05-01,55,良,28,56,39,0.4,20,106
2015-05-02,62,良,40,73,36,0.4,24,97
2015-05-03,51,良,23,47,19,0.3,15,101
2015-05-04,47,优,19,41,8,0.4,18,94
2015-05-05,39,优,24,39,19,0.4,19,72
2015-05-06,35,优,19,24,32,0.5,14,70
2015-05-07,46,优,21,31,20,0.5,18,91
