»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,138,«·∂»Œ€»æ,102,225,83,4.1,38,51
2013-12-03,109,«·∂»Œ€»æ,82,159,65,3.5,37,32
2013-12-04,136,«·∂»Œ€»æ,104,185,82,4.3,54,16
2013-12-05,68,¡º,45,86,48,2.6,32,22
2013-12-06,167,÷–∂»Œ€»æ,127,200,105,4.3,74,16
2013-12-07,177,÷–∂»Œ€»æ,134,207,108,4.6,92,15
2013-12-08,80,¡º,53,111,44,1.9,33,33
2013-12-09,68,¡º,45,87,68,2.2,48,32
2013-12-10,74,¡º,37,99,52,2.1,36,39
2013-12-11,73,¡º,46,97,85,2.2,51,30
2013-12-12,37,”≈,21,37,47,1.8,31,41
2013-12-13,83,¡º,61,113,86,2.9,62,27
2013-12-14,129,«·∂»Œ€»æ,98,174,113,3.9,71,17
2013-12-15,135,«·∂»Œ€»æ,103,191,112,4.1,71,20
2013-12-16,120,«·∂»Œ€»æ,91,165,112,3.5,67,21
2013-12-17,46,”≈,23,46,46,1.9,34,38
2013-12-18,87,¡º,65,124,104,3.6,64,30
2013-12-19,113,«·∂»Œ€»æ,85,159,98,3.9,70,19
2013-12-20,140,«·∂»Œ€»æ,107,183,112,5.2,77,18
2013-12-21,127,«·∂»Œ€»æ,96,177,154,8.9,84,16
2013-12-22,173,÷–∂»Œ€»æ,131,230,192,10.7,91,15
2013-12-23,166,÷–∂»Œ€»æ,126,225,179,10,91,14
2013-12-24,177,÷–∂»Œ€»æ,134,244,160,10.7,92,15
2013-12-25,127,«·∂»Œ€»æ,97,188,64,4.6,52,40
2013-12-26,48,”≈,22,48,52,2.5,38,41
2013-12-27,71,¡º,52,91,98,3.2,57,17
2013-12-28,59,¡º,29,68,64,3,42,40
2013-12-29,96,¡º,72,139,127,4.9,72,21
2013-12-30,156,÷–∂»Œ€»æ,80,261,103,4.5,65,30
2013-12-31,182,÷–∂»Œ€»æ,62,315,84,4.1,57,33
2014-01-01,113,«·∂»Œ€»æ,62,177,94,6.5,64,24
