日期,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,115,轻度污染,57,179,41,1.5,20,49
2015-01-01,128,轻度污染,79,207,42,1.7,24,42
2015-01-02,129,轻度污染,89,207,67,1.9,28,47
2015-01-03,120,轻度污染,74,190,48,1.7,23,46
2015-01-04,235,重度污染,97,375,98,2.3,38,36
2015-01-05,322,严重污染,78,437,41,1.7,19,43
2015-01-06,235,重度污染,99,375,60,1.9,28,36
2015-01-07,131,轻度污染,68,212,58,2,30,42
2015-01-08,154,中度污染,62,258,34,1.5,18,49
2015-01-09,153,中度污染,85,256,49,1.6,22,46
2015-01-10,157,中度污染,93,264,59,1.9,31,43
2015-01-11,157,中度污染,75,264,62,1.8,25,46
2015-01-12,148,轻度污染,78,246,66,1.9,24,34
2015-01-13,139,轻度污染,60,227,79,1.8,21,34
2015-01-14,158,中度污染,88,266,100,2.1,28,39
2015-01-15,139,轻度污染,69,227,76,2,27,39
2015-01-16,142,轻度污染,56,234,84,2.2,26,44
2015-01-17,130,轻度污染,53,210,75,6.9,14,56
2015-01-18,140,轻度污染,66,231,53,1.6,21,33
2015-01-19,143,轻度污染,80,237,63,1.6,25,36
2015-01-20,128,轻度污染,60,206,51,1.6,22,43
2015-01-21,137,轻度污染,71,225,71,1.7,25,40
2015-01-22,129,轻度污染,61,208,66,1.8,24,38
2015-01-23,141,轻度污染,71,231,65,1.9,25,40
2015-01-24,127,轻度污染,62,204,71,1.9,28,36
2015-01-25,129,轻度污染,49,207,50,1.4,19,38
2015-01-26,123,轻度污染,45,197,36,1.5,14,37
2015-01-27,136,轻度污染,53,222,31,1.4,14,35
2015-01-28,174,中度污染,76,299,50,1.6,19,30
2015-01-29,182,中度污染,80,313,26,1.4,14,30
2015-01-30,171,中度污染,63,291,38,1.2,12,30
2015-01-31,157,中度污染,70,265,49,1.4,17,28
2015-02-01,147,轻度污染,68,244,43,1.5,15,32
2015-02-02,156,中度污染,59,263,42,1.3,14,30
2015-02-03,158,中度污染,54,265,31,1.2,13,34
2015-02-04,134,轻度污染,57,219,27,1.3,12,32
2015-02-05,106,轻度污染,37,161,25,1.2,14,34
2015-02-06,161,中度污染,93,271,56,1.9,20,45
2015-02-07,136,轻度污染,46,221,61,1.5,17,45
2015-02-08,114,轻度污染,49,177,61,1.6,17,44
2015-02-09,144,轻度污染,79,238,69,2,20,46
2015-02-10,162,中度污染,62,273,76,1.9,21,45
2015-02-11,161,中度污染,71,272,85,2.1,20,50
2015-02-12,167,中度污染,81,283,97,2.3,25,46
2015-02-13,189,中度污染,56,328,80,2,18,51
2015-02-14,253,重度污染,63,387,81,2.2,21,44
2015-02-15,288,重度污染,60,412,145,3,14,72
2015-02-16,178,中度污染,48,306,325,4.7,18,98
2015-02-17,179,中度污染,51,308,450,7.8,30,91
2015-02-18,164,中度污染,50,277,448,6.5,21,78
2015-02-19,283,重度污染,78,408,522,7.8,29,74
2015-02-20,285,重度污染,88,409,503,6.9,31,70
2015-02-21,203,重度污染,71,352,518,6,26,79
2015-02-22,183,中度污染,56,315,554,6.2,26,71
2015-02-23,166,中度污染,54,281,636,8.1,27,74
2015-02-24,152,中度污染,51,254,652,6.8,29,73
2015-02-25,193,中度污染,94,337,628,6.5,25,65
2015-02-26,280,重度污染,230,292,636,9.1,25,56
2015-02-27,342,严重污染,292,127,580,8.6,20,58
2015-03-01,476,严重污染,109,576,473,6,22,57
2015-03-06,462,严重污染,118,562,130,7.3,35,41
2015-03-07,379,严重污染,87,483,103,7.2,30,52
2015-03-08,346,严重污染,86,456,89,7.1,26,54
2015-03-09,291,重度污染,122,414,82,7.1,25,46
2015-03-10,280,重度污染,230,293,82,7.4,33,45
2015-03-13,349,严重污染,236,459,46,7.3,40,91
2015-03-19,160,中度污染,37,269,15,0.9,24,81
2015-03-20,127,轻度污染,44,204,25,1.1,30,94
2015-03-21,131,轻度污染,46,212,49,1.1,27,95
2015-03-22,150,轻度污染,39,251,35,1.1,28,98
2015-03-23,303,严重污染,63,423,39,1.2,26,93
2015-03-24,476,严重污染,92,576,39,1.2,26,96
2015-03-25,337,严重污染,60,450,38,1.2,24,99
2015-03-26,188,中度污染,60,325,42,1.3,30,99
2015-03-27,408,严重污染,98,422,45,1.3,29,97
2015-03-28,456,严重污染,105,556,52,1.2,28,90
2015-03-29,455,严重污染,121,555,59,1.2,31,80
2015-03-30,325,严重污染,89,440,49,1.5,31,154
2015-03-31,408,严重污染,100,508,47,1.7,24,90
2015-04-01,490,严重污染,119,590,53,2,27,67
2015-04-06,322,严重污染,91,437,40,1.7,28,54
2015-04-07,270,重度污染,75,399,36,2,32,48
2015-04-08,224,重度污染,74,367,38,1.8,29,45
