»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,90,¡º,45,129,8,1.2,20,31
2015-01-01,109,«·∂»Œ€»æ,71,168,31,2.1,28,26
2015-01-02,101,«·∂»Œ€»æ,73,152,20,2.2,23,29
2015-01-03,120,«·∂»Œ€»æ,91,189,21,3,28,18
2015-01-04,137,«·∂»Œ€»æ,67,224,20,1.9,25,26
2015-01-05,124,«·∂»Œ€»æ,85,198,18,2.1,29,20
2015-01-06,88,¡º,56,125,17,1.4,18,26
2015-01-07,124,«·∂»Œ€»æ,58,199,21,1.5,23,26
2015-01-08,184,÷–∂»Œ€»æ,77,318,10,1.4,19,32
2015-01-09,140,«·∂»Œ€»æ,76,230,8,2.2,24,31
2015-01-10,121,«·∂»Œ€»æ,71,193,24,1.7,22,30
2015-01-11,124,«·∂»Œ€»æ,84,198,25,3,29,26
2015-01-12,131,«·∂»Œ€»æ,87,211,23,2.8,30,23
2015-01-13,122,«·∂»Œ€»æ,83,195,14,2.2,23,31
2015-01-14,104,«·∂»Œ€»æ,69,158,12,1.7,25,34
2015-01-15,84,¡º,55,117,12,1.4,24,33
2015-01-16,83,¡º,53,117,8,1.9,19,22
2015-01-17,78,¡º,51,105,5,1.1,12,28
2015-01-18,60,¡º,39,71,11,1,20,32
2015-01-19,55,¡º,35,61,7,0.6,11,29
2015-01-20,63,¡º,40,75,5,0.8,16,33
2015-01-21,104,«·∂»Œ€»æ,78,136,10,1.6,20,26
2015-01-22,68,¡º,42,86,10,0.8,14,33
2015-01-23,76,¡º,52,102,20,1,17,28
2015-01-24,78,¡º,56,107,31,1.4,22,34
2015-01-25,67,¡º,38,85,20,1.1,18,34
2015-01-26,63,¡º,37,77,18,1,15,32
2015-01-27,99,¡º,53,148,17,0.7,10,32
2015-01-28,78,¡º,36,106,14,0.8,9,33
2015-01-29,82,¡º,46,115,18,1.2,22,33
2015-01-30,76,¡º,46,102,16,1.5,22,30
2015-01-31,69,¡º,35,87,19,1.2,16,59
2015-02-01,85,¡º,41,120,15,1.5,16,33
2015-02-02,89,¡º,45,128,9,2.1,16,32
2015-02-03,82,¡º,43,114,16,1.6,21,36
2015-02-04,76,¡º,31,101,8,1.6,17,35
2015-02-05,275,÷ÿ∂»Œ€»æ,163,402,4,1.7,6,36
2015-02-06,266,÷ÿ∂»Œ€»æ,87,396,3,1.8,11,35
2015-02-07,188,÷–∂»Œ€»æ,78,326,15,2.2,17,32
2015-02-08,202,÷ÿ∂»Œ€»æ,87,352,14,2.7,18,34
2015-02-09,184,÷–∂»Œ€»æ,91,318,11,3.2,24,37
2015-02-10,166,÷–∂»Œ€»æ,97,282,8,3.5,24,33
2015-02-11,145,«·∂»Œ€»æ,72,239,5,3.2,21,33
2015-02-12,149,«·∂»Œ€»æ,84,247,14,2.3,24,37
2015-02-13,138,«·∂»Œ€»æ,67,226,7,0.7,17,29
2015-02-14,135,«·∂»Œ€»æ,50,220,5,0.4,11,38
2015-02-15,69,¡º,27,88,5,0.6,13,41
2015-02-16,68,¡º,28,86,11,0.9,17,36
2015-02-17,75,¡º,36,99,17,0.8,16,35
2015-02-18,80,¡º,37,110,19,0.7,12,41
2015-02-19,72,¡º,39,93,10,0.5,6,44
2015-02-20,63,¡º,24,76,3,0.7,10,42
2015-02-21,98,¡º,28,146,3,0.7,8,42
2015-02-22,79,¡º,27,108,4,0.8,10,37
