»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,365,—œ÷ÿŒ€»æ,315,398,156,4.5,116,13
2013-12-03,287,÷ÿ∂»Œ€»æ,237,320,176,4.1,97,20
2013-12-04,241,÷ÿ∂»Œ€»æ,191,297,174,3.4,102,15
2013-12-05,99,¡º,70,148,120,2.4,54,31
2013-12-06,140,«·∂»Œ€»æ,107,170,128,2.2,70,16
2013-12-07,280,÷ÿ∂»Œ€»æ,230,317,271,5,80,8
2013-12-08,340,—œ÷ÿŒ€»æ,290,404,239,5.8,76,6
2013-12-09,67,¡º,34,84,56,1.1,36,48
2013-12-10,116,«·∂»Œ€»æ,88,162,81,2,54,35
2013-12-11,63,¡º,40,75,50,1,49,41
2013-12-12,97,¡º,73,137,93,2,51,49
2013-12-13,76,¡º,56,97,59,1.3,50,38
2013-12-14,118,«·∂»Œ€»æ,90,145,96,2,65,34
2013-12-15,137,«·∂»Œ€»æ,105,173,211,3.6,84,22
2013-12-16,328,—œ÷ÿŒ€»æ,278,428,438,9.3,122,8
2013-12-17,197,÷–∂»Œ€»æ,148,213,212,4.4,65,5
2013-12-18,73,¡º,54,83,76,1.6,54,39
2013-12-19,80,¡º,59,90,77,1.6,54,38
2013-12-20,139,«·∂»Œ€»æ,107,155,136,2.7,71,28
2013-12-21,184,÷–∂»Œ€»æ,139,187,147,3.3,89,17
2013-12-22,317,—œ÷ÿŒ€»æ,267,345,227,4.4,120,14
2013-12-23,358,—œ÷ÿŒ€»æ,308,389,247,5.9,127,14
2013-12-24,168,÷–∂»Œ€»æ,128,184,194,3.7,83,18
2013-12-25,333,—œ÷ÿŒ€»æ,283,382,182,4.2,129,8
2013-12-26,65,¡º,35,79,39,1.1,39,48
2013-12-27,63,¡º,43,77,49,1.2,47,42
2013-12-28,70,¡º,51,87,55,1.5,50,45
2013-12-29,120,«·∂»Œ€»æ,91,144,85,2.2,72,37
2013-12-30,104,«·∂»Œ€»æ,78,146,65,1.7,65,42
2013-12-31,112,«·∂»Œ€»æ,68,175,88,1.6,60,52
2014-01-01,104,«·∂»Œ€»æ,66,158,92,2.2,65,41
2014-01-02,156,÷–∂»Œ€»æ,119,191,165,4,74,14
2014-01-03,179,÷–∂»Œ€»æ,136,218,172,4.1,81,20
2014-01-04,120,«·∂»Œ€»æ,91,135,186,3.3,64,28
2014-01-05,166,÷–∂»Œ€»æ,126,188,180,3.7,66,26
2014-01-06,213,÷ÿ∂»Œ€»æ,163,208,221,4.4,72,14
2014-01-07,190,÷–∂»Œ€»æ,143,182,106,2.2,63,20
2014-01-08,66,¡º,44,81,107,1.7,46,50
2014-01-09,81,¡º,60,109,99,1.9,55,53
2014-01-10,201,÷ÿ∂»Œ€»æ,151,208,134,2.5,83,24
2014-01-11,363,—œ÷ÿŒ€»æ,313,378,177,4.2,116,15
2014-01-12,177,÷–∂»Œ€»æ,134,189,104,2.7,71,43
2014-01-13,129,«·∂»Œ€»æ,99,138,127,2.4,77,34
2014-01-14,222,÷ÿ∂»Œ€»æ,172,245,254,5.7,83,18
2014-01-15,292,÷ÿ∂»Œ€»æ,242,303,179,4.2,113,19
2014-01-16,378,—œ÷ÿŒ€»æ,328,430,257,9,83,7
2014-01-17,192,÷–∂»Œ€»æ,145,189,173,3.8,71,16
2014-01-18,204,÷ÿ∂»Œ€»æ,154,208,108,2.9,68,40
2014-01-19,223,÷ÿ∂»Œ€»æ,173,225,203,3.9,78,18
2014-01-20,71,¡º,25,92,32,0.8,26,61
2014-01-21,58,¡º,34,65,61,1.4,42,34
2014-01-22,173,÷–∂»Œ€»æ,131,196,187,3.2,86,20
2014-01-23,252,÷ÿ∂»Œ€»æ,202,293,227,5,103,14
2014-01-24,321,—œ÷ÿŒ€»æ,271,383,302,7,109,6
2014-01-25,133,«·∂»Œ€»æ,101,155,153,2.7,54,42
2014-01-26,68,¡º,47,86,110,2.2,53,42
2014-01-27,188,÷–∂»Œ€»æ,142,202,135,3.2,75,32
2014-01-28,77,¡º,55,103,80,1.4,40,57
2014-01-29,142,«·∂»Œ€»æ,108,159,102,2.7,60,37
2014-01-30,249,÷ÿ∂»Œ€»æ,199,271,131,3.5,54,59
2014-01-31,175,÷–∂»Œ€»æ,133,212,232,5.3,57,31
2014-02-01,144,«·∂»Œ€»æ,110,147,105,3.2,43,9
2014-02-02,113,«·∂»Œ€»æ,86,147,62,1.8,32,53
2014-02-03,59,¡º,21,67,43,1,20,75
2014-02-04,57,¡º,41,63,47,1,27,68
2014-02-05,78,¡º,57,91,105,1.9,51,53
2014-02-06,118,«·∂»Œ€»æ,90,141,170,3.4,57,49
2014-02-07,270,÷ÿ∂»Œ€»æ,220,266,143,4.6,72,11
2014-02-08,143,«·∂»Œ€»æ,110,145,138,3.3,57,24
2014-02-09,52,¡º,28,54,55,1.4,39,66
2014-02-10,77,¡º,56,89,104,2.7,56,56
2014-02-11,111,«·∂»Œ€»æ,84,116,110,1.9,65,58
2014-02-12,203,÷ÿ∂»Œ€»æ,153,197,147,3.5,74,53
2014-02-13,160,÷–∂»Œ€»æ,122,166,147,2.9,57,70
2014-02-14,243,÷ÿ∂»Œ€»æ,193,240,153,3,81,52
2014-02-15,304,—œ÷ÿŒ€»æ,254,306,154,3.4,91,47
2014-02-16,248,÷ÿ∂»Œ€»æ,198,282,177,4.7,71,60
2014-02-17,92,¡º,69,125,110,2.5,61,69
2014-02-18,105,«·∂»Œ€»æ,79,130,124,2.8,61,54
2014-02-19,156,÷–∂»Œ€»æ,120,175,152,3.5,74,46
2014-02-20,202,÷ÿ∂»Œ€»æ,152,193,127,2.9,69,36
2014-02-21,368,—œ÷ÿŒ€»æ,318,412,287,7.9,134,18
2014-02-22,311,—œ÷ÿŒ€»æ,261,326,203,4.4,77,44
2014-02-23,245,÷ÿ∂»Œ€»æ,195,241,161,3.5,65,49
2014-02-24,333,—œ÷ÿŒ€»æ,283,378,277,7,107,29
2014-02-25,487,—œ÷ÿŒ€»æ,448,587,307,9.7,148,12
2014-02-26,336,—œ÷ÿŒ€»æ,286,357,190,4.3,98,40
2014-02-27,63,¡º,45,73,57,1.4,37,79
2014-02-28,73,¡º,50,97,99,2.1,55,60
2014-03-01,126,«·∂»Œ€»æ,96,145,98,2.2,61,62
2014-03-02,143,«·∂»Œ€»æ,109,158,133,3,63,46
2014-03-03,210,÷ÿ∂»Œ€»æ,160,222,166,4.5,71,35
2014-03-04,168,÷–∂»Œ€»æ,128,183,119,2.8,58,63
2014-03-05,117,«·∂»Œ€»æ,89,125,77,2.2,58,69
2014-03-06,75,¡º,55,97,74,1.7,49,63
2014-03-07,136,«·∂»Œ€»æ,104,159,121,3.1,66,60
2014-03-08,201,÷ÿ∂»Œ€»æ,151,208,136,3.9,73,37
2014-03-09,104,«·∂»Œ€»æ,78,127,97,2,48,76
2014-03-10,148,«·∂»Œ€»æ,113,174,148,3.7,64,64
2014-03-11,262,÷ÿ∂»Œ€»æ,212,308,172,4.8,82,72
2014-03-12,67,¡º,36,83,67,1.6,41,82
2014-03-13,86,¡º,64,113,88,2.3,68,75
2014-03-14,95,¡º,71,139,85,2.7,68,87
2014-03-15,131,«·∂»Œ€»æ,100,201,110,2.9,95,48
2014-03-16,139,«·∂»Œ€»æ,99,228,121,3.3,67,95
2014-03-17,176,÷–∂»Œ€»æ,118,302,92,2.9,67,75
2014-03-18,127,«·∂»Œ€»æ,74,204,76,2.1,63,102
2014-03-19,99,¡º,74,144,85,2,76,73
2014-03-20,63,¡º,30,75,33,1.4,43,90
2014-03-21,148,«·∂»Œ€»æ,113,208,124,5.7,91,82
2014-03-22,148,«·∂»Œ€»æ,114,224,68,2.2,75,89
2014-03-23,249,÷ÿ∂»Œ€»æ,199,321,172,5.1,105,126
2014-03-24,231,÷ÿ∂»Œ€»æ,181,265,96,3,95,123
2014-03-25,251,÷ÿ∂»Œ€»æ,201,296,106,2.9,107,120
2014-03-26,298,÷ÿ∂»Œ€»æ,248,338,114,3.6,83,103
2014-03-27,265,÷ÿ∂»Œ€»æ,215,318,107,3.7,83,99
