»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-01,102,«·∂»Œ€»æ,0,138,114,0,84,0
2013-12-02,102,«·∂»Œ€»æ,0,131,85,0,84,0
2013-12-03,133,«·∂»Œ€»æ,0,215,170,0,109,0
2013-12-04,134,«·∂»Œ€»æ,0,218,127,0,98,0
2013-12-05,126,«·∂»Œ€»æ,0,201,93,0,78,0
2013-12-06,98,¡º,0,131,68,0,78,0
2013-12-07,303,—œ÷ÿŒ€»æ,253,277,38,0,72,0
2013-12-08,323,—œ÷ÿŒ€»æ,273,349,34,1.7,48,51
2013-12-09,227,÷ÿ∂»Œ€»æ,177,202,65,1.8,75,50
2013-12-10,160,÷–∂»Œ€»æ,122,151,57,1.2,68,59
2013-12-11,98,¡º,73,116,94,0.8,56,48
2013-12-12,127,«·∂»Œ€»æ,96,117,103,1,66,40
2013-12-13,145,«·∂»Œ€»æ,111,121,85,1.2,54,38
2013-12-14,251,÷ÿ∂»Œ€»æ,201,194,100,1.6,66,36
2013-12-15,395,—œ÷ÿŒ€»æ,345,340,106,2.5,54,20
2013-12-16,209,÷ÿ∂»Œ€»æ,159,177,54,1.4,33,42
2013-12-17,241,÷ÿ∂»Œ€»æ,191,190,62,1.7,35,55
2013-12-18,183,÷–∂»Œ€»æ,138,138,76,3,41,43
2013-12-19,257,÷ÿ∂»Œ€»æ,207,242,112,1.5,64,50
2013-12-20,351,—œ÷ÿŒ€»æ,301,408,115,2.4,88,40
2013-12-21,256,÷ÿ∂»Œ€»æ,206,262,123,2,83,48
2013-12-22,235,÷ÿ∂»Œ€»æ,185,230,87,1,70,59
2013-12-23,258,÷ÿ∂»Œ€»æ,208,284,75,1.1,76,95
2013-12-24,324,—œ÷ÿŒ€»æ,274,363,124,2.1,94,56
2013-12-25,334,—œ÷ÿŒ€»æ,284,342,112,1.6,84,51
2013-12-26,252,÷ÿ∂»Œ€»æ,202,170,85,1.6,67,58
2013-12-27,329,—œ÷ÿŒ€»æ,72,111,96,1,57,228
2013-12-28,88,¡º,61,89,105,1.4,70,45
2013-12-29,72,¡º,44,86,48,0.9,57,60
2013-12-30,79,¡º,46,108,69,0.9,61,59
2013-12-31,83,¡º,28,115,62,0,52,60
2014-01-01,82,¡º,35,103,79,0,65,48
2014-01-02,104,«·∂»Œ€»æ,78,153,78,0,86,50
2014-01-03,100,¡º,75,150,120,1.5,62,42
2014-01-04,102,«·∂»Œ€»æ,73,124,87,1.5,83,37
2014-01-05,180,÷–∂»Œ€»æ,136,195,0,1.9,95,33
2014-01-06,143,«·∂»Œ€»æ,109,150,57,1.6,75,37
2014-01-07,189,÷–∂»Œ€»æ,142,164,65,1.3,76,24
2014-01-08,160,÷–∂»Œ€»æ,122,153,63,1.5,68,30
2014-01-09,159,÷–∂»Œ€»æ,121,144,97,1.3,68,49
2014-01-10,85,¡º,63,100,0,0,0,70
2014-01-11,109,«·∂»Œ€»æ,82,127,119,0,0,82
2014-01-12,134,«·∂»Œ€»æ,102,146,54,1.1,67,54
2014-01-13,139,«·∂»Œ€»æ,106,156,58,1.2,64,53
2014-01-14,124,«·∂»Œ€»æ,94,136,27,1,55,58
2014-01-15,119,«·∂»Œ€»æ,90,127,0,0.8,50,77
2014-01-16,160,÷–∂»Œ€»æ,122,180,55,1.2,60,56
2014-01-17,310,—œ÷ÿŒ€»æ,260,354,138,2.2,92,29
2014-01-18,250,÷ÿ∂»Œ€»æ,200,263,0,1.8,69,55
2014-01-19,266,÷ÿ∂»Œ€»æ,216,320,0,1.7,76,37
2014-01-20,114,«·∂»Œ€»æ,62,178,0,0,53,65
2014-01-21,78,¡º,50,105,53,0,54,61
2014-01-22,77,¡º,56,103,0,0,41,87
2014-01-23,84,¡º,62,111,0,0,46,102
2014-01-24,153,÷–∂»Œ€»æ,117,182,0,1.5,72,59
2014-01-25,210,÷ÿ∂»Œ€»æ,160,216,0,2.2,90,52
2014-01-26,71,¡º,41,78,92,0.5,35,70
2014-01-27,122,«·∂»Œ€»æ,92,137,0,0,56,85
2014-01-28,139,«·∂»Œ€»æ,106,157,60,0.9,53,72
2014-01-29,110,«·∂»Œ€»æ,83,115,24,0.7,32,58
2014-01-30,230,÷ÿ∂»Œ€»æ,180,235,24,1.3,34,38
2014-01-31,214,÷ÿ∂»Œ€»æ,164,228,34,2.7,33,46
2014-02-01,252,÷ÿ∂»Œ€»æ,202,297,0,0,44,26
2014-02-02,169,÷–∂»Œ€»æ,128,198,37,2,35,33
2014-02-03,99,¡º,74,102,31,1.1,35,27
2014-02-04,59,¡º,39,68,33,0.4,26,58
2014-02-05,60,¡º,43,54,29,0,22,47
2014-02-06,74,¡º,54,62,48,0,34,43
2014-02-07,98,¡º,73,81,69,0.5,27,73
2014-02-08,104,«·∂»Œ€»æ,78,88,81,0.5,27,84
2014-02-09,80,¡º,59,75,61,0.6,27,68
2014-02-10,56,¡º,38,61,43,0.5,29,78
2014-02-11,85,¡º,63,97,35,0,39,101
2014-02-12,132,«·∂»Œ€»æ,100,128,67,0.8,47,94
2014-02-13,144,«·∂»Œ€»æ,110,157,111,1.4,64,106
2014-02-14,160,÷–∂»Œ€»æ,122,179,43,1.7,47,109
2014-02-15,142,«·∂»Œ€»æ,108,138,21,0.7,32,90
2014-02-16,99,¡º,74,99,29,0.6,31,60
2014-02-17,100,¡º,75,82,17,0,28,56
2014-02-18,75,¡º,55,89,48,0,40,60
2014-02-19,142,«·∂»Œ€»æ,108,171,64,1.6,46,47
2014-02-20,165,÷–∂»Œ€»æ,125,179,50,1.4,41,97
2014-02-21,76,¡º,0,101,0,0,27,96
2014-02-22,142,«·∂»Œ€»æ,108,148,0,0,37,106
2014-02-23,124,«·∂»Œ€»æ,94,136,0,0,41,89
2014-02-24,119,«·∂»Œ€»æ,90,135,0,0,37,141
2014-02-25,134,«·∂»Œ€»æ,102,142,0,0.9,29,116
2014-02-26,114,«·∂»Œ€»æ,86,0,0,0.6,0,42
2014-02-27,105,«·∂»Œ€»æ,79,104,28,0.8,32,35
2014-02-28,64,¡º,46,71,48,0.5,27,47
2014-03-01,143,«·∂»Œ€»æ,109,146,34,0.8,33,44
2014-03-02,189,÷–∂»Œ€»æ,142,204,47,0.9,45,86
2014-03-03,104,«·∂»Œ€»æ,78,122,33,0.6,44,109
2014-03-04,107,«·∂»Œ€»æ,80,145,41,0.5,56,82
2014-03-05,78,¡º,54,105,31,0,45,60
2014-03-06,87,¡º,63,123,56,0,44,101
2014-03-07,108,«·∂»Œ€»æ,81,140,31,0.6,54,85
2014-03-08,109,«·∂»Œ€»æ,82,138,30,0,49,122
2014-03-09,124,«·∂»Œ€»æ,94,148,46,0.6,46,115
2014-03-10,95,¡º,71,126,27,0,38,145
2014-03-11,109,«·∂»Œ€»æ,82,125,30,0,46,115
2014-03-12,116,«·∂»Œ€»æ,75,182,51,0,47,57
2014-03-13,87,¡º,64,108,53,0,40,79
2014-03-14,87,¡º,56,124,47,0,42,88
2014-03-15,95,¡º,49,114,25,0,21,153
2014-03-16,80,¡º,0,107,0,0,0,136
2014-03-17,103,«·∂»Œ€»æ,76,156,0,0,0,134
2014-03-18,269,÷ÿ∂»Œ€»æ,138,398,83,1.2,0,104
2014-03-19,109,«·∂»Œ€»æ,82,166,52,1.1,0,52
2014-03-20,74,¡º,47,98,0,0.6,0,97
2014-03-21,75,¡º,46,100,26,1.5,0,123
2014-03-22,86,¡º,50,94,28,0.6,0,143
2014-03-23,87,¡º,59,124,42,0.9,0,138
2014-03-24,112,«·∂»Œ€»æ,84,142,42,0.9,0,138
2014-03-25,139,«·∂»Œ€»æ,106,150,45,1.1,0,107
2014-03-26,92,¡º,68,102,33,1,20,96
2014-03-27,92,¡º,68,110,40,0.9,18,130
2014-03-28,145,«·∂»Œ€»æ,111,160,60,1.2,42,76
2014-03-29,176,÷–∂»Œ€»æ,133,215,62,1.2,31,151
2014-03-30,113,«·∂»Œ€»æ,85,146,51,0.9,31,124
