»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,63,¡º,23,75,7,2.2,18,75
2015-01-01,72,¡º,36,93,27,2.5,33,55
2015-01-02,77,¡º,50,105,42,2.8,45,34
2015-01-03,87,¡º,63,125,22,2.9,44,49
2015-01-04,137,«·∂»Œ€»æ,104,186,76,3.9,65,36
2015-01-05,98,¡º,50,146,16,2.8,18,66
2015-01-06,65,¡º,42,79,19,2.9,31,56
2015-01-07,54,¡º,38,58,10,3,28,64
2015-01-08,77,¡º,47,105,32,3.2,41,52
2015-01-09,66,¡º,35,81,26,2.6,38,50
2015-01-10,63,¡º,39,76,17,1.2,37,59
2015-01-11,54,¡º,33,58,14,1.1,33,67
2015-01-12,119,«·∂»Œ€»æ,90,122,35,1.4,38,100
2015-01-13,205,÷ÿ∂»Œ€»æ,155,183,44,1.8,39,95
2015-01-14,185,÷–∂»Œ€»æ,140,185,29,2,47,50
2015-01-15,150,«·∂»Œ€»æ,115,160,17,1.8,43,71
2015-01-16,92,¡º,68,114,13,1.4,40,73
2015-01-17,94,¡º,70,105,25,1.4,36,79
2015-01-18,66,¡º,32,81,11,1.3,21,77
2015-01-19,68,¡º,32,86,41,1.2,29,60
2015-01-20,72,¡º,41,93,22,1.3,33,81
2015-01-21,68,¡º,21,87,9,1,14,80
2015-01-22,60,¡º,36,70,20,1.4,33,71
2015-01-23,88,¡º,65,113,21,1.7,39,77
2015-01-24,174,÷–∂»Œ€»æ,132,148,38,2.1,45,74
2015-01-25,218,÷ÿ∂»Œ€»æ,168,203,28,2.5,41,28
2015-01-26,149,«·∂»Œ€»æ,114,164,31,2.3,38,77
2015-01-27,165,÷–∂»Œ€»æ,126,150,34,2.7,38,75
2015-01-28,48,”≈,34,43,20,1.8,13,67
2015-01-29,60,¡º,43,56,20,1.3,18,68
2015-01-30,65,¡º,47,72,18,0.9,28,72
2015-01-31,94,¡º,70,79,30,1.1,23,90
2015-02-01,114,«·∂»Œ€»æ,86,101,21,1.2,28,91
2015-02-02,145,«·∂»Œ€»æ,111,131,40,1.4,36,72
2015-02-03,132,«·∂»Œ€»æ,101,130,16,1.4,38,80
2015-02-04,59,¡º,40,68,14,1,27,87
2015-02-05,57,¡º,41,61,17,1,37,88
2015-02-06,58,¡º,42,64,16,1.1,40,78
2015-02-07,67,¡º,46,84,17,1,30,78
2015-02-08,63,¡º,42,76,24,1,30,100
2015-02-09,80,¡º,59,87,28,1.2,34,105
2015-02-10,78,¡º,57,88,22,1.4,40,86
2015-02-11,94,¡º,44,138,13,1.3,32,90
