»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,222,÷ÿ∂»Œ€»æ,172,296,94,3,61,53
2015-01-01,254,÷ÿ∂»Œ€»æ,204,327,69,3.6,54,59
2015-01-02,225,÷ÿ∂»Œ€»æ,175,330,69,3.5,62,61
2015-01-03,235,÷ÿ∂»Œ€»æ,185,318,74,3.5,68,54
2015-01-04,187,÷–∂»Œ€»æ,141,284,71,2.6,48,49
2015-01-05,140,«·∂»Œ€»æ,92,229,67,1.9,38,50
2015-01-06,163,÷–∂»Œ€»æ,116,276,86,3.4,44,48
2015-01-07,206,÷ÿ∂»Œ€»æ,156,302,87,3.7,47,55
2015-01-08,286,÷ÿ∂»Œ€»æ,236,349,69,4.4,48,50
2015-01-09,230,÷ÿ∂»Œ€»æ,180,354,63,4,57,50
2015-01-10,241,÷ÿ∂»Œ€»æ,190,379,58,4.6,54,54
2015-01-11,213,÷ÿ∂»Œ€»æ,163,314,53,3.9,53,53
2015-01-12,246,÷ÿ∂»Œ€»æ,196,330,43,4.1,57,52
2015-01-13,180,÷–∂»Œ€»æ,136,251,50,3.1,46,49
2015-01-14,133,«·∂»Œ€»æ,101,210,48,2.3,40,44
2015-01-15,147,«·∂»Œ€»æ,113,209,45,3,49,51
2015-01-16,176,÷–∂»Œ€»æ,133,217,39,2.8,52,70
2015-01-17,161,÷–∂»Œ€»æ,123,217,39,2.7,55,62
2015-01-18,165,÷–∂»Œ€»æ,126,237,45,2.9,54,60
2015-01-19,164,÷–∂»Œ€»æ,125,236,46,2.8,57,62
2015-01-20,198,÷–∂»Œ€»æ,149,264,42,3.4,57,83
2015-01-21,183,÷–∂»Œ€»æ,138,239,42,2.9,59,60
2015-01-22,201,÷ÿ∂»Œ€»æ,151,254,48,3,51,62
2015-01-23,171,÷–∂»Œ€»æ,130,234,50,3.3,38,67
2015-01-24,121,«·∂»Œ€»æ,92,189,44,2.6,35,69
2015-01-25,142,«·∂»Œ€»æ,109,211,43,2.8,35,55
2015-01-26,112,«·∂»Œ€»æ,73,175,26,1.4,31,55
2015-01-27,122,«·∂»Œ€»æ,93,184,21,2,39,41
2015-01-28,100,¡º,58,150,3,1.2,27,59
2015-01-29,87,¡º,58,124,3,1.3,26,59
2015-01-30,86,¡º,64,110,2,1.3,25,85
2015-01-31,96,¡º,63,141,9,1.2,23,82
2015-02-01,98,¡º,63,146,8,1.3,27,66
2015-02-02,123,«·∂»Œ€»æ,87,195,15,1.6,30,64
2015-02-03,98,¡º,74,131,18,1.7,30,42
2015-02-04,96,¡º,72,119,25,1.1,22,45
2015-02-05,94,¡º,71,99,21,1,19,57
2015-02-06,87,¡º,64,101,21,1.3,29,56
2015-02-07,93,¡º,69,92,22,1.1,23,59
2015-02-08,128,«·∂»Œ€»æ,98,132,30,1.8,35,59
2015-02-09,214,÷ÿ∂»Œ€»æ,164,184,34,2.8,43,61
2015-02-10,166,÷–∂»Œ€»æ,126,184,29,2.8,43,60
2015-02-11,191,÷–∂»Œ€»æ,144,218,25,2.5,38,62
2015-02-12,210,÷ÿ∂»Œ€»æ,160,254,20,3,41,69
2015-02-13,175,÷–∂»Œ€»æ,133,222,27,3,46,62
2015-02-14,95,¡º,64,139,46,1.8,33,78
2015-02-15,148,«·∂»Œ€»æ,92,247,45,2.5,35,75
2015-02-16,200,÷–∂»Œ€»æ,119,349,49,2.1,35,77
2015-02-17,186,÷–∂»Œ€»æ,132,321,37,2.3,38,84
2015-02-18,142,«·∂»Œ€»æ,101,234,23,1.9,38,84
2015-02-19,155,÷–∂»Œ€»æ,119,223,36,2.8,39,84
2015-02-20,141,«·∂»Œ€»æ,105,233,35,2.4,42,85
2015-02-21,156,÷–∂»Œ€»æ,119,244,36,2.5,38,82
2015-02-22,183,÷–∂»Œ€»æ,138,289,43,2.6,37,84
2015-02-23,178,÷–∂»Œ€»æ,117,306,49,2.5,39,80
2015-02-24,190,÷–∂»Œ€»æ,135,329,52,2.3,37,82
2015-02-25,171,÷–∂»Œ€»æ,95,292,47,2,35,73
2015-02-26,316,—œ÷ÿŒ€»æ,136,433,18,1.2,25,61
2015-02-27,243,÷ÿ∂»Œ€»æ,123,380,13,0.9,21,74
2015-02-28,328,—œ÷ÿŒ€»æ,132,442,17,1,21,77
2015-03-01,224,÷ÿ∂»Œ€»æ,127,367,17,1.3,26,79
2015-03-02,290,÷ÿ∂»Œ€»æ,140,413,22,1.6,29,78
