»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-02,211,÷ÿ∂»Œ€»æ,161,250,97,1.6,118,55
2013-12-03,202,÷ÿ∂»Œ€»æ,152,215,59,1.3,94,100
2013-12-04,339,—œ÷ÿŒ€»æ,289,384,84,2.5,143,36
2013-12-05,403,—œ÷ÿŒ€»æ,354,474,54,2.8,139,77
2013-12-06,412,—œ÷ÿŒ€»æ,368,488,83,2.7,118,39
2013-12-07,306,—œ÷ÿŒ€»æ,256,332,59,2.1,88,82
2013-12-08,185,÷–∂»Œ€»æ,139,193,20,1.5,68,102
2013-12-09,251,÷ÿ∂»Œ€»æ,201,269,55,2.1,87,36
2013-12-10,96,¡º,72,119,78,1.3,73,50
2013-12-11,137,«·∂»Œ€»æ,104,153,75,1.4,84,51
2013-12-12,171,÷–∂»Œ€»æ,130,196,64,1.7,94,51
2013-12-13,228,÷ÿ∂»Œ€»æ,178,253,76,2,104,52
2013-12-14,86,¡º,64,99,27,1.1,64,60
2013-12-15,127,«·∂»Œ€»æ,97,136,29,1.3,68,75
2013-12-16,53,¡º,37,46,13,1,38,52
2013-12-17,35,”≈,25,28,10,0.9,34,45
2013-12-18,81,¡º,60,86,44,1.3,52,62
2013-12-19,128,«·∂»Œ€»æ,97,122,80,1.5,61,64
2013-12-20,236,÷ÿ∂»Œ€»æ,186,239,98,2.3,88,51
2013-12-21,123,«·∂»Œ€»æ,93,128,101,1.7,82,51
2013-12-22,132,«·∂»Œ€»æ,101,128,86,1.7,78,47
2013-12-23,133,«·∂»Œ€»æ,101,129,75,1.8,80,54
2013-12-24,196,÷–∂»Œ€»æ,147,186,90,2.3,90,55
2013-12-25,245,÷ÿ∂»Œ€»æ,195,253,90,2.8,103,41
2013-12-26,293,÷ÿ∂»Œ€»æ,243,321,123,3,110,19
2013-12-27,65,¡º,41,79,59,1.5,53,58
2013-12-28,95,¡º,71,106,59,1.9,75,56
2013-12-29,150,«·∂»Œ€»æ,115,160,90,2.3,87,43
2013-12-30,164,÷–∂»Œ€»æ,125,178,84,2.5,109,53
2013-12-31,136,«·∂»Œ€»æ,104,154,75,2.4,116,57
2014-01-01,152,÷–∂»Œ€»æ,116,171,69,2.3,113,75
2014-01-02,159,÷–∂»Œ€»æ,121,169,45,2.3,103,96
2014-01-03,215,÷ÿ∂»Œ€»æ,165,233,97,2.5,140,46
2014-01-04,200,÷–∂»Œ€»æ,150,240,92,2.2,94,28
2014-01-05,179,÷–∂»Œ€»æ,135,195,59,1.9,85,50
2014-01-06,58,¡º,41,64,22,1.2,52,74
2014-01-07,80,¡º,59,71,26,1.5,68,56
2014-01-08,72,¡º,52,57,31,1.6,56,55
2014-01-09,58,¡º,40,65,26,1.3,38,68
2014-01-10,76,¡º,56,85,28,1.5,43,85
2014-01-11,76,¡º,56,67,14,1.5,53,54
2014-01-12,123,«·∂»Œ€»æ,94,111,45,2.1,74,45
2014-01-13,120,«·∂»Œ€»æ,91,121,42,1.8,48,60
2014-01-14,56,¡º,39,61,34,1.4,53,73
2014-01-15,69,¡º,50,68,29,1.6,51,80
2014-01-16,101,«·∂»Œ€»æ,76,93,29,1.6,58,82
2014-01-17,165,÷–∂»Œ€»æ,126,169,66,1.7,93,68
2014-01-18,245,÷ÿ∂»Œ€»æ,195,240,77,2,77,68
2014-01-19,252,÷ÿ∂»Œ€»æ,202,258,45,2.4,77,109
2014-01-20,207,÷ÿ∂»Œ€»æ,157,257,63,2.2,82,57
2014-01-21,96,¡º,56,142,56,1.6,65,41
2014-01-22,86,¡º,63,90,35,1.7,61,66
2014-01-23,79,¡º,58,73,27,1.5,58,91
2014-01-24,64,¡º,46,65,17,1.3,52,95
2014-01-25,160,÷–∂»Œ€»æ,122,161,30,1.2,61,63
2014-01-26,69,¡º,50,77,12,0.8,27,86
2014-01-27,43,”≈,23,43,12,0.7,36,85
2014-01-28,84,¡º,62,85,24,1.2,52,69
2014-01-29,97,¡º,73,92,11,1,39,82
2014-01-30,183,÷–∂»Œ€»æ,138,173,18,1.6,49,95
2014-01-31,165,÷–∂»Œ€»æ,125,167,13,1.3,31,109
2014-02-01,90,¡º,67,78,15,1,32,110
2014-02-02,258,÷ÿ∂»Œ€»æ,208,266,11,2.6,50,83
2014-02-03,73,¡º,53,85,4,1.3,20,73
2014-02-04,42,”≈,20,40,6,0.8,14,83
2014-02-05,42,”≈,20,30,5,0.9,20,84
2014-02-06,32,”≈,17,20,3,0.9,26,63
2014-02-07,42,”≈,29,17,9,1.2,33,43
2014-02-08,76,¡º,56,62,22,1.3,28,73
2014-02-09,77,¡º,57,59,20,1,29,68
2014-02-10,50,”≈,35,47,21,0.8,25,72
2014-02-11,61,¡º,43,54,35,1,30,79
2014-02-12,63,¡º,45,47,24,0.9,45,54
2014-02-13,45,”≈,32,39,17,0.6,28,79
2014-02-14,82,¡º,60,86,46,1,45,98
2014-02-15,73,¡º,54,61,27,0.7,40,117
2014-02-16,40,”≈,28,30,10,0.6,42,80
2014-02-17,44,”≈,31,33,18,1,47,39
2014-02-18,41,”≈,29,28,22,0.8,48,82
2014-02-19,87,¡º,65,75,41,1.2,44,71
2014-02-20,112,«·∂»Œ€»æ,84,96,48,1.2,50,83
2014-02-21,133,«·∂»Œ€»æ,101,129,44,1.2,51,136
2014-02-22,109,«·∂»Œ€»æ,82,97,27,1.1,45,118
2014-02-23,92,¡º,69,87,20,1,41,137
2014-02-24,92,¡º,68,78,18,1,47,103
2014-02-25,43,”≈,19,21,10,0.8,31,85
2014-02-26,65,¡º,47,59,32,1.1,60,71
2014-02-27,124,«·∂»Œ€»æ,94,139,45,1.6,75,43
2014-02-28,115,«·∂»Œ€»æ,87,98,18,1.1,40,102
2014-03-01,50,”≈,35,42,24,0.9,49,64
2014-03-02,87,¡º,65,102,55,1.3,58,110
2014-03-03,62,¡º,41,73,21,1,38,112
2014-03-04,45,”≈,30,35,17,0.8,45,90
2014-03-05,67,¡º,48,72,25,0.9,37,112
2014-03-06,49,”≈,31,49,16,0.8,33,83
2014-03-07,52,¡º,34,54,24,1,46,102
2014-03-08,63,¡º,39,43,15,0.9,30,115
2014-03-09,72,¡º,53,67,36,1.1,62,92
2014-03-10,145,«·∂»Œ€»æ,111,146,62,1.5,66,146
2014-03-11,129,«·∂»Œ€»æ,98,129,31,1.3,42,149
2014-03-12,70,¡º,51,57,27,1.3,56,82
2014-03-13,59,¡º,38,69,37,1,43,84
2014-03-14,87,¡º,64,100,56,1.1,70,125
2014-03-15,96,¡º,72,120,51,1.2,69,152
2014-03-16,93,¡º,66,108,45,1.1,56,152
2014-03-17,93,¡º,69,104,29,1.3,57,130
2014-03-18,141,«·∂»Œ€»æ,108,153,51,1.5,71,187
2014-03-19,125,«·∂»Œ€»æ,95,180,14,1.3,42,125
2014-03-20,96,¡º,71,108,35,1.2,51,98
2014-03-21,60,¡º,35,67,33,0.8,43,112
2014-03-22,87,¡º,36,60,21,0.8,38,144
2014-03-23,68,¡º,37,57,26,0.8,36,122
2014-03-24,66,¡º,45,62,24,0.8,36,119
2014-03-25,72,¡º,53,81,27,1.1,70,56
2014-03-26,98,¡º,73,111,47,1.2,62,139
2014-03-27,76,¡º,56,67,27,0.9,42,93
2014-03-28,57,¡º,41,55,18,0.8,49,76
2014-03-29,98,¡º,73,90,29,1.1,67,30
2014-03-30,123,«·∂»Œ€»æ,93,126,46,0.9,48,151
2014-03-31,87,¡º,65,84,24,0.7,43,120
2014-04-01,68,¡º,50,67,25,0.7,45,113
2014-04-02,75,¡º,55,79,27,0.7,55,90
2014-04-03,80,¡º,49,70,24,0.6,48,136
2014-04-04,77,¡º,38,79,35,0.6,51,132
2014-04-05,92,¡º,69,126,50,0.8,67,121
2014-04-06,53,¡º,16,50,20,0.5,33,103
2014-04-07,68,¡º,50,47,16,0.6,36,119
2014-04-08,91,¡º,68,83,28,0.9,55,144
2014-04-09,88,¡º,56,75,19,0.7,44,145
2014-04-10,96,¡º,51,78,26,0.8,50,155
2014-04-11,72,¡º,53,58,23,0.7,41,121
2014-04-12,72,¡º,52,48,19,0.8,48,72
2014-04-13,62,¡º,45,50,21,0.6,33,87
2014-04-14,108,«·∂»Œ€»æ,54,75,27,0.7,39,169
2014-04-15,91,¡º,37,62,22,0.5,36,149
2014-04-16,73,¡º,54,71,22,0.6,44,116
2014-04-17,137,«·∂»Œ€»æ,105,147,50,1.1,78,71
2014-04-18,91,¡º,68,96,36,0.9,56,77
2014-04-19,48,”≈,26,38,7,0.5,28,95
2014-04-20,56,¡º,39,61,10,0.6,34,82
2014-04-21,60,¡º,43,57,7,0.6,35,70
2014-04-22,59,¡º,42,60,14,0.6,37,103
2014-04-23,57,¡º,40,64,17,0.6,41,103
2014-04-24,59,¡º,42,61,14,0.6,34,100
2014-04-25,47,”≈,24,41,9,0.5,25,94
2014-04-26,36,”≈,20,32,9,0.5,29,72
2014-04-27,59,¡º,42,53,15,1,37,58
2014-04-28,59,¡º,42,59,28,0.7,35,91
2014-04-29,98,¡º,57,97,36,0.8,56,158
2014-04-30,73,¡º,42,74,14,0.6,39,128
2014-05-01,106,«·∂»Œ€»æ,80,131,24,0.8,48,156
2014-05-02,105,«·∂»Œ€»æ,64,150,32,0.7,53,165
2014-05-03,78,¡º,50,105,18,0.6,34,96
2014-05-04,72,¡º,53,86,24,0.7,53,80
2014-05-05,78,¡º,31,64,15,0.4,38,133
2014-05-06,64,¡º,27,59,12,0.4,30,117
2014-05-07,95,¡º,49,84,23,0.6,42,154
2014-05-08,125,«·∂»Œ€»æ,87,145,39,1,68,187
2014-05-09,64,¡º,46,74,14,0.5,32,111
2014-05-10,54,¡º,38,54,9,0.5,26,82
2014-05-11,45,”≈,32,43,13,0.7,32,58
2014-05-12,96,¡º,55,82,31,0.9,46,155
2014-05-13,79,¡º,58,89,19,0.8,46,100
2014-05-14,112,«·∂»Œ€»æ,70,109,29,1.1,46,173
2014-05-15,108,«·∂»Œ€»æ,56,106,34,0.9,45,169
2014-05-16,118,«·∂»Œ€»æ,68,123,30,0.9,56,180
2014-05-17,89,¡º,66,107,9,0.7,31,113
2014-05-18,43,”≈,30,41,7,0.5,29,85
2014-05-19,75,¡º,55,89,12,0.6,40,92
2014-05-20,158,÷–∂»Œ€»æ,88,140,34,1.1,52,223
2014-05-21,181,÷–∂»Œ€»æ,72,109,25,0.8,43,246
2014-05-22,97,¡º,63,96,19,0.7,36,156
2014-05-23,90,¡º,25,42,16,0.5,28,148
2014-05-24,68,¡º,39,59,15,0.6,25,122
2014-05-25,83,¡º,62,93,23,1,45,79
2014-05-26,183,÷–∂»Œ€»æ,101,188,41,1.3,50,248
2014-05-27,154,÷–∂»Œ€»æ,118,217,36,1.2,68,199
2014-05-28,204,÷ÿ∂»Œ€»æ,107,190,44,1,62,284
2014-05-29,180,÷–∂»Œ€»æ,136,212,43,1.2,57,242
2014-05-30,146,«·∂»Œ€»æ,112,181,34,1.1,49,206
2014-05-31,79,¡º,58,86,14,0.9,27,128
2014-06-01,42,”≈,27,40,10,0.8,23,83
2014-06-02,70,¡º,44,60,12,1,22,124
2014-06-03,86,¡º,40,53,29,0.8,34,143
2014-06-04,107,«·∂»Œ€»æ,67,96,44,0.8,54,168
2014-06-05,128,«·∂»Œ€»æ,66,91,29,0.7,46,191
2014-06-06,145,«·∂»Œ€»æ,59,88,17,0.7,41,210
2014-06-07,164,÷–∂»Œ€»æ,63,93,17,0.7,38,229
2014-06-08,86,¡º,52,78,13,0.6,33,143
2014-06-09,86,¡º,35,51,8,0.5,26,143
2014-06-10,60,¡º,32,45,7,0.5,28,112
2014-06-11,92,¡º,43,59,12,0.5,35,150
2014-06-12,174,÷–∂»Œ€»æ,57,86,32,0.8,40,239
