»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2013-12-31,63,¡º,33,76,34,0.9,38,84
2014-01-01,62,¡º,25,74,51,0.8,28,87
2014-01-02,102,«·∂»Œ€»æ,60,154,23,0.4,21,76
2014-01-03,73,¡º,32,97,37,0.9,41,46
2014-01-04,79,¡º,41,107,27,0.6,45,93
2014-01-05,68,¡º,29,87,61,0.6,48,60
2014-01-06,61,¡º,27,72,60,0.6,50,80
2014-01-07,66,¡º,40,83,63,1.1,35,63
2014-01-08,55,¡º,22,59,65,0.8,38,76
2014-01-09,57,¡º,25,65,60,1,40,52
2014-01-10,67,¡º,44,85,55,1,38,50
2014-01-11,50,”≈,31,51,45,0.5,24,73
2014-01-12,53,¡º,16,56,38,0.6,35,71
2014-01-13,59,¡º,24,67,30,0.8,37,64
2014-01-14,86,¡º,42,123,76,1.3,51,55
2014-01-15,82,¡º,32,115,46,0.9,48,48
2014-01-16,68,¡º,27,87,55,1,40,57
2014-01-17,94,¡º,42,138,46,2.8,45,57
2014-01-18,155,÷–∂»Œ€»æ,42,259,27,2,23,92
2014-01-19,59,¡º,20,67,35,2.5,34,84
2014-01-20,65,¡º,23,80,36,2.1,43,62
2014-01-21,74,¡º,21,98,28,0.7,38,44
2014-01-22,120,«·∂»Œ€»æ,50,189,65,0.9,36,58
2014-01-23,119,«·∂»Œ€»æ,48,187,100,1.3,49,66
2014-01-24,80,¡º,51,109,53,0.9,37,53
2014-01-25,79,¡º,39,109,87,1.1,40,62
2014-01-26,88,¡º,37,126,94,1.4,38,54
2014-01-27,72,¡º,30,94,46,0.8,33,60
2014-01-28,76,¡º,21,102,27,0.5,23,78
2014-01-29,75,¡º,36,101,41,1.5,33,68
2014-01-30,73,¡º,27,97,26,0.5,27,81
2014-01-31,85,¡º,43,120,58,0.7,30,67
2014-02-01,82,¡º,26,115,68,0.9,31,68
2014-02-02,69,¡º,18,88,32,0.5,18,76
2014-02-03,76,¡º,18,102,17,0.9,15,87
2014-02-04,114,«·∂»Œ€»æ,39,177,48,2.2,22,72
2014-02-05,150,«·∂»Œ€»æ,55,250,39,1.5,30,56
2014-02-06,121,«·∂»Œ€»æ,42,193,43,0.7,21,64
2014-02-07,142,«·∂»Œ€»æ,48,235,37,1.6,25,70
2014-02-08,80,¡º,24,109,48,0.9,25,68
2014-02-09,72,¡º,39,94,32,0.6,22,66
2014-02-10,156,÷–∂»Œ€»æ,58,261,64,0.9,34,76
2014-02-11,142,«·∂»Œ€»æ,56,234,17,0.7,34,47
2014-02-12,92,¡º,35,134,28,0.7,29,116
2014-02-13,102,«·∂»Œ€»æ,35,154,34,0.9,37,76
2014-02-14,98,¡º,36,145,31,0.8,41,60
2014-02-15,75,¡º,40,99,30,0.7,28,88
2014-02-16,66,¡º,25,83,20,0.7,29,86
2014-02-17,86,¡º,38,123,56,0.9,37,73
2014-02-18,70,¡º,22,90,20,0.4,18,98
2014-02-19,56,¡º,30,62,41,0.9,36,102
2014-02-20,70,¡º,23,89,26,1.1,37,86
2014-02-21,80,¡º,28,109,71,1.6,46,66
2014-02-22,84,¡º,35,118,89,1.5,46,67
2014-02-23,90,¡º,39,129,20,1.2,40,119
2014-02-24,85,¡º,44,121,28,1.2,38,117
2014-02-25,91,¡º,39,132,57,1.4,33,107
2014-02-26,88,¡º,25,125,39,1.2,25,102
2014-02-27,117,«·∂»Œ€»æ,50,184,115,2.5,44,84
2014-02-28,74,¡º,26,97,48,1.4,33,81
2014-03-01,87,¡º,28,124,29,1.1,27,108
2014-03-02,72,¡º,40,93,32,1.1,33,97
2014-03-03,96,¡º,55,141,85,1.4,35,79
2014-03-04,125,«·∂»Œ€»æ,38,201,64,0.9,41,82
2014-03-05,80,¡º,30,111,87,1.2,38,83
2014-03-06,72,¡º,43,94,19,0.8,33,118
2014-03-07,81,¡º,26,113,28,0.6,25,110
2014-03-08,111,«·∂»Œ€»æ,47,172,14,0.7,31,124
2014-03-09,80,¡º,28,111,12,0.9,28,124
2014-03-10,98,¡º,35,147,57,1.3,30,121
2014-03-11,88,¡º,33,127,107,1.7,34,105
2014-03-12,81,¡º,26,113,35,0.9,29,110
2014-03-13,92,¡º,35,135,33,0.9,36,114
2014-03-14,111,«·∂»Œ€»æ,41,172,51,1.1,37,105
2014-03-15,103,«·∂»Œ€»æ,40,156,35,1.2,45,130
2014-03-16,114,«·∂»Œ€»æ,42,178,70,1.4,36,125
2014-03-17,94,¡º,29,138,35,1.2,40,117
2014-03-18,213,÷ÿ∂»Œ€»æ,78,359,66,1.2,37,103
2014-03-19,497,—œ÷ÿŒ€»æ,119,597,27,0.5,16,100
2014-03-20,259,÷ÿ∂»Œ€»æ,75,391,75,0.9,31,93
2014-03-21,185,÷–∂»Œ€»æ,83,320,43,0.8,34,96
2014-03-22,137,«·∂»Œ€»æ,56,224,39,0.9,39,116
2014-03-23,123,«·∂»Œ€»æ,51,196,25,0.7,27,117
2014-03-24,120,«·∂»Œ€»æ,51,189,29,0.9,34,125
2014-03-25,93,¡º,35,136,16,0.6,34,137
2014-03-26,113,«·∂»Œ€»æ,44,175,55,1.4,47,124
2014-03-27,141,«·∂»Œ€»æ,64,231,47,1.1,37,109
2014-03-28,126,«·∂»Œ€»æ,58,203,15,0.6,31,142
2014-03-29,73,¡º,39,86,42,1,44,128
2014-03-30,87,¡º,38,124,31,0.9,35,135
2014-03-31,95,¡º,29,82,19,0.6,19,154
2014-04-01,73,¡º,28,87,61,1.1,41,128
2014-04-02,102,«·∂»Œ€»æ,25,146,16,0.6,22,162
2014-04-03,416,—œ÷ÿŒ€»æ,95,516,19,0.8,18,149
2014-04-04,119,«·∂»Œ€»æ,58,189,24,0.9,31,155
2014-04-05,115,«·∂»Œ€»æ,53,97,53,1.4,59,176
2014-04-06,127,«·∂»Œ€»æ,42,85,21,0.9,38,190
2014-04-07,127,«·∂»Œ€»æ,43,83,14,0.9,43,190
2014-04-08,105,«·∂»Œ€»æ,38,80,57,1.4,46,166
2014-04-09,109,«·∂»Œ€»æ,57,168,71,1.2,32,163
2014-04-10,92,¡º,36,82,21,0.8,27,150
2014-04-11,89,¡º,25,64,14,0.6,24,147
2014-04-12,102,«·∂»Œ€»æ,23,69,20,0.6,24,162
2014-04-13,98,¡º,31,98,28,0.8,30,158
2014-04-14,114,«·∂»Œ€»æ,45,108,34,0.9,31,175
2014-04-15,192,÷–∂»Œ€»æ,134,334,46,1.2,24,145
2014-04-16,74,¡º,28,57,21,0.8,22,129
2014-04-17,90,¡º,45,130,27,0.7,18,128
2014-04-18,79,¡º,32,109,40,0.6,26,119
2014-04-19,88,¡º,27,92,32,0.8,32,146
2014-04-20,88,¡º,14,53,26,0.6,19,145
2014-04-21,103,«·∂»Œ€»æ,16,55,18,0.5,30,163
2014-04-22,97,¡º,21,84,22,0.5,25,156
2014-04-23,139,«·∂»Œ€»æ,106,102,8,0.4,23,168
2014-04-25,263,÷ÿ∂»Œ€»æ,69,394,40,1,37,118
2014-04-26,156,÷–∂»Œ€»æ,43,262,14,0.8,37,138
2014-04-27,133,«·∂»Œ€»æ,45,215,25,0.9,39,151
2014-04-28,113,«·∂»Œ€»æ,41,176,30,0.9,37,147
2014-04-29,139,«·∂»Œ€»æ,77,227,13,0.6,31,160
2014-05-01,95,¡º,24,130,24,0.6,22,154
2014-05-02,105,«·∂»Œ€»æ,14,62,22,0.7,35,166
2014-05-03,104,«·∂»Œ€»æ,27,158,22,0.6,23,153
2014-05-04,101,«·∂»Œ€»æ,14,80,9,0.6,32,161
2014-05-05,100,¡º,19,114,11,0.4,30,160
2014-05-06,105,«·∂»Œ€»æ,28,134,13,0.4,27,165
2014-05-07,128,«·∂»Œ€»æ,28,149,13,0.5,25,191
2014-05-08,279,÷ÿ∂»Œ€»æ,112,406,26,0.9,29,168
2014-05-09,181,÷–∂»Œ€»æ,84,311,14,0.7,18,137
2014-05-10,99,¡º,26,88,13,0.5,18,159
2014-05-11,125,«·∂»Œ€»æ,23,92,20,0.8,37,187
2014-05-12,105,«·∂»Œ€»æ,26,107,64,1.1,41,166
2014-05-13,88,¡º,25,92,71,1.1,41,145
2014-05-14,106,«·∂»Œ€»æ,14,59,9,0.4,18,167
2014-05-15,112,«·∂»Œ€»æ,9,45,16,0.4,21,173
2014-05-16,129,«·∂»Œ€»æ,30,70,33,0.7,29,192
2014-05-17,119,«·∂»Œ€»æ,28,97,27,0.7,26,181
2014-05-18,104,«·∂»Œ€»æ,36,158,24,0.6,26,156
2014-05-19,135,«·∂»Œ€»æ,33,101,24,0.6,28,198
2014-05-20,120,«·∂»Œ€»æ,31,85,24,0.7,29,182
2014-05-21,104,«·∂»Œ€»æ,36,122,45,0.9,32,164
2014-05-22,88,¡º,42,126,89,1.4,31,131
2014-05-25,95,¡º,15,75,32,0.8,19,154
2014-05-26,119,«·∂»Œ€»æ,16,106,10,0.7,12,181
2014-05-27,122,«·∂»Œ€»æ,25,107,28,1,19,184
2014-05-28,105,«·∂»Œ€»æ,28,86,32,0.9,21,165
2014-05-29,99,¡º,24,94,27,1.1,28,159
2014-05-30,93,¡º,31,112,23,1.1,23,152
2014-05-31,96,¡º,27,101,18,1.2,28,155
2014-06-02,94,¡º,29,137,60,1.8,28,119
2014-06-03,95,¡º,40,139,57,1.4,23,127
2014-06-04,88,¡º,38,126,60,1.6,29,117
2014-06-05,84,¡º,62,110,123,1.7,27,106
2014-06-06,110,«·∂»Œ€»æ,41,127,38,0.8,24,171
2014-06-07,89,¡º,36,115,33,0.7,23,147
2014-06-08,62,¡º,23,74,30,0.8,18,111
2014-06-09,97,¡º,46,143,52,1.1,30,114
2014-06-10,103,«·∂»Œ€»æ,46,156,44,1,19,121
2014-06-11,88,¡º,52,126,27,1,19,105
2014-06-12,61,¡º,30,71,28,1.1,23,109
2014-06-13,61,¡º,28,72,35,1.2,26,113
2014-06-14,74,¡º,18,50,23,1,18,129
2014-06-15,88,¡º,22,58,29,1,23,146
2014-06-16,99,¡º,31,106,23,1.1,17,159
2014-06-17,144,«·∂»Œ€»æ,71,237,20,1.3,21,144
2014-06-18,73,¡º,22,53,28,1.5,23,127
2014-06-19,86,¡º,9,30,26,2.2,24,143
2014-06-20,75,¡º,11,49,29,1.3,34,130
2014-06-21,73,¡º,14,56,22,0.5,26,127
2014-06-22,79,¡º,38,108,69,1.1,30,129
2014-06-23,100,¡º,18,52,25,0.5,24,160
2014-06-24,80,¡º,15,47,15,0.4,19,136
2014-06-25,75,¡º,23,68,17,0.4,18,130
2014-06-26,63,¡º,20,59,6,0.5,19,116
2014-06-27,65,¡º,21,79,9,0.6,26,104
2014-06-28,82,¡º,13,53,6,0.4,13,138
2014-06-29,74,¡º,11,54,6,0.4,15,129
2014-06-30,80,¡º,19,80,6,0.5,16,136
2014-07-01,74,¡º,9,42,13,0.7,19,129
2014-07-02,80,¡º,24,107,23,0.7,23,136
2014-07-03,73,¡º,21,36,24,0.7,22,127
2014-07-04,86,¡º,19,51,15,1.6,34,143
2014-07-05,63,¡º,20,74,23,1.7,28,115
2014-07-06,68,¡º,26,86,35,2,27,102
2014-07-07,68,¡º,24,76,23,1.3,20,121
2014-07-08,68,¡º,24,63,7,0.3,24,121
2014-07-09,59,¡º,8,38,8,0.4,20,111
2014-07-10,75,¡º,20,101,10,0.6,16,127
2014-07-11,72,¡º,25,94,25,0.9,22,124
