»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,56,¡º,31,63,56,1,17,39
2015-01-01,63,¡º,45,73,42,0.8,21,24
2015-01-02,81,¡º,60,90,64,1.1,23,27
2015-01-03,63,¡º,34,75,56,0.8,25,32
2015-01-04,153,÷–∂»Œ€»æ,117,175,66,2.1,63,48
2015-01-05,82,¡º,55,113,49,1.1,43,53
2015-01-06,52,¡º,19,53,26,1.3,27,55
2015-01-07,80,¡º,59,98,45,1.6,44,44
2015-01-08,97,¡º,72,109,74,1.5,60,40
2015-01-09,118,«·∂»Œ€»æ,89,127,143,1.6,77,23
2015-01-10,128,«·∂»Œ€»æ,98,140,96,1.7,63,29
2015-01-11,144,«·∂»Œ€»æ,110,153,38,1.5,50,39
2015-01-12,137,«·∂»Œ€»æ,105,140,65,1.9,63,41
2015-01-13,91,¡º,68,96,80,1.4,61,32
2015-01-14,212,÷ÿ∂»Œ€»æ,162,214,37,2.2,60,40
2015-01-15,170,÷–∂»Œ€»æ,129,169,63,1.4,63,41
2015-01-16,83,¡º,62,86,39,1.1,40,55
2015-01-17,71,¡º,52,76,54,1,48,55
2015-01-18,74,¡º,54,79,52,1.3,49,37
2015-01-19,105,«·∂»Œ€»æ,79,104,37,1.6,45,58
2015-01-20,79,¡º,58,97,67,1.1,55,45
2015-01-21,204,÷ÿ∂»Œ€»æ,154,210,73,2,56,70
2015-01-22,171,÷–∂»Œ€»æ,130,178,65,1.8,67,52
2015-01-23,120,«·∂»Œ€»æ,91,132,71,1.5,54,38
2015-01-24,169,÷–∂»Œ€»æ,129,185,44,1.6,44,62
2015-01-25,167,÷–∂»Œ€»æ,127,204,89,1.6,64,44
2015-01-26,85,¡º,63,115,36,1.3,29,43
2015-01-27,62,¡º,42,74,50,1.6,36,46
2015-01-28,88,¡º,66,94,77,1.4,58,51
2015-01-29,93,¡º,70,100,89,1.3,61,43
2015-01-30,59,¡º,42,68,38,1.3,36,60
2015-01-31,87,¡º,65,93,67,1.2,55,48
2015-02-01,111,«·∂»Œ€»æ,84,118,115,1.7,65,46
2015-02-02,158,÷–∂»Œ€»æ,121,170,87,2,81,52
2015-02-03,133,«·∂»Œ€»æ,102,153,62,1.8,68,85
2015-02-04,126,«·∂»Œ€»æ,96,135,33,1.3,41,58
