»’∆⁄,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-12-31,123,«·∂»Œ€»æ,82,196,73,1.4,51,47
2015-01-01,90,¡º,53,131,49,1.1,33,46
2015-01-02,112,«·∂»Œ€»æ,85,145,51,1.5,49,48
2015-01-03,144,«·∂»Œ€»æ,110,168,116,2.2,57,45
2015-01-04,119,«·∂»Œ€»æ,57,189,24,1.2,19,48
2015-01-05,54,¡º,30,58,14,0.8,17,42
2015-01-06,61,¡º,36,72,24,1.1,34,31
2015-01-07,76,¡º,56,98,22,1.3,33,45
2015-01-08,67,¡º,33,84,22,0.8,24,56
2015-01-09,72,¡º,52,94,29,1.3,45,54
2015-01-10,67,¡º,49,73,35,1.3,46,54
2015-01-11,78,¡º,58,90,34,1.3,40,59
2015-01-12,125,«·∂»Œ€»æ,95,108,43,1.3,43,57
2015-01-13,96,¡º,72,91,35,1.2,32,49
2015-01-14,84,¡º,62,117,33,1.2,28,52
2015-01-15,71,¡º,52,92,35,1,25,51
2015-01-16,59,¡º,32,68,28,1.2,34,50
2015-01-17,64,¡º,40,78,23,1.1,19,46
2015-01-18,57,¡º,25,65,15,1.1,19,53
2015-01-19,63,¡º,45,76,37,1.6,33,48
2015-01-20,68,¡º,33,87,10,1.1,12,52
2015-01-21,78,¡º,34,106,28,1.3,27,48
2015-01-22,73,¡º,53,94,40,1.4,31,50
2015-01-23,104,«·∂»Œ€»æ,78,111,37,1.5,42,59
2015-01-24,75,¡º,52,99,32,1.2,27,53
2015-01-25,71,¡º,49,93,31,1.4,39,50
2015-01-26,85,¡º,43,121,26,1,15,45
2015-01-27,56,¡º,31,62,15,1,13,40
2015-01-28,60,¡º,43,50,22,1.4,19,39
2015-01-29,65,¡º,32,79,22,0.9,13,45
2015-01-30,57,¡º,38,64,18,1.1,22,44
2015-01-31,69,¡º,50,55,18,1,14,48
2015-02-01,103,«·∂»Œ€»æ,77,34,19,1.3,18,44
2015-02-02,104,«·∂»Œ€»æ,78,56,20,1.5,20,49
2015-02-03,145,«·∂»Œ€»æ,111,125,39,1.6,25,56
2015-02-04,121,«·∂»Œ€»æ,92,83,39,1.3,21,49
2015-02-05,48,”≈,32,48,22,1.2,33,54
2015-02-06,59,¡º,41,67,35,1.2,27,49
2015-02-07,74,¡º,41,98,12,1,15,51
2015-02-08,71,¡º,42,93,20,1.2,25,54
2015-02-09,93,¡º,70,99,27,1.7,44,60
2015-02-10,87,¡º,53,123,13,1.4,26,57
2015-02-11,112,«·∂»Œ€»æ,46,174,14,1.1,15,55
2015-02-12,59,¡º,33,68,14,1.2,19,54
2015-02-13,67,¡º,37,85,26,1.3,33,56
2015-02-14,155,÷–∂»Œ€»æ,80,261,27,1,16,57
2015-02-15,81,¡º,43,112,9,0.8,10,53
2015-02-16,65,¡º,40,80,26,1,27,55
2015-02-17,71,¡º,50,93,26,1.1,29,58
2015-02-18,131,«·∂»Œ€»æ,100,148,31,1.3,20,62
2015-02-19,206,÷ÿ∂»Œ€»æ,156,122,18,1.5,14,51
2015-02-20,101,«·∂»Œ€»æ,76,104,16,1.1,8,52
2015-02-21,96,¡º,41,142,11,0.9,6,49
2015-02-22,92,¡º,53,134,24,1.1,13,47
2015-02-23,76,¡º,45,102,26,1,16,57
2015-02-24,62,¡º,32,75,13,1,13,53
2015-02-25,102,«·∂»Œ€»æ,52,154,16,0.9,13,53
2015-02-26,117,«·∂»Œ€»æ,57,184,20,1.1,11,52
2015-02-27,77,¡º,56,81,14,1.3,13,47
2015-02-28,64,¡º,28,79,10,1.1,11,48
2015-03-01,59,¡º,40,67,24,1.7,40,52
2015-03-02,155,÷–∂»Œ€»æ,64,260,16,1.5,26,51
2015-03-03,127,«·∂»Œ€»æ,58,204,11,1.3,12,50
2015-03-04,85,¡º,50,119,15,1.4,9,45
2015-03-05,95,¡º,71,60,22,1.7,24,59
2015-03-06,81,¡º,60,87,25,1.7,33,60
2015-03-07,69,¡º,50,68,22,1.4,27,58
2015-03-08,69,¡º,41,89,30,1.2,19,64
2015-03-09,71,¡º,36,92,21,1.2,11,47
2015-03-10,87,¡º,65,91,15,1.3,18,45
2015-03-11,74,¡º,49,97,31,1.7,37,66
2015-03-12,72,¡º,46,93,28,1.4,17,62
2015-03-13,85,¡º,53,121,20,1.4,27,65
2015-03-14,127,«·∂»Œ€»æ,76,204,16,1.1,22,61
2015-03-15,111,«·∂»Œ€»æ,74,171,16,1.3,25,66
2015-03-16,116,«·∂»Œ€»æ,88,154,24,1.1,25,63
2015-03-17,75,¡º,47,100,14,0.4,15,57
2015-03-18,66,¡º,47,82,18,0.5,20,54
2015-03-19,67,¡º,44,83,17,0.6,17,64
2015-03-20,82,¡º,46,114,20,0.6,27,65
2015-03-21,85,¡º,51,120,22,0.7,31,60
2015-03-22,79,¡º,52,108,20,0.8,30,59
2015-03-23,82,¡º,51,114,25,0.8,25,73
2015-03-24,51,¡º,32,52,9,0.5,10,65
2015-03-25,35,”≈,24,17,4,0.8,10,52
2015-03-26,41,”≈,29,29,5,0.9,12,45
2015-03-27,69,¡º,38,44,18,1.1,17,74
2015-03-28,123,«·∂»Œ€»æ,57,195,16,0.7,28,58
2015-03-29,79,¡º,48,108,14,0.7,19,72
2015-03-30,109,«·∂»Œ€»æ,82,101,10,0.8,13,86
2015-03-31,83,¡º,61,93,15,0.8,23,77
2015-04-01,118,«·∂»Œ€»æ,89,186,8,0.9,12,69
2015-04-02,445,—œ÷ÿŒ€»æ,222,545,19,0.6,9,62
2015-04-03,107,«·∂»Œ€»æ,80,141,6,0.6,13,58
2015-04-04,85,¡º,47,120,5,0.6,17,52
2015-04-05,43,”≈,21,43,7,0.5,15,74
2015-04-06,45,”≈,22,45,5,0.4,8,70
2015-04-07,60,¡º,43,61,7,0.6,14,61
2015-04-08,51,¡º,33,52,12,0.6,14,66
2015-04-09,59,¡º,31,69,5,0.4,19,74
2015-04-10,68,¡º,39,86,10,0.8,34,72
2015-04-11,121,«·∂»Œ€»æ,44,191,4,0.5,20,70
2015-04-12,95,¡º,36,139,3,0.4,13,78
2015-04-13,61,¡º,25,72,20,0.6,28,72
2015-04-14,76,¡º,42,102,15,0.8,34,63
2015-04-15,139,«·∂»Œ€»æ,65,228,13,0.8,32,71
2015-04-16,348,—œ÷ÿŒ€»æ,119,458,6,0.6,17,67
2015-04-17,132,«·∂»Œ€»æ,71,213,7,0.9,20,69
2015-04-18,64,¡º,40,77,2,0.9,10,66
